id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4673746873617975,KuWuzfbcr,7571346388,云上河南,#河南博爱百岁老人接种新冠疫苗#8月23日上午，在博爱县清化镇卫生院新冠疫苗接种点，一位白发苍苍的老人引起了大家的注意。据了解，这位老人是该县鸿昌街道下庄村的村民，名叫王占文，今年已经114岁。自从国家规定60岁以上人群开始接种新冠疫苗后，下庄村包村纪检干部王玲便与王占文老人家属积极沟通，征得老人以及家属的同意后，便一起陪同老人前往接种点接种疫苗。#县域行动豫战豫勇#L云上河南的微博视频,,,,"河南博爱百岁老人接种新冠疫苗,县域行动豫战豫勇",42,14,5,2021-08-24 15:52,iPhone客户端,,"http://f.video.weibocdn.com/GHwABl8Hlx07PhcGhLZm010412003ihm0E010.mp4?label=mp4_720p&template=544x960.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725004587&ssig=4ICHGXcae9&KID=unistore,video",,,
4673847401389248,KuZ6I5Ppe,7576258291,方城县融媒体中心,#河南博爱百岁老人接种新冠疫苗##县域行动豫战豫勇#L云上河南的微博视频,,,,"河南博爱百岁老人接种新冠疫苗,县域行动豫战豫勇",0,0,5,2021-08-24 22:31,OPPO智能手机,,,4673746873617975,,蓝V
4673814808496264,KuYg8zEgw,5353644555,长垣市融媒体中心,#河南博爱百岁老人接种新冠疫苗#8月23日上午，在博爱县清化镇卫生院新冠疫苗接种点，一位白发苍苍的老人引起了大家的注意。据了解，这位老人是该县鸿昌街道下庄村的村民，名叫王占文，今年已经114岁。自从国家规定60岁以上人群开始接种新冠疫苗后，下庄村包村纪检干部王玲便与王占文老人家属积极沟通，征得老人以及家属的同意后，便一起陪同老人前往接种点接种疫苗。#县域行动豫战豫勇#L云上河南的微博视频,,,,"河南博爱百岁老人接种新冠疫苗,县域行动豫战豫勇",0,0,0,2021-08-24 20:22,微博视频号,,"http://f.video.weibocdn.com/GHwABl8Hlx07PhcGhLZm010412003ihm0E010.mp4?label=mp4_720p&template=544x960.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725004587&ssig=4ICHGXcae9&KID=unistore,video",,,蓝V
4673804204245114,KuXZ2hOlA,7576391981,宁陵县级融媒体中心,#河南博爱百岁老人接种新冠疫苗#8月23日上午，在博爱县清化镇卫生院新冠疫苗接种点，一位白发苍苍的老人引起了大家的注意。今年已经114岁，名叫王占文。自从国家规定60岁以上人群开始接种新冠疫苗后，老人家属积极沟通，同意后，便一起陪同老人前往接种点接种疫苗。#县域行动豫战豫勇#,,,,"河南博爱百岁老人接种新冠疫苗,县域行动豫战豫勇",0,0,5,2021-08-24 19:40,微博 weibo.com,,,4673746873617975,,蓝V
4673788317536896,KuXzpvCGQ,7576523960,清丰县融媒体中心,#河南博爱百岁老人接种新冠疫苗#8月23日上午，在博爱县清化镇卫生院新冠疫苗接种点，一位白发苍苍的老人引起了大家的注意。,,,,河南博爱百岁老人接种新冠疫苗,0,0,5,2021-08-24 18:37,nova4自拍极点全面屏,,,4673746873617975,,蓝V
4673783560932265,KuXrK3Uwx,2673317901,用户2673317901,#河南博爱百岁老人接种新冠疫苗#8月23日上午，在博爱县清化镇卫生院新冠疫苗接种点，一位白发苍苍的老人引起了大家的注意。据了解，这位老人是该县鸿昌街道下庄村的村民，名叫王占文，今年已经114岁。自从国家规定60岁以上人群开始接种新冠疫苗后，下庄村包村纪检干部王玲便与王占文老人家属积极沟通,,,,河南博爱百岁老人接种新冠疫苗,0,0,5,2021-08-24 18:18,微博小程序,,,4673746873617975,,普通用户
4673783262089199,KuXrg8LuL,7576391701,沁阳市融媒体中心,[cp]#河南博爱百岁老人接种新冠疫苗#8月23日上午，在博爱县清化镇卫生院新冠疫苗接种点，一位白发苍苍的老人引起了大家的注意。据了解，这位老人是该县鸿昌街道下庄村的村民，名叫王占文，今年已经114#县域行动豫战豫勇#L云上河南的微博视频[/cp],,,,"河南博爱百岁老人接种新冠疫苗,县域行动豫战豫勇",0,0,5,2021-08-24 18:17,iPhone客户端,,,4673746873617975,,蓝V
4673783192096725,KuXr98Ns9,5048539693,商城融媒,#河南博爱百岁老人接种新冠疫苗#8月23日上午，在博爱县清化镇卫生院新冠疫苗接种点，一位白发苍苍的老人引起了大家的注意。,,,,河南博爱百岁老人接种新冠疫苗,0,0,5,2021-08-24 18:16,iPhone客户端,,,4673746873617975,,蓝V
4673783178461586,KuXr7zvfc,7576522395,孟津区融媒体中心,#河南博爱百岁老人接种新冠疫苗#8月23日上午，在博爱县清化镇卫生院新冠疫苗接种点，一位白发苍苍的老人引起了大家的注意。#县域行动豫战豫勇#,,,,"河南博爱百岁老人接种新冠疫苗,县域行动豫战豫勇",0,0,5,2021-08-24 18:16,微博网页版,,,4673746873617975,,蓝V
4673780897550980,KuXnrvGm0,7576524102,襄城县融媒体中心,#河南博爱百岁老人接种新冠疫苗##县域行动豫战豫勇#L云上河南的微博视频,,,,"河南博爱百岁老人接种新冠疫苗,县域行动豫战豫勇",0,0,5,2021-08-24 18:07,iPhone客户端,,,4673746873617975,,蓝V
