id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5037593240536169,OfLYg2ftT,2399350541,运城消防,#消防员将受伤的采药老人背下山##一线救援#【六旬老人深山采药失足落入山沟消防员陡峭山坡开路成功救出】近日，山西芮城，一六旬老人上山采挖草药时不慎失足跌落山沟，导致腰部腿部受伤，被困在半山腰处动弹不得。由于山上道路崎岖，车辆无法上去，消防救援人员到场后只能携带担架、救援绳等救援装备徒步上山。找到老人后消防员小心翼翼地将老人固定到了救援担架上，并利用安全绳牵引接力，一边开路一边将老人抬上山。@山西消防L运城消防的微博视频,,,山西消防,"消防员将受伤的采药老人背下山,一线救援",0,1,3,2024-05-24 16:28,微博视频号,,"http://f.video.weibocdn.com/o0/58CtVamelx08f6Dk7Eb601041202cCuW0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998595&ssig=fPe738Q1b6&KID=unistore,video",,,蓝V
4966890592014432,Ns4838s2Q,6756145883,江西人江西事儿,【#消防员将受伤的采药老人背下山#】近日，在江西景德镇，老人山中采药不慎被捕兽夹夹住，腿部受伤，动弹不得。消防员赶赴，夜色渐黑，救援人员徒步进山，找到老人并暖心安抚后，轮流接力将老人背护下山。网友：#消防员的后背是安全感的来源#！@中国消防L中国消防的微博视频,,,中国消防,"消防员将受伤的采药老人背下山,消防员的后背是安全感的来源",0,0,0,2023-11-11 14:01,微博视频号,,"http://f.video.weibocdn.com/o0/g0rLhm5dlx089VE93t9m01041200aiPn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998595&ssig=yQSLItBkmF&KID=unistore,video",,,黄V
4966815660508601,Ns2bc28jf,5042313820,青海消防,【#消防员将受伤的采药老人背下山#】近日，在江西景德镇，老人山中采药不慎被捕兽夹夹住，腿部受伤，动弹不得。消防员赶赴，夜色渐黑，救援人员徒步进山，找到老人并暖心安抚后，轮流接力将老人背护下山。网友：#消防员的后背是安全感的来源#！@中国消防L中国消防的微博视频L中国消防的微博视频,,,中国消防,"消防员将受伤的采药老人背下山,消防员的后背是安全感的来源",0,0,0,2023-11-11 09:03,微博视频号,,"http://f.video.weibocdn.com/o0/g0rLhm5dlx089VE93t9m01041200aiPn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998595&ssig=yQSLItBkmF&KID=unistore,video",,,蓝V
4966258489165910,NrNGwCstg,3870787200,景德镇发布,#瓷都正能量#【#消防员将受伤的采药老人背下山#】近日，在江西景德镇，老人山中采药不慎被捕兽夹夹住，腿部受伤，动弹不得。消防员赶赴，夜色渐黑，救援人员徒步进山，找到老人并暖心安抚后，轮流接力将老人背护下山。,,,,"瓷都正能量,消防员将受伤的采药老人背下山",0,0,0,2023-11-09 20:09,nova8 我由我掌镜,,,,,蓝V
4965847437148259,NrCZxtZAv,3947832381,欧潭融媒,【#消防员将受伤的采药老人背下山#】近日，在江西景德镇，老人山中采药不慎被捕兽夹夹住，腿部受伤，动弹不得。消防员赶赴，夜色渐黑，救援人员徒步进山，找到老人并暖心安抚后，轮流接力将老人背护下山。网友：#消防员的后背是安全感的来源#！@中国消防L中国消防的微博视频,,,中国消防,"消防员将受伤的采药老人背下山,消防员的后背是安全感的来源",0,0,0,2023-11-08 16:55,微博视频号,,"http://f.video.weibocdn.com/o0/g0rLhm5dlx089VE93t9m01041200aiPn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998595&ssig=yQSLItBkmF&KID=unistore,video",,,蓝V
4965831618331881,NrCA1yXvb,3277148477,榆中检察,【#消防员将受伤的采药老人背下山#】近日，在江西景德镇，老人山中采药不慎被捕兽夹夹住，腿部受伤，动弹不得。消防员赶赴，夜色渐黑，救援人员徒步进山，找到老人并暖心安抚后，轮流接力将老人背护下山。网友：#消防员的后背是安全感的来源#！@中国消防L中国消防的微博视频,,,中国消防,"消防员将受伤的采药老人背下山,消防员的后背是安全感的来源",0,0,0,2023-11-08 15:53,微博视频号,,"http://f.video.weibocdn.com/o0/g0rLhm5dlx089VE93t9m01041200aiPn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998595&ssig=yQSLItBkmF&KID=unistore,video",,,蓝V
4965823055922683,NrCmdoQL9,2467763475,青白江商务,【#消防员将受伤的采药老人背下山#】近日，在江西景德镇，老人山中采药不慎被捕兽夹夹住，腿部受伤，动弹不得。消防员赶赴，夜色渐黑，救援人员徒步进山，找到老人并暖心安抚后，轮流接力将老人背护下山。网友：#消防员的后背是安全感的来源#！@中国消防L中国消防的微博视频,,,中国消防,"消防员将受伤的采药老人背下山,消防员的后背是安全感的来源",0,0,0,2023-11-08 15:19,微博视频号,,"http://f.video.weibocdn.com/o0/g0rLhm5dlx089VE93t9m01041200aiPn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998595&ssig=yQSLItBkmF&KID=unistore,video",,,蓝V
4965815645637335,NrCagnEwL,5134766397,兰州市七里河区检察院,【#消防员将受伤的采药老人背下山#】近日，在江西景德镇，老人山中采药不慎被捕兽夹夹住，腿部受伤，动弹不得。消防员赶赴，夜色渐黑，救援人员徒步进山，找到老人并暖心安抚后，轮流接力将老人背护下山。网友：#消防员的后背是安全感的来源#！@中国消防中国消防的微博视频播放视频L中国消防的微博视频,,,中国消防,"消防员将受伤的采药老人背下山,消防员的后背是安全感的来源",0,0,0,2023-11-08 14:49,微博视频号,,"http://f.video.weibocdn.com/o0/g0rLhm5dlx089VE93t9m01041200aiPn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998595&ssig=yQSLItBkmF&KID=unistore,video",,,蓝V
4965810727290018,NrC2kuAsW,3634080191,文明江西,【#消防员将受伤的采药老人背下山#】近日，在江西景德镇，老人山中采药不慎被捕兽夹夹住，腿部受伤，动弹不得。消防员赶赴，夜色渐黑，救援人员徒步进山，找到老人并暖心安抚后，轮流接力将老人背护下山。网友：#消防员的后背是安全感的来源#！@中国消防L中国消防的微博视频,,,中国消防,"消防员将受伤的采药老人背下山,消防员的后背是安全感的来源",3,0,0,2023-11-08 14:30,微博视频号,,"http://f.video.weibocdn.com/o0/g0rLhm5dlx089VE93t9m01041200aiPn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998595&ssig=yQSLItBkmF&KID=unistore,video",,,蓝V
4965790594369570,NrBvRikIW,2881221330,武侯市场监管,【#消防员将受伤的采药老人背下山#】近日，在江西景德镇，老人山中采药不慎被捕兽夹夹住，腿部受伤，动弹不得。消防员赶赴，夜色渐黑，救援人员徒步进山，找到老人并暖心安抚后，轮流接力将老人背护下山。网友：#消防员的后背是安全感的来源#！@中国消防L中国消防的微博视频,,,中国消防,"消防员将受伤的采药老人背下山,消防员的后背是安全感的来源",0,3,3,2023-11-08 13:10,微博视频号,,"http://f.video.weibocdn.com/o0/g0rLhm5dlx089VE93t9m01041200aiPn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998595&ssig=yQSLItBkmF&KID=unistore,video",,,蓝V
