id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4936457566028816,NfiqwpimY,7079703736,吉林森林消防,【#消防员徒步28层楼为独居老人送水#】近日，河北涿州，一家住28楼的90岁独居老人由于不便下楼一度缺少饮用水等物资。正在小区清淤的消防员得知此事，拎着18.9升水徒步爬至28楼为老人送去及时水。吉林森林消防超话L吉林森林消防的微博视频,,,,消防员徒步28层楼为独居老人送水,0,0,0,2023-08-19 14:31,微博视频号,,"http://f.video.weibocdn.com/o0/I4SxQ2wLlx087V8zJY3S010412004UvI0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984986&ssig=uQXXooMA1t&KID=unistore,video",,,蓝V
4936144460975048,Nfahw45EA,3033933765,南平消防,【#消防员徒步28层楼为独居老人送水#】近日，河北涿州，因洪涝灾害部分小区停水停电，一家住28楼的90岁独居老人由于不便下楼一度缺少饮用水等物资。正在小区清淤的消防员得知此事，拎着18.9升水徒步爬至28楼为老人送去及时水。拿到物资的老人不住地感谢蓝朋友并表示麻烦到消防员很惭愧。ps：没事的老人家，一定要好好照顾自己呀~L中国消防的微博视频,,,,消防员徒步28层楼为独居老人送水,0,0,0,2023-08-18 17:46,微博视频号,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984986&ssig=Fv9DMLydMl&KID=unistore,video",,,蓝V
4936110021806614,Nf9nY7zYW,2606243004,福建消防,【#消防员徒步28层楼为独居老人送水#】近日，河北涿州，因洪涝灾害部分小区停水停电，一家住28楼的90岁独居老人由于不便下楼一度缺少饮用水等物资。正在小区清淤的消防员得知此事，拎着18.9升水徒步爬至28楼为老人送去及时水。拿到物资的老人不住地感谢蓝朋友并表示麻烦到消防员很惭愧。ps：没事的老人家，一定要好好照顾自己呀~L中国消防的微博视频,,,,消防员徒步28层楼为独居老人送水,2,14,14,2023-08-18 15:30,微博视频号,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984986&ssig=Fv9DMLydMl&KID=unistore,video",,,蓝V
4936021692909573,Nf75vccUB,3434127154,四平市消防,#消防员徒步28层楼为独居老人送水#】近日，河北涿州，因洪涝灾害部分小区停水停电，一家住28楼的90岁独居老人由于不便下楼一度缺少饮用水等物资。正在小区清淤的消防员得知此事，拎着18.9升水徒步爬至28楼为老人送去及时水。拿到物资的老人不住地感谢蓝朋友并表示麻烦到消防员很惭愧。L四平市消防的微博视频,,,,消防员徒步28层楼为独居老人送水,0,0,1,2023-08-18 09:39,微博视频号,,"http://f.video.weibocdn.com/o0/kPIjTZlOlx087TzcMu8E0104120051YX0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984986&ssig=hqgOuWjFla&KID=unistore,video",,,蓝V
4935637411824210,NeX5H7EyK,3434127154,四平市消防,【#消防员徒步28层楼为独居老人送水#】近日，河北涿州，因洪涝灾害部分小区停水停电，一家住28楼的90岁独居老人由于不便下楼一度缺少饮用水等物资。正在小区清淤的消防员得知此事，拎着18.9升水徒步爬至28楼为老人送去及时水。拿到物资的老人不住地感谢蓝朋友并表示麻烦到消防员很惭愧。ps：没事的老人家，一定要好好照顾自己呀~#消防员爬28层楼为独居老人送水#视频来源：@河畔视频L四平市消防的微博视频,,,河畔视频,"消防员徒步28层楼为独居老人送水,消防员爬28层楼为独居老人送水",0,0,0,2023-08-17 08:12,微博视频号,,"http://f.video.weibocdn.com/o0/E1KX9hnYlx087RSku39C0104120051YX0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984986&ssig=FM3TTTvMe6&KID=unistore,video",,,蓝V
4933952580879142,Nefge3GHI,2633651743,甘肃共青团,【#消防员徒步28层楼为独居老人送水#】近日，河北涿州，因洪涝灾害部分小区停水停电，一家住28楼的90岁独居老人由于不便下楼一度缺少饮用水等物资。正在小区清淤的消防员得知此事，拎着18.9升水徒步爬至28楼为老人送去及时水。拿到物资的老人不住地感谢蓝朋友并表示麻烦到消防员很惭愧。ps：没事的老人家，一定要好好照顾自己呀~L中国消防的微博视频,,,,消防员徒步28层楼为独居老人送水,1,2,2,2023-08-12 16:37,微博视频号,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984986&ssig=Fv9DMLydMl&KID=unistore,video",,,
4934597308322675,New26yV6H,2472970857,青春白银,【#消防员徒步28层楼为独居老人送水#】,,,,消防员徒步28层楼为独居老人送水,0,0,2,2023-08-14 11:19,微博网页版,,,4933952580879142,,蓝V
4934377354822625,NeqjlkeAh,2653832283,福州消防,【#消防员徒步28层楼为独居老人送水#】近日，河北涿州，因洪涝灾害部分小区停水停电，一家住28楼的90岁独居老人由于不便下楼一度缺少饮用水等物资。正在小区清淤的消防员得知此事，拎着18.9升水徒步爬至28楼为老人送去及时水。拿到物资的老人不住地感谢蓝朋友并表示麻烦到消防员很惭愧。ps：没事的老人家，一定要好好照顾自己呀~#消防员爬28层楼为独居老人送水#L中国消防的微博视频,,,,"消防员徒步28层楼为独居老人送水,消防员爬28层楼为独居老人送水",5,5,6,2023-08-13 20:45,微博视频号,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984986&ssig=Fv9DMLydMl&KID=unistore,video",,,蓝V
4934260337935986,NengBxivM,2297859895,晋中消防,【#消防员徒步28层楼为独居老人送水#】近日，河北涿州，因洪涝灾害部分小区停水停电，一家住28楼的90岁独居老人由于不便下楼一度缺少饮用水等物资。正在小区清淤的消防员得知此事，拎着18.9升水徒步爬至28楼为老人送去及时水。拿到物资的老人不住地感谢蓝朋友并表示麻烦到消防员很惭愧。ps：没事的老人家，一定要好好照顾自己呀~#消防员爬28层楼为独居老人送水#视频来源：@河畔视频L中国消防的微博视频,,,河畔视频,"消防员徒步28层楼为独居老人送水,消防员爬28层楼为独居老人送水",0,0,3,2023-08-13 13:00,微博视频号,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984986&ssig=Fv9DMLydMl&KID=unistore,video",,,蓝V
4933964206183386,NefyYpWA2,1892363205,泉州消防,【#消防员徒步28层楼为独居老人送水#】近日，河北涿州，因洪涝灾害部分小区停水停电，一家住28楼的90岁独居老人由于不便下楼一度缺少饮用水等物资。正在小区清淤的消防员得知此事，拎着18.9升水徒步爬至28楼为老人送去及时水。拿到物资的老人不住地感谢蓝朋友并表示麻烦到消防员很惭愧。ps：没事的老人家，一定要好好照顾自己呀~#消防员爬28层楼为独居老人送水#L中国消防的微博视频,,,,"消防员徒步28层楼为独居老人送水,消防员爬28层楼为独居老人送水",0,1,1,2023-08-12 17:23,HarmonyOS设备,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984986&ssig=Fv9DMLydMl&KID=unistore,video",,,蓝V
