id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5009364364563900,O3VBOj9hi,5387172075,鹤壁网信,【#消防员火场为老人救回4万多元养老钱#，老人激动送锦旗】#消防员火场救回养老钱老人送锦旗感谢#近日，广西来宾，一居民家中发生火灾，接到报警后，消防员到场成功将明火扑灭，从火场中为户主老人抢救出4万多元养老钱。为感谢消防员，老人给消防队送上锦旗！#鹤壁好网民#[赞]L新华网的微博视频,,,,"消防员火场为老人救回4万多元养老钱,消防员火场救回养老钱老人送锦旗感谢,鹤壁好网民",0,0,0,2024-03-07 18:56,iPhone客户端,,"http://f.video.weibocdn.com/o0/jQk7hQtIlx08cZr7Ql1m010412005vKb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009954&ssig=HCSPqh0nbF&KID=unistore,video",,,蓝V
5008558954908076,O3AELkAOw,6259484379,黑龙江-平安黑龙江,【秀我中国丨#消防员火场为老人救回4万多元养老钱#，老人激动送锦旗】#消防员火场救回养老钱老人送锦旗感谢#近日，广西来宾。一居民家中发生火灾，接到报警后，消防员到场成功将明火扑灭，从火场中为户主老人抢救出4万多元养老钱。为感谢消防员，老人给消防队送上锦旗！@秀我中国http://t.cn/A6YRtZU6,,,秀我中国http,"消防员火场为老人救回4万多元养老钱,消防员火场救回养老钱老人送锦旗感谢",6,2,2,2024-03-05 13:36,微博视频号,,"http://f.video.weibocdn.com/o0/jQk7hQtIlx08cZr7Ql1m010412005vKb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009954&ssig=HCSPqh0nbF&KID=unistore,video",,,蓝V
5008222689170561,O3rUoCtGh,2881221330,武侯市场监管,【秀我中国丨#消防员火场为老人救回4万多元养老钱#，老人激动送锦旗】#消防员火场救回养老钱老人送锦旗感谢#近日，广西来宾，一居民家中发生火灾，接到报警后，消防员到场成功将明火扑灭，从火场中为户主老人抢救出4万多元养老钱。为感谢消防员，老人给消防队送上锦旗！@秀我中国L新华网的微博视频,,,秀我中国,"消防员火场为老人救回4万多元养老钱,消防员火场救回养老钱老人送锦旗感谢",0,2,2,2024-03-04 15:20,微博视频号,,"http://f.video.weibocdn.com/o0/jQk7hQtIlx08cZr7Ql1m010412005vKb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009954&ssig=HCSPqh0nbF&KID=unistore,video",,,蓝V
5008219141046694,O3rOG4oia,7615077673,网信驻马店,【秀我中国丨#消防员火场为老人救回4万多元养老钱#，老人激动送锦旗】#消防员火场救回养老钱老人送锦旗感谢#近日，广西来宾，一居民家中发生火灾，接到报警后，消防员到场成功将明火扑灭，从火场中为户主老人抢救出4万多元养老钱。为感谢消防员，老人给消防队送上锦旗！L新华网的微博视频,,,,"消防员火场为老人救回4万多元养老钱,消防员火场救回养老钱老人送锦旗感谢",0,0,0,2024-03-04 15:05,微博视频号,,"http://f.video.weibocdn.com/o0/jQk7hQtIlx08cZr7Ql1m010412005vKb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009954&ssig=HCSPqh0nbF&KID=unistore,video",,,蓝V
5008213784658988,O3rG2jy0Y,5134766397,兰州市七里河区检察院,【秀我中国丨#消防员火场为老人救回4万多元养老钱#，老人激动送锦旗】#消防员火场救回养老钱老人送锦旗感谢#近日，广西来宾，一居民家中发生火灾，接到报警后，消防员到场成功将明火扑灭，从火场中为户主老人抢救出4万多元养老钱。为感谢消防员，老人给消防队送上锦旗！@秀我中国新华网的微博视频收起播放视频L新华网的微博视频,,,秀我中国,"消防员火场为老人救回4万多元养老钱,消防员火场救回养老钱老人送锦旗感谢",0,0,0,2024-03-04 14:44,微博视频号,,"http://f.video.weibocdn.com/o0/jQk7hQtIlx08cZr7Ql1m010412005vKb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009954&ssig=HCSPqh0nbF&KID=unistore,video",,,蓝V
5008149113735076,O3pZJfFFa,3439311394,全南发布,【秀我中国丨#消防员火场为老人救回4万多元养老钱#，老人激动送锦旗】#消防员火场救回养老钱老人送锦旗感谢#近日，广西来宾，一居民家中发生火灾，接到报警后，消防员到场成功将明火扑灭，从火场中为户主老人抢救出4万多元养老钱。为感谢消防员，老人给消防队送上锦旗！L新华网的微博视频,,,,"消防员火场为老人救回4万多元养老钱,消防员火场救回养老钱老人送锦旗感谢",8,9,10,2024-03-04 10:27,微博视频号,,"http://f.video.weibocdn.com/o0/jQk7hQtIlx08cZr7Ql1m010412005vKb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009954&ssig=HCSPqh0nbF&KID=unistore,video",,,蓝V
5008130941652520,O3pwq6VTy,3944104712,兴国发布,【秀我中国丨#消防员火场为老人救回4万多元养老钱#，老人激动送锦旗】#消防员火场救回养老钱老人送锦旗感谢#近日，广西来宾，一居民家中发生火灾，接到报警后，消防员到场成功将明火扑灭，从火场中为户主老人抢救出4万多元养老钱。为感谢消防员，老人给消防队送上锦旗！@秀我中国L新华网的微博视频,,,秀我中国,"消防员火场为老人救回4万多元养老钱,消防员火场救回养老钱老人送锦旗感谢",2,1,4,2024-03-04 09:15,微博视频号,,"http://f.video.weibocdn.com/o0/jQk7hQtIlx08cZr7Ql1m010412005vKb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009954&ssig=HCSPqh0nbF&KID=unistore,video",,,蓝V
5007988614237721,O3lORhMql,2710754267,知音汉阳,【秀我中国丨#消防员火场为老人救回4万多元养老钱#，老人激动送锦旗】#消防员火场救回养老钱老人送锦旗感谢#近日，广西来宾，一居民家中发生火灾，接到报警后，消防员到场成功将明火扑灭，从火场中为户主老人抢救出4万多元养老钱。为感谢消防员，老人给消防队送上锦旗！@秀我中国L新华网的微博视频,,,秀我中国,"消防员火场为老人救回4万多元养老钱,消防员火场救回养老钱老人送锦旗感谢",0,0,0,2024-03-03 23:49,微博视频号,,"http://f.video.weibocdn.com/o0/jQk7hQtIlx08cZr7Ql1m010412005vKb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009954&ssig=HCSPqh0nbF&KID=unistore,video",,,蓝V
5007946794668105,O3kJpjAo1,1274460913,吉林交通广播,【秀我中国丨#消防员火场为老人救回4万多元养老钱#，老人激动送锦旗】#消防员火场救回养老钱老人送锦旗感谢#近日，广西来宾，一居民家中发生火灾，接到报警后，消防员到场成功将明火扑灭，从火场中为户主老人抢救出4万多元养老钱。为感谢消防员，老人给消防队送上锦旗！@秀我中国L新华网的微博视频,,,秀我中国,"消防员火场为老人救回4万多元养老钱,消防员火场救回养老钱老人送锦旗感谢",0,0,0,2024-03-03 21:03,iPhone客户端,,"http://f.video.weibocdn.com/o0/jQk7hQtIlx08cZr7Ql1m010412005vKb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009954&ssig=HCSPqh0nbF&KID=unistore,video",,,蓝V
5007933785770101,O3koqod49,1403842922,琅琊新闻网,【#消防员火场为老人救回4万多元养老钱#，老人激动送锦旗】#消防员火场救回养老钱老人送锦旗感谢#近日，广西来宾，一居民家中发生火灾，接到报警后，消防员到场成功将明火扑灭，从火场中为户主老人抢救出4万多元养老钱。为感谢消防员，老人给消防队送上锦旗！L新华网的微博视频via新华网,,,,"消防员火场为老人救回4万多元养老钱,消防员火场救回养老钱老人送锦旗感谢",1,4,7,2024-03-03 20:12,微博视频号,,"http://f.video.weibocdn.com/o0/jQk7hQtIlx08cZr7Ql1m010412005vKb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009954&ssig=HCSPqh0nbF&KID=unistore,video",,,蓝V
