id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4934553397892515,NeuThx7cD,3641480321,三亚消防,【辛苦了！#消防员爬28楼为独居老人送水#】近日，河北涿州，洪涝灾害导致部分小区停水停电，一位住在28楼的90岁独居老人由于不便下楼，一度缺少饮用水等物资。正在小区清淤的消防员得知此事，扛着18.9升水徒步爬至28楼为老人送水。感谢有你！（中国消防）L中国消防的微博视频,,,,消防员爬28楼为独居老人送水,0,26,24,2023-08-14 08:24,iPhone客户端,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012247&ssig=HLR%2FSIclH%2B&KID=unistore,video",,,蓝V
4933863976206434,NecXjq2zM,5094103156,上海反邪教,【辛苦了！#消防员爬28楼为独居老人送水#】近日，河北涿州，洪涝灾害导致部分小区停水停电，一位住在28楼的90岁独居老人由于不便下楼，一度缺少饮用水等物资。正在小区清淤的消防员得知此事，扛着18.9升水徒步爬至28楼为老人送水。感谢有你！（中国消防）L中国消防的微博视频,,,,消防员爬28楼为独居老人送水,0,0,1,2023-08-12 10:45,微博视频号,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012247&ssig=HLR%2FSIclH%2B&KID=unistore,video",,,蓝V
4933862964073959,NecVGh5P1,1914880192,文汇报,【辛苦了！#消防员爬28楼为独居老人送水#】近日，河北涿州，洪涝灾害导致部分小区停水停电，一位住在28楼的90岁独居老人由于不便下楼，一度缺少饮用水等物资。正在小区清淤的消防员得知此事，扛着18.9升水徒步爬至28楼为老人送水。感谢有你！L中国消防的微博视频,,,,消防员爬28楼为独居老人送水,0,0,1,2023-08-12 10:41,微博视频号,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012247&ssig=HLR%2FSIclH%2B&KID=unistore,video",,,蓝V
4933831070583435,Nec6f2rMf,5112028857,五峰检察,【辛苦了！#消防员爬28楼为独居老人送水#】近日，河北涿州，洪涝灾害导致部分小区停水停电，一位住在28楼的90岁独居老人由于不便下楼，一度缺少饮用水等物资。正在小区清淤的消防员得知此事，扛着18.9升水徒步爬至28楼为老人送水。感谢有你！（中国消防）L中国消防的微博视频,,,,消防员爬28楼为独居老人送水,15,1,13,2023-08-12 08:34,微博视频号,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012247&ssig=HLR%2FSIclH%2B&KID=unistore,video",,,蓝V
4933821591979039,NebQX8iPZ,2621516563,咸阳日报,【辛苦了！#消防员爬28楼为独居老人送水#】近日，河北涿州，洪涝灾害导致部分小区停水停电，一位住在28楼的90岁独居老人由于不便下楼，一度缺少饮用水等物资。正在小区清淤的消防员得知此事，扛着18.9升水徒步爬至28楼为老人送水。感谢有你！via中国消防L中国消防的微博视频,,,,消防员爬28楼为独居老人送水,0,0,1,2023-08-12 07:56,微博视频号,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012247&ssig=HLR%2FSIclH%2B&KID=unistore,video",,,蓝V
4933676825842926,Ne85sow0K,7596378100,会昌融媒,【辛苦了！#消防员爬28楼为独居老人送水#】近日，河北涿州，洪涝灾害导致部分小区停水停电，一位住在28楼的90岁独居老人由于不便下楼，一度缺少饮用水等物资。正在小区清淤的消防员得知此事，扛着18.9升水徒步爬至28楼为老人送水。感谢有你！（中国消防）L中国消防的微博视频,,,,消防员爬28楼为独居老人送水,0,1,1,2023-08-11 22:21,iPhone客户端,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012247&ssig=HLR%2FSIclH%2B&KID=unistore,video",,,蓝V
4933668999275266,Ne7SPCUV4,3439488490,陕西新闻广播,【辛苦了！#消防员爬28楼为独居老人送水#】近日，河北涿州，洪涝灾害导致部分小区停水停电，一位住在28楼的90岁独居老人由于不便下楼，一度缺少饮用水等物资。正在小区清淤的消防员得知此事，扛着18.9升水徒步爬至28楼为老人送水。感谢有你！（中国消防）L中国消防的微博视频,,,,消防员爬28楼为独居老人送水,0,0,0,2023-08-11 21:50,iPhone客户端,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012247&ssig=HLR%2FSIclH%2B&KID=unistore,video",,,蓝V
4933644264675383,Ne7eWjChp,7480769346,重庆广电全媒体,【辛苦了！#消防员爬28楼为独居老人送水#】近日，河北涿州，洪涝灾害导致部分小区停水停电，一位住在28楼的90岁独居老人由于不便下楼，一度缺少饮用水等物资。正在小区清淤的消防员得知此事，扛着18.9升水徒步爬至28楼为老人送水。感谢有你！（中国消防）L中国消防的微博视频,,,,消防员爬28楼为独居老人送水,0,0,0,2023-08-11 20:11,微博视频号,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012248&ssig=xMi2mIDJlD&KID=unistore,video",,,蓝V
4933644155619119,Ne7eLnzMX,2164096520,成都交通文艺广播,【辛苦了！#消防员爬28楼为独居老人送水#】近日，河北涿州，洪涝灾害导致部分小区停水停电，一位住在28楼的90岁独居老人由于不便下楼，一度缺少饮用水等物资。正在小区清淤的消防员得知此事，扛着18.9升水徒步爬至28楼为老人送水。感谢有你！（中国消防）L中国消防的微博视频,,,,消防员爬28楼为独居老人送水,0,0,0,2023-08-11 20:11,iPhone客户端,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012248&ssig=xMi2mIDJlD&KID=unistore,video",,,蓝V
4933643124084023,Ne7d6h8rl,2700123060,天水云视线,#数字传播#【辛苦了！#消防员爬28楼为独居老人送水#】近日，河北涿州，洪涝灾害导致部分小区停水停电，一位住在28楼的90岁独居老人由于不便下楼，一度缺少饮用水等物资。正在小区清淤的消防员得知此事，扛着18.9升水徒步爬至28楼为老人送水。感谢有你！（中国消防）#把青春华章写在祖国大地上#L中国消防的微博视频,,,,"数字传播,消防员爬28楼为独居老人送水,把青春华章写在祖国大地上",0,0,0,2023-08-11 20:07,微博视频号,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012248&ssig=xMi2mIDJlD&KID=unistore,video",,,蓝V
4933642151272072,Ne7bx5kVi,2748597475,中国青年网,【辛苦了！#消防员爬28楼为独居老人送水#】近日，河北涿州，洪涝灾害导致部分小区停水停电，一位住在28楼的90岁独居老人由于不便下楼，一度缺少饮用水等物资。正在小区清淤的消防员得知此事，扛着18.9升水徒步爬至28楼为老人送水。感谢有你！（中国消防）#把青春华章写在祖国大地上#L中国消防的微博视频,,,,"消防员爬28楼为独居老人送水,把青春华章写在祖国大地上",4,2,8,2023-08-11 20:03,微博视频号,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012248&ssig=xMi2mIDJlD&KID=unistore,video",,,蓝V
4933641027460209,Ne79IviJX,3604378011,中国新闻社,【辛苦了！#消防员爬28楼为独居老人送水#】近日，河北涿州，洪涝灾害导致部分小区停水停电，一位住在28楼的90岁独居老人由于不便下楼，一度缺少饮用水等物资。正在小区清淤的消防员得知此事，扛着18.9升水徒步爬至28楼为老人送水。感谢有你！（中国消防）L中国消防的微博视频,,,,消防员爬28楼为独居老人送水,0,0,3,2023-08-11 19:59,微博视频号,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012248&ssig=xMi2mIDJlD&KID=unistore,video",,,蓝V
4933635574340073,Ne70Vid3b,3153465505,攀枝花消防,【辛苦了！#消防员爬28楼为独居老人送水#】近日，河北涿州，洪涝灾害导致部分小区停水停电，一位住在28楼的90岁独居老人由于不便下楼，一度缺少饮用水等物资。正在小区清淤的消防员得知此事，扛着18.9升水徒步爬至28楼为老人送水。感谢有你！（中国消防）L中国消防的微博视频,,,,消防员爬28楼为独居老人送水,0,0,1,2023-08-11 19:37,微博视频号,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012248&ssig=xMi2mIDJlD&KID=unistore,video",,,蓝V
4933635071018384,Ne7074gVy,1784473157,中国新闻网,【辛苦了！#消防员爬28楼为独居老人送水#】近日，河北涿州，洪涝灾害导致部分小区停水停电，一位住在28楼的90岁独居老人由于不便下楼，一度缺少饮用水等物资。正在小区清淤的消防员得知此事，扛着18.9升水徒步爬至28楼为老人送水。感谢有你！（中国消防）L中国消防的微博视频,,,,消防员爬28楼为独居老人送水,9,12,73,2023-08-11 19:35,微博视频号,,"http://f.video.weibocdn.com/o0/vNB4tk6tlx087IU0Mudy010412004GGl0E010.mp4?label=mp4_ld&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012248&ssig=xMi2mIDJlD&KID=unistore,video",,,蓝V
