id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4549944486661455,JkXhCrWWP,6529433478,光北啊我是你落下的零食啊,#淘汰的手机给老人用合适吗#我想用旧手机给我爸新的，但是他不喜欢，他就想要我的旧手机。因为他觉得那是iphone，看上去高端一点。。。。。,,,,淘汰的手机给老人用合适吗,0,0,0,2020-09-17 00:46,nova7你在焦点在,,,,,普通用户
4546655288566360,JjzIszWv6,5819785329,可以戳你酒窝吗-,#人类幼崽的梦想有多可爱##小小年纪就活出社畜的辛酸##哪些歌词是后来才听懂的##惊艳民国造型大赏##明星的游戏ID是什么##水果硬糖妆##多肉乌龙青提沙##前任加回你会通过吗##秃头星人自救指南##以家人之名番外续写大赛##年纪太小有必要化妆吗##淘汰的手机给老人用合适吗##你镜头下最美的秋天##小朋友迷惑行为鉴赏##女生会和你吵架的真实原因##如何说服自己坚持上班##开学后的真实写照##那些陪伴你童年的动画片#,,,,"人类幼崽的梦想有多可爱,小小年纪就活出社畜的辛酸,哪些歌词是后来才听懂的,惊艳民国造型大赏,明星的游戏ID是什么,水果硬糖妆,多肉乌龙青提沙,前任加回你会通过吗,秃头星人自救指南,以家人之名番外续写大赛,年纪太小有必要化妆吗,淘汰的手机给老人用合适吗,你镜头下最美的秋天,小朋友迷惑行为鉴赏,女生会和你吵架的真实原因,如何说服自己坚持上班,开学后的真实写照,那些陪伴你童年的动画片",0,0,0,2020-09-07 22:55,啊淼的Android,https://wx4.sinaimg.cn/large/006lRe1jgy1giih9bnuulj33sm2whkjm.jpg,,,,黄V
4546647411396302,JjzvL5Rf0,6148900636,清洛月寒枫,#淘汰的手机给老人用合适吗#,,,,淘汰的手机给老人用合适吗,0,0,0,2020-09-07 22:24,荣耀8青春版 颜值担当,,,,,黄V
4546646605562425,Jjzusnl2x,2256796493,背着吉他挖土豆,#淘汰的手机给老人用合适吗#,,,,淘汰的手机给老人用合适吗,0,0,0,2020-09-07 22:21,OPPO超视野全面屏R15,,,,,普通用户
4546646236993070,JjztRtlds,5545926157,喜你为疾A-,#淘汰的手机给老人用合适吗#,,,,淘汰的手机给老人用合适吗,0,0,0,2020-09-07 22:19,vivo 全新水滴屏手机,,,,,普通用户
4546645725292117,Jjzt2mcIJ,7457568423,RIGHTEST瑞特,#淘汰的手机给老人用合适吗#新旧手机不重要，适合自己的才是最好的。不如康康Mr.Right家的这个血糖仪，送爸妈再合适不过，手抖也一样稳！,,,,淘汰的手机给老人用合适吗,0,0,0,2020-09-07 22:17,iPhone客户端,,,,,蓝V
4546645293009478,JjzslcCTY,6873383302,素_俭5209,#淘汰的手机给老人用合适吗#,,,,淘汰的手机给老人用合适吗,0,0,0,2020-09-07 22:16,OPPO智能手机,,,,,普通用户
4546644279042977,JjzqHBWut,2268582845,A奔腾779,#淘汰的手机给老人用合适吗#,,,,淘汰的手机给老人用合适吗,0,0,0,2020-09-07 22:12,OPPO智能手机,,,,,普通用户
4546643133995711,JjzoRgLsX,1800237667,小号不营业,#淘汰的手机给老人用合适吗#,,,,淘汰的手机给老人用合适吗,0,0,0,2020-09-07 22:07,iPhone客户端,,,,,普通用户
4546643054297591,JjzoJi1ZZ,1790002931,JAYCNWL,#淘汰的手机给老人用合适吗#,,,,淘汰的手机给老人用合适吗,0,0,0,2020-09-07 22:07,OnePlus 5T,,,,,普通用户
4546641145890226,JjzlEoIjE,3153269271,手机用户3153269271,#淘汰的手机给老人用合适吗#,,,,淘汰的手机给老人用合适吗,0,0,0,2020-09-07 21:59,OPPO智能手机,,,,,普通用户
4546639731624012,Jjzjn6OtK,5676253333,小兔纸_乖乖21,#淘汰的手机给老人用合适吗#好了,,,,淘汰的手机给老人用合适吗,0,0,0,2020-09-07 21:54,iPhone客户端,,,,,普通用户
4546638179483978,JjzgRDNdo,2743898403,炜爱自己,#淘汰的手机给老人用合适吗#,,,,淘汰的手机给老人用合适吗,0,0,0,2020-09-07 21:47,OPPO R11s Plus,,,,,普通用户
