id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4582748129592875,JyIEIEfxN,3300716723,深圳吃喝玩乐fun,【#深圳7旬老人疑因抑郁19楼坠亡#，小区保洁：女儿从老家接他来看病】12月14日，广东深圳。早上9时许一名7旬的老人从19楼坠落到地面花丛中当场身亡。从视频中可以看到，老人从19层走廊掉落，身体先后与建筑雨棚刮碰，随后重重撞击地面。邻居们表示，老人平时腿脚不太好坐轮椅，听说是患了抑郁症，所以产生轻生念头。目前，老人坠楼的具体原因正在进一步调查中。O网页链接,,,,深圳7旬老人疑因抑郁19楼坠亡,0,0,0,2020-12-16 13:16,微博视频号,,,,,黄V
4582738948265823,JyIpUyGjJ,1764406347,智趣威虎山,"7旬老人疑因抑郁从19楼坠亡,当今的老人到底是幸福还是不幸?12月14日，广东深圳。早上9时许一名7旬的老人从19楼坠落到地面花丛中当场身亡。从视频中可以看到，老人从19层走廊掉落，身体先后与建筑雨棚刮碰，随后重重撞击地面。#深圳7旬老人疑因抑郁19楼坠亡#O7旬老人疑因抑郁从19楼坠亡,当今的老人到底是幸福还是不幸?",,,,深圳7旬老人疑因抑郁19楼坠亡,0,4,6,2020-12-16 12:39,,https://wx4.sinaimg.cn/large/692ab44bgy1glplenqq8jj20u00u0juv.jpg,,,,红V
4582702773438597,JyHtzeqxf,6617001102,深圳热点事儿,【#深圳7旬老人疑因抑郁19楼坠亡#，小区保洁：女儿从老家接他来看病】12月14日，广东深圳。早上9时许一名7旬的老人从19楼坠落到地面花丛中当场身亡。从视频中可以看到，老人从19层走廊掉落，身体先后与建筑雨棚刮碰，随后重重撞击地面。邻居们表示，老人平时腿脚不太好坐轮椅，听说是患了抑郁症，所以产生轻生念头。目前，老人坠楼的具体原因正在进一步调查中。#深圳身边事#O网页链接,,,,"深圳7旬老人疑因抑郁19楼坠亡,深圳身边事",0,0,1,2020-12-16 10:15,HUAWEI P30,,,,,普通用户
4582698292610386,JyHmlaX50,7360601603,祭祀文化官网,【#深圳7旬老人疑因抑郁19楼坠亡#，小区保洁：女儿从老家接他来看病】12月14日，广东深圳。早上9时许一名7旬的老人从19楼坠落到地面花丛中当场身亡。从视频中可以看到，老人从19层走廊掉落，身体先后与建筑雨棚刮碰，随后重重撞击地面。邻居们表示，老人平时腿脚不太好坐轮椅，听说是患了抑郁症，所以产生轻生念头。目前，老人坠楼的具体原因正在进一步调查中。O网页链接,,,,深圳7旬老人疑因抑郁19楼坠亡,0,0,0,2020-12-16 09:57,微博视频号,,,,,普通用户
4582686959600130,JyH43EhqO,3936801022,渝北法院,【#深圳7旬老人疑因抑郁19楼坠亡#，小区保洁：女儿从老家接他来看病】12月14日，广东深圳。早上9时许一名7旬的老人从19楼坠落到地面花丛中当场身亡。从视频中可以看到，老人从19层走廊掉落，身体先后与建筑雨棚刮碰，随后重重撞击地面。邻居们表示，老人平时腿脚不太好坐轮椅，听说是患了抑郁症，所以产生轻生念头。目前，老人坠楼的具体原因正在进一步调查中。O网页链接,,,,深圳7旬老人疑因抑郁19楼坠亡,3,0,1,2020-12-16 09:12,微博视频号,,,,,蓝V
4582654273391342,JyGdleef4,2472771000,襄阳校园,【#深圳7旬老人疑因抑郁19楼坠亡#，小区保洁：女儿从老家接他来看病】12月14日，广东深圳。早上9时许一名7旬的老人从19楼坠落到地面花丛中当场身亡。从视频中可以看到，老人从19层走廊掉落，身体先后与建筑雨棚刮碰，随后重重撞击地面。邻居们表示，老人平时腿脚不太好坐轮椅，听说是患了抑郁症，所以产生轻生念头。目前，老人坠楼的具体原因正在进一步调查中。#社会科学#O网页链接,,,,"深圳7旬老人疑因抑郁19楼坠亡,社会科学",6,0,6,2020-12-16 07:03,微博视频号,,,,,黄V
4582524800739429,JyCQw36mh,7513987074,星空蹦哒熊,【#深圳7旬老人疑因抑郁19楼坠亡#，小区保洁：女儿从老家接他来看病】12月14日，广东深圳。早上9时许一名7旬的老人从19楼坠落到地面花丛中当场身亡。从视频中可以看到，老人从19层走廊掉落，身体先后与建筑雨棚刮碰，随后重重撞击地面。邻居们表示，老人平时腿脚不太好坐轮椅，听说是患了抑郁症，所以产生轻生念头。目前，老人坠楼的具体原因正在进一步调查中。O网页链接,,,,深圳7旬老人疑因抑郁19楼坠亡,0,1,2,2020-12-15 22:28,深圳爆料超话,,,,,普通用户
4582516343966694,JyCCSgDUW,5816161945,北京大峰峰,【#深圳7旬老人疑因抑郁19楼坠亡#，小区保洁：女儿从老家接他来看病】12月14日，广东深圳。早上9时许一名7旬的老人从19楼坠落到地面花丛中当场身亡。从视频中可以看到，老人从19层走廊掉落，身体先后与建筑雨棚刮碰，随后重重撞击地面。邻居们表示，老人平时腿脚不太好坐轮椅，听说是患了抑郁症，所以产生轻生念头。目前，老人坠楼的具体原因正在进一步调查中。O网页链接,,,,深圳7旬老人疑因抑郁19楼坠亡,0,0,2,2020-12-15 21:54,北通州Android,,,,,金V
4582461965599559,JyBdanuHt,1617416704,湖北经典音乐广播,【#深圳7旬老人疑因抑郁19楼坠亡#，小区保洁：女儿从老家接他来看病】12月14日，广东深圳。早上9时许一名7旬的老人从19楼坠落到地面花丛中当场身亡。从视频中可以看到，老人从19层走廊掉落，身体先后与建筑雨棚刮碰，随后重重撞击地面。邻居们表示，老人平时腿脚不太好坐轮椅，听说是患了抑郁症，所以产生轻生念头。目前，老人坠楼的具体原因正在进一步调查中。O网页链接,,,,深圳7旬老人疑因抑郁19楼坠亡,0,0,1,2020-12-15 18:18,微博视频号,,,,,蓝V
4582457229711665,JyB5wEKrL,1191965271,三联生活周刊,【#深圳7旬老人疑因抑郁19楼坠亡#，小区保洁：女儿从老家接他来看病】12月14日，广东深圳。早上9时许一名7旬的老人从19楼坠落到地面花丛中当场身亡。从视频中可以看到，老人从19层走廊掉落，身体先后与建筑雨棚刮碰，随后重重撞击地面。邻居们表示，老人平时腿脚不太好坐轮椅，听说是患了抑郁症，所以产生轻生念头。目前，老人坠楼的具体原因正在进一步调查中。O网页链接,,,,深圳7旬老人疑因抑郁19楼坠亡,10,63,755,2020-12-15 18:00,微博视频号,,,,,蓝V
4582457002691662,JyB5abidU,6246534905,妖丨魔双城记,#广东身边事#【#深圳7旬老人疑因抑郁19楼坠亡#，小区保洁：女儿从老家接他来看病】12月14日，广东深圳。早上9时许一名7旬的老人从19楼坠落到地面花丛中当场身亡。从视频中可以看到，老人从19层走廊掉落，身体先后与建筑雨棚刮碰，随后重重撞击地面。邻居们表示，老人平时腿脚不太好坐轮椅，听说是患了抑郁症，所以产生轻生念头。目前，老人坠楼的具体原因正在进一步调查中。O网页链接,,,,"广东身边事,深圳7旬老人疑因抑郁19楼坠亡",0,1,0,2020-12-15 17:59,iPhone客户端,,,,,普通用户
4582446379308372,JyAO1D3x2,5303222006,创新Video,#深圳身边事#【#深圳7旬老人疑因抑郁19楼坠亡#】12月14日，广东深圳。早上9时许一名7旬的老人从19楼坠落到地面花丛中当场身亡。从视频中可以看到，老人从19层走廊掉落，身体先后与建筑雨棚刮碰，随后重重撞击地面。邻居们表示，老人平时腿脚不太好坐轮椅，听说是患了抑郁症，所以产生轻生念头。目前，老人坠楼的具体原因正在进一步调查中。O网页链接@漩涡视频,,,漩涡视频,"深圳身边事,深圳7旬老人疑因抑郁19楼坠亡",0,5,3,2020-12-15 17:16,新鲜事播报iPhone客户端,,,,,黄V
4582441974762221,JyAGVjYS1,1269589463,深圳人说深圳事,深圳身边事超话【#深圳7旬老人疑因抑郁19楼坠亡#，小区保洁：女儿从老家接他来看病】12月14日，广东深圳。早上9时许一名7旬的老人从19楼坠落到地面花丛中当场身亡。从视频中可以看到，老人从19层走廊掉落，身体先后与建筑雨棚刮碰，随后重重撞击地面。邻居们表示，老人平时腿脚不太好坐轮椅，听说是患了抑郁症，所以产生轻生念头。目前，老人坠楼的具体原因正在进一步调查中。O网页链接,,深圳·梅林,,深圳7旬老人疑因抑郁19楼坠亡,0,1,0,2020-12-15 16:59,深圳身边事超话,,,,,黄V
4582429916405943,JyAntqStF,5558990115,湛泸剑,【#深圳7旬老人疑因抑郁19楼坠亡#，小区保洁：女儿从老家接他来看病】12月14日，广东深圳。早上9时许一名7旬的老人从19楼坠落到地面花丛中当场身亡。从视频中可以看到，老人从19层走廊掉落，身体先后与建筑雨棚刮碰，随后重重撞击地面。邻居们表示，老人平时腿脚不太好坐轮椅，听说是患了抑郁症，所以产生轻生念头。目前，老人坠楼的具体原因正在进一步调查中。O网页链接（@漩涡视频）,,,漩涡视频,深圳7旬老人疑因抑郁19楼坠亡,1,1,1,2020-12-15 16:11,微博视频号,,,,,红V
