id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5024892983968220,OarzYgEjy,7313242117,深度视频,【#为何有些人老了反而会疯狂追爱#】#渴望爱情的老年人有错吗#前段时间，一则新闻引发热议。北京的蒋女士，突然发现71岁的姥姥“恋爱”了：她每天都会给对方发几十条语音，经常捧着手机，对着屏幕呵呵笑。但让蒋女士大跌眼镜的，是姥姥的恋爱对象：“他”不是人，而是订阅号。那个账号的封面是用AI合成的中年男人，经常发一些深情款款的文章，把读者称为“姐姐”。姥姥信以为真，以为手机那头真有个“弟弟”，天天和自己说心里话。蒋女士的姥爷已经去世20多年，这些年姥姥都过得很孤单。如今，面对“弟弟”的温柔攻势，她哪里能招架得住？一些网友甚至嘲笑姥姥“老来思春”，有恋爱妄想症。或许，在多数人眼里，老了还谈恋爱，荒唐又可笑。可人到暮年，难道就不能追求爱情吗？老年人炽热的爱背后，有太多隐秘的角落，被人们忽视了。（读者）O“71岁老人疯狂追爱”被嘲：人老了还渴望爱情，有错吗？,,,,"为何有些人老了反而会疯狂追爱,渴望爱情的老年人有错吗",0,0,0,2024-04-19 15:21,微博网页版,,,,,蓝V
5024834596375354,Oaq3NqKwi,3744217924,星球财经,【#为何有些人老了反而会疯狂追爱#】#渴望爱情的老年人有错吗#前段时间，一则新闻引发热议。北京的蒋女士，突然发现71岁的姥姥“恋爱”了：她每天都会给对方发几十条语音，经常捧着手机，对着屏幕呵呵笑。但让蒋女士大跌眼镜的，是姥姥的恋爱对象：“他”不是人，而是订阅号。那个账号的封面是用AI合成的中年男人，经常发一些深情款款的文章，把读者称为“姐姐”。姥姥信以为真，以为手机那头真有个“弟弟”，天天和自己说心里话。蒋女士的姥爷已经去世20多年，这些年姥姥都过得很孤单。如今，面对“弟弟”的温柔攻势，她哪里能招架得住？一些网友甚至嘲笑姥姥“老来思春”，有恋爱妄想症。或许，在多数人眼里，老了还谈恋爱，荒唐又可笑。可人到暮年，难道就不能追求爱情吗？老年人炽热的爱背后，有太多隐秘的角落，被人们忽视了。（读者）O“71岁老人疯狂追爱”被嘲：人老了还渴望爱情，有错吗？,,,,"为何有些人老了反而会疯狂追爱,渴望爱情的老年人有错吗",0,0,0,2024-04-19 11:29,微博网页版,,,,,蓝V
5024760446844982,Oao8csIGW,7583193503,西夏女兵步步生莲,【#为何有些人老了反而会疯狂追爱#】，太正常了。中国对婚姻千百年来的传承态度，很多都是无爱婚姻，也就是说这部分人大多数是在婚姻中没有感受到爱或者是丧偶的人，不是说他们没有爱，而是没有被激发出来罢了，一旦碰到燃点，如来自异性的关心关爱，肯定会被引爆的。#渴望爱情的老年人有错吗#？个人以为没错。,,,,"为何有些人老了反而会疯狂追爱,渴望爱情的老年人有错吗",0,7,6,2024-04-19 06:35,HUAWEI P60 Pro,,,,,黄V
5024647386499732,OalbQrgSo,6083245339,贵溪发布,【#为何有些人老了反而会疯狂追爱#】#渴望爱情的老年人有错吗#前段时间，一则新闻引发热议。北京的蒋女士，突然发现71岁的姥姥“恋爱”了：她每天都会给对方发几十条语音，经常捧着手机，对着屏幕呵呵笑。但让蒋女士大跌眼镜的，是姥姥的恋爱对象：“他”不是人，而是订阅号。那个账号的封面是用AI合成的中年男人，经常发一些深情款款的文章，把读者称为“姐姐”。姥姥信以为真，以为手机那头真有个“弟弟”，天天和自己说心里话。蒋女士的姥爷已经去世20多年，这些年姥姥都过得很孤单。如今，面对“弟弟”的温柔攻势，她哪里能招架得住？一些网友甚至嘲笑姥姥“老来思春”，有恋爱妄想症。或许，在多数人眼里，老了还谈恋爱，荒唐又可笑。可人到暮年，难道就不能追求爱情吗？老年人炽热的爱背后，有太多隐秘的角落，被人们忽视了。（读者）O“71岁老人疯狂追爱”被嘲：人老了还渴望爱情，有错吗？,,,,"为何有些人老了反而会疯狂追爱,渴望爱情的老年人有错吗",6,0,5,2024-04-18 23:05,微博网页版,,,,,蓝V
5024641264126712,Oal1YhjxS,7367840589,晨观视频,【#为何有些人老了反而会疯狂追爱#】#渴望爱情的老年人有错吗#前段时间，一则新闻引发热议。北京的蒋女士，突然发现71岁的姥姥“恋爱”了：她每天都会给对方发几十条语音，经常捧着手机，对着屏幕呵呵笑。但让蒋女士大跌眼镜的，是姥姥的恋爱对象：“他”不是人，而是订阅号。那个账号的封面是用AI合成的中年男人，经常发一些深情款款的文章，把读者称为“姐姐”。姥姥信以为真，以为手机那头真有个“弟弟”，天天和自己说心里话。蒋女士的姥爷已经去世20多年，这些年姥姥都过得很孤单。如今，面对“弟弟”的温柔攻势，她哪里能招架得住？一些网友甚至嘲笑姥姥“老来思春”，有恋爱妄想症。或许，在多数人眼里，老了还谈恋爱，荒唐又可笑。可人到暮年，难道就不能追求爱情吗？老年人炽热的爱背后，有太多隐秘的角落，被人们忽视了。（读者）O“71岁老人疯狂追爱”被嘲：人老了还渴望爱情，有错吗？,,,,"为何有些人老了反而会疯狂追爱,渴望爱情的老年人有错吗",0,0,0,2024-04-18 22:41,iPhone客户端,,,,,蓝V
5024638497194769,OakXvubGF,7516679696,九派新闻,【#为何有些人老了反而会疯狂追爱#】#渴望爱情的老年人有错吗#前段时间，一则新闻引发热议。北京的蒋女士，突然发现71岁的姥姥“恋爱”了：她每天都会给对方发几十条语音，经常捧着手机，对着屏幕呵呵笑。但让蒋女士大跌眼镜的，是姥姥的恋爱对象：“他”不是人，而是订阅号。那个账号的封面是用AI合成的中年男人，经常发一些深情款款的文章，把读者称为“姐姐”。姥姥信以为真，以为手机那头真有个“弟弟”，天天和自己说心里话。蒋女士的姥爷已经去世20多年，这些年姥姥都过得很孤单。如今，面对“弟弟”的温柔攻势，她哪里能招架得住？一些网友甚至嘲笑姥姥“老来思春”，有恋爱妄想症。或许，在多数人眼里，老了还谈恋爱，荒唐又可笑。可人到暮年，难道就不能追求爱情吗？老年人炽热的爱背后，有太多隐秘的角落，被人们忽视了。（读者）O“71岁老人疯狂追爱”被嘲：人老了还渴望爱情，有错吗？,,,,"为何有些人老了反而会疯狂追爱,渴望爱情的老年人有错吗",1,0,1,2024-04-18 22:30,iPhone客户端,,,,,蓝V
5024635575607231,OakSNnwHd,6418480627,星视频,【#为何有些人老了反而会疯狂追爱#】#渴望爱情的老年人有错吗#前段时间，一则新闻引发热议。北京的蒋女士，突然发现71岁的姥姥“恋爱”了：她每天都会给对方发几十条语音，经常捧着手机，对着屏幕呵呵笑。但让蒋女士大跌眼镜的，是姥姥的恋爱对象：“他”不是人，而是订阅号。那个账号的封面是用AI合成的中年男人，经常发一些深情款款的文章，把读者称为“姐姐”。姥姥信以为真，以为手机那头真有个“弟弟”，天天和自己说心里话。蒋女士的姥爷已经去世20多年，这些年姥姥都过得很孤单。如今，面对“弟弟”的温柔攻势，她哪里能招架得住？一些网友甚至嘲笑姥姥“老来思春”，有恋爱妄想症。或许，在多数人眼里，老了还谈恋爱，荒唐又可笑。可人到暮年，难道就不能追求爱情吗？老年人炽热的爱背后，有太多隐秘的角落，被人们忽视了。（读者）O“71岁老人疯狂追爱”被嘲：人老了还渴望爱情，有错吗？,,,,"为何有些人老了反而会疯狂追爱,渴望爱情的老年人有错吗",2,2,11,2024-04-18 22:18,微博网页版,,,,,蓝V
5024624314161633,OakADhsD7,2318910945,新浪热点,【小调查：你觉得人老之后还能遇到爱情吗？】#为何有些人老了反而会疯狂追爱##渴望爱情的老年人有错吗#你觉得人老之后还能追求爱情吗？,,,,"为何有些人老了反而会疯狂追爱,渴望爱情的老年人有错吗",35,80,4874,2024-04-18 21:34,微博网页版,,,,,蓝V
5024619263692325,OaksufuxD,7750956318,看潮流,【#为何有些人老了反而会疯狂追爱#】#渴望爱情的老年人有错吗#前段时间，一则新闻引发热议。北京的蒋女士，突然发现71岁的姥姥“恋爱”了：她每天都会给对方发几十条语音，经常捧着手机，对着屏幕呵呵笑。但让蒋女士大跌眼镜的，是姥姥的恋爱对象：“他”不是人，而是订阅号。那个账号的封面是用AI合成的中年男人，经常发一些深情款款的文章，把读者称为“姐姐”。姥姥信以为真，以为手机那头真有个“弟弟”，天天和自己说心里话。蒋女士的姥爷已经去世20多年，这些年姥姥都过得很孤单。如今，面对“弟弟”的温柔攻势，她哪里能招架得住？一些网友甚至嘲笑姥姥“老来思春”，有恋爱妄想症。或许，在多数人眼里，老了还谈恋爱，荒唐又可笑。可人到暮年，难道就不能追求爱情吗？老年人炽热的爱背后，有太多隐秘的角落，被人们忽视了。还记得网红“秀才”吗？凭借半永久的笑容和标志性的舔唇、捂嘴、挑眉的动作，曾在网上俘获千万中老年粉丝的芳心。有阿姨坐火车跨越1700公里，只为见他一面。然而，网上的追爱行为有多狂热，现实里的感情生活就有多贫瘠。大多数阿姨，要么早年丧夫，要么夫妻不睦。她们这一生，没有尝过爱情的滋味，所以才会对一个虚妄的男人，投射自己的感情。老人们对爱的渴望，本质上是对孤独与死亡的强烈恐惧。人至暮年，渴望爱与陪伴，是人之常情，也是生命的本能。没有谁愿意独自面对病痛和死神，也没有谁愿意一个人走到生命的终点。每个人，都会有老去的一天。给老人多一些理解和宽容，不仅是对他们的关怀，也是让未来的自己，有平等表达爱与被爱的自由。（读者）O“71岁老人疯狂追爱”被嘲：人老了还渴望爱情，有错吗？,,,,"为何有些人老了反而会疯狂追爱,渴望爱情的老年人有错吗",0,0,0,2024-04-18 21:14,微博发布平台专业版,,,,,黄V
5024619263689608,OaksuftPO,6724296556,新浪民生,【#为何有些人老了反而会疯狂追爱#】#渴望爱情的老年人有错吗#前段时间，一则新闻引发热议。北京的蒋女士，突然发现71岁的姥姥“恋爱”了：她每天都会给对方发几十条语音，经常捧着手机，对着屏幕呵呵笑。但让蒋女士大跌眼镜的，是姥姥的恋爱对象：“他”不是人，而是订阅号。那个账号的封面是用AI合成的中年男人，经常发一些深情款款的文章，把读者称为“姐姐”。姥姥信以为真，以为手机那头真有个“弟弟”，天天和自己说心里话。蒋女士的姥爷已经去世20多年，这些年姥姥都过得很孤单。如今，面对“弟弟”的温柔攻势，她哪里能招架得住？一些网友甚至嘲笑姥姥“老来思春”，有恋爱妄想症。或许，在多数人眼里，老了还谈恋爱，荒唐又可笑。可人到暮年，难道就不能追求爱情吗？老年人炽热的爱背后，有太多隐秘的角落，被人们忽视了。还记得网红“秀才”吗？凭借半永久的笑容和标志性的舔唇、捂嘴、挑眉的动作，曾在网上俘获千万中老年粉丝的芳心。有阿姨坐火车跨越1700公里，只为见他一面。然而，网上的追爱行为有多狂热，现实里的感情生活就有多贫瘠。大多数阿姨，要么早年丧夫，要么夫妻不睦。她们这一生，没有尝过爱情的滋味，所以才会对一个虚妄的男人，投射自己的感情。老人们对爱的渴望，本质上是对孤独与死亡的强烈恐惧。人至暮年，渴望爱与陪伴，是人之常情，也是生命的本能。没有谁愿意独自面对病痛和死神，也没有谁愿意一个人走到生命的终点。每个人，都会有老去的一天。给老人多一些理解和宽容，不仅是对他们的关怀，也是让未来的自己，有平等表达爱与被爱的自由。（读者）O“71岁老人疯狂追爱”被嘲：人老了还渴望爱情，有错吗？,,,,"为何有些人老了反而会疯狂追爱,渴望爱情的老年人有错吗",0,0,0,2024-04-18 21:14,微博发布平台专业版,,,,,蓝V
