id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4686348717917109,KAek7xdBj,5997314769,夜幕下的美凌格,【中字】卡特谈湖人老龄化：——“我喜欢沃格尔关于球队老龄化的言论，一个球员他对价值不局限于他的年龄，球员越老越懂得自己该干什么。”#湖人主教练谈阵容老龄化##金牌译制#L湖人官网的微博视频,,,,"湖人主教练谈阵容老龄化,金牌译制",0,0,0,2021-09-28 10:27,微博视频号,,"http://f.video.weibocdn.com/002GGmOugx07Q6anO0F101041200pApC0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009413&ssig=%2BZiinRjXlH&KID=unistore,video",,,黄V
4685347042365099,KzOgw9VgL,5997314769,夜幕下的美凌格,【中字】卡特谈湖人老龄化：——“我喜欢沃格尔关于球队老龄化的言论，一个球员他对价值不局限于他的年龄，球员越老越懂得自己该干什么。”#湖人主教练谈阵容老龄化##金牌译制#L湖人官网的微博视频,,,,"湖人主教练谈阵容老龄化,金牌译制",0,0,0,2021-09-25 16:07,微博视频号,,"http://f.video.weibocdn.com/002GGmOugx07Q6anO0F101041200pApC0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009413&ssig=%2BZiinRjXlH&KID=unistore,video",,,黄V
4685341112143714,KzO6X8ZG2,6456472881,洛观体育,【中字】卡特谈湖人老龄化：——“我喜欢沃格尔关于球队老龄化的言论，一个球员他对价值不局限于他的年龄，球员越老越懂得自己该干什么。”#湖人主教练谈阵容老龄化##nba吐槽大会#L洛观篮球的微博视频,,,,"湖人主教练谈阵容老龄化,nba吐槽大会",0,0,12,2021-09-25 15:43,NBA超话,,"http://f.video.weibocdn.com/002aGqHqgx07Q6eBKAnt01041200pD990E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009413&ssig=bp8QBua8tM&KID=unistore,video",,,普通用户
4684569044850217,Kzu1GklLj,2205169727,相信篮球,【湖人主教练谈休赛期引援-中字】沃格尔：“我参与很多，能够引进威少我非常兴奋，这是一位终极斗士，他想要总冠军，他有能力得到总冠军；”——“这群加盟湖人的球员们都做出了牺牲，因为他们想要总冠军，而跟湖人三巨头一起打球很有机会得到它。”#湖人主教练谈阵容老龄化##金牌译制#L洛城篮球的微博视频,,,,"湖人主教练谈阵容老龄化,金牌译制",2,2,26,2021-09-23 12:35,洛杉矶湖人超话,,"http://f.video.weibocdn.com/004dEd1Qgx07Q2PU3bmL01041200e1eO0E010.mp4?label=mp4_hd&template=720x410.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009413&ssig=1%2B1NF1VXtX&KID=unistore,video",,,红V
4684568395778489,Kzu0Doffr,5408596403,这把湖了,【中字】沃格尔谈休赛期引援：“我参与很多，能够引进威少我非常兴奋，这是一位终极斗士，他想要总冠军，他有能力得到总冠军；”——“这群加盟湖人的球员们都做出了牺牲，因为他们想要总冠军，而跟湖人三巨头一起打球很有机会得到它。”#湖人主教练谈阵容老龄化##金牌译制#L湖人中文网的微博视频,,,,"湖人主教练谈阵容老龄化,金牌译制",2,2,38,2021-09-23 12:33,洛杉矶湖人超话,,"http://f.video.weibocdn.com/001w7sqfgx07Q2PIOWBW01041200e1j20E010.mp4?label=mp4_hd&template=720x410.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009413&ssig=HRpUGV4JVO&KID=unistore,video",,,红V
4684561033987062,KztOLgJds,6364463668,篮球记事本,#湖人主教练谈阵容老龄化#在接受采访时，湖人主帅沃格尔再次谈到了阵容老龄化的问题：“我们会把外界的看法当成动力，湖人依然是很出色的队伍。”网友神评：最美不过夕阳红#NBA#,,,,"湖人主教练谈阵容老龄化,NBA",0,0,0,2021-09-23 12:04,微博 weibo.com,https://wx1.sinaimg.cn/large/006WIDJOly1guqf96pjhej60tz0gtwh402.jpg,,,,黄V
4684548820960237,Kztv441NH,5635855696,微观篮球,【中字】沃格尔谈湖人休赛期引援：“我参与很多，能够引进威少我非常兴奋，这是一位终极斗士，他想要总冠军，他有能力得到总冠军；”——“这群加盟湖人的球员们都做出了牺牲，因为他们想要总冠军，而跟湖人三巨头一起打球很有机会得到它。”#湖人主教练谈阵容老龄化##金牌译制#L微观篮球的微博视频,,,,"湖人主教练谈阵容老龄化,金牌译制",5,2,28,2021-09-23 11:15,洛杉矶湖人超话,,"http://f.video.weibocdn.com/003s4Ikbgx07Q2KnAR9R01041200ab6X0E010.mp4?label=mp4_ld&template=632x360.25.0&trans_finger=6006a648d0db83b7d9951b3cee381a9c&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009413&ssig=0AnyA4K%2BAJ&KID=unistore,video",,,红V
4684548661576694,KztuO6Cay,6535497840,篮星球,沃格尔：“我不喜欢别人说我们老，我们的球员都很能打，只要磨合好，湖人有机会夺冠。”#湖人主教练谈阵容老龄化##篮说NBA#via@湖人官网L湖人官网的微博视频,,,湖人官网,"湖人主教练谈阵容老龄化,篮说NBA",0,1,3,2021-09-23 11:14,微博视频号,,"http://f.video.weibocdn.com/002xI0qugx07Q2tmUdcA010412007Nf50E010.mp4?label=mp4_hd&template=720x410.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009413&ssig=WmizlL%2B%2FWc&KID=unistore,video",,,黄V
4684546723807289,KztrGfYrT,6357580447,体育圈bot,【中文字幕】沃格尔：威少是终极竞争者，他唯一还未达成的就是冠军，他近乎绝望地想要夺冠#湖人主教练谈阵容老龄化##NBA吐槽大会#视频via@篮球字幕L篮球字幕的微博视频,,,篮球字幕,"湖人主教练谈阵容老龄化,NBA吐槽大会",0,0,0,2021-09-23 11:07,微博视频号,,"http://f.video.weibocdn.com/MckRQsQclx07Q2FLJMdG01041200m4UT0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009414&ssig=XEvfsopNyq&KID=unistore,video",,,普通用户
4684546723021890,KztrGcG8a,6357580450,状元幼稚园大姐大,【中文字幕】沃格尔：威少是终极竞争者，他唯一还未达成的就是冠军，他近乎绝望地想要夺冠#湖人主教练谈阵容老龄化##NBA吐槽大会#视频via@篮球字幕L篮球字幕的微博视频,,,篮球字幕,"湖人主教练谈阵容老龄化,NBA吐槽大会",0,0,0,2021-09-23 11:07,微博视频号,,"http://f.video.weibocdn.com/MckRQsQclx07Q2FLJMdG01041200m4UT0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009414&ssig=XEvfsopNyq&KID=unistore,video",,,黄V
4684546719351006,KztrFDeCG,6357580472,谁是大英红,【中文字幕】沃格尔：威少是终极竞争者，他唯一还未达成的就是冠军，他近乎绝望地想要夺冠#湖人主教练谈阵容老龄化##NBA吐槽大会#视频via@篮球字幕L篮球字幕的微博视频,,,篮球字幕,"湖人主教练谈阵容老龄化,NBA吐槽大会",0,0,1,2021-09-23 11:07,微博视频号,,"http://f.video.weibocdn.com/MckRQsQclx07Q2FLJMdG01041200m4UT0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009414&ssig=XEvfsopNyq&KID=unistore,video",,,普通用户
4684546719089655,KztrFC8Dl,6357580469,嘴里有乾坤,【中文字幕】沃格尔：威少是终极竞争者，他唯一还未达成的就是冠军，他近乎绝望地想要夺冠#湖人主教练谈阵容老龄化##NBA吐槽大会#视频via@篮球字幕L篮球字幕的微博视频,,,篮球字幕,"湖人主教练谈阵容老龄化,NBA吐槽大会",0,0,0,2021-09-23 11:07,微博视频号,,"http://f.video.weibocdn.com/MckRQsQclx07Q2FLJMdG01041200m4UT0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009414&ssig=XEvfsopNyq&KID=unistore,video",,,黄V
