id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4683056503587080,KyQG6f3a8,1132428807,四川工人日报,【#独居老人中风倒地2天幸被邻居发现#】9月15日，扬州一独居老人两天没下楼散步，邻居发现不对劲后报警。民警联系锁匠开门，原来，老人中风倒地，已两天没进食，邻居拿来面包喂老人吃下，家属也闻讯赶到。经送医抢救，老人转危为安。民警提醒：对独居老人应给予更多关注，可装监控实时关注老人情况。L江苏新闻的微博视频,,,,独居老人中风倒地2天幸被邻居发现,0,0,0,2021-09-19 08:25,iPhone客户端,,"http://f.video.weibocdn.com/sc0zs8zFlx07PTCpuc3u01041200syX40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013144&ssig=eKGsYSaenT&KID=unistore,video",,,蓝V
4683056152316195,KyQFx9IxZ,1595424264,永州警事,【#独居老人中风倒地2天幸被邻居发现#】9月15日，扬州一独居老人两天没下楼散步，邻居发现不对劲后报警。民警联系锁匠开门，原来，老人中风倒地，已两天没进食，邻居拿来面包喂老人吃下，家属也闻讯赶到。经送医抢救，老人转危为安。民警提醒：对独居老人应给予更多关注，可装监控实时关注老人情况。L江苏新闻的微博视频,,,,独居老人中风倒地2天幸被邻居发现,2,1,0,2021-09-19 08:24,微博视频号,,"http://f.video.weibocdn.com/sc0zs8zFlx07PTCpuc3u01041200syX40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013144&ssig=eKGsYSaenT&KID=unistore,video",,,蓝V
4683030876651796,KyQ0LrUr2,2894982024,九江瑞昌发布,#如何保障独居老人的安全#【#独居老人中风倒地2天幸被邻居发现#】9月15日，扬州一独居老人两天没下楼散步，邻居发现不对劲后报警。民警联系锁匠开门，原来，老人中风倒地，已两天没进食，邻居拿来面包喂老人吃下，家属也闻讯赶到。经送医抢救，老人转危为安。民警提醒：对独居老人应给予更多关注，可装监控实时关注老人情况。L江苏新闻的微博视频#老人中风倒地2天幸被邻居发现#,,,,"如何保障独居老人的安全,独居老人中风倒地2天幸被邻居发现,老人中风倒地2天幸被邻居发现",1,0,1,2021-09-19 06:43,微博视频号,,"http://f.video.weibocdn.com/sc0zs8zFlx07PTCpuc3u01041200syX40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013144&ssig=eKGsYSaenT&KID=unistore,video",,,蓝V
4683025722114762,KyPSs8S94,7340786255,哈尔滨政法,【#独居老人中风倒地2天幸被邻居发现#】9月15日，扬州一独居老人两天没下楼散步，邻居发现不对劲后报警。民警联系锁匠开门，原来，老人中风倒地，已两天没进食，邻居拿来面包喂老人吃下，家属也闻讯赶到。经送医抢救，老人转危为安。民警提醒：对独居老人应给予更多关注，可装监控实时关注老人情况。L江苏新闻的微博视频,,,,独居老人中风倒地2天幸被邻居发现,1,1,1,2021-09-19 06:23,微博视频号,,"http://f.video.weibocdn.com/sc0zs8zFlx07PTCpuc3u01041200syX40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013144&ssig=eKGsYSaenT&KID=unistore,video",,,蓝V
4683017391964829,KyPF18f8N,6971400855,余唯博博,#独居老人中风倒地2天幸被邻居发现#远亲不如近邻诚不欺我！有的时候好邻居真的是愉快生活的必须,,,,独居老人中风倒地2天幸被邻居发现,0,0,3,2021-09-19 05:50,王一博的小摩托,,,,,黄V
4682889289532637,KyMkoDZSd,1892957820,流年诗语,#独居老人中风倒地2天幸被邻居发现#中国好邻居！暖暖的！,,,,独居老人中风倒地2天幸被邻居发现,0,0,0,2021-09-18 21:21,流年诗语超话,,,,,金V
4682884004712716,KyMbSjLZy,1709350393,珠海公安,#如何保障独居老人的安全#【#独居老人中风倒地2天幸被邻居发现#】9月15日，扬州一独居老人两天没下楼散步，邻居发现不对劲后报警。民警联系锁匠开门，原来，老人中风倒地，已两天没进食，邻居拿来面包喂老人吃下，家属也闻讯赶到。经送医抢救，老人转危为安。民警提醒：对独居老人应给予更多关注，可装监控实时关注老人情况。L江苏新闻的微博视频#老人中风倒地2天幸被邻居发现#,,,,"如何保障独居老人的安全,独居老人中风倒地2天幸被邻居发现,老人中风倒地2天幸被邻居发现",0,0,2,2021-09-18 21:00,微博视频号,,"http://f.video.weibocdn.com/sc0zs8zFlx07PTCpuc3u01041200syX40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013144&ssig=eKGsYSaenT&KID=unistore,video",,,蓝V
4682883913220608,KyMbJdvPi,2286385060,攀枝花综合广播,#如何保障独居老人的安全#【#独居老人中风倒地2天幸被邻居发现#】9月15日，扬州一独居老人两天没下楼散步，邻居发现不对劲后报警。民警联系锁匠开门，原来，老人中风倒地，已两天没进食，邻居拿来面包喂老人吃下，家属也闻讯赶到。经送医抢救，老人转危为安。民警提醒：对独居老人应给予更多关注，可装监控实时关注老人情况。L江苏新闻的微博视频#老人中风倒地2天幸被邻居发现#,,,,"如何保障独居老人的安全,独居老人中风倒地2天幸被邻居发现,老人中风倒地2天幸被邻居发现",0,0,0,2021-09-18 20:59,iPhone 8 Plus,,"http://f.video.weibocdn.com/sc0zs8zFlx07PTCpuc3u01041200syX40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013144&ssig=eKGsYSaenT&KID=unistore,video",,,蓝V
4682882151613040,KyM8T6LCM,3977845423,和谐宽城,#如何保障独居老人的安全#【#独居老人中风倒地2天幸被邻居发现#】9月15日，扬州一独居老人两天没下楼散步，邻居发现不对劲后报警。民警联系锁匠开门，原来，老人中风倒地，已两天没进食，邻居拿来面包喂老人吃下，家属也闻讯赶到。经送医抢救，老人转危为安。民警提醒：对独居老人应给予更多关注，可装监控实时关注老人情况。L江苏新闻的微博视频#老人中风倒地2天幸被邻居发现#,,,,"如何保障独居老人的安全,独居老人中风倒地2天幸被邻居发现,老人中风倒地2天幸被邻居发现",0,0,1,2021-09-18 20:52,微博视频号,,"http://f.video.weibocdn.com/sc0zs8zFlx07PTCpuc3u01041200syX40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013146&ssig=wtBxEWuLhH&KID=unistore,video",,,蓝V
4682846217699701,KyLcVwj2J,6177021191,苏州V房产,【#独居老人中风倒地2天幸被邻居发现#】9月15日，扬州一独居老人两天没下楼散步，邻居发现不对劲后报警。民警联系锁匠开门，原来，老人中风倒地，已两天没进食，邻居拿来面包喂老人吃下，家属也闻讯赶到。经送医抢救，老人转危为安。民警提醒：对独居老人应给予更多关注，可装监控实时关注老人情况。L江苏新闻的微博视频,,,,独居老人中风倒地2天幸被邻居发现,0,0,1,2021-09-18 18:30,微博视频号,,"http://f.video.weibocdn.com/sc0zs8zFlx07PTCpuc3u01041200syX40E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725013146&ssig=wtBxEWuLhH&KID=unistore,video",,,蓝V
