id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4793623977657912,LDhApw8aI,3066213245,邯郸新闻网,【7旬#独居老人买600多个快递不拆堆满家#，物业派15人花2天帮整理消杀】7月19日，北京。一7旬独居老人一年内网购600多个快递堆满家中，导致只能睡在快递堆里，物业派15个人花2天才清理完。工作人员称，老人是知识分子，经济条件不错，一生未婚无儿无女，因找不到房产证、银行卡等重要证件，觉得不扔就不会丢。一年来社区街道多次敲门老人都不开，安排物业每日轮岗上门查看才发现这一幕。目前，老人已被安排住宾馆，身体无大碍。物业表示会腾出一块地方帮老人存快递。L白鹿视频的微博视频,,,,独居老人买600多个快递不拆堆满家,0,0,0,2022-07-21 11:01,微博视频号,,"http://f.video.weibocdn.com/o0/I7TdcdgZlx07XLXFI3R6010412010yuX0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016105&ssig=opw3vtneA3&KID=unistore,video",,,蓝V
4793609226556139,LDhcCrvyb,2294868264,河北法治报,【7旬#独居老人买600多个快递不拆堆满家#，物业派15人花2天帮整理消杀】7月19日，北京。一7旬独居老人一年内网购600多个快递堆满家中，导致只能睡在快递堆里，物业派15个人花2天才清理完。工作人员称，老人是知识分子，经济条件不错，一生未婚无儿无女，因找不到房产证、银行卡等重要证件，觉得不扔就不会丢。一年来社区街道多次敲门老人都不开，安排物业每日轮岗上门查看才发现这一幕。目前，老人已被安排住宾馆，身体无大碍。物业表示会腾出一块地方帮老人存快递。L白鹿视频的微博视频,,,,独居老人买600多个快递不拆堆满家,0,0,0,2022-07-21 10:02,iPhone客户端,,"http://f.video.weibocdn.com/o0/I7TdcdgZlx07XLXFI3R6010412010yuX0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016105&ssig=opw3vtneA3&KID=unistore,video",,,蓝V
4793600447610923,LDgYsvVWP,1934726467,北京吃喝玩乐小队,【7旬#独居老人买600多个快递不拆堆满家#，物业派15人花2天帮整理消杀】7月19日，北京。一7旬独居老人一年内网购600多个快递堆满家中，导致只能睡在快递堆里，物业派15个人花2天才清理完。工作人员称，老人是知识分子，经济条件不错，一生未婚无儿无女，因找不到房产证、银行卡等重要证件，觉得不扔就不会丢。一年来社区街道多次敲门老人都不开，安排物业每日轮岗上门查看才发现这一幕。目前，老人已被安排住宾馆，身体无大碍。物业表示会腾出一块地方帮老人存快递。L白鹿视频的微博视频,,,,独居老人买600多个快递不拆堆满家,1,1,2,2022-07-21 09:27,社会综合 · 视频社区,,"http://f.video.weibocdn.com/o0/I7TdcdgZlx07XLXFI3R6010412010yuX0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016105&ssig=opw3vtneA3&KID=unistore,video",,,黄V
4793595146014200,LDgPUpeze,7036804191,网信平山,【7旬#独居老人买600多个快递不拆堆满家#，物业派15人花2天帮整理消杀】7月19日，北京。一7旬独居老人一年内网购600多个快递堆满家中，导致只能睡在快递堆里，物业派15个人花2天才清理完。工作人员称，老人是知识分子，经济条件不错，一生未婚无儿无女，因找不到房产证、银行卡等重要证件，觉得不扔就不会丢。一年来社区街道多次敲门老人都不开，安排物业每日轮岗上门查看才发现这一幕。目前，老人已被安排住宾馆，身体无大碍。物业表示会腾出一块地方帮老人存快递。L白鹿视频的微博视频,,,,独居老人买600多个快递不拆堆满家,0,0,0,2022-07-21 09:06,微博视频号,,"http://f.video.weibocdn.com/o0/I7TdcdgZlx07XLXFI3R6010412010yuX0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016105&ssig=opw3vtneA3&KID=unistore,video",,,蓝V
4793590587067148,LDgIytEug,6155344804,河北长安网,【7旬#独居老人买600多个快递不拆堆满家#，物业派15人花2天帮整理消杀】7月19日，北京。一7旬独居老人一年内网购600多个快递堆满家中，导致只能睡在快递堆里，物业派15个人花2天才清理完。工作人员称，老人是知识分子，经济条件不错，一生未婚无儿无女，因找不到房产证、银行卡等重要证件，觉得不扔就不会丢。一年来社区街道多次敲门老人都不开，安排物业每日轮岗上门查看才发现这一幕。目前，老人已被安排住宾馆，身体无大碍。物业表示会腾出一块地方帮老人存快递。L白鹿视频的微博视频,,,,独居老人买600多个快递不拆堆满家,13,6,5,2022-07-21 08:48,iPhone客户端,,"http://f.video.weibocdn.com/o0/I7TdcdgZlx07XLXFI3R6010412010yuX0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016105&ssig=opw3vtneA3&KID=unistore,video",,,
4793593133270228,LDgMFdIJC,6618085213,唐山长安网,7旬#独居老人买600多个快递不拆堆满家#，物业派15人花2天帮整理消杀,,,,独居老人买600多个快递不拆堆满家,2,1,5,2022-07-21 08:58,微博 weibo.com,,,4793590587067148,,蓝V
4793591269951407,LDgJEFKOz,2671670131,平安诸暨,【7旬#独居老人买600多个快递不拆堆满家#，物业派15人花2天帮整理消杀】7月19日，北京。一7旬独居老人一年内网购600多个快递堆满家中，导致只能睡在快递堆里，物业派15个人花2天才清理完。工作人员称，老人是知识分子，经济条件不错，一生未婚无儿无女，因找不到房产证、银行卡等重要证件，觉得不扔就不会丢。一年来社区街道多次敲门老人都不开，安排物业每日轮岗上门查看才发现这一幕。目前，老人已被安排住宾馆，身体无大碍。物业表示会腾出一块地方帮老人存快递。L白鹿视频的微博视频,,,,独居老人买600多个快递不拆堆满家,7,4,6,2022-07-21 08:51,微博视频号,,"http://f.video.weibocdn.com/o0/I7TdcdgZlx07XLXFI3R6010412010yuX0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016105&ssig=opw3vtneA3&KID=unistore,video",,,蓝V
4793590163703219,LDgHSfxnl,5995009672,摄氏度视频,【7旬#独居老人买600多个快递不拆堆满家#，物业派15人花2天帮整理消杀】7月19日，北京。一7旬独居老人一年内网购600多个快递堆满家中，导致只能睡在快递堆里，物业派15个人花2天才清理完。工作人员称，老人是知识分子，经济条件不错，一生未婚无儿无女，因找不到房产证、银行卡等重要证件，觉得不扔就不会丢。一年来社区街道多次敲门老人都不开，安排物业每日轮岗上门查看才发现这一幕。目前，老人已被安排住宾馆，身体无大碍。物业表示会腾出一块地方帮老人存快递。L白鹿视频的微博视频,,,,独居老人买600多个快递不拆堆满家,0,0,0,2022-07-21 08:46,iPhone客户端,,"http://f.video.weibocdn.com/o0/I7TdcdgZlx07XLXFI3R6010412010yuX0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016107&ssig=YNCylmhcES&KID=unistore,video",,,蓝V
4793590133818493,LDgHPg1mB,5617775353,全球拍视频,【7旬#独居老人买600多个快递不拆堆满家#，物业派15人花2天帮整理消杀】7月19日，北京。一7旬独居老人一年内网购600多个快递堆满家中，导致只能睡在快递堆里，物业派15个人花2天才清理完。工作人员称，老人是知识分子，经济条件不错，一生未婚无儿无女，因找不到房产证、银行卡等重要证件，觉得不扔就不会丢。一年来社区街道多次敲门老人都不开，安排物业每日轮岗上门查看才发现这一幕。目前，老人已被安排住宾馆，身体无大碍。物业表示会腾出一块地方帮老人存快递。L白鹿视频的微博视频,,,,独居老人买600多个快递不拆堆满家,0,0,0,2022-07-21 08:46,iPhone客户端,,"http://f.video.weibocdn.com/o0/I7TdcdgZlx07XLXFI3R6010412010yuX0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016107&ssig=YNCylmhcES&KID=unistore,video",,,蓝V
4793590100525674,LDgHM2cKC,6014513352,ING直播,【7旬#独居老人买600多个快递不拆堆满家#，物业派15人花2天帮整理消杀】7月19日，北京。一7旬独居老人一年内网购600多个快递堆满家中，导致只能睡在快递堆里，物业派15个人花2天才清理完。工作人员称，老人是知识分子，经济条件不错，一生未婚无儿无女，因找不到房产证、银行卡等重要证件，觉得不扔就不会丢。一年来社区街道多次敲门老人都不开，安排物业每日轮岗上门查看才发现这一幕。目前，老人已被安排住宾馆，身体无大碍。物业表示会腾出一块地方帮老人存快递。L白鹿视频的微博视频,,,,独居老人买600多个快递不拆堆满家,0,0,1,2022-07-21 08:46,iPhone客户端,,"http://f.video.weibocdn.com/o0/I7TdcdgZlx07XLXFI3R6010412010yuX0E010.mp4?label=mp4_720p&template=720x1556.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016107&ssig=YNCylmhcES&KID=unistore,video",,,蓝V
