id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4610892073271522,K4zlRdJ4u,2560746500,上石尧也,#小景观事##生活#【#独居老人和智能音箱吵架#家人：虽是机器人但能互相陪伴】2月28日，黑龙江绥化。杜女士的姥爷在睡觉前习惯和智能音箱聊天，但由于话不投机，老人聊着聊着就急眼了，嚷着”我叫你小点声，怎么调戏你了？！“杜女士说，家里买智能音箱已经两年了，没人和姥爷说话时，他就跟智能音箱聊天。“心情好能和它聊很久，要是打麻将输了，就会对它发脾气。”杜女士感觉有了智能音箱，独居的姥爷幸福度都高了。L青蕉视频的微博视频,,,,"小景观事,生活,独居老人和智能音箱吵架",1,0,1,2021-03-04 05:09,微博视频号,,"http://f.video.weibocdn.com/0015HKKHgx07KNHsxaOP01041200yBPm0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017006&ssig=c7OhdilAzt&KID=unistore,video",,,黄V
4610829176276614,K4xIpqkPI,1508661252,上饶信使,#热点#【#独居老人和智能音箱吵架#家人：虽是机器人但能互相陪伴】2月28日，黑龙江绥化。杜女士的姥爷在睡觉前习惯和智能音箱聊天，但由于话不投机，老人聊着聊着就急眼了，嚷着”我叫你小点声，怎么调戏你了？！“杜女士说，家里买智能音箱已经两年了，没人和姥爷说话时，他就跟智能音箱聊天。“心情好能和它聊很久，要是打麻将输了，就会对它发脾气。”杜女士感觉有了智能音箱，独居的姥爷幸福度都高了。L青蕉视频的微博视频,,,,"热点,独居老人和智能音箱吵架",0,0,1,2021-03-04 01:00,微博视频号,,"http://f.video.weibocdn.com/0015HKKHgx07KNHsxaOP01041200yBPm0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017006&ssig=c7OhdilAzt&KID=unistore,video",,,黄V
4610746863064424,K4vzEcRcc,2746117315,皇马春林,【#独居老人和智能音箱吵架#：我叫你小点声，怎么调戏你了】2月28日，黑龙江绥化。杜女士的姥爷在睡觉前习惯和智能音箱聊天，但由于话不投机，老人聊着聊着就急眼了，嚷着“我叫你小点声，怎么调戏你了？！”杜女士说，家里买智能音箱已经两年了，没人和姥爷说话时，他就跟智能音箱聊天。“心情好能和它聊很久，要是打麻将输了，就会对它发脾气。”杜女士感觉有了智能音箱，独居的姥爷幸福度都高了。L青蕉视频的微博视频,,沈阳·北国之春,,独居老人和智能音箱吵架,0,0,0,2021-03-03 19:32,iPhone客户端,,"http://f.video.weibocdn.com/0015HKKHgx07KNHsxaOP01041200yBPm0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017006&ssig=c7OhdilAzt&KID=unistore,video",,,黄V
4610720790219362,K4uTB0V46,1881159861,新浪游戏资讯,【#独居老人和智能音箱吵架#家人：虽是机器人但能互相陪伴】2月28日，黑龙江绥化。杜女士的姥爷在睡觉前习惯和智能音箱聊天，但由于话不投机，老人聊着聊着就急眼了，嚷着”我叫你小点声，怎么调戏你了？！“杜女士说，家里买智能音箱已经两年了，没人和姥爷说话时，他就跟智能音箱聊天。“心情好能和它聊很久，要是打麻将输了，就会对它发脾气。”杜女士感觉有了智能音箱，独居的姥爷幸福度都高了。L青蕉视频的微博视频,,,,独居老人和智能音箱吵架,0,0,1,2021-03-03 17:49,微博视频号,,"http://f.video.weibocdn.com/0015HKKHgx07KNHsxaOP01041200yBPm0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017006&ssig=c7OhdilAzt&KID=unistore,video",,,蓝V
4610720790218029,K4uTB0UIB,2780457263,你能不能多见见世面,【#独居老人和智能音箱吵架#家人：虽是机器人但能互相陪伴】2月28日，黑龙江绥化。杜女士的姥爷在睡觉前习惯和智能音箱聊天，但由于话不投机，老人聊着聊着就急眼了，嚷着”我叫你小点声，怎么调戏你了？！“杜女士说，家里买智能音箱已经两年了，没人和姥爷说话时，他就跟智能音箱聊天。“心情好能和它聊很久，要是打麻将输了，就会对它发脾气。”杜女士感觉有了智能音箱，独居的姥爷幸福度都高了。L青蕉视频的微博视频,,,,独居老人和智能音箱吵架,0,0,0,2021-03-03 17:49,微博视频号,,"http://f.video.weibocdn.com/0015HKKHgx07KNHsxaOP01041200yBPm0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017006&ssig=c7OhdilAzt&KID=unistore,video",,,黄V
4610720786812621,K4uTAsAgZ,2925141777,全球新闻眼,【#独居老人和智能音箱吵架#家人：虽是机器人但能互相陪伴】2月28日，黑龙江绥化。杜女士的姥爷在睡觉前习惯和智能音箱聊天，但由于话不投机，老人聊着聊着就急眼了，嚷着”我叫你小点声，怎么调戏你了？！“杜女士说，家里买智能音箱已经两年了，没人和姥爷说话时，他就跟智能音箱聊天。“心情好能和它聊很久，要是打麻将输了，就会对它发脾气。”杜女士感觉有了智能音箱，独居的姥爷幸福度都高了。L青蕉视频的微博视频,,,,独居老人和智能音箱吵架,0,0,0,2021-03-03 17:49,微博视频号,,"http://f.video.weibocdn.com/0015HKKHgx07KNHsxaOP01041200yBPm0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017006&ssig=c7OhdilAzt&KID=unistore,video",,,蓝V
4610720786811617,K4uTAsA0N,5681478953,明日头条,【#独居老人和智能音箱吵架#家人：虽是机器人但能互相陪伴】2月28日，黑龙江绥化。杜女士的姥爷在睡觉前习惯和智能音箱聊天，但由于话不投机，老人聊着聊着就急眼了，嚷着”我叫你小点声，怎么调戏你了？！“杜女士说，家里买智能音箱已经两年了，没人和姥爷说话时，他就跟智能音箱聊天。“心情好能和它聊很久，要是打麻将输了，就会对它发脾气。”杜女士感觉有了智能音箱，独居的姥爷幸福度都高了。L青蕉视频的微博视频,,,,独居老人和智能音箱吵架,0,0,1,2021-03-03 17:49,微博视频号,,"http://f.video.weibocdn.com/0015HKKHgx07KNHsxaOP01041200yBPm0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017006&ssig=c7OhdilAzt&KID=unistore,video",,,蓝V
4610720786810735,K4uTAszMz,1712686623,手机上的新浪,【#独居老人和智能音箱吵架#家人：虽是机器人但能互相陪伴】2月28日，黑龙江绥化。杜女士的姥爷在睡觉前习惯和智能音箱聊天，但由于话不投机，老人聊着聊着就急眼了，嚷着”我叫你小点声，怎么调戏你了？！“杜女士说，家里买智能音箱已经两年了，没人和姥爷说话时，他就跟智能音箱聊天。“心情好能和它聊很久，要是打麻将输了，就会对它发脾气。”杜女士感觉有了智能音箱，独居的姥爷幸福度都高了。L青蕉视频的微博视频,,,,独居老人和智能音箱吵架,3,1,6,2021-03-03 17:49,微博视频号,,"http://f.video.weibocdn.com/0015HKKHgx07KNHsxaOP01041200yBPm0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017006&ssig=c7OhdilAzt&KID=unistore,video",,,蓝V
4610720781832745,K4uTA7GMp,2318910945,新浪热点,【#独居老人和智能音箱吵架#家人：虽是机器人但能互相陪伴】2月28日，黑龙江绥化。杜女士的姥爷在睡觉前习惯和智能音箱聊天，但由于话不投机，老人聊着聊着就急眼了，嚷着”我叫你小点声，怎么调戏你了？！“杜女士说，家里买智能音箱已经两年了，没人和姥爷说话时，他就跟智能音箱聊天。“心情好能和它聊很久，要是打麻将输了，就会对它发脾气。”杜女士感觉有了智能音箱，独居的姥爷幸福度都高了。L青蕉视频的微博视频,,,,独居老人和智能音箱吵架,13,19,78,2021-03-03 17:49,微博视频号,,"http://f.video.weibocdn.com/0015HKKHgx07KNHsxaOP01041200yBPm0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017006&ssig=c7OhdilAzt&KID=unistore,video",,,蓝V
4610380925501482,K4m3qn5bA,3211064304,用户3211064304,【#独居老人躺床上和智能音箱吵架#，网友：看完有点心酸】#独居老人和智能音箱吵架#2月28日，黑龙江绥化杜女士的姥爷在睡觉前和智能音响聊天时，因双方“聊不到一块”，聊着聊着急眼了据杜女士介绍，姥姥去世4年多了，姥爷平时独居，没人说话就喜欢和音响聊天，有什么问题也都问它。心情好的时候，能和它聊很久，心情不好的时候，也会让它讲笑话。姥爷说现在家里一个人，也就音响听他的话，独居老人也要学着找“伴”...O网页链接,,,,"独居老人躺床上和智能音箱吵架,独居老人和智能音箱吵架",0,0,0,2021-03-02 19:18,微博视频号,,,,,普通用户
