id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4760978607312299,LpAkAuGgj,3873618217,知长沙,#独居老人四天没出门邻居报警救回一命#【独居老人四天没下楼，细心邻居发现异常报警，救回老人一命】近日，在长沙狮子山小区内，一位64岁的独居老人因为不慎摔倒在家中，由于身体无法动弹，老人也无法向外呼救，被困家中近4天。同一栋的邻居因为多日不见老人身影，便拨打了报警电话求助。民警上门后，成功将老人救出。目前，老人生命体征平稳，正在医院进行康复疗养。@长沙政法频道L长沙政法频道的微博视频,,,长沙政法频道,独居老人四天没出门邻居报警救回一命,0,0,0,2022-04-22 09:00,微博视频号,,"http://f.video.weibocdn.com/o0/cENrr4pZlx07VsvxHXqw010412005lXC0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015893&ssig=hA4pzjQ9Eo&KID=unistore,video",,,黄V
4760978607311728,LpAkAuG76,3474891910,说长沙,#独居老人四天没出门邻居报警救回一命#【独居老人四天没下楼，细心邻居发现异常报警，救回老人一命】近日，在长沙狮子山小区内，一位64岁的独居老人因为不慎摔倒在家中，由于身体无法动弹，老人也无法向外呼救，被困家中近4天。同一栋的邻居因为多日不见老人身影，便拨打了报警电话求助。民警上门后，成功将老人救出。目前，老人生命体征平稳，正在医院进行康复疗养。@长沙政法频道L长沙政法频道的微博视频,,,长沙政法频道,独居老人四天没出门邻居报警救回一命,0,0,1,2022-04-22 09:00,微博视频号,,"http://f.video.weibocdn.com/o0/cENrr4pZlx07VsvxHXqw010412005lXC0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015893&ssig=hA4pzjQ9Eo&KID=unistore,video",,,黄V
4760978606785665,LpAkAstgd,5584151915,吃喝玩乐购长沙,#独居老人四天没出门邻居报警救回一命#【独居老人四天没下楼，细心邻居发现异常报警，救回老人一命】近日，在长沙狮子山小区内，一位64岁的独居老人因为不慎摔倒在家中，由于身体无法动弹，老人也无法向外呼救，被困家中近4天。同一栋的邻居因为多日不见老人身影，便拨打了报警电话求助。民警上门后，成功将老人救出。目前，老人生命体征平稳，正在医院进行康复疗养。@长沙政法频道L长沙政法频道的微博视频,,,长沙政法频道,独居老人四天没出门邻居报警救回一命,0,0,0,2022-04-22 09:00,微博视频号,,"http://f.video.weibocdn.com/o0/cENrr4pZlx07VsvxHXqw010412005lXC0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015893&ssig=hA4pzjQ9Eo&KID=unistore,video",,,黄V
4760978606784875,LpAkAst3t,3285701780,长沙校园事,#独居老人四天没出门邻居报警救回一命#【独居老人四天没下楼，细心邻居发现异常报警，救回老人一命】近日，在长沙狮子山小区内，一位64岁的独居老人因为不慎摔倒在家中，由于身体无法动弹，老人也无法向外呼救，被困家中近4天。同一栋的邻居因为多日不见老人身影，便拨打了报警电话求助。民警上门后，成功将老人救出。目前，老人生命体征平稳，正在医院进行康复疗养。@长沙政法频道L长沙政法频道的微博视频,,,长沙政法频道,独居老人四天没出门邻居报警救回一命,0,0,0,2022-04-22 09:00,微博视频号,,"http://f.video.weibocdn.com/o0/cENrr4pZlx07VsvxHXqw010412005lXC0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015893&ssig=hA4pzjQ9Eo&KID=unistore,video",,,黄V
4760978606263635,LpAkAqhsn,3743773851,我爱长沙2023,#独居老人四天没出门邻居报警救回一命#【独居老人四天没下楼，细心邻居发现异常报警，救回老人一命】近日，在长沙狮子山小区内，一位64岁的独居老人因为不慎摔倒在家中，由于身体无法动弹，老人也无法向外呼救，被困家中近4天。同一栋的邻居因为多日不见老人身影，便拨打了报警电话求助。民警上门后，成功将老人救出。目前，老人生命体征平稳，正在医院进行康复疗养。@长沙政法频道L长沙政法频道的微博视频,,,长沙政法频道,独居老人四天没出门邻居报警救回一命,0,0,0,2022-04-22 09:00,微博视频号,,"http://f.video.weibocdn.com/o0/cENrr4pZlx07VsvxHXqw010412005lXC0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015893&ssig=hA4pzjQ9Eo&KID=unistore,video",,,黄V
4760978605999952,LpAkApaRq,5636021313,长沙说事,#独居老人四天没出门邻居报警救回一命#【独居老人四天没下楼，细心邻居发现异常报警，救回老人一命】近日，在长沙狮子山小区内，一位64岁的独居老人因为不慎摔倒在家中，由于身体无法动弹，老人也无法向外呼救，被困家中近4天。同一栋的邻居因为多日不见老人身影，便拨打了报警电话求助。民警上门后，成功将老人救出。目前，老人生命体征平稳，正在医院进行康复疗养。@长沙政法频道L长沙政法频道的微博视频,,,长沙政法频道,独居老人四天没出门邻居报警救回一命,0,0,2,2022-04-22 09:00,微博视频号,,"http://f.video.weibocdn.com/o0/cENrr4pZlx07VsvxHXqw010412005lXC0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015893&ssig=hA4pzjQ9Eo&KID=unistore,video",,,黄V
4760978602857824,LpAkAbZrW,1971747904,长株潭生活圈,#独居老人四天没出门邻居报警救回一命#【独居老人四天没下楼，细心邻居发现异常报警，救回老人一命】近日，在长沙狮子山小区内，一位64岁的独居老人因为不慎摔倒在家中，由于身体无法动弹，老人也无法向外呼救，被困家中近4天。同一栋的邻居因为多日不见老人身影，便拨打了报警电话求助。民警上门后，成功将老人救出。目前，老人生命体征平稳，正在医院进行康复疗养。@长沙政法频道L长沙政法频道的微博视频,,,长沙政法频道,独居老人四天没出门邻居报警救回一命,0,0,0,2022-04-22 09:00,微博视频号,,"http://f.video.weibocdn.com/o0/cENrr4pZlx07VsvxHXqw010412005lXC0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015893&ssig=hA4pzjQ9Eo&KID=unistore,video",,,黄V
4760978602067410,LpAkA8FPk,6034787470,长沙美食探索,#独居老人四天没出门邻居报警救回一命#【独居老人四天没下楼，细心邻居发现异常报警，救回老人一命】近日，在长沙狮子山小区内，一位64岁的独居老人因为不慎摔倒在家中，由于身体无法动弹，老人也无法向外呼救，被困家中近4天。同一栋的邻居因为多日不见老人身影，便拨打了报警电话求助。民警上门后，成功将老人救出。目前，老人生命体征平稳，正在医院进行康复疗养。@长沙政法频道L长沙政法频道的微博视频,,,长沙政法频道,独居老人四天没出门邻居报警救回一命,0,0,0,2022-04-22 09:00,微博视频号,,"http://f.video.weibocdn.com/o0/cENrr4pZlx07VsvxHXqw010412005lXC0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015895&ssig=ofYi7YwWqB&KID=unistore,video",,,黄V
4760978601805628,LpAkA7zJ2,5397115022,湖南头条,#独居老人四天没出门邻居报警救回一命#【独居老人四天没下楼，细心邻居发现异常报警，救回老人一命】近日，在长沙狮子山小区内，一位64岁的独居老人因为不慎摔倒在家中，由于身体无法动弹，老人也无法向外呼救，被困家中近4天。同一栋的邻居因为多日不见老人身影，便拨打了报警电话求助。民警上门后，成功将老人救出。目前，老人生命体征平稳，正在医院进行康复疗养。@长沙政法频道L长沙政法频道的微博视频,,,长沙政法频道,独居老人四天没出门邻居报警救回一命,0,0,0,2022-04-22 09:00,微博视频号,,"http://f.video.weibocdn.com/o0/cENrr4pZlx07VsvxHXqw010412005lXC0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015895&ssig=ofYi7YwWqB&KID=unistore,video",,,黄V
4760972001018614,LpA9W4gZg,6079550516,长沙大学城儿,#独居老人四天没出门邻居报警救回一命#【独居老人四天没下楼，细心邻居发现异常报警，救回老人一命】近日，在长沙狮子山小区内，一位64岁的独居老人因为不慎摔倒在家中，由于身体无法动弹，老人也无法向外呼救，被困家中近4天。同一栋的邻居因为多日不见老人身影，便拨打了报警电话求助。民警上门后，成功将老人救出。目前，老人生命体征平稳，正在医院进行康复疗养。@长沙政法频道L长沙政法频道的微博视频,,,长沙政法频道,独居老人四天没出门邻居报警救回一命,10,11,149,2022-04-22 08:34,微博视频号,,"http://f.video.weibocdn.com/o0/cENrr4pZlx07VsvxHXqw010412005lXC0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015895&ssig=ofYi7YwWqB&KID=unistore,video",,,黄V
