id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4743342338867426,LibwZBcP0,1784392831,海峡都市报闽南版,【#独居老人常年高空抛物#，社区：其老年痴呆已封锁窗户】#独居老人常年高空抛物社区称其老年痴呆#近日，福建三明。市民反映一名独居老人常年高空抛物，砸中楼下停放的车辆，还有数次扔的东西摔在行人面前。社区称老人老年痴呆，已将其窗户全封起，要求家属把老人关起来。（澎湃新闻）L澎湃新闻的微博视频,,,,"独居老人常年高空抛物,独居老人常年高空抛物社区称其老年痴呆",0,0,0,2022-03-04 17:00,微博视频号,,"http://f.video.weibocdn.com/o0/vZ1Rq97Llx07UbxIq2ju01041200zi5c0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015143&ssig=CQhqqN5YDk&KID=unistore,video",,,蓝V
4742976163549794,Li20oeTsK,6066193547,七环视频,【#独居老人常年高空抛物#，社区：其老年痴呆已封锁窗户】近日，福建三明。市民反映一名独居老人常年高空抛物，砸中楼下停放的车辆，还有数次扔的东西摔在行人面前。居民表示此前已报警，社区居委会也来过，但是说过不起作用。社区称。老人老年痴呆，已将其窗户全封起，要求家属把老人关起来。O独居老人常年高空抛物，社区：其老年痴呆已封锁窗户L七环视频的微博视频,,,,独居老人常年高空抛物,1,0,0,2022-03-03 16:45,微博视频号,,"http://f.video.weibocdn.com/o0/MXZNVUMFlx07UbyxwKXu01041200zhZW0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015143&ssig=ySM94%2FCWHB&KID=unistore,video",,,蓝V
4742893007539314,LhZQgvDjQ,5044281310,澎湃新闻,【#独居老人常年高空抛物#，社区：其老年痴呆已封锁窗户】#独居老人常年高空抛物社区称其老年痴呆#近日，福建三明。市民反映一名独居老人常年高空抛物，砸中楼下停放的车辆，还有数次扔的东西摔在行人面前。社区称老人老年痴呆，已将其窗户全封起，要求家属把老人关起来。O独居老人常年高空抛物，社区：其老年痴呆已封锁窗户L澎湃新闻的微博视频,,,,"独居老人常年高空抛物,独居老人常年高空抛物社区称其老年痴呆",10,47,139,2022-03-03 11:14,微博视频号,,"http://f.video.weibocdn.com/o0/vZ1Rq97Llx07UbxIq2ju01041200zi5c0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015143&ssig=CQhqqN5YDk&KID=unistore,video",,,
4742965081410589,Li1Iw5UXr,5937846375,北海反邪,【#独居老人常年高空抛物#，社区：其老年痴呆已封锁窗户】,,,,独居老人常年高空抛物,0,0,139,2022-03-03 16:00,微博 weibo.com,,,4742893007539314,,蓝V
4742944341099666,Li1b44C4y,6063148715,正宁发布,【#独居老人常年高空抛物#，社区：其老年痴呆已封锁窗户】#独居老人常年高空抛物社区称其老年痴呆#近日，福建三明。市民反映一名独居老人常年高空抛物，砸中楼下停放的车辆，还有数次扔的东西摔在行人面前。社区称老人老年痴呆，已将其窗户全封起，要求家属把老人关起来。O独居老人常年高空抛物，社区：其老年痴呆已封锁窗户L澎湃新闻的微博视频,,,,"独居老人常年高空抛物,独居老人常年高空抛物社区称其老年痴呆",0,0,0,2022-03-03 14:38,iPhone客户端,,"http://f.video.weibocdn.com/o0/vZ1Rq97Llx07UbxIq2ju01041200zi5c0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015143&ssig=CQhqqN5YDk&KID=unistore,video",,,蓝V
4742923722426847,Li0DOabkH,3898037768,重庆九龙坡法院,【#独居老人常年高空抛物#，社区：其老年痴呆已封锁窗户】#独居老人常年高空抛物社区称其老年痴呆#近日，福建三明。市民反映一名独居老人常年高空抛物，砸中楼下停放的车辆，还有数次扔的东西摔在行人面前。社区称老人老年痴呆，已将其窗户全封起，要求家属把老人关起来。O独居老人常年高空抛物，社区：其老年痴呆已封锁窗户L澎湃新闻的微博视频,,,,"独居老人常年高空抛物,独居老人常年高空抛物社区称其老年痴呆",0,0,0,2022-03-03 13:16,微博视频号,,"http://f.video.weibocdn.com/o0/vZ1Rq97Llx07UbxIq2ju01041200zi5c0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015143&ssig=CQhqqN5YDk&KID=unistore,video",,,蓝V
4742919552500018,Li0x5aumS,1497087080,羊城晚报,【#独居老人常年高空抛物#，社区：其老年痴呆已封锁窗户】#独居老人常年高空抛物社区称其老年痴呆#近日，福建三明。市民反映一名独居老人常年高空抛物，砸中楼下停放的车辆，还有数次扔的东西摔在行人面前。社区称老人老年痴呆，已将其窗户全封起，要求家属把老人关起来。（澎湃新闻）L澎湃新闻的微博视频,,,,"独居老人常年高空抛物,独居老人常年高空抛物社区称其老年痴呆",0,0,3,2022-03-03 13:00,微博视频号,,"http://f.video.weibocdn.com/o0/vZ1Rq97Llx07UbxIq2ju01041200zi5c0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015143&ssig=CQhqqN5YDk&KID=unistore,video",,,蓝V
4742902876474476,Li06braj2,5767503483,夏_IBKP,#独居老人常年高空抛物#别往外抛大便就行了,,,,独居老人常年高空抛物,0,0,0,2022-03-03 11:53,三星Galaxy S10+,,,,,黄V
4742896639807430,LhZW7F9mm,5176021320,青海法治报,【#独居老人常年高空抛物#，社区：其老年痴呆已封锁窗户】,,,,独居老人常年高空抛物,0,0,139,2022-03-03 11:29,360安全浏览器,,,4742893007539314,,蓝V
4742895137720821,LhZTHwoxn,5886211231,_资阳全搜索,【#独居老人常年高空抛物#，社区：其老年痴呆已封锁窗户】#独居老人常年高空抛物社区称其老年痴呆#近日，福建三明。市民反映一名独居老人常年高空抛物，砸中楼下停放的车辆，还有数次扔的东西摔在行人面前。社区称老人老年痴呆，已将其窗户全封起，要求家属把老人关起来。L澎湃新闻的微博视频@澎湃新闻,,,澎湃新闻,"独居老人常年高空抛物,独居老人常年高空抛物社区称其老年痴呆",0,0,0,2022-03-03 11:23,微博视频号,,"http://f.video.weibocdn.com/o0/vZ1Rq97Llx07UbxIq2ju01041200zi5c0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015143&ssig=CQhqqN5YDk&KID=unistore,video",,,蓝V
