id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4770107312309227,LtpOj9GJB,3898037768,重庆九龙坡法院,【#独居老人手臂卡便池用盆敲地求救#，楼下邻居发觉异常后报警】5月13日，重庆。璧山区消防救援支队指挥中心接警称，一名年近七旬的老人手卡厕所便池，急需救援。消防员立刻赶赴现场，用榔头和螺丝刀将便池周围的瓷砖敲碎，近一小时后，老人的手臂被拔出。经检查，老人除手臂红肿外并无大碍。据悉，老人平时一人在家，当时勺子掉进便池，她用手去捞时不慎被卡。当时老人用手边盆子不断敲打厕所地面，直到楼下邻居发现异常后报警。@西部决策L西部决策的微博视频,,,西部决策,独居老人手臂卡便池用盆敲地求救,0,1,1,2022-05-17 13:34,微博视频号,,"http://f.video.weibocdn.com/o0/W4Sc2DF3lx07W2HAnPtK01041200CeH90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014960&ssig=wA5eBGQMya&KID=unistore,video",,,蓝V
4769772988006812,Lth74xAW8,2653832283,福州消防,【#独居老人手臂卡便池用盆敲地求救#，楼下邻居发觉异常后报警】5月13日，重庆。璧山区消防救援支队指挥中心接警称，一名年近七旬的老人手卡厕所便池，急需救援。消防员立刻赶赴现场，用榔头和螺丝刀将便池周围的瓷砖敲碎，近一小时后，老人的手臂被拔出。经检查，老人除手臂红肿外并无大碍。据悉，老人平时一人在家，当时勺子掉进便池，她用手去捞时不慎被卡。当时老人用手边盆子不断敲打厕所地面，直到楼下邻居发现异常后报警。L西部决策的微博视频,,,,独居老人手臂卡便池用盆敲地求救,1,0,0,2022-05-16 15:26,微博视频号,,"http://f.video.weibocdn.com/o0/W4Sc2DF3lx07W2HAnPtK01041200CeH90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014960&ssig=wA5eBGQMya&KID=unistore,video",,,蓝V
4769753665111364,LtgBUlrHm,3963974028,上海浦东消防,【#独居老人手臂卡便池用盆敲地求救#，楼下邻居发觉异常后报警】5月13日，重庆。璧山区消防救援支队指挥中心接警称，一名年近七旬的老人手卡厕所便池，急需救援。消防员立刻赶赴现场，用榔头和螺丝刀将便池周围的瓷砖敲碎，近一小时后，老人的手臂被拔出。经检查，老人除手臂红肿外并无大碍。据悉，老人平时一人在家，当时勺子掉进便池，她用手去捞时不慎被卡。当时老人用手边盆子不断敲打厕所地面，直到楼下邻居发现异常后报警。#蓝v视界##翠鸟嘴插进广告牌被当成是啄木鸟#L西部决策的微博视频,,,,"独居老人手臂卡便池用盆敲地求救,蓝v视界,翠鸟嘴插进广告牌被当成是啄木鸟",0,0,0,2022-05-16 14:09,微博视频号,,"http://f.video.weibocdn.com/o0/W4Sc2DF3lx07W2HAnPtK01041200CeH90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014960&ssig=wA5eBGQMya&KID=unistore,video",,,蓝V
4769743799845619,LtglZFjij,5493832963,金山消防,【#独居老人手臂卡便池用盆敲地求救#，楼下邻居发觉异常后报警】5月13日，重庆。璧山区消防救援支队指挥中心接警称，一名年近七旬的老人手卡厕所便池，急需救援。消防员立刻赶赴现场，用榔头和螺丝刀将便池周围的瓷砖敲碎，近一小时后，老人的手臂被拔出。经检查，老人除手臂红肿外并无大碍。据悉，老人平时一人在家，当时勺子掉进便池，她用手去捞时不慎被卡。当时老人用手边盆子不断敲打厕所地面，直到楼下邻居发现异常后报警。#蓝v视界##翠鸟嘴插进广告牌被当成是啄木鸟#L西部决策的微博视频,,,,"独居老人手臂卡便池用盆敲地求救,蓝v视界,翠鸟嘴插进广告牌被当成是啄木鸟",3,1,1,2022-05-16 13:30,微博视频号,,"http://f.video.weibocdn.com/o0/W4Sc2DF3lx07W2HAnPtK01041200CeH90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014960&ssig=wA5eBGQMya&KID=unistore,video",,,蓝V
4769684073745245,LteNFfIjb,3217343880,武汉消防,【#独居老人手臂卡便池用盆敲地求救#，楼下邻居发觉异常后报警】5月13日，重庆。璧山区消防救援支队指挥中心接警称，一名年近七旬的老人手卡厕所便池，急需救援。消防员立刻赶赴现场，用榔头和螺丝刀将便池周围的瓷砖敲碎，近一小时后，老人的手臂被拔出。经检查，老人除手臂红肿外并无大碍。据悉，老人平时一人在家，当时勺子掉进便池，她用手去捞时不慎被卡。当时老人用手边盆子不断敲打厕所地面，直到楼下邻居发现异常后报警。#蓝v视界##翠鸟嘴插进广告牌被当成是啄木鸟#L西部决策的微博视频,,,,"独居老人手臂卡便池用盆敲地求救,蓝v视界,翠鸟嘴插进广告牌被当成是啄木鸟",0,0,2,2022-05-16 09:32,微博视频号,,"http://f.video.weibocdn.com/o0/W4Sc2DF3lx07W2HAnPtK01041200CeH90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014960&ssig=wA5eBGQMya&KID=unistore,video",,,蓝V
4769419161505545,Lt7Uo6jEZ,2108237403,西铁资讯,#蓝v视界#【#独居老人手臂卡便池用盆敲地求救#，楼下邻居发觉异常后报警】5月13日，重庆。璧山区消防救援支队指挥中心接警称，一名年近七旬的老人手卡厕所便池，急需救援。消防员立刻赶赴现场，用榔头和螺丝刀将便池周围的瓷砖敲碎，近一小时后，老人的手臂被拔出。经检查，老人除手臂红肿外并无大碍。据悉，老人平时一人在家，当时勺子掉进便池，她用手去捞时不慎被卡。当时老人用手边盆子不断敲打厕所地面，直到楼下邻居发现异常后报警。@西部决策L西部决策的微博视频收起全文dL西部决策的微博视频,,,西部决策,"蓝v视界,独居老人手臂卡便池用盆敲地求救",0,0,2,2022-05-15 16:00,微博视频号,,"http://f.video.weibocdn.com/o0/W4Sc2DF3lx07W2HAnPtK01041200CeH90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014960&ssig=wA5eBGQMya&KID=unistore,video",,,蓝V
4769410595947090,Lt7GzoX6O,1926663481,南京消防,【#独居老人手臂卡便池用盆敲地求救#，楼下邻居发觉异常后报警】5月13日，重庆。璧山区消防救援支队指挥中心接警称，一名年近七旬的老人手卡厕所便池，急需救援。消防员立刻赶赴现场，用榔头和螺丝刀将便池周围的瓷砖敲碎，近一小时后，老人的手臂被拔出。经检查，老人除手臂红肿外并无大碍。据悉，老人平时一人在家，当时勺子掉进便池，她用手去捞时不慎被卡。当时老人用手边盆子不断敲打厕所地面，直到楼下邻居发现异常后报警。L西部决策的微博视频,,,,独居老人手臂卡便池用盆敲地求救,0,0,1,2022-05-15 15:26,微博视频号,,"http://f.video.weibocdn.com/o0/W4Sc2DF3lx07W2HAnPtK01041200CeH90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014960&ssig=wA5eBGQMya&KID=unistore,video",,,蓝V
4769335694853505,Lt5JLkmCl,5331173004,薛城区检察院,【#独居老人手臂卡便池用盆敲地求救#，楼下邻居发觉异常后报警】5月13日，重庆。璧山区消防救援支队指挥中心接警称，一名年近七旬的老人手卡厕所便池，急需救援。消防员立刻赶赴现场，用榔头和螺丝刀将便池周围的瓷砖敲碎，近一小时后，老人的手臂被拔出。经检查，老人除手臂红肿外并无大碍。据悉，老人平时一人在家，当时勺子掉进便池，她用手去捞时不慎被卡。当时老人用手边盆子不断敲打厕所地面，直到楼下邻居发现异常后报警。@西部决策L薛城区检察院的微博视频,,,西部决策,独居老人手臂卡便池用盆敲地求救,0,0,0,2022-05-15 10:28,微博视频号,,"http://f.video.weibocdn.com/o0/SdWvL1GMlx07W3VxXQsM01041200wi5r0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014960&ssig=%2BpsP4nHMVr&KID=unistore,video",,,蓝V
4769169214804804,Lt1pfk9WQ,5628319933,葫芦岛市检察院,【#独居老人手臂卡便池用盆敲地求救#，楼下邻居发觉异常后报警】5月13日，重庆。璧山区消防救援支队指挥中心接警称，一名年近七旬的老人手卡厕所便池，急需救援。消防员立刻赶赴现场，用榔头和螺丝刀将便池周围的瓷砖敲碎，近一小时后，老人的手臂被拔出。经检查，老人除手臂红肿外并无大碍。据悉，老人平时一人在家，当时勺子掉进便池，她用手去捞时不慎被卡。当时老人用手边盆子不断敲打厕所地面，直到楼下邻居发现异常后报警。@西部决策L西部决策的微博视频,,,西部决策,独居老人手臂卡便池用盆敲地求救,0,0,1,2022-05-14 23:26,Android,,"http://f.video.weibocdn.com/o0/W4Sc2DF3lx07W2HAnPtK01041200CeH90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014960&ssig=wA5eBGQMya&KID=unistore,video",,,蓝V
4769153871253103,Lt10v5fZl,2258717480,江苏消防,【#独居老人手臂卡便池用盆敲地求救#，楼下邻居发觉异常后报警】5月13日，重庆。璧山区消防救援支队指挥中心接警称，一名年近七旬的老人手卡厕所便池，急需救援。消防员立刻赶赴现场，用榔头和螺丝刀将便池周围的瓷砖敲碎，近一小时后，老人的手臂被拔出。经检查，老人除手臂红肿外并无大碍。据悉，老人平时一人在家，当时勺子掉进便池，她用手去捞时不慎被卡。当时老人用手边盆子不断敲打厕所地面，直到楼下邻居发现异常后报警。L西部决策的微博视频,,,,独居老人手臂卡便池用盆敲地求救,0,4,8,2022-05-14 22:25,微博视频号,,"http://f.video.weibocdn.com/o0/W4Sc2DF3lx07W2HAnPtK01041200CeH90E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725014961&ssig=B0FkW2i4hs&KID=unistore,video",,,蓝V
