id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4761948618491176,LpZz7zCWs,1024995604,拿在手上的粉色饼干,#一个人住的生活可以有多爽##独居老人摔倒床底4天没人发现#这两个热搜放在一起看，百感交集，少年不知老来苦。。。,,,,"一个人住的生活可以有多爽,独居老人摔倒床底4天没人发现",0,0,1,2022-04-25 01:14,HUAWEI P50 Pro,https://wx3.sinaimg.cn/large/3d183114gy1h1lbcjk4boj235s2dcnpe.jpg,,,,普通用户
4761941202963224,LpZnacqRW,2209730323,融媒体张灏,【64岁#独居老人摔倒床底4天没人发现#：邻居报警救回一命】据@纵横视频报道：近日，长沙雨花区一小区，48岁的姜红和64岁的易爷爷住在同一栋楼，易爷爷住在6楼，姜红住在3楼，几乎每天都碰得到。近日，姜红突然发现，自己有好几天没在小区看到易爷爷了。她去敲了老人的门，无人应答，还拨打了他的电话，也无法接通，无奈下只好报警，和警察一起上门开锁，才发现老人摔倒在床底下，大家赶紧用担架将他抬到救护车上。原来4天前，独居的易爷爷不慎从床上摔下，身体无法动弹也无法求助。L纵横视频的微博视频,,汉中,纵横视频,独居老人摔倒床底4天没人发现,0,0,2,2022-04-25 00:45,融媒体张灏HarmonyOS设备,,"http://f.video.weibocdn.com/o0/wnu9lce5lx07VvcSOwGA01041200wgfJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998868&ssig=r3Nq7yYLzF&KID=unistore,video",,,黄V
4761852305739762,LpX3Mo5aO,2159527751,长沙微分享,【64岁#独居老人摔倒床底4天没人发现#：邻居报警救回一命】近日，长沙雨花区一小区，48岁的姜红和64岁的易爷爷住在同一栋楼，易爷爷住在6楼，姜红住在3楼，几乎每天都碰得到。近日，姜红突然发现，自己有好几天没在小区看到易爷爷了。她去敲了老人的门，无人应答，还拨打了他的电话，也无法接通，无奈下只好报警，和警察一起上门开锁，才发现老人摔倒在床底下，大家赶紧用担架将他抬到救护车上。原来4天前，独居的易爷爷不慎从床上摔下，身体无法动弹也无法求助。L纵横视频的微博视频,,,,独居老人摔倒床底4天没人发现,0,0,2,2022-04-24 18:52,iPhone 12,,"http://f.video.weibocdn.com/o0/wnu9lce5lx07VvcSOwGA01041200wgfJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998868&ssig=r3Nq7yYLzF&KID=unistore,video",,,黄V
4761850329959910,LpX0AFN1I,2311694415,新浪湖南,【64岁#独居老人摔倒床底4天没人发现#：邻居报警救回一命】据@纵横视频报道：近日，长沙雨花区一小区，48岁的姜红和64岁的易爷爷住在同一栋楼，易爷爷住在6楼，姜红住在3楼，几乎每天都碰得到。近日，姜红突然发现，自己有好几天没在小区看到易爷爷了。她去敲了老人的门，无人应答，还拨打了他的电话，也无法接通，无奈下只好报警，和警察一起上门开锁，才发现老人摔倒在床底下，大家赶紧用担架将他抬到救护车上。原来4天前，独居的易爷爷不慎从床上摔下，身体无法动弹也无法求助。L纵横视频的微博视频,,,纵横视频,独居老人摔倒床底4天没人发现,1,2,2,2022-04-24 18:44,微博视频号,,"http://f.video.weibocdn.com/o0/wnu9lce5lx07VvcSOwGA01041200wgfJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998868&ssig=r3Nq7yYLzF&KID=unistore,video",,,蓝V
4761808932439860,LpVVPaeIA,6508564647,勇敢无敌呱叽呱叽,#独居老人摔倒床底4天没人发现#有时间还是要多关注一下空巢老人，特别是一个人独居的老人家，出了点意外都不能及时发现,,,,独居老人摔倒床底4天没人发现,0,0,0,2022-04-24 15:59,iQOO Z5 性能先锋,,,,,普通用户
4761775285471753,LpV3ymXs5,2604358402,海南省见义勇为基金会,【64岁#独居老人摔倒床底4天没人发现#：邻居报警救回一命】据@纵横视频报道：近日，长沙雨花区一小区，48岁的姜红和64岁的易爷爷住在同一栋楼，易爷爷住在6楼，姜红住在3楼，几乎每天都碰得到。近日，姜红突然发现，自己有好几天没在小区看到易爷爷了。她去敲了老人的门，无人应答，还拨打了他的电话，也无法接通，无奈下只好报警，和警察一起上门开锁，才发现老人摔倒在床底下，大家赶紧用担架将他抬到救护车上。原来4天前，独居的易爷爷不慎从床上摔下，身体无法动弹也无法求助。L纵横视频的微博视频,,,纵横视频,独居老人摔倒床底4天没人发现,0,0,0,2022-04-24 13:46,微博视频号,,"http://f.video.weibocdn.com/o0/wnu9lce5lx07VvcSOwGA01041200wgfJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998869&ssig=5WOZO4q6ac&KID=unistore,video",,,蓝V
4761554425486517,LpPjkn1id,5361703639,富平检察,【64岁#独居老人摔倒床底4天没人发现#：邻居报警救回一命】据@纵横视频报道：近日，长沙雨花区一小区，48岁的姜红和64岁的易爷爷住在同一栋楼，易爷爷住在6楼，姜红住在3楼，几乎每天都碰得到。近日，姜红突然发现，自己有好几天没在小区看到易爷爷了。她去敲了老人的门，无人应答，还拨打了他的电话，也无法接通，无奈下只好报警，和警察一起上门开锁，才发现老人摔倒在床底下，大家赶紧用担架将他抬到救护车上。原来4天前，独居的易爷爷不慎从床上摔下，身体无法动弹也无法求助。L纵横视频的微博视频,,,纵横视频,独居老人摔倒床底4天没人发现,1,1,0,2022-04-23 23:08,iPhone客户端,,"http://f.video.weibocdn.com/o0/wnu9lce5lx07VvcSOwGA01041200wgfJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998869&ssig=5WOZO4q6ac&KID=unistore,video",,,蓝V
4761526685142044,LpOAAlzGc,1899956213,包头晚报,【64岁#独居老人摔倒床底4天没人发现#：邻居报警救回一命】据@纵横视频报道：近日，长沙雨花区一小区，48岁的姜红和64岁的易爷爷住在同一栋楼，易爷爷住在6楼，姜红住在3楼，几乎每天都碰得到。近日，姜红突然发现，自己有好几天没在小区看到易爷爷了。她去敲了老人的门，无人应答，还拨打了他的电话，也无法接通，无奈下只好报警，和警察一起上门开锁，才发现老人摔倒在床底下，大家赶紧用担架将他抬到救护车上。原来4天前，独居的易爷爷不慎从床上摔下，身体无法动弹也无法求助。L纵横视频的微博视频,,,纵横视频,独居老人摔倒床底4天没人发现,0,0,0,2022-04-23 21:18,微博视频号,,"http://f.video.weibocdn.com/o0/wnu9lce5lx07VvcSOwGA01041200wgfJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998869&ssig=5WOZO4q6ac&KID=unistore,video",,,蓝V
4761525367084272,LpOystIWs,7613941027,郑州康宁志愿互助中心,【64岁#独居老人摔倒床底4天没人发现#：邻居报警救回一命】据@纵横视频报道：近日，长沙雨花区一小区，48岁的姜红和64岁的易爷爷住在同一栋楼，易爷爷住在6楼，姜红住在3楼，几乎每天都碰得到。近日，姜红突然发现，自己有好几天没在小区看到易爷爷了。她去敲了老人的门，无人应答，还拨打了他的电话，也无法接通，无奈下只好报警，和警察一起上门开锁，才发现老人摔倒在床底下，大家赶紧用担架将他抬到救护车上。原来4天前，独居的易爷爷不慎从床上摔下，身体无法动弹也无法求助。L纵横视频的微博视频,,,纵横视频,独居老人摔倒床底4天没人发现,0,0,0,2022-04-23 21:12,微博视频号,,"http://f.video.weibocdn.com/o0/wnu9lce5lx07VvcSOwGA01041200wgfJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998869&ssig=5WOZO4q6ac&KID=unistore,video",,,蓝V
4761524587200874,LpOxcudh8,7542162837,郑州益善互助中心,【64岁#独居老人摔倒床底4天没人发现#：邻居报警救回一命】据@纵横视频报道：近日，长沙雨花区一小区，48岁的姜红和64岁的易爷爷住在同一栋楼，易爷爷住在6楼，姜红住在3楼，几乎每天都碰得到。近日，姜红突然发现，自己有好几天没在小区看到易爷爷了。她去敲了老人的门，无人应答，还拨打了他的电话，也无法接通，无奈下只好报警，和警察一起上门开锁，才发现老人摔倒在床底下，大家赶紧用担架将他抬到救护车上。原来4天前，独居的易爷爷不慎从床上摔下，身体无法动弹也无法求助。L纵横视频的微博视频,,,纵横视频,独居老人摔倒床底4天没人发现,0,0,0,2022-04-23 21:09,微博视频号,,"http://f.video.weibocdn.com/o0/wnu9lce5lx07VvcSOwGA01041200wgfJ0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724998869&ssig=5WOZO4q6ac&KID=unistore,video",,,蓝V
