id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4742277816389461,LhJQ1qObP,6432311474,内蒙古长安网,【#独居老人昏倒小区门口社区工作者紧急施救#】2月26日8时许，内蒙古包头市青山区民主社区一小区门口，一位老人突然摔倒在地，不省人事。社区居委会副主任魏红霞看到躺在地上的老人，赶忙上前，很快就认出来是小区里的一位独居老人，她发现老人没有心跳之后，迅速实施了心肺复苏术，随后120急救车赶到将老人送至医院，由于急救及时，老人经过治疗之后有了好转。@人民网内蒙古频道#内蒙古有爱#O内蒙古一核酸检测点“点长”路遇独居老人昏倒！紧急施救……L人民网内蒙古频道的微博视频,,,人民网内蒙古频道,"独居老人昏倒小区门口社区工作者紧急施救,内蒙古有爱",7,1,6,2022-03-01 18:30,微博视频号,,"http://f.video.weibocdn.com/o0/DeQuHBjelx07U7cgbHQk01041202xw690E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020895&ssig=ONfMwaF7ed&KID=unistore,video",,,
4742522675661689,LhQcXnKRz,6524625682,苏尼特右旗政法委,【#独居老人昏倒小区门口社区工作者紧急施救#】,,,,独居老人昏倒小区门口社区工作者紧急施救,0,0,6,2022-03-02 10:43,微博 weibo.com,,,4742277816389461,,蓝V
4742512020818270,LhPVM3qRU,6507798592,五原政法,#点赞内蒙古#【#独居老人昏倒小区门口社区工作者紧急施救#】2月26日8时许，内蒙古包头市青山区民主社区一小区门口，一位老人突然摔倒在地，不省人事。社区居委会副主任魏红霞看到躺在地上的老人，赶忙上前，很快就认出来是小区里的一位独居老人，她发现老人没有心跳之后，迅速实施了心肺复苏术，随后120急救车赶到将老人送至医院，由于急救及时，老人经过治疗之后有了好转。@人民网内蒙古频道#内蒙古有爱#O内蒙古一核酸检测点“点长”路遇独居老人昏倒！紧急施救……L人民网内蒙古频道的微博视频,,,人民网内蒙古频道,"点赞内蒙古,独居老人昏倒小区门口社区工作者紧急施救,内蒙古有爱",0,0,0,2022-03-02 10:00,微博视频号,,"http://f.video.weibocdn.com/o0/DeQuHBjelx07U7cgbHQk01041202xw690E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020895&ssig=ONfMwaF7ed&KID=unistore,video",,,蓝V
4742309957342255,LhKFRuO3t,2321210495,太旗政法之声,【#独居老人昏倒小区门口社区工作者紧急施救#】2月26日8时许，内蒙古包头市青山区民主社区一小区门口，一位老人突然摔倒在地，不省人事。社区居委会副主任魏红霞看到躺在地上的老人，赶忙上前，很快就认出来是小区里的一位独居老人，她发现老人没有心跳之后，迅速实施了心肺复苏术,,,,独居老人昏倒小区门口社区工作者紧急施救,0,0,6,2022-03-01 20:37,HUAWEI nova 2s,,,4742277816389461,,蓝V
4742308010920649,LhKCJ3Rvb,5367519413,乌拉特前旗法治之声,【#独居老人昏倒小区门口社区工作者紧急施救#】2月26日8时许，内蒙古包头市青山区民主社区一小区门口，一位老人突然摔倒在地，不省人事。社区居委会副主任魏红霞看到躺在地上的老人，赶忙上前，很快就认出来是小区里的一位独居老人，她发现老人没有心跳之后，迅速实施了心肺复苏术，随后120急救车赶到将老人送至医院，由于急救及时，老人经过治疗之后有了好转。@人民网内蒙古频道#内蒙古有爱#O内蒙古一核酸检测点“点长”路遇独居老人昏倒！紧急施救……L人民网内蒙古频道的微博视频,,,人民网内蒙古频道,"独居老人昏倒小区门口社区工作者紧急施救,内蒙古有爱",0,0,1,2022-03-01 20:30,微博视频号,,"http://f.video.weibocdn.com/o0/DeQuHBjelx07U7cgbHQk01041202xw690E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020895&ssig=ONfMwaF7ed&KID=unistore,video",,,蓝V
4742303749505832,LhKvQDSTS,6589822513,临河政法,【#独居老人昏倒小区门口社区工作者紧急施救#】,,,,独居老人昏倒小区门口社区工作者紧急施救,0,0,6,2022-03-01 20:13,微博 weibo.com,,,4742277816389461,,普通用户
4742302523720232,LhKtSfBNK,6501434038,阿拉善左旗政法委,【#独居老人昏倒小区门口社区工作者紧急施救#】,,,,独居老人昏倒小区门口社区工作者紧急施救,0,0,6,2022-03-01 20:08,iPhone客户端,,,4742277816389461,,蓝V
4742301849489260,LhKsMDOAA,6418946237,杭锦政法2017,【#独居老人昏倒小区门口社区工作者紧急施救#】,,,,独居老人昏倒小区门口社区工作者紧急施救,0,0,6,2022-03-01 20:05,iPhone客户端,,,4742277816389461,,蓝V
4742284857314240,LhK1nuGLC,5028619863,内蒙古是个好地方,#内蒙古有爱#【#独居老人昏倒小区门口社区工作者紧急施救#】2月26日8时许，内蒙古包头市青山区民主社区一小区门口，一位老人突然摔倒在地，不省人事。社区居委会副主任魏红霞看到躺在地上的老人，赶忙上前，很快就认出来是小区里的一位独居老人，她发现老人没有心跳之后，迅速实施了心肺复苏术，随后120急救车赶到将老人送至医院，由于急救及时，老人经过治疗之后有了好转。L人民网内蒙古频道的微博视频,,,,"内蒙古有爱,独居老人昏倒小区门口社区工作者紧急施救",0,1,2,2022-03-01 18:58,微博视频号,,"http://f.video.weibocdn.com/o0/DeQuHBjelx07U7cgbHQk01041202xw690E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020895&ssig=ONfMwaF7ed&KID=unistore,video",,,蓝V
4742261705017764,LhJq2l3lG,3984138317,达旗政法委,【#独居老人昏倒小区门口社区工作者紧急施救#】2月26日8时许，内蒙古包头市青山区民主社区一小区门口，一位老人突然摔倒在地，不省人事。社区居委会副主任魏红霞看到躺在地上的老人，赶忙上前，很快就认出来是小区里的一位独居老人，她发现老人没有心跳之后，迅速实施了心肺复苏术，随后120急救车赶到将老人送至医院，由于急救及时，老人经过治疗之后有了好转。@人民网内蒙古频道#内蒙古有爱#O内蒙古一核酸检测点“点长”路遇独居老人昏倒！紧急施救……L人民网内蒙古频道的微博视频,,,人民网内蒙古频道,"独居老人昏倒小区门口社区工作者紧急施救,内蒙古有爱",0,0,0,2022-03-01 17:26,微博视频号,,"http://f.video.weibocdn.com/o0/DeQuHBjelx07U7cgbHQk01041202xw690E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020897&ssig=cnxeuU3X0e&KID=unistore,video",,,蓝V
4742252143052130,LhJaCcNZU,6589825840,稀土高新长安网,【#独居老人昏倒小区门口社区工作者紧急施救#】2月26日8时许，内蒙古包头市青山区民主社区一小区门口，一位老人突然摔倒在地，不省人事。社区居委会副主任魏红霞看到躺在地上的老人，赶忙上前，很快就认出来是小区里的一位独居老人，她发现老人没有心跳之后，迅速实施了心肺复苏术，随后120急救车赶到将老人送至医院，由于急救及时，老人经过治疗之后有了好转。@人民网内蒙古频道#内蒙古有爱#O内蒙古一核酸检测点“点长”路遇独居老人昏倒！紧急施救……L人民网内蒙古频道的微博视频,,,人民网内蒙古频道,"独居老人昏倒小区门口社区工作者紧急施救,内蒙古有爱",0,0,0,2022-03-01 16:48,微博视频号,,"http://f.video.weibocdn.com/o0/DeQuHBjelx07U7cgbHQk01041202xw690E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725020897&ssig=cnxeuU3X0e&KID=unistore,video",,,蓝V
