id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4936873049326054,NfteED88e,5991755959,深圳市老龄事业发展基金会,#独居老人突发不适消防破门救援#独居老人一个人在家很容易会发生意外啊希望我们有时间的时候都可以多回家看看爷爷奶奶们呀L中国消防的微博视频,,,,独居老人突发不适消防破门救援,0,0,0,2023-08-20 18:02,微博视频号,,"http://f.video.weibocdn.com/o0/RqNLRHPslx087xLqMwdG01041200cBM30E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986015&ssig=tFxlLegaB5&KID=unistore,video",,,蓝V
4935014259363379,NeGSBDhQf,3276879583,天津和平消防,【#独居老人突发不适消防破门救援#】近日，湖南郴州，一独居老人身体出现异样被困家中，强忍不适报警求助。消防紧急赶赴，破门而入的一刻老人无法支撑倒在消防员的怀里，消防员赶紧背起老人送医。ps：老人家可要好好照顾自己啊！#消防蓝朋友#中国消防的微博视频L天津和平消防的微博视频,,,,"独居老人突发不适消防破门救援,消防蓝朋友",0,0,0,2023-08-15 14:55,微博视频号,,"http://f.video.weibocdn.com/o0/1hU0yqYJlx087P8WqOvm010412007kj80E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986015&ssig=JY9LMzGO7P&KID=unistore,video",,,蓝V
4934580190577088,NevAv2q7S,2690502103,宿迁消防,【#独居老人突发不适消防破门救援#】近日，湖南郴州，一独居老人身体出现异样被困家中，强忍不适报警求助。消防紧急赶赴，破门而入的一刻老人无法支撑倒在消防员的怀里，消防员赶紧背起老人送医。ps：老人家可要好好照顾自己啊！#消防蓝朋友#L中国消防的微博视频,,,,"独居老人突发不适消防破门救援,消防蓝朋友",0,0,0,2023-08-14 10:11,微博视频号,,"http://f.video.weibocdn.com/o0/RqNLRHPslx087xLqMwdG01041200cBM30E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986015&ssig=tFxlLegaB5&KID=unistore,video",,,蓝V
4934291539105674,Neo4VCcNI,7079703736,吉林森林消防,【#独居老人突发不适消防破门救援#】近日，湖南郴州，一独居老人身体出现异样被困家中，强忍不适报警求助。消防紧急赶赴，破门而入的一刻老人无法支撑倒在消防员的怀里，消防员赶紧背起老人送医。吉林森林消防超话#消防蓝朋友#L吉林森林消防的微博视频,,,,"独居老人突发不适消防破门救援,消防蓝朋友",0,0,0,2023-08-13 15:04,微博视频号,,"http://f.video.weibocdn.com/o0/mb1RS4m3lx087Lq9v6zu010412007ksp0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986015&ssig=TX6fILWX11&KID=unistore,video",,,蓝V
4934207786456983,NelTQr5KT,2442797753,东营消防,【#独居老人突发不适消防破门救援#】近日，湖南郴州，一独居老人身体出现异样被困家中，强忍不适报警求助。消防紧急赶赴，破门而入的一刻老人无法支撑倒在消防员的怀里，消防员赶紧背起老人送医。ps：老人家可要好好照顾自己啊！L中国消防的微博视频,,,,独居老人突发不适消防破门救援,0,0,0,2023-08-13 09:31,iPhone客户端,,"http://f.video.weibocdn.com/o0/RqNLRHPslx087xLqMwdG01041200cBM30E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986015&ssig=tFxlLegaB5&KID=unistore,video",,,蓝V
4934063889055883,Nei9KBZQD,2663581903,宁德消防,【#独居老人突发不适消防破门救援#】近日，湖南郴州，一独居老人身体出现异样被困家中，强忍不适报警求助。消防紧急赶赴，破门而入的一刻老人无法支撑倒在消防员的怀里，消防员赶紧背起老人送医。ps：老人家可要好好照顾自己啊！L中国消防的微博视频,,,,独居老人突发不适消防破门救援,0,0,0,2023-08-12 23:59,微博视频号,,"http://f.video.weibocdn.com/o0/RqNLRHPslx087xLqMwdG01041200cBM30E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986015&ssig=tFxlLegaB5&KID=unistore,video",,,蓝V
4934031878394450,Nehk7zdMm,2663581903,宁德消防,【#独居老人突发不适消防破门救援#】近日，湖南郴州，一独居老人身体出现异样被困家中，强忍不适报警求助。消防紧急赶赴，破门而入的一刻老人无法支撑倒在消防员的怀里，消防员赶紧背起老人送医。ps：老人家可要好好照顾自己啊！L中国消防的微博视频,,,,独居老人突发不适消防破门救援,0,0,0,2023-08-12 21:52,微博视频号,,"http://f.video.weibocdn.com/o0/RqNLRHPslx087xLqMwdG01041200cBM30E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986015&ssig=tFxlLegaB5&KID=unistore,video",,,蓝V
4934030569767635,Nehi0EZ0v,2606243004,福建消防,【#独居老人突发不适消防破门救援#】近日，湖南郴州，一独居老人身体出现异样被困家中，强忍不适报警求助。消防紧急赶赴，破门而入的一刻老人无法支撑倒在消防员的怀里，消防员赶紧背起老人送医。ps：老人家可要好好照顾自己啊！L中国消防的微博视频,,,,独居老人突发不适消防破门救援,3,9,11,2023-08-12 21:47,微博视频号,,"http://f.video.weibocdn.com/o0/RqNLRHPslx087xLqMwdG01041200cBM30E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986015&ssig=tFxlLegaB5&KID=unistore,video",,,蓝V
4933910276080546,Nee9ZpvPk,5500200143,株洲消防,【#独居老人突发不适消防破门救援#】近日，湖南郴州，一独居老人身体出现异样被困家中，强忍不适报警求助。消防紧急赶赴，破门而入的一刻老人无法支撑倒在消防员的怀里，消防员赶紧背起老人送医。ps：老人家可要好好照顾自己啊！#消防蓝朋友#L中国消防的微博视频,,,,"独居老人突发不适消防破门救援,消防蓝朋友",0,0,0,2023-08-12 13:49,微博视频号,,"http://f.video.weibocdn.com/o0/RqNLRHPslx087xLqMwdG01041200cBM30E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986015&ssig=tFxlLegaB5&KID=unistore,video",,,蓝V
4933824963679771,NebWofrh9,5499748484,大兴安岭消防,【#独居老人突发不适消防破门救援#】近日，湖南郴州，一独居老人身体出现异样被困家中，强忍不适报警求助。消防紧急赶赴，破门而入的一刻老人无法支撑倒在消防员的怀里，消防员赶紧背起老人送医。ps：老人家可要好好照顾自己啊！L大兴安岭消防的微博视频,,,,独居老人突发不适消防破门救援,0,0,0,2023-08-12 08:10,微博视频号,,"http://f.video.weibocdn.com/o0/jYXRL972lx087Cxqb5M401041200bH9o0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724986015&ssig=%2FSMZVtRzoy&KID=unistore,video",,,蓝V
