id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4769728729449437,LtfXGDEeh,7324392486,栀子的夏天99,#独居老人突发心梗警民携手破门救援#太可怜了,,,,独居老人突发心梗警民携手破门救援,0,0,0,2022-05-16 12:30,真我Q3 当潮不让,,,,,普通用户
4769712569061265,LtfxCC1fr,7437917616,姗姗爱吃粑粑,#独居老人突发心梗警民携手破门救援#一直都感觉咱们人民警察是最棒的,,,,独居老人突发心梗警民携手破门救援,0,0,0,2022-05-16 11:25,vivo Y30,,,,,普通用户
4769710259047156,LtftTBXzS,7486917680,努力生活养乐多,#独居老人突发心梗警民携手破门救援#我的天呀暖心的很哦,,,,独居老人突发心梗警民携手破门救援,0,0,0,2022-05-16 11:16,nova6 5G自拍大不一样,,,,,普通用户
4769710191937651,LtftN884r,3710747260,天空纯净得如一滴水滴,#独居老人突发心梗警民携手破门救援#社会应多关注孤寡老人,,,,独居老人突发心梗警民携手破门救援,0,0,0,2022-05-16 11:16,华为手机,,,,,普通用户
4769707762126563,LtfpS8Vdp,6658379841,醉酒点灯啊,#独居老人突发心梗警民携手破门救援#真的太暖心了,,,,独居老人突发心梗警民携手破门救援,0,0,0,2022-05-16 11:06,Redmi K30 全速热爱,,,,,普通用户
4769707745872482,LtfpQoDHs,7334147112,上岸吧少女01,#独居老人突发心梗警民携手破门救援#希望平安,,,,独居老人突发心梗警民携手破门救援,0,0,0,2022-05-16 11:06,iPhone客户端,,,,,普通用户
4769707729095845,LtfpOCafb,7410342335,w丸子鱼,#独居老人突发心梗警民携手破门救援#哎，还好是被发现了！如果没有人看到就完蛋啦,,,,独居老人突发心梗警民携手破门救援,0,0,0,2022-05-16 11:06,Redmi K50,,,,,普通用户
4769707100736932,LtfoO35I0,7557054321,喜欢明明的他,#独居老人突发心梗警民携手破门救援#好样的太暖心了,,,,独居老人突发心梗警民携手破门救援,0,0,0,2022-05-16 11:04,vivo S7e 5G,,,,,普通用户
4769706973856814,LtfoBgbkG,7414022654,逢魔时王新时代,#独居老人突发心梗警民携手破门救援#正能量，警察辛苦了，还有锁🔒师傅好样,,,,独居老人突发心梗警民携手破门救援,0,0,0,2022-05-16 11:03,Xiaomi 12 Pro,,,,,普通用户
4769706428336294,LtfnIyYEm,6885316903,请爱护宝宝,#独居老人突发心梗警民携手破门救援#老人还是进敬老院吧,,成都,,独居老人突发心梗警民携手破门救援,0,0,0,2022-05-16 11:01,HUAWEI Mate 20,,,,,普通用户
4769706369616668,LtfnCElJy,7355026633,搅碎一池星光阿,#独居老人突发心梗警民携手破门救援#人民的大救星啊,,,,独居老人突发心梗警民携手破门救援,0,0,0,2022-05-16 11:01,华为畅享9S超广角三摄,,,,,普通用户
4769706265546425,LtfnsngSt,7467859593,开启新的人生198611,#独居老人突发心梗警民携手破门救援#好在没有危险,,成都,,独居老人突发心梗警民携手破门救援,0,0,1,2022-05-16 11:00,HUAWEI Mate 20,,,,,普通用户
4769706206038088,LtfnmpkMw,7512128673,王大哥陈住气,#独居老人突发心梗警民携手破门救援#为群众办实事,,,,独居老人突发心梗警民携手破门救援,0,0,0,2022-05-16 11:00,iPhone客户端,,,,,黄V
4769706185326688,LtfnkmlIk,7732901874,怀念我的他,#独居老人突发心梗警民携手破门救援#真的是满满的正能量,,,,独居老人突发心梗警民携手破门救援,0,0,1,2022-05-16 11:00,HUAWEI nova 3i,,,,,普通用户
4769706147580206,LtfngvNXo,3030300431,疯狂的晗Zh,#独居老人突发心梗警民携手破门救援#希望老人健康平安,,,,独居老人突发心梗警民携手破门救援,0,0,1,2022-05-16 11:00,iPhone客户端,,,,,普通用户
4769706135786507,LtfnfohkL,5847604374,晨夕牧笛,#独居老人突发心梗警民携手破门救援##独居老人突发心梗警民携手破门救援#好暖心的警察,,,,独居老人突发心梗警民携手破门救援,0,0,0,2022-05-16 11:00,真我GT Neo 闪速版,,,,,普通用户
4769706088861071,LtfnaBbav,6461680798,kathy8343,#独居老人突发心梗警民携手破门救援#幸好民警及时救治，为他们点赞,,,,独居老人突发心梗警民携手破门救援,0,0,0,2022-05-16 11:00,iPhone客户端,,,,,普通用户
4769706059760186,Ltfn7EX4m,6266310177,凌姐姐1314,#独居老人突发心梗警民携手破门救援#真的要多多关心老人,,,,独居老人突发心梗警民携手破门救援,0,0,0,2022-05-16 11:00,Android客户端,,,,,普通用户
4769706031189836,Ltfn54ZwU,7476982207,西北的承诺,#独居老人突发心梗警民携手破门救援#非常有幸参与这个话题，让我们一起加油！,,,,独居老人突发心梗警民携手破门救援,0,0,0,2022-05-16 10:59,Android,,,,,黄V
4769706008907844,Ltfn2BnkU,7593520123,小瑾咦一,#独居老人突发心梗警民携手破门救援#满满正能量！！,,,,独居老人突发心梗警民携手破门救援,0,0,0,2022-05-16 10:59,5G自拍手机vivo S6,,,,,普通用户
4769704948795710,LtflkAUai,2026873597,长春点哥,图们，#独居老人突发心梗警民携手破门救援#L长春微视点的微博视频,,延边,,独居老人突发心梗警民携手破门救援,10,7,22,2022-05-16 10:55,长春微视点超话,,"http://f.video.weibocdn.com/o0/wV0yxFA0lx07W5yk2zA401041200otP60E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016075&ssig=sahZl1LK61&KID=unistore,video",,,金V
