id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4845414924682247,Mj3rSjE47,1036713140,杭州网,#救下独居老人忠犬阿旺走了#【痛心！救下78岁独居老人的忠犬“阿旺”走了…】#独居老人突发意外狗狗救了他的命#后续：上月底，杭州萧山城厢派出所接到某社区工作人员求助，说小区78岁的独居老人杨大伯可能遇到危险。杨大伯是萧山本地人，平时养了一只狗狗“阿旺”，阿旺平时很安静的，当天却很反常，一直叫个不停。邻居担心情况前去敲门，可无论怎么敲，屋内都没有反应，便联系了社区。民警沈建欢带队赶到小区，狗叫声从一幢单元楼2楼传出。老人被担架抬下楼时，狗也跟着跑到楼下。小区居民看它体形大，有些怕。考虑到老人住院，狗在家里没吃没喝，城管队员带走它临时照顾。9年前，一位社区警务队员看老伯一个人住比较孤独，就把刚出生一个月的小狗送给老人，老人给它取名“阿旺”，阿旺一直陪伴老人9年。据民警描述，阿旺体长一米不到，身高六七十厘米，比较壮实，毛发黄棕色。现在杨老伯已经出院，在康复医院做康复治疗。昨日，萧山城管犬管中心金队长说，小狗“阿旺”已经去世了。他说，11月21日，萧山城管执法城厢中队接到社区电话后，把小狗带到了犬管中心下面的流浪狗收容中心，队员跟工作人员说小狗是一位老伯的，老伯被送到医院没法照顾，在这里代养几天。“我们特别关照工作人员要好好照护。”但小狗阿旺到了收容中心，开始出现不适应，“吃的很少很少”，金队长说。该收容中心是杭州设施、管理上比较先进的一个流浪狗收容中心。收容中心是专门收留流浪狗的，有一个大犬室，每只小狗被带进来后，有一个单独的笼子，特别是烈性犬都是单独隔开的，中心工作人员会给狗狗们喂狗粮、水，打扫卫生。“阿旺”进来后，不吃不喝，一直撑到12月1日，工作人员看它蔫着，“觉得快不行了”，“给它拿到面前也不肯吃”，没想到12月2日一早，“阿旺”已经没了呼吸。另据了解，老伯目前还不知道“阿旺”的情况。☞O痛心！救下78岁独居老人的忠犬已去世L杭州网的微博视频,,,,"救下独居老人忠犬阿旺走了,独居老人突发意外狗狗救了他的命",25,37,157,2022-12-11 09:00,微博视频号,,"http://f.video.weibocdn.com/o0/zjxDyuZllx081sgDXsSQ010412005yZm0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007478&ssig=Dgfocg19os&KID=unistore,video",,,蓝V
4844873847412202,MiPnav6fE,3806199641,呈贡发布,#独居老人突发意外狗狗救了他的命#【杭州独居老人突发意外，狗狗反常举动救了他的命】“他家的狗狗叫了一天！会不会出事了？你们快来看看！”近日，杭州萧山城厢派出所接到某社区工作人员求助，说小区独居老人杨大伯可能遇到危险。杨大伯今年78岁，平时独居。大伯养了一只狗狗，平时很安静的，事发当天很反常，一直狂叫不止。邻居担心情况前去敲门，可无论怎么敲，屋内都没有反应，便联系了社区。事关群众安危，城厢派出所立刻处警。警方赶到时，老人意识虽然清醒，但一侧身体被躺椅压住，不能动弹。医护人员初步诊断，老人左半身中风，随后被送往医院。多亏了细心的邻居和聪明的狗狗，老人才得救了。（@钱江晚报）L钱江晚报的微博视频,,,钱江晚报,独居老人突发意外狗狗救了他的命,0,4,1,2022-12-09 21:10,微博视频号,,"http://f.video.weibocdn.com/o0/9458R9TGlx081pJVtR1601041200pyUS0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007478&ssig=G8YKxf8nMH&KID=unistore,video",,,蓝V
4844871964430792,MiPk8iAEo,6816595411,杭州落户-上学-车牌,#独居老人突发意外狗狗救了他的命#🌟办理杭州落户，制定专属落户方案🌟免两年社保摇车牌、申请区域牌🌟申请杭州公租房补贴#杭州落户##杭州车牌摇号##杭州区域牌照##杭州租房补贴#,,,,"独居老人突发意外狗狗救了他的命,杭州落户,杭州车牌摇号,杭州区域牌照,杭州租房补贴",0,0,0,2022-12-09 21:02,iPhone客户端,,,,,普通用户
4844861180613981,MiP2K2zIV,3202465767,莘庄莘事,#独居老人突发意外狗狗救了他的命#【杭州独居老人突发意外，狗狗反常举动救了他的命】“他家的狗狗叫了一天！会不会出事了？你们快来看看！”近日，杭州萧山城厢派出所接到某社区工作人员求助，说小区独居老人杨大伯可能遇到危险。杨大伯今年78岁，平时独居。大伯养了一只狗狗，平时很安静的，事发当天很反常，一直狂叫不止。邻居担心情况前去敲门，可无论怎么敲，屋内都没有反应，便联系了社区。事关群众安危，城厢派出所立刻处警。警方赶到时，老人意识虽然清醒，但一侧身体被躺椅压住，不能动弹。医护人员初步诊断，老人左半身中风，随后被送往医院。多亏了细心的邻居和聪明的狗狗，老人才得救了。@钱江晚报L钱江晚报的微博视频,,,钱江晚报,独居老人突发意外狗狗救了他的命,0,0,1,2022-12-09 20:19,微博视频号,,"http://f.video.weibocdn.com/o0/9458R9TGlx081pJVtR1601041200pyUS0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007478&ssig=G8YKxf8nMH&KID=unistore,video",,,蓝V
4844840875205503,MiOvZlQbJ,1314608344,新闻晨报,#独居老人突发意外狗狗救了他的命#【杭州独居老人突发意外，狗狗反常举动救了他的命】“他家的狗狗叫了一天！会不会出事了？你们快来看看！”近日，杭州萧山城厢派出所接到某社区工作人员求助，说小区独居老人杨大伯可能遇到危险。杨大伯今年78岁，平时独居。大伯养了一只狗狗，平时很安静的，事发当天很反常，一直狂叫不止。邻居担心情况前去敲门，可无论怎么敲，屋内都没有反应，便联系了社区。事关群众安危，城厢派出所立刻处警。警方赶到时，老人意识虽然清醒，但一侧身体被躺椅压住，不能动弹。医护人员初步诊断，老人左半身中风，随后被送往医院。多亏了细心的邻居和聪明的狗狗，老人才得救了。@钱江晚报L钱江晚报的微博视频,,,钱江晚报,独居老人突发意外狗狗救了他的命,0,2,7,2022-12-09 18:59,微博视频号,,"http://f.video.weibocdn.com/o0/9458R9TGlx081pJVtR1601041200pyUS0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007478&ssig=G8YKxf8nMH&KID=unistore,video",,,蓝V
4844829806166650,MiOe8pSe6,1737737970,新民晚报新民网,#独居老人突发意外狗狗救了他的命# 【杭州独居老人突发意外，狗狗反常举动救了他的命】“他家的狗狗叫了一天！会不会出事了？你们快来看看！”近日，杭州萧山城厢派出所接到某社区工作人员求助，说小区独居老人杨大伯可能遇到危险。杨大伯今年78岁，平时独居。大伯养了一只狗狗，平时很安静的，事发当天很反常，一直狂叫不止。邻居担心情况前去敲门，可无论怎么敲，屋内都没有反应，便联系了社区。事关群众安危，城厢派出所立刻处警。警方赶到时，老人意识虽然清醒，但一侧身体被躺椅压住，不能动弹。医护人员初步诊断，老人左半身中风，随后被送往医院。多亏了细心的邻居和聪明的狗狗，老人才得救了。下午，记者采访到了发现问题的邻居汤惠君，她是小区微网格长，今年70岁，是个热心的阿姨。网友们都纷纷为她点赞！via钱江晚报L钱江晚报的微博视频,,,,独居老人突发意外狗狗救了他的命,1,0,8,2022-12-09 18:15,微博视频号,,"http://f.video.weibocdn.com/o0/9458R9TGlx081pJVtR1601041200pyUS0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007478&ssig=G8YKxf8nMH&KID=unistore,video",,,蓝V
4844828942930082,MiOcKcifo,2010261880,社会与法频道阎肃,咔咔就是发超话#独居老人突发意外狗狗救了他的命# 【杭州独居老人突发意外，狗狗反常举动救了他的命】“他家的狗狗叫了一天！会不会出事了？你们快来看看！”近日，杭州萧山城厢派出所接到某社区工作人员求助，说小区独居老人杨大伯可能遇到危险。杨大伯今年78岁，平时独居。大伯养了一只狗狗，平时很安静的，事发当天很反常，一直狂叫不止。邻居担心情况前去敲门，可无论怎么敲，屋内都没有反应，便联系了社区。事关群众安危，城厢派出所立刻处警。警方赶到时，老人意识虽然清醒，但一侧身体被躺椅压住，不能动弹。医护人员初步诊断，老人左半身中风，随后被送往医院。多亏了细心的邻居和聪明的狗狗，老人才得救了。@钱江晚报L钱江晚报的微博视频,,,钱江晚报,独居老人突发意外狗狗救了他的命,0,0,0,2022-12-09 18:11,咔咔就是发超话,,"http://f.video.weibocdn.com/o0/9458R9TGlx081pJVtR1601041200pyUS0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007479&ssig=C4AX6e%2Bzyi&KID=unistore,video",,,红V
4844774567183780,MiMN2u8Pq,6524418589,遇见美好,#独居老人突发意外狗狗救了他的命#【忠犬“立功”！杭州独居男子突发意外，狗狗反常举动救了他的命】“他家的狗狗叫了一天！会不会出事了？你们快来看看！”近日，杭州萧山城厢派出所接到某社区工作人员求助，说小区独居老人杨大伯可能遇到危险。杨大伯今年78岁，萧山本地人，平时独居。大伯养了一只狗狗。狗狗平时很安静的，当天却很反常，一直叫个不停。邻居担心情况前去敲门，可无论怎么敲，屋内都没有反应，便联系了社区。事关群众安危，城厢派出所高度重视。民警沈建欢立即带队赶赴小区。大伯家的门是钢制防盗门，一时难以进入。为争取时间，辅警张连丰通过社区工作人员找来的梯子爬进老人家阳台。由于屋内电灯故障、光线昏暗，大家借着手电的光，循着狗狗叫的方向，在里屋发现了微弱呻吟的杨大伯。老人意识虽然清醒，但一侧身体被躺椅压住，不能动弹。民辅警细心护住老人头部，小心翼翼地将他从躺椅下挪出，慢慢抬起平放到床上。医护人员初步诊断，老人左半身中风。老人随后被大家送往医院。事后，经电话回访民警得知杨大伯情况稳定，需要在医院休养，暂时由杨大伯的外甥照料。12月9日，小时新闻记者联系上了当时出警的沈建欢警官。“当天下午接到社区工作人员的报警，说独居杨大伯养的狗从上午一直叫个不停，比较异常，担心老人家出什么事，所以我们立刻赶过去了。”老人住二楼，不时还能听到狗叫声。敲门门内也无人应答，屋里的狗养了蛮久了，有八九年了，名字叫阿旺。担心老人身体出现什么状况，大家通过梯子进入房内，“我们一边搜索一边喊，到了里边房子，看到屋里杂物比较多，用手电筒照过去，一边喊，听到很微弱的声音，大伯躺在地上，头卡在床边的椅子空隙，估计是摔下床后挣扎过。我们跟大伯说：我们是民警，不要害怕。”大伯养的狗在床边守着，看见陌生人进屋，狗子有点警惕，叫了几声，“我们当时还跟狗子说了句：我们是来救你主人的，那条狗蛮有灵性的，好像听懂了一样，就安静地趴着了。”沈警官说，当时情况还是比较紧急的，也多亏了大伯的邻居和社区工作人员警惕，当然狗子也值得表扬：“狗叫了这么久，让大家发现了异常，否则老人无法求救，可能会更加耽误救治。”至于狗的品种，有人说是金毛，也有人说不是。这都不重要，在救了主人这件事上，它的表现已经足够优秀了。L钱江晚报的微博视频,,,,独居老人突发意外狗狗救了他的命,0,0,0,2022-12-09 14:35,微博视频号,,"http://f.video.weibocdn.com/o0/9458R9TGlx081pJVtR1601041200pyUS0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007479&ssig=C4AX6e%2Bzyi&KID=unistore,video",,,蓝V
4844774567184402,MiMN2u8Zs,1668216997,微博发现,#独居老人突发意外狗狗救了他的命#【忠犬“立功”！杭州独居男子突发意外，狗狗反常举动救了他的命】“他家的狗狗叫了一天！会不会出事了？你们快来看看！”近日，杭州萧山城厢派出所接到某社区工作人员求助，说小区独居老人杨大伯可能遇到危险。杨大伯今年78岁，萧山本地人，平时独居。大伯养了一只狗狗。狗狗平时很安静的，当天却很反常，一直叫个不停。邻居担心情况前去敲门，可无论怎么敲，屋内都没有反应，便联系了社区。事关群众安危，城厢派出所高度重视。民警沈建欢立即带队赶赴小区。大伯家的门是钢制防盗门，一时难以进入。为争取时间，辅警张连丰通过社区工作人员找来的梯子爬进老人家阳台。由于屋内电灯故障、光线昏暗，大家借着手电的光，循着狗狗叫的方向，在里屋发现了微弱呻吟的杨大伯。老人意识虽然清醒，但一侧身体被躺椅压住，不能动弹。民辅警细心护住老人头部，小心翼翼地将他从躺椅下挪出，慢慢抬起平放到床上。医护人员初步诊断，老人左半身中风。老人随后被大家送往医院。事后，经电话回访民警得知杨大伯情况稳定，需要在医院休养，暂时由杨大伯的外甥照料。12月9日，小时新闻记者联系上了当时出警的沈建欢警官。“当天下午接到社区工作人员的报警，说独居杨大伯养的狗从上午一直叫个不停，比较异常，担心老人家出什么事，所以我们立刻赶过去了。”老人住二楼，不时还能听到狗叫声。敲门门内也无人应答，屋里的狗养了蛮久了，有八九年了，名字叫阿旺。担心老人身体出现什么状况，大家通过梯子进入房内，“我们一边搜索一边喊，到了里边房子，看到屋里杂物比较多，用手电筒照过去，一边喊，听到很微弱的声音，大伯躺在地上，头卡在床边的椅子空隙，估计是摔下床后挣扎过。我们跟大伯说：我们是民警，不要害怕。”大伯养的狗在床边守着，看见陌生人进屋，狗子有点警惕，叫了几声，“我们当时还跟狗子说了句：我们是来救你主人的，那条狗蛮有灵性的，好像听懂了一样，就安静地趴着了。”沈警官说，当时情况还是比较紧急的，也多亏了大伯的邻居和社区工作人员警惕，当然狗子也值得表扬：“狗叫了这么久，让大家发现了异常，否则老人无法求救，可能会更加耽误救治。”至于狗的品种，有人说是金毛，也有人说不是。这都不重要，在救了主人这件事上，它的表现已经足够优秀了。L钱江晚报的微博视频,,,,独居老人突发意外狗狗救了他的命,0,0,1,2022-12-09 14:35,微博视频号,,"http://f.video.weibocdn.com/o0/9458R9TGlx081pJVtR1601041200pyUS0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007479&ssig=C4AX6e%2Bzyi&KID=unistore,video",,,蓝V
4844774567715455,MiMN2wn8P,1778857227,微博媒体学院,#独居老人突发意外狗狗救了他的命#【忠犬“立功”！杭州独居男子突发意外，狗狗反常举动救了他的命】“他家的狗狗叫了一天！会不会出事了？你们快来看看！”近日，杭州萧山城厢派出所接到某社区工作人员求助，说小区独居老人杨大伯可能遇到危险。杨大伯今年78岁，萧山本地人，平时独居。大伯养了一只狗狗。狗狗平时很安静的，当天却很反常，一直叫个不停。邻居担心情况前去敲门，可无论怎么敲，屋内都没有反应，便联系了社区。事关群众安危，城厢派出所高度重视。民警沈建欢立即带队赶赴小区。大伯家的门是钢制防盗门，一时难以进入。为争取时间，辅警张连丰通过社区工作人员找来的梯子爬进老人家阳台。由于屋内电灯故障、光线昏暗，大家借着手电的光，循着狗狗叫的方向，在里屋发现了微弱呻吟的杨大伯。老人意识虽然清醒，但一侧身体被躺椅压住，不能动弹。民辅警细心护住老人头部，小心翼翼地将他从躺椅下挪出，慢慢抬起平放到床上。医护人员初步诊断，老人左半身中风。老人随后被大家送往医院。事后，经电话回访民警得知杨大伯情况稳定，需要在医院休养，暂时由杨大伯的外甥照料。12月9日，小时新闻记者联系上了当时出警的沈建欢警官。“当天下午接到社区工作人员的报警，说独居杨大伯养的狗从上午一直叫个不停，比较异常，担心老人家出什么事，所以我们立刻赶过去了。”老人住二楼，不时还能听到狗叫声。敲门门内也无人应答，屋里的狗养了蛮久了，有八九年了，名字叫阿旺。担心老人身体出现什么状况，大家通过梯子进入房内，“我们一边搜索一边喊，到了里边房子，看到屋里杂物比较多，用手电筒照过去，一边喊，听到很微弱的声音，大伯躺在地上，头卡在床边的椅子空隙，估计是摔下床后挣扎过。我们跟大伯说：我们是民警，不要害怕。”大伯养的狗在床边守着，看见陌生人进屋，狗子有点警惕，叫了几声，“我们当时还跟狗子说了句：我们是来救你主人的，那条狗蛮有灵性的，好像听懂了一样，就安静地趴着了。”沈警官说，当时情况还是比较紧急的，也多亏了大伯的邻居和社区工作人员警惕，当然狗子也值得表扬：“狗叫了这么久，让大家发现了异常，否则老人无法求救，可能会更加耽误救治。”至于狗的品种，有人说是金毛，也有人说不是。这都不重要，在救了主人这件事上，它的表现已经足够优秀了。L钱江晚报的微博视频,,,,独居老人突发意外狗狗救了他的命,0,0,0,2022-12-09 14:35,微博视频号,,"http://f.video.weibocdn.com/o0/9458R9TGlx081pJVtR1601041200pyUS0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007479&ssig=C4AX6e%2Bzyi&KID=unistore,video",,,蓝V
