id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4990869818052275,NC7WdxMLp,1685715705,长江云新闻,【小调查：#独居老人被诈骗该怎么办#】近日，河南郑州，81岁的吕奶奶报警称，自己一辈子的积蓄和老伴去世的抚恤金全部被骗走了。#81岁老人被骗50万民警千里奔袭破案#@猛犸新闻http://t.cn/A6jU1pxx,,,猛犸新闻http,"独居老人被诈骗该怎么办,81岁老人被骗50万民警千里奔袭破案",0,0,1,2024-01-16 18:05,微博网页版,,,,,蓝V
4990867039588051,NC7RJEehZ,1841812881,生活帮,【小调查：#独居老人被诈骗该怎么办#】近日，河南郑州，81岁的吕奶奶报警称，自己一辈子的积蓄和老伴去世的抚恤金全部被骗走了。#81岁老人被骗50万民警千里奔袭破案#@猛犸新闻http://t.cn/A6jU1pxx,,,猛犸新闻http,"独居老人被诈骗该怎么办,81岁老人被骗50万民警千里奔袭破案",0,0,0,2024-01-16 17:54,微博网页版,,,,,蓝V
4990864370175204,NC7Nr0JzS,6451928064,重庆天天630,【小调查：#独居老人被诈骗该怎么办#】近日，河南郑州，81岁的吕奶奶报警称，自己一辈子的积蓄和老伴去世的抚恤金全部被骗走了。#81岁老人被骗50万民警千里奔袭破案#@猛犸新闻http://t.cn/A6jU1pxx,,,猛犸新闻http,"独居老人被诈骗该怎么办,81岁老人被骗50万民警千里奔袭破案",0,0,0,2024-01-16 17:44,微博云剪,,,,,蓝V
4990864281571593,NC7Ni6AQh,6166805925,闪电视频,【小调查：#独居老人被诈骗该怎么办#】近日，河南郑州，81岁的吕奶奶报警称，自己一辈子的积蓄和老伴去世的抚恤金全部被骗走了。#81岁老人被骗50万民警千里奔袭破案#@猛犸新闻http://t.cn/A6jU1pxx,,,猛犸新闻http,"独居老人被诈骗该怎么办,81岁老人被骗50万民警千里奔袭破案",0,0,0,2024-01-16 17:43,微博云剪,,,,,蓝V
4990863073087284,NC7LlcX8U,7343316773,光芒视频,【小调查：#独居老人被诈骗该怎么办#】近日，河南郑州，81岁的吕奶奶报警称，自己一辈子的积蓄和老伴去世的抚恤金全部被骗走了。#81岁老人被骗50万民警千里奔袭破案#@猛犸新闻http://t.cn/A6jU1pxx,,,猛犸新闻http,"独居老人被诈骗该怎么办,81岁老人被骗50万民警千里奔袭破案",0,0,0,2024-01-16 17:39,微博网页版,,,,,蓝V
4990862635570276,NC7KDnn5a,6832737888,当代国学网,【小调查：#独居老人被诈骗该怎么办#】近日，河南郑州，81岁的吕奶奶报警称，自己一辈子的积蓄和老伴去世的抚恤金全部被骗走了。#81岁老人被骗50万民警千里奔袭破案#@猛犸新闻http://t.cn/A6jU1pxx,,,猛犸新闻http,"独居老人被诈骗该怎么办,81岁老人被骗50万民警千里奔袭破案",0,0,0,2024-01-16 17:37,HUAWEI P40 Pro 5G,,,,,普通用户
4990862463336553,NC7KmdZZn,7141087529,铁骥视频,【小调查：#独居老人被诈骗该怎么办#】近日，河南郑州，81岁的吕奶奶报警称，自己一辈子的积蓄和老伴去世的抚恤金全部被骗走了。#81岁老人被骗50万民警千里奔袭破案#@猛犸新闻http://t.cn/A6jU1pxx,,,猛犸新闻http,"独居老人被诈骗该怎么办,81岁老人被骗50万民警千里奔袭破案",31,5,51,2024-01-16 17:36,微博网页版,,,,,蓝V
4990855952466830,NC7zRalJA,7308140398,大象新闻,【小调查：#独居老人被诈骗该怎么办#】近日，河南郑州，81岁的吕奶奶报警称，自己一辈子的积蓄和老伴去世的抚恤金全部被骗走了。#81岁老人被骗50万民警千里奔袭破案#独居老人被诈骗该怎么办,,,,"独居老人被诈骗该怎么办,81岁老人被骗50万民警千里奔袭破案",0,1,0,2024-01-16 17:10,微博网页版,,,,,蓝V
4990849570312688,NC7pz1jlm,1688864597,河南之声,【小调查：#独居老人被诈骗该怎么办#】近日，河南郑州，81岁的吕奶奶报警称，自己一辈子的积蓄和老伴去世的抚恤金全部被骗走了。#81岁老人被骗50万民警千里奔袭破案#独居老人被诈骗该怎么办,,,,"独居老人被诈骗该怎么办,81岁老人被骗50万民警千里奔袭破案",0,0,0,2024-01-16 16:45,微博网页版,,,,,蓝V
4990849106840140,NC7oOsHqQ,1672519561,猛犸新闻,【小调查：#独居老人被诈骗该怎么办#】近日，河南郑州，81岁的吕奶奶报警称，自己一辈子的积蓄和老伴去世的抚恤金全部被骗走了。#81岁老人被骗50万民警千里奔袭破案#独居老人被诈骗该怎么办,,,,"独居老人被诈骗该怎么办,81岁老人被骗50万民警千里奔袭破案",2,13,62,2024-01-16 16:43,微博网页版,,,,,蓝V
4990839623517813,NC79weL8V,1672519561,猛犸新闻,【#81岁老人被骗50万民警千里奔袭破案#】近日，河南郑州，81岁的吕奶奶报警称，自己一辈子的积蓄和老伴去世的抚恤金全部被骗走了。事情的起因，就是一通莫名其妙的电话。#独居老人被诈骗该怎么办#电信诈骗超话L猛犸新闻的微博视频,,,,"81岁老人被骗50万民警千里奔袭破案,独居老人被诈骗该怎么办",1,14,1,2024-01-16 16:05,微博视频号,,"http://f.video.weibocdn.com/o0/ti531vP6lx08bMQUqwUo01041201Xdo90E010.mp4?label=mp4_720p&template=968x544.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015448&ssig=pr%2BrWq6SVb&KID=unistore,video",,,蓝V
