id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4991464435877810,NCnphoF5o,5617894057,宁波网警,#八旬老人遭跨境电诈被骗50余万元#【八旬独居老人遭跨境电诈民警千里奔袭破案中案】#独居老人遭电诈民警千里奔袭破案中案#2023年9月，反诈大数据平台上出现了一条报警信息，让郑州市公安局中原分局的值班民警欣喜万分，因为他们等这条信息，已经等了半个多月了。原来，这是民警在破获另一起案件中被连带出来的“案中案”，但由于涉及到的上线和“卡农”环节较多，民警无法直接追溯到受害人的账户信息，只好边侦办案件边等待相关报案。报警人是81岁的独居老人吕奶奶，半个月前她接到了一通陌生电话，对方自称是上海市公安局，表示吕奶奶的身份证丢失，并卷入了一起贪污受贿案，需要吕奶奶将银行存款打入公安局的“安全账户”，他们核实下资金来源是合法的再归还，否则就要对吕奶奶进行抓捕。恐惧之下，吕奶奶将一辈子的存款和老伴去世的抚恤金共50万全部打了过去。直到半个月后，联系不上对方，吕奶奶才意识到被骗了，遂报警。L大象新闻的微博视频,,,,"八旬老人遭跨境电诈被骗50余万元,独居老人遭电诈民警千里奔袭破案中案",1,0,0,2024-01-18 09:28,微博视频号,,"http://f.video.weibocdn.com/o0/TA9MRhKBlx08bNZW2kDe01041202xIcd0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015221&ssig=6Q5gDr%2BClg&KID=unistore,video",,,蓝V
4991438796359691,NCmJVqGrF,5611046370,哈尔滨网警,#八旬老人遭跨境电诈被骗50余万元#【八旬独居老人遭跨境电诈民警千里奔袭破案中案】#独居老人遭电诈民警千里奔袭破案中案#2023年9月，反诈大数据平台上出现了一条报警信息，让郑州市公安局中原分局的值班民警欣喜万分，因为他们等这条信息，已经等了半个多月了。原来，这是民警在破获另一起案件中被连带出来的“案中案”，但由于涉及到的上线和“卡农”环节较多，民警无法直接追溯到受害人的账户信息，只好边侦办案件边等待相关报案。报警人是81岁的独居老人吕奶奶，半个月前她接到了一通陌生电话，对方自称是上海市公安局，表示吕奶奶的身份证丢失，并卷入了一起贪污受贿案，需要吕奶奶将银行存款打入公安局的“安全账户”，他们核实下资金来源是合法的再归还，否则就要对吕奶奶进行抓捕。恐惧之下，吕奶奶将一辈子的存款和老伴去世的抚恤金共50万全部打了过去。直到半个月后，联系不上对方，吕奶奶才意识到被骗了，遂报警。@大象新闻L大象新闻的微博视频,,郑州,大象新闻,"八旬老人遭跨境电诈被骗50余万元,独居老人遭电诈民警千里奔袭破案中案",0,1,1,2024-01-18 07:46,微博视频号,,"http://f.video.weibocdn.com/o0/TA9MRhKBlx08bNZW2kDe01041202xIcd0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015221&ssig=6Q5gDr%2BClg&KID=unistore,video",,,蓝V
4991234500988375,NChqq497x,1735937570,江南都市报,#八旬老人遭跨境电诈被骗50余万元#【八旬独居老人遭跨境电诈民警千里奔袭破案中案】#独居老人遭电诈民警千里奔袭破案中案#2023年9月，反诈大数据平台上出现了一条报警信息，让郑州市公安局中原分局的值班民警欣喜万分，因为他们等这条信息，已经等了半个多月了。原来，这是民警在破获另一起案件中被连带出来的“案中案”，但由于涉及的上线和“卡农”环节较多，民警无法直接追溯到受害人的账户信息，只好边侦办案件边等待相关报案。报警人是81岁的独居老人吕奶奶，半个月前她接到了一通陌生电话，对方自称是上海市公安局，表示吕奶奶的身份证丢失，并卷入了一起贪污受贿案，需要吕奶奶将银行存款打入公安局的“安全账户”，他们核实下资金来源是合法的再归还，否则就要对吕奶奶进行抓捕。恐惧之下，吕奶奶将一辈子的存款和老伴去世的抚恤金共50万全部打了过去。直到半个月后，联系不上对方，吕奶奶才意识到被骗了，遂报警。@大象新闻L大象新闻的微博视频,,郑州,大象新闻,"八旬老人遭跨境电诈被骗50余万元,独居老人遭电诈民警千里奔袭破案中案",1,0,1,2024-01-17 18:15,微博视频号,,"http://f.video.weibocdn.com/o0/TA9MRhKBlx08bNZW2kDe01041202xIcd0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015221&ssig=6Q5gDr%2BClg&KID=unistore,video",,,蓝V
4991176835077128,NCfVpliNa,2542145332,上海吃喝玩乐fun,#八旬老人遭跨境电诈被骗50余万元#【八旬独居老人遭跨境电诈民警千里奔袭破案中案】#独居老人遭电诈民警千里奔袭破案中案#2023年9月，反诈大数据平台上出现了一条报警信息，让郑州市公安局中原分局的值班民警欣喜万分，因为他们等这条信息，已经等了半个多月了。原来，这是民警在破获另一起案件中被连带出来的“案中案”，但由于涉及到的上线和“卡农”环节较多，民警无法直接追溯到受害人的账户信息，只好边侦办案件边等待相关报案。报警人是81岁的独居老人吕奶奶，半个月前她接到了一通陌生电话，对方自称是上海市公安局，表示吕奶奶的身份证丢失，并卷入了一起贪污受贿案，需要吕奶奶将银行存款打入公安局的“安全账户”，他们核实下资金来源是合法的再归还，否则就要对吕奶奶进行抓捕。恐惧之下，吕奶奶将一辈子的存款和老伴去世的抚恤金共50万全部打了过去。直到半个月后，联系不上对方，吕奶奶才意识到被骗了，遂报警。L大象新闻的微博视频,,,,"八旬老人遭跨境电诈被骗50余万元,独居老人遭电诈民警千里奔袭破案中案",0,0,1,2024-01-17 14:25,微博视频号,,"http://f.video.weibocdn.com/o0/TA9MRhKBlx08bNZW2kDe01041202xIcd0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015221&ssig=6Q5gDr%2BClg&KID=unistore,video",,,黄V
4991151796388834,NCfh1qO1I,1880087643,北京新闻广播,#八旬老人遭跨境电诈被骗50余万元#【八旬独居老人遭跨境电诈民警千里奔袭破案中案】#独居老人遭电诈民警千里奔袭破案中案#2023年9月，反诈大数据平台上出现了一条报警信息，让郑州市公安局中原分局的值班民警欣喜万分，因为他们等这条信息，已经等了半个多月了。原来，这是民警在破获另一起案件中被连带出来的“案中案”，但由于涉及到的上线和“卡农”环节较多，民警无法直接追溯到受害人的账户信息，只好边侦办案件边等待相关报案。报警人是81岁的独居老人吕奶奶，半个月前她接到了一通陌生电话，对方自称是上海市公安局，表示吕奶奶的身份证丢失，并卷入了一起贪污受贿案，需要吕奶奶将银行存款打入公安局的“安全账户”，他们核实下资金来源是合法的再归还，否则就要对吕奶奶进行抓捕。恐惧之下，吕奶奶将一辈子的存款和老伴去世的抚恤金共50万全部打了过去。直到半个月后，联系不上对方，吕奶奶才意识到被骗了，遂报警。L大象新闻的微博视频,,郑州,,"八旬老人遭跨境电诈被骗50余万元,独居老人遭电诈民警千里奔袭破案中案",0,0,0,2024-01-17 12:46,微博视频号,,"http://f.video.weibocdn.com/o0/TA9MRhKBlx08bNZW2kDe01041202xIcd0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015221&ssig=6Q5gDr%2BClg&KID=unistore,video",,,蓝V
4991140054963756,NCeY5kPiA,1715196611,福建987私家车广播,#八旬老人遭跨境电诈被骗50余万元#【八旬独居老人遭跨境电诈民警千里奔袭破案中案】#独居老人遭电诈民警千里奔袭破案中案#2023年9月，反诈大数据平台上出现了一条报警信息，让郑州市公安局中原分局的值班民警欣喜万分，因为他们等这条信息，已经等了半个多月了。原来，这是民警在破获另一起案件中被连带出来的“案中案”，但由于涉及到的上线和“卡农”环节较多，民警无法直接追溯到受害人的账户信息，只好边侦办案件边等待相关报案。报警人是81岁的独居老人吕奶奶，半个月前她接到了一通陌生电话，对方自称是上海市公安局，表示吕奶奶的身份证丢失，并卷入了一起贪污受贿案，需要吕奶奶将银行存款打入公安局的“安全账户”，他们核实下资金来源是合法的再归还，否则就要对吕奶奶进行抓捕。恐惧之下，吕奶奶将一辈子的存款和老伴去世的抚恤金共50万全部打了过去。直到半个月后，联系不上对方，吕奶奶才意识到被骗了，遂报警。@大象新闻L大象新闻的微博视频,,郑州,大象新闻,"八旬老人遭跨境电诈被骗50余万元,独居老人遭电诈民警千里奔袭破案中案",0,0,0,2024-01-17 11:59,微博视频号,,"http://f.video.weibocdn.com/o0/TA9MRhKBlx08bNZW2kDe01041202xIcd0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015221&ssig=6Q5gDr%2BClg&KID=unistore,video",,,蓝V
4991132740357157,NCeMi1uUB,2259880587,内蒙古广播电视台,#八旬老人遭跨境电诈被骗50余万元#【八旬独居老人遭跨境电诈民警千里奔袭破案中案】#独居老人遭电诈民警千里奔袭破案中案#2023年9月，反诈大数据平台上出现了一条报警信息，让郑州市公安局中原分局的值班民警欣喜万分，因为他们等这条信息，已经等了半个多月了。原来，这是民警在破获另一起案件中被连带出来的“案中案”，但由于涉及到的上线和“卡农”环节较多，民警无法直接追溯到受害人的账户信息，只好边侦办案件边等待相关报案。报警人是81岁的独居老人吕奶奶，半个月前她接到了一通陌生电话，对方自称是上海市公安局，表示吕奶奶的身份证丢失，并卷入了一起贪污受贿案，需要吕奶奶将银行存款打入公安局的“安全账户”，他们核实下资金来源是合法的再归还，否则就要对吕奶奶进行抓捕。恐惧之下，吕奶奶将一辈子的存款和老伴去世的抚恤金共50万全部打了过去。直到半个月后，联系不上对方，吕奶奶才意识到被骗了，遂报警。@大象新闻L大象新闻的微博视频,,郑州,大象新闻,"八旬老人遭跨境电诈被骗50余万元,独居老人遭电诈民警千里奔袭破案中案",0,0,0,2024-01-17 11:30,微博视频号,,"http://f.video.weibocdn.com/o0/TA9MRhKBlx08bNZW2kDe01041202xIcd0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015221&ssig=6Q5gDr%2BClg&KID=unistore,video",,,蓝V
4991127717416197,NCeEbv7i5,1768470921,青岛新闻网,#八旬老人遭跨境电诈被骗50余万元#【八旬独居老人遭跨境电诈民警千里奔袭破案中案】#独居老人遭电诈民警千里奔袭破案中案#2023年9月，反诈大数据平台上出现了一条报警信息，让郑州市公安局中原分局的值班民警欣喜万分，因为他们等这条信息，已经等了半个多月了。原来，这是民警在破获另一起案件中被连带出来的“案中案”，但由于涉及到的上线和“卡农”环节较多，民警无法直接追溯到受害人的账户信息，只好边侦办案件边等待相关报案。报警人是81岁的独居老人吕奶奶，半个月前她接到了一通陌生电话，对方自称是上海市公安局，表示吕奶奶的身份证丢失，并卷入了一起贪污受贿案，需要吕奶奶将银行存款打入公安局的“安全账户”，他们核实下资金来源是合法的再归还，否则就要对吕奶奶进行抓捕。恐惧之下，吕奶奶将一辈子的存款和老伴去世的抚恤金共50万全部打了过去。直到半个月后，联系不上对方，吕奶奶才意识到被骗了，遂报警。@大象新闻L大象新闻的微博视频,,郑州,大象新闻,"八旬老人遭跨境电诈被骗50余万元,独居老人遭电诈民警千里奔袭破案中案",0,0,0,2024-01-17 11:10,iPhone客户端,,"http://f.video.weibocdn.com/o0/TA9MRhKBlx08bNZW2kDe01041202xIcd0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015221&ssig=6Q5gDr%2BClg&KID=unistore,video",,,蓝V
4991121858235325,NCeuJyynP,1908105953,岳阳晚报社,#八旬老人遭跨境电诈被骗50余万元#【八旬独居老人遭跨境电诈民警千里奔袭破案中案】#独居老人遭电诈民警千里奔袭破案中案#2023年9月，反诈大数据平台上出现了一条报警信息，让郑州市公安局中原分局的值班民警欣喜万分，因为他们等这条信息，已经等了半个多月了。原来，这是民警在破获另一起案件中被连带出来的“案中案”，但由于涉及到的上线和“卡农”环节较多，民警无法直接追溯到受害人的账户信息，只好边侦办案件边等待相关报案。报警人是81岁的独居老人吕奶奶，半个月前她接到了一通陌生电话，对方自称是上海市公安局，表示吕奶奶的身份证丢失，并卷入了一起贪污受贿案，需要吕奶奶将银行存款打入公安局的“安全账户”，他们核实下资金来源是合法的再归还，否则就要对吕奶奶进行抓捕。恐惧之下，吕奶奶将一辈子的存款和老伴去世的抚恤金共50万全部打了过去。直到半个月后，联系不上对方，吕奶奶才意识到被骗了，遂报警。（大象新闻）L大象新闻的微博视频,,郑州,,"八旬老人遭跨境电诈被骗50余万元,独居老人遭电诈民警千里奔袭破案中案",2,0,0,2024-01-17 10:47,iPhone客户端,,"http://f.video.weibocdn.com/o0/TA9MRhKBlx08bNZW2kDe01041202xIcd0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015221&ssig=6Q5gDr%2BClg&KID=unistore,video",,,蓝V
4991120555639349,NCesDnF3f,1765841353,中华网军事,#八旬老人遭跨境电诈被骗50余万元#【八旬独居老人遭跨境电诈民警千里奔袭破案中案】#独居老人遭电诈民警千里奔袭破案中案#2023年9月，反诈大数据平台上出现了一条报警信息，让郑州市公安局中原分局的值班民警欣喜万分，因为他们等这条信息，已经等了半个多月了。原来，这是民警在破获另一起案件中被连带出来的“案中案”，但由于涉及到的上线和“卡农”环节较多，民警无法直接追溯到受害人的账户信息，只好边侦办案件边等待相关报案。报警人是81岁的独居老人吕奶奶，半个月前她接到了一通陌生电话，对方自称是上海市公安局，表示吕奶奶的身份证丢失，并卷入了一起贪污受贿案，需要吕奶奶将银行存款打入公安局的“安全账户”，他们核实下资金来源是合法的再归还，否则就要对吕奶奶进行抓捕。恐惧之下，吕奶奶将一辈子的存款和老伴去世的抚恤金共50万全部打了过去。直到半个月后，联系不上对方，吕奶奶才意识到被骗了，遂报警。@大象新闻L大象新闻的微博视频,,郑州,大象新闻,"八旬老人遭跨境电诈被骗50余万元,独居老人遭电诈民警千里奔袭破案中案",0,0,0,2024-01-17 10:42,iPhone客户端,,"http://f.video.weibocdn.com/o0/TA9MRhKBlx08bNZW2kDe01041202xIcd0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015221&ssig=6Q5gDr%2BClg&KID=unistore,video",,,蓝V
