id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4900339768099462,N08Q0xZ2u,7762003968,吃铲铲-,我崩溃了…舅舅的女儿要来家里住…#两女子酒后锁脚两人三足式求助消防##独居老人酒后失联家人心急求助消防##独居老人如何注意消防安全#,,,,"两女子酒后锁脚两人三足式求助消防,独居老人酒后失联家人心急求助消防,独居老人如何注意消防安全",0,2,3,2023-05-11 22:31,,,,,,普通用户
4879156111737054,Mxdd97hT0,1926663481,南京消防,【#一通挂念的报警电话让独居老人温暖#】近日，天津和平，独居老人电话不接，家人担心老人安危，心急如焚报警求助。消防员赶赴，连续敲门后老人听到动静前来开门，询问得知，老人喝醉酒这才没听到家人电话。消防员在确认其安全后向家人报平安，电话另一头虽心有埋怨，但见老人无大碍难掩关心。ps:小酌怡情，大醉家人会担心的呀~#独居老人酒后失联家人心急求助消防#L中国消防的微博视频,,,,"一通挂念的报警电话让独居老人温暖,独居老人酒后失联家人心急求助消防",0,0,2,2023-03-14 11:35,微博视频号,,"http://f.video.weibocdn.com/o0/iLKaspPMlx083PIetxT2010412008dMs0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997130&ssig=DwZ2GgbdBq&KID=unistore,video",,,蓝V
4878906593643418,Mx6IHfhOO,1648119052,山西消防,【#独居老人酒后失联家人心急求助消防#】3月10日，天津和平，一名独居老人失联，家人联系不上无奈求助消防。消防员根据家人提供的地址上门查看，连续敲门后老人听到动静前来开门，经了解原来是老人喝醉酒没有听到家人电话。消防员在确认老人安全后向家人报平安，电话另一头的家人虽然有些抱怨但难掩关心。提示：小酌怡情，大醉可是会让家人担心的~L天津消防的微博视频,,,,独居老人酒后失联家人心急求助消防,0,0,0,2023-03-13 19:04,微博视频号,,"http://f.video.weibocdn.com/o0/eXHvkcgWlx083PoHg3bG010412008n1i0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997130&ssig=om5btTzZ6Q&KID=unistore,video",,,蓝V
4878870472032946,Mx5Mr8wRs,2258833123,北京消防,【#独居老人酒后失联家人心急求助消防#】3月10日，天津和平，一名独居老人失联，家人联系不上无奈求助消防。消防员根据家人提供的地址上门查看，连续敲门后老人听到动静前来开门，经了解原来是老人喝醉酒没有听到家人电话。消防员在确认老人安全后向家人报平安，电话另一头的家人虽然有些抱怨但难掩关心。提示：小酌怡情，大醉可是会让家人担心的~L天津消防的微博视频,,,,独居老人酒后失联家人心急求助消防,3,2,1,2023-03-13 16:40,微博视频号,,"http://f.video.weibocdn.com/o0/eXHvkcgWlx083PoHg3bG010412008n1i0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997130&ssig=om5btTzZ6Q&KID=unistore,video",,,蓝V
4878830089801879,Mx4JiF7UP,2426300195,呼和浩特消防,【#独居老人酒后失联家人心急求助消防#】3月10日，天津和平，一名独居老人失联，家人联系不上无奈求助消防。消防员根据家人提供的地址上门查看，连续敲门后老人听到动静前来开门，经了解原来是老人喝醉酒没有听到家人电话。消防员在确认老人安全后向家人报平安，电话另一头的家人虽然有些抱怨但难掩关心。提示：小酌怡情，大醉可是会让家人担心的~L天津消防的微博视频,,,,独居老人酒后失联家人心急求助消防,0,7,8,2023-03-13 14:00,微博视频号,,"http://f.video.weibocdn.com/o0/eXHvkcgWlx083PoHg3bG010412008n1i0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997130&ssig=om5btTzZ6Q&KID=unistore,video",,,蓝V
4878806912076672,Mx47V8IeI,7310755058,天津叨哥,【#独居老人酒后失联家人心急求助消防#】提示：小酌怡情，大醉可是会让家人担心的~L大直沽二伯的微博视频,,,,独居老人酒后失联家人心急求助消防,0,0,0,2023-03-13 12:27,Android,,"http://fb.video.weibocdn.com/o8/wDvOZvztlx083PKJkuGI010412007hel0E018.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997130&ssig=n71Mi%2Fs7z1&KID=unistore,video",,,黄V
4878769695754044,Mx39To8Ta,5493832963,金山消防,【#独居老人酒后失联家人心急求助消防#】3月10日，天津和平，一名独居老人失联，家人联系不上无奈求助消防。消防员根据家人提供的地址上门查看，连续敲门后老人听到动静前来开门，经了解原来是老人喝醉酒没有听到家人电话。消防员在确认老人安全后向家人报平安，电话另一头的家人虽然有些抱怨但难掩关心。提示：小酌怡情，大醉可是会让家人担心的~L天津消防的微博视频,,,,独居老人酒后失联家人心急求助消防,1,1,1,2023-03-13 10:00,微博视频号,,"http://f.video.weibocdn.com/o0/eXHvkcgWlx083PoHg3bG010412008n1i0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997130&ssig=om5btTzZ6Q&KID=unistore,video",,,蓝V
4878764062805630,Mx30ObLS6,5430282517,大同消防,【#独居老人酒后失联家人心急求助消防#】3月10日，天津和平，一名独居老人失联，家人联系不上无奈求助消防。消防员根据家人提供的地址上门查看，连续敲门后老人听到动静前来开门，经了解原来是老人喝醉酒没有听到家人电话。消防员在确认老人安全后向家人报平安，电话另一头的家人虽然有些抱怨但难掩关心。提示：小酌怡情，大醉可是会让家人担心的~@天津消防L天津消防的微博视频,,,天津消防,独居老人酒后失联家人心急求助消防,21,37,73,2023-03-13 09:37,微博视频号,,"http://f.video.weibocdn.com/o0/eXHvkcgWlx083PoHg3bG010412008n1i0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997130&ssig=om5btTzZ6Q&KID=unistore,video",,,蓝V
4878762837281135,Mx2YPuy9F,5685698571,都匀检察,【#独居老人酒后失联家人心急求助消防#】3月10日，天津和平，一名独居老人失联，家人联系不上无奈求助消防。消防员根据家人提供的地址上门查看，连续敲门后老人听到动静前来开门，经了解原来是老人喝醉酒没有听到家人电话。消防员在确认老人安全后向家人报平安，电话另一头的家人虽然有些抱怨但难掩关心。提示：小酌怡情，大醉可是会让家人担心的~L天津消防的微博视频,,,,独居老人酒后失联家人心急求助消防,0,0,0,2023-03-13 09:32,微博视频号,,"http://f.video.weibocdn.com/o0/eXHvkcgWlx083PoHg3bG010412008n1i0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997130&ssig=om5btTzZ6Q&KID=unistore,video",,,蓝V
4878757045996992,Mx2Pupa5G,3699166284,北海消防119,【#独居老人酒后失联家人心急求助消防#】3月10日，天津和平，一名独居老人失联，家人联系不上无奈求助消防。消防员根据家人提供的地址上门查看，连续敲门后老人听到动静前来开门，经了解原来是老人喝醉酒没有听到家人电话。消防员在确认老人安全后向家人报平安，电话另一头的家人虽然有些抱怨但难掩关心。提示：小酌怡情，大醉可是会让家人担心的~L天津消防的微博视频,,,,独居老人酒后失联家人心急求助消防,0,0,0,2023-03-13 09:09,微博视频号,,"http://f.video.weibocdn.com/o0/eXHvkcgWlx083PoHg3bG010412008n1i0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1724997130&ssig=om5btTzZ6Q&KID=unistore,video",,,蓝V
