id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4681773466517761,KyjiGrlzb,6606157217,7宫城良田31,#王者荣耀人口老龄化这究竟是为什么？难道真是王者人口老龄化?#王者荣耀防沉迷L7宫城良田31的微博视频,,太原·山西国际商务职业学院,,王者荣耀人口老龄化 这究竟是为什么？难道真是王者人口老龄化? ,0,1,6,2021-09-15 19:27,微博视频号,,"http://f.video.weibocdn.com/NDxnlPHalx07PQx1Qrok010412008hmS0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001762&ssig=QmN3IHkV0t&KID=unistore,video",,,普通用户
4681617656251595,Kyffnqekb,6587004681,欢乐侠,#王者荣耀人口老龄化#请不要质疑卷媒婆的业务能力#今日热门#L欢乐侠的微博视频,,,,"王者荣耀人口老龄化,今日热门",1,0,1,2021-09-15 09:08,微博视频号,,"http://f.video.weibocdn.com/uTzv7motlx07POCmxT8A01041200ZPxH0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001762&ssig=aoR%2B2M3YRg&KID=unistore,video",,,黄V
4681437787458254,Kyazgvieq,2141181041,围脖影视,#王者荣耀人口老龄化#防沉迷升级，取消体验服资格，要重新申请就是白名单了#防沉迷#王者荣耀#今日热门#L围脖影视的微博视频,,,,"王者荣耀人口老龄化,防沉迷 ,今日热门",0,0,1,2021-09-14 21:13,微博视频号,,"http://f.video.weibocdn.com/LKQbqlfllx07POlvuufS01041200bIKA0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001762&ssig=%2F6Z7GrD5Iv&KID=unistore,video",,,黄V
4681435019218813,KyauNCGex,2141181041,围脖影视,#王者荣耀人口老龄化#战神小奉先纯输出吕布才能打出的气势#今日热门#L围脖影视的微博视频,,,,"王者荣耀人口老龄化,今日热门",0,0,0,2021-09-14 21:02,微博视频号,,"http://f.video.weibocdn.com/5nJFUscclx07POFRLvD201041201DVLR0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001762&ssig=vcKXnoW9jt&KID=unistore,video",,,黄V
4681364991118308,Ky8FR4GVe,6587004681,欢乐侠,#王者荣耀人口老龄化#60岁老年人也能五杀?王者荣耀#今日热门#L欢乐侠的微博视频,,,,"王者荣耀人口老龄化,今日热门",0,0,0,2021-09-14 16:24,微博视频号,,"http://f.video.weibocdn.com/cfXOpHdKlx07PNN0FiVy01041200qHjV0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001762&ssig=9ZFeuFUWp%2B&KID=unistore,video",,,黄V
4681362227593415,Ky8BovRor,6587004681,欢乐侠,#王者荣耀人口老龄化#所以为什么要禁瑶？烦死了王者#今日热门#L欢乐侠的微博视频,,,,"王者荣耀人口老龄化,今日热门",0,0,9,2021-09-14 16:13,微博视频号,,"http://f.video.weibocdn.com/3uMTey8olx07PNRqQsOk01041200gnCL0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001762&ssig=jQHqx5JyBj&KID=unistore,video",,,黄V
4681320791280747,Ky7wz5nbd,7086871449,李两京,#王者荣耀人口老龄化#这貂蝉小哥一看就是性情中人。#今日热门#L娱乐十三姨的微博视频,,,,"王者荣耀人口老龄化,今日热门",1,0,2,2021-09-14 13:28,微博视频号,,"http://f.video.weibocdn.com/WtvzSzmMlx07PNleKcvm01041201Fy7z0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001762&ssig=%2B005hgcr%2Ff&KID=unistore,video",,,黄V
4681318270503830,Ky7sv274i,7086871449,李两京,#王者荣耀人口老龄化#是因为足够坚持，才有了幸运的机会#今日热门#L娱乐十三姨的微博视频,,,,"王者荣耀人口老龄化,今日热门",0,0,0,2021-09-14 13:18,微博视频号,,"http://f.video.weibocdn.com/36e1lLz0lx07PNeSqwIo01041205pgsZ0E020.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001762&ssig=3ovv4xLnnw&KID=unistore,video",,,黄V
4681277565831693,Ky6oQot5z,7362321772,无云说,#王者荣耀人口老龄化##今日热门#L看剧时间的微博视频,,,,"王者荣耀人口老龄化,今日热门",1,2,11,2021-09-14 10:36,微博视频号,,"http://f.video.weibocdn.com/i56ViRD1lx07PNUXTE8E01041200mLrw0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001762&ssig=%2B8rrJe6P%2BO&KID=unistore,video",,,金V
4681208107892977,Ky4AOx7k5,7086074432,土味女友,#王者荣耀人口老龄化#听说成年人也要限制游戏时间？看完这条视频你也能理解了#今日热门#L土味女友的微博视频,,,,"王者荣耀人口老龄化,今日热门",0,2,0,2021-09-14 06:00,微博视频号,,"http://f.video.weibocdn.com/Q4AZ3yallx07PNXe2kMM01041200oyms0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001762&ssig=h34irN0vSO&KID=unistore,video",,,普通用户
4681106375578980,Ky1WJnply,7086074768,大树搞机,#王者荣耀人口老龄化#我s2赛季开始玩的，当年的战队的老成员都退游了，莫名伤感#今日热门#L男神都笑了的微博视频,,,,"王者荣耀人口老龄化,今日热门",1,0,5,2021-09-13 23:16,微博视频号,,"http://f.video.weibocdn.com/sWf3S3Y5lx07PNw0CtxC01041200O0tg0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001763&ssig=FOOUA0VNlH&KID=unistore,video",,,普通用户
4681104114582909,Ky1T5jedT,7086074768,大树搞机,#王者荣耀人口老龄化#王者荣耀周瑜哭晕在厕所#今日热门#L男神都笑了的微博视频,,,,"王者荣耀人口老龄化,今日热门",1,0,0,2021-09-13 23:07,微博视频号,,"http://f.video.weibocdn.com/bMpYKEXYlx07PNyt07mg01041200mkrY0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001763&ssig=3NSgZTjP5q&KID=unistore,video",,,普通用户
4681101845466029,Ky1PqmVXL,7086074768,大树搞机,#王者荣耀人口老龄化#谣言都是谣言#今日热门#L男神都笑了的微博视频,,,,"王者荣耀人口老龄化,今日热门",0,0,1,2021-09-13 22:58,微博视频号,,"http://f.video.weibocdn.com/RQVQlz0Alx07PNyVXUAE01041200nKT40E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001763&ssig=slabb0xnYv&KID=unistore,video",,,普通用户
4681079464397434,Ky1fkirYm,7086074474,相当红,#王者荣耀人口老龄化#出大事了？王者荣耀要凉了？手机数码王者荣耀#今日热门#L相当红的微博视频,,,,"王者荣耀人口老龄化,今日热门",0,0,2,2021-09-13 21:29,微博视频号,,"http://f.video.weibocdn.com/mdoRDTqclx07PMnKSlBu01041200jnoq0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001763&ssig=Ij1utidnbB&KID=unistore,video",,,普通用户
4681075941180563,Ky19E4X7l,7086074474,相当红,#王者荣耀人口老龄化#王者秒升一万英雄战力技巧，快去试试吧荣耀萤火计划#今日热门#L相当红的微博视频,,,,"王者荣耀人口老龄化,今日热门",0,0,1,2021-09-13 21:15,微博视频号,,"http://f.video.weibocdn.com/NJ1YY5P4lx07PLR3pv9e01041200dADX0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001763&ssig=LFN%2B5hwVo9&KID=unistore,video",,,普通用户
4681072414298567,Ky13Xi2fJ,7086074474,相当红,#王者荣耀人口老龄化#我宣布我重回全国两万强了#今日热门#L相当红的微博视频,,,,"王者荣耀人口老龄化,今日热门",0,0,0,2021-09-13 21:01,微博视频号,,"http://f.video.weibocdn.com/2rgRGKiSlx07PNqHg1As01041200t9dW0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001763&ssig=ZTHpross%2Fw&KID=unistore,video",,,普通用户
4681036162663150,Ky07ubaO2,7086074768,大树搞机,#王者荣耀人口老龄化#果然阵容越怪赢得越快呀#今日热门#L男神都笑了的微博视频,,,,"王者荣耀人口老龄化,今日热门",1,0,0,2021-09-13 18:37,微博视频号,,"http://f.video.weibocdn.com/8HGnle01lx07PNdyUDI401041202BSgO0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001763&ssig=F2cOFROZJ3&KID=unistore,video",,,普通用户
4681033898004530,Ky03PxAlk,7086074768,大树搞机,#王者荣耀人口老龄化#王者995事件，一把游戏遇见八个瑶#今日热门#L男神都笑了的微博视频,,,,"王者荣耀人口老龄化,今日热门",0,0,0,2021-09-13 18:28,微博视频号,,"http://f.video.weibocdn.com/pz8jVMQclx07PMOl3y9W01041200yQWV0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725001763&ssig=kdvJ%2FQ7YjK&KID=unistore,video",,,普通用户
