id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5038385390158840,Og6zV0FjW,5258139274,SSSiru,郑州大学超话有人密室拼场吗？已有三位求拼场呀在大卫城对面哦速求！！！#大卫城##玩密室拼场拼到老年人##密室大逃脱##密室拼场#,,,,"大卫城,玩密室拼场拼到老年人,密室大逃脱,密室拼场",0,0,0,2024-05-26 20:55,郑州大学超话,,,,河南,普通用户
4677429413546440,Kwui9eSAE,7509796285,一只馨馨馨子,#不懂一些综艺里的迷惑行为##见过最离谱的老照片##玩密室拼场拼到老年人##原来这就是社畜的专属情歌##美式复古甜心妆容指南##当狗子学会了旋风腿##这句话应该很烫嘴吧##摩托艇骑成了潜水艇##过度有氧运动带来的危害##如何看待合群这件事#,,南京,,"不懂一些综艺里的迷惑行为,见过最离谱的老照片,玩密室拼场拼到老年人,原来这就是社畜的专属情歌,美式复古甜心妆容指南,当狗子学会了旋风腿,这句话应该很烫嘴吧,摩托艇骑成了潜水艇,过度有氧运动带来的危害,如何看待合群这件事",0,0,0,2021-09-03 19:45,Redmi 10X 4G版,https://wx3.sinaimg.cn/large/008cel4xly1gu3ogjz9qrj30ri0ri7d1.jpg,,,,普通用户
4677421564957089,Kwu5ukNz3,6433548382,命途多舛关关难过,#不懂一些综艺里的迷惑行为##见过最离谱的老照片##玩密室拼场拼到老年人##原来这就是社畜的专属情歌##美式复古甜心妆容指南##当狗子学会了旋风腿##这句话应该很烫嘴吧##摩托艇骑成了潜水艇##过度有氧运动带来的危害##如何看待合群这件事#,,,,"不懂一些综艺里的迷惑行为,见过最离谱的老照片,玩密室拼场拼到老年人,原来这就是社畜的专属情歌,美式复古甜心妆容指南,当狗子学会了旋风腿,这句话应该很烫嘴吧,摩托艇骑成了潜水艇,过度有氧运动带来的危害,如何看待合群这件事",0,0,0,2021-09-03 19:14,荣耀20S,"https://wx2.sinaimg.cn/large/0071ovPogy1gu3nk01paij309s09s3ye.jpg,https://wx2.sinaimg.cn/large/0071ovPogy1gu3nk0kq4jj309s09saa0.jpg,https://wx4.sinaimg.cn/large/0071ovPogy1gu3nk0zk08j309s09swed.jpg,https://wx2.sinaimg.cn/large/0071ovPogy1gu3nk1dv6wj309s09sjr8.jpg,https://wx2.sinaimg.cn/large/0071ovPogy1gu3nk1x66kj309s09sa9z.jpg,https://wx3.sinaimg.cn/large/0071ovPogy1gu3nk2eubrj309s09saa0.jpg,https://wx1.sinaimg.cn/large/0071ovPogy1gu3nk2zg8wj309s09smx3.jpg,https://wx4.sinaimg.cn/large/0071ovPogy1gu3nk3pjfij309s09sq2t.jpg,https://wx1.sinaimg.cn/large/0071ovPogy1gu3nk45ztbj309s09sdft.jpg",,,,普通用户
4677382470110624,Kwt4r0sMg,6382229544,江江江_止,#玩密室拼场拼到老年人#你大爷还是你大爷,,,,玩密室拼场拼到老年人,0,0,0,2021-09-03 16:39,HUAWEI P30 Pro,,,,,普通用户
4677179088306635,KwnMoyQVZ,3220924327,大大头呢,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-03 03:10,荣耀畅玩8C,,,,,普通用户
4677116828583743,Kwm9YA11t,5202245900,有位仙人,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 23:03,HUAWEI Mate 10,,,,,普通用户
4677045873281289,KwkjxdLC1,7267613591,喜宝无忧,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 18:21,HUAWEI Mate 10,,,,,普通用户
4676939023124103,Kwhxcd6IL,6299004375,万花筒星空,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 11:16,,,,,,普通用户
4676891028227358,KwghMywjk,7082970976,爱里相忆,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 08:06,荣耀20 PRO,,,,,普通用户
4676810941923558,KwecC84p8,7488332910,whYSun202108,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:48,微博 HTML5 版,,,,,普通用户
4676810920952308,KwecA3ZJO,7487654718,狐狸小居里012,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:47,微博 HTML5 版,,,,,普通用户
4676810899980638,KwecxFSq2,7487654486,蒙meng77199701,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:47,微博 HTML5 版,,,,,普通用户
4676810828939433,KwecqBvyp,7487478048,请叫我毛毛同学198312,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:47,微博 HTML5 版,,,,,普通用户
4676810766024779,KweckphjR,7488386177,REWIND阿珂2021,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:47,微博 HTML5 版,,,,,普通用户
4676810720411811,Kwecg1J87,7488465833,芳哥哥-z199804,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:47,微博 HTML5 版,,,,,普通用户
4676810719363751,KwecfDhWf,7488341266,W_companion201204,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:47,微博 HTML5 版,,,,,普通用户
4676810715955278,KwecfoZeS,7487731337,T奥菲利亚的影子20170,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:47,微博 HTML5 版,,,,,普通用户
4676810715693156,KwecfnT36,7487827736,子遇平生199203,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:47,微博 HTML5 版,,,,,普通用户
4676810715431236,KwecfmMUA,7488463685,Little小朋友啊啊201812,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:47,微博 HTML5 版,,,,,普通用户
4676810715431073,KwecfmMRX,7488096529,阿花ouo199408,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:47,微博 HTML5 版,,,,,普通用户
4676810715169000,KwecflGGY,7488215033,列车前方到站123456202108,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:47,微博 HTML5 版,,,,,普通用户
4676810714906881,KwecfkAvf,7487738683,望阳花念2011,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:47,微博 HTML5 版,,,,,普通用户
4676810674012452,KwecbgPOY,7487733305,派西维尔说不200403,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:46,微博 HTML5 版,,,,,普通用户
4676810665885955,KwecaoHcL,7487730609,幸福的拾荒者颖52,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:46,微博 HTML5 版,,,,,普通用户
4676810648846682,Kwec8B7qq,7487611952,大达哒达大202008,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:46,微博 HTML5 版,,,,,普通用户
4676810618437911,Kwec5zp5l,7487441996,piupiubiu啊200106,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:46,微博 HTML5 版,,,,,普通用户
4676810611360092,Kwec55HOY,7488214905,在苏宅打杂的小喽啰618,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:46,微博 HTML5 版,,,,,普通用户
4676810606641277,Kwec4rRHn,7487969320,每一个孤独的人都是英雄201601,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 02:46,微博 HTML5 版,,,,,普通用户
4676770161234424,Kwd8Q5b84,5098365241,Autumn_Leaves_N,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-02 00:05,荣耀Play3,,,,,普通用户
4676760438047666,KwcT9xLz4,5634208122,XIN010301,#玩密室拼场拼到老年人#哇！好运来袭！我抽中了@灰兔子大叔的现金红包，你也快来试试手气吧，比比谁抢得多！O灰兔子大叔的红包,,,灰兔子大叔,玩密室拼场拼到老年人,0,0,0,2021-09-01 23:27,粉丝红包,,,,,普通用户
4676756335756464,KwcMxo9wc,2533837991,当然有戏__,#玩密室拼场拼到老年人#大爷说，我为啥不能玩密室了，不让我玩密室我就开着我的车车，一路享受自由的感觉，只给你留下潇洒的背影哈哈哈哈哈哈哈。 ,,,,玩密室拼场拼到老年人,0,11,8,2021-09-01 23:11,系统管理员Android,"https://wx2.sinaimg.cn/large/97074ca7ly1gu1gjgw0bnj20j60j60t4.jpg,https://wx1.sinaimg.cn/large/97074ca7ly1gu1gjh7q6jj20a708xt8x.jpg,https://wx4.sinaimg.cn/large/97074ca7ly1gu1gjhgc3gj20c00d00sx.jpg,https://wx1.sinaimg.cn/large/97074ca7ly1gu1gjho8ojj20j60j6q3k.jpg,https://wx4.sinaimg.cn/large/97074ca7ly1gu1gjhw13hj208c07n0sr.jpg,https://wx1.sinaimg.cn/large/97074ca7ly1gu1gji4le6j20h40jl74w.jpg",,,,红V
4676756290406421,KwcMt1HJb,6432478472,乔诗月,#玩密室拼场拼到老年人#打破大家的固有思维，并不是做什么事情的人就一定是这个年纪的呀。生活是自己的，我们都有无限的可能，只要自己开心那就去做。,,,,玩密室拼场拼到老年人,0,24,9,2021-09-01 23:10,iPhone 8,"https://wx2.sinaimg.cn/large/0071k1uMly1gu1j5hlxe4j308706o3yh.jpg,https://wx4.sinaimg.cn/large/0071k1uMly1gu1j5htasoj306o06o0sp.jpg,https://wx1.sinaimg.cn/large/0071k1uMly1gu1j5i2x35j30aw08oaak.jpg,https://wx4.sinaimg.cn/large/0071k1uMly1gu1j5hd2ssj30j60j60t9.jpg",,,,黄V
4676754822662344,KwcK6baB2,6616651720,知知鸣羡卿,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-01 23:05,OPPO A11,,,,,普通用户
4676754083938709,KwcIUgwDz,5806817718,我来看看你555,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-01 23:02,OPPO随光而变R17,,,,,普通用户
4676754080008908,KwcIU02jG,7391925352,用户7391925352,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-01 23:02,HUAWEI Mate 10,,,,,普通用户
4676754079482148,KwcITDMJS,5375951712,到时间啦666,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-01 23:02,荣耀8 美得与众不同,,,,,普通用户
4676753840934814,KwcIw3VbE,6523376707,跑酷的猫三郎,#玩密室拼场拼到老年人#哇！好运来袭！我抽中了@灰兔子大叔的现金红包，你也快来试试手气吧，比比谁抢得多！O灰兔子大叔的红包,,,灰兔子大叔,玩密室拼场拼到老年人,0,0,0,2021-09-01 23:01,粉丝红包,,,,,普通用户
4676752360343105,KwcG81rfX,6111073556,你看看我呀hh,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-01 22:55,nova5Pro人像超级夜景,,,,,普通用户
4676745784197153,KwcvwhBS1,6559545186,亚轩真秀,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-01 22:29,OPPO A11,,,,,普通用户
4676743836730085,KwcsnseNL,5884265190,娱乐星闻坊,#玩密室拼场拼到老年人#说实话这几个热门的城市我都没去过，老乡下人了，我妈就不一样，自己姐妹团组队去好多地方玩，带我“云玩游”中国，爱了爱了。,,,,玩密室拼场拼到老年人,45,29,32,2021-09-01 22:21,微博网页版,https://wx4.sinaimg.cn/large/006qdMb4ly1gu1hpxwejqj30u0b1xqv8.jpg,,,,普通用户
4676743493063778,KwcrPcR1M,6347736626,圈内娱乐星,#玩密室拼场拼到老年人#夏天就是要出去户外运动玩耍的季节，有的老人玩起来也是很溜的，赛车、台球、篮球，身边的长辈也都有涉及，希望我老了也争做小区里的一把手哈哈。,,,,玩密室拼场拼到老年人,45,38,36,2021-09-01 22:20,微博网页版,https://wx1.sinaimg.cn/large/006VAsgOly1gu1ho2078mj60u0b1xqv802.jpg,,,,普通用户
4676742616189190,KwcqppY5E,5774146546,八卦娱乐小师妹,#玩密室拼场拼到老年人#游戏厅永远的神，这句话可不是说说而已，上到六旬老人，下到三岁小娃，都可以在游戏厅找到适合自己的part，体验“放学时间”，爱了爱了！,,,,玩密室拼场拼到老年人,47,29,53,2021-09-01 22:16,微博网页版,https://wx4.sinaimg.cn/large/006iLJhUly1gu1hkldi13j60ew0kutk202.jpg,,,,黄V
4676742155341112,KwcpFmpsY,7562608324,Yuki419he,#玩密室拼场拼到老年人#,,,,玩密室拼场拼到老年人,0,0,0,2021-09-01 22:14,iPhone客户端,,,,,普通用户
4676740058973706,KwcmhBEtc,5917736079,全搞笑也,#玩密室拼场拼到老年人#北京上海成都重庆的发展速度快啊，所以休闲娱乐活动也都会很high吧，不像我在老家旁边都没啥玩的，羡慕了。。明年就打算出去工作了，期待外面的世界！,,,,玩密室拼场拼到老年人,33,39,21,2021-09-01 22:06,,https://wx1.sinaimg.cn/large/006sudu7gy1gu1haj7xdvj30by0ih3ze.jpg,,,,黄V
4676739843752061,KwclWfK57,3083673054,娱乐超新星,#玩密室拼场拼到老年人#谁说玩乐还分年龄的？看看，这就是证据，今年有将近600个65岁以上的老人去玩密室，这就是年轻态，这就是全员密室！,,,,玩密室拼场拼到老年人,42,47,33,2021-09-01 22:05,微博网页版,https://wx2.sinaimg.cn/large/b7cd1ddely1gu1h9946mtj20r30sogp6.jpg,,,,黄V
4676739768782242,KwclOAQF4,3630503394,冲浪少女阿怡,#玩密室拼场拼到老年人#我读书那会就喜欢跑自习室，工作之后也经常去图书馆。几乎每次去图书馆都能看到一个老人家在角落里静静地看书，“活到老，学到老”大概就是这个意思吧。,,,,玩密室拼场拼到老年人,36,28,20,2021-09-01 22:05,Android,https://wx1.sinaimg.cn/large/d86515e2gy1gu1h9dcuvcj20hx0jkdhe.jpg,,,,黄V
4676739227978888,KwckWxtFK,2820236807,热门视频合集,#玩密室拼场拼到老年人#精致的猪猪娃自然是要注重细节的啦，美甲美发是基础，美睫美体就是锦上添花。听说上海的老奶奶特别爱美，不知道她们是不是也贡献了不少数据呢？,,,,玩密室拼场拼到老年人,37,27,23,2021-09-01 22:03,,https://wx3.sinaimg.cn/large/0034Rqqrgy1gu1h6ydn1wj60u0b1xqv502.jpg,,,,红V
