id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5055475681331378,OnhaU5AlQ,2138930392,八字合婚手相取名,苦与乐，顺境与逆境，并非无缘无故地降临，而是个人过去言行、思想乃至业力（即过去行为所产生的力量）的反映。积德行善就是改变命运的良方，更是提升个人精神境界、实现自我超越的重要途径。#男子AI造谣九旬老人遭儿女抛弃流浪乞讨#,,,,男子AI造谣九旬老人遭儿女抛弃流浪乞讨,0,0,0,2024-07-13 00:46,命理师iPhone 13 Pro,https://wx4.sinaimg.cn/large/7f7d7cd8ly1hrlqh2oc3oj20m80m8q4i.jpg,,,北京,红V
5055472854106750,Onh6lhelU,3837180921,余晖的新生,【#男子AI造谣九旬老人遭儿女抛弃流浪乞讨#】近日，四川成都，一则成都市新都区大丰街道“九旬老人遭儿女遗弃，流浪乞讨多年成‘皮包骨’”的文章引热议，后经民警核实，该图片来源为某外国博主救助外国流浪老人的视频，经查明，6月24日，张某为吸引流量、博取关注，在家中借助AI程序，结合自己的“所思所想”，编造并发布了这篇虚假文章，目前，张某已被行政拘留。@点时新闻L点时新闻的微博视频,,成都,点时新闻,男子AI造谣九旬老人遭儿女抛弃流浪乞讨,0,0,0,2024-07-13 00:35,外太空Android,,"http://f.video.weibocdn.com/o0/AoB80Uqblx08gjCToMCI0104120046a10E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011533&ssig=9rn17TuEiM&KID=unistore,video",,甘肃,普通用户
5055469149752020,Onh0mEUWE,7255678098,土豆photo_见过魏大勋版,#7月的上海已被二次元占领##男子AI造谣九旬老人遭儿女抛弃流浪乞讨##流浪半个多月的老人终于找到了#很期待七月份的上海这男的神金吧闲的没事啊啊啊希望老爷爷身体健康,,,,"7月的上海已被二次元占领,男子AI造谣九旬老人遭儿女抛弃流浪乞讨,流浪半个多月的老人终于找到了",0,12,6,2024-07-13 00:20,荣耀Magic3 5G,,,,江苏,红V
5055460786833337,OngMSsFF7,7639369815,橘皖祎祎Ji_nyi,#男子AI造谣九旬老人遭儿女抛弃流浪乞讨#此事与本人一点关系也没有，本人只是来回帖子赚几个豆子的苦力；,,,,男子AI造谣九旬老人遭儿女抛弃流浪乞讨,0,0,0,2024-07-12 23:47,OPPO A93s 5G,,,,广东,红V
5055460323368235,OngM8e8en,5565537090,夏时游记,#男子AI造谣九旬老人遭儿女抛弃流浪乞讨#真服了好无语啊,,,,男子AI造谣九旬老人遭儿女抛弃流浪乞讨,0,0,0,2024-07-12 23:45,iPhone 14 Pro Max,,,,天津,黄V
5055459428140743,OngKGy9Mj,6769794136,祎颗蜜桃-JJY-RAJ,#男子AI造谣九旬老人遭儿女抛弃流浪乞讨#ai滥用严重，谁来管管ai侵权啊,,,,男子AI造谣九旬老人遭儿女抛弃流浪乞讨,1,0,3,2024-07-12 23:41,鞠姐的宝贝Android,,,,,
5055459649916469,OngL2FBJ3,7535870526,晚风寄雾诗,#男子AI造谣九旬老人遭儿女抛弃流浪乞讨#什么时候能严查AI世界上怎么还有这样的人啊！,,,,男子AI造谣九旬老人遭儿女抛弃流浪乞讨,0,0,3,2024-07-12 23:42,荣耀X30 5G,,,5055459428140743,广东,普通用户
5055458009681520,OngIoECBy,7025264891,白茶-Freedom,#男子AI造谣九旬老人遭儿女抛弃流浪乞讨#饭可以乱吃，话不可以乱讲！,,,,男子AI造谣九旬老人遭儿女抛弃流浪乞讨,0,0,0,2024-07-12 23:36,iPhone 14 Pro Max,,,,吉林,红V
5055457176064466,OngH3prDY,7869720663,京昭鑫知忆,#男子AI造谣九旬老人遭儿女抛弃流浪乞讨#科技不是来博取流量的,,,,男子AI造谣九旬老人遭儿女抛弃流浪乞讨,0,0,0,2024-07-12 23:32,,,,,山东,红V
5055457162694139,OngH2biRR,1459071597,福州尚法咨询,【#男子AI造谣九旬老人遭儿女抛弃流浪乞讨#】近日，四川成都，一则成都市新都区大丰街道“九旬老人遭儿女遗弃，流浪乞讨多年成‘皮包骨’”的文章引热议，后经民警核实，该图片来源为某外国博主救助外国流浪老人的视频，经查明，6月24日，张某为吸引流量、博取关注，在家中借助AI程序，结合自己的“所思所想”，编造并发布了这篇虚假文章，目前，张某已被行政拘留。@点时新闻L点时新闻的微博视频,,成都,点时新闻,男子AI造谣九旬老人遭儿女抛弃流浪乞讨,0,0,0,2024-07-12 23:32,微博视频号,,"http://f.video.weibocdn.com/o0/AoB80Uqblx08gjCToMCI0104120046a10E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725011536&ssig=IkoEaGH%2FU8&KID=unistore,video",,福建,蓝V
5055455850139892,OngEV0Aok,1497487530,小眼昏花,#男子AI造谣九旬老人遭儿女抛弃流浪乞讨#AI造谣与普通造谣有啥区别呢？是AI造谣更细节更逼真一些么？造谣的，并非AI，还是人。不过AI可能降低了形成文字的门槛。你让这些人吭哧吭哧的写，他未必能写出来。,,,,男子AI造谣九旬老人遭儿女抛弃流浪乞讨,0,0,0,2024-07-12 23:27,,,,,山东,黄V
