id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4879075196273348,Mxb6DqjZ2,1400155577,常春中国,【#男童楼道方便老人批评起争执出手教育#】近日，郑州。求助人付先生2岁的孩子在别人楼道里小便，被楼上老人撞见，要求11岁的哥哥清理干净，哥哥没有听见便走出楼道，随后在楼下发生争执。节目播出后，派出所也很快给出了处理结果，因老人年龄较大暂不拘留，处罚500元。L小莉帮忙的微博视频,,,,男童楼道方便老人批评起争执出手教育,0,0,0,2023-03-14 06:13,微博视频号,,"http://f.video.weibocdn.com/o0/RJ4jf38zlx083Q9GTodG01041203xzOY0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010438&ssig=sCl9FUTI1R&KID=unistore,video",,,黄V
4878901317471567,Mx6AbvlH9,7520722475,海象视频,【#男童楼道方便老人批评起争执出手教育#】近日，郑州。求助人付先生2岁的孩子在别人楼道里小便，被楼上老人撞见，要求11岁的哥哥清理干净，哥哥没有听见便走出楼道，随后在楼下发生争执。节目播出后，派出所也很快给出了处理结果，因老人年龄较大暂不拘留，处罚500元。L小莉帮忙的微博视频,,,,男童楼道方便老人批评起争执出手教育,0,0,0,2023-03-13 18:43,微博视频号,,"http://f.video.weibocdn.com/o0/RJ4jf38zlx083Q9GTodG01041203xzOY0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010438&ssig=sCl9FUTI1R&KID=unistore,video",,,普通用户
4878901316681911,Mx6Abs2gL,7631743238,松鸡视频,【#男童楼道方便老人批评起争执出手教育#】近日，郑州。求助人付先生2岁的孩子在别人楼道里小便，被楼上老人撞见，要求11岁的哥哥清理干净，哥哥没有听见便走出楼道，随后在楼下发生争执。节目播出后，派出所也很快给出了处理结果，因老人年龄较大暂不拘留，处罚500元。L小莉帮忙的微博视频,,,,男童楼道方便老人批评起争执出手教育,0,0,0,2023-03-13 18:43,微博视频号,,"http://f.video.weibocdn.com/o0/RJ4jf38zlx083Q9GTodG01041203xzOY0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010438&ssig=sCl9FUTI1R&KID=unistore,video",,,普通用户
4878901316158159,Mx6AbpQ19,7393283487,海鸥视频,【#男童楼道方便老人批评起争执出手教育#】近日，郑州。求助人付先生2岁的孩子在别人楼道里小便，被楼上老人撞见，要求11岁的哥哥清理干净，哥哥没有听见便走出楼道，随后在楼下发生争执。节目播出后，派出所也很快给出了处理结果，因老人年龄较大暂不拘留，处罚500元。L小莉帮忙的微博视频,,,,男童楼道方便老人批评起争执出手教育,0,0,0,2023-03-13 18:43,微博视频号,,"http://f.video.weibocdn.com/o0/RJ4jf38zlx083Q9GTodG01041203xzOY0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010438&ssig=sCl9FUTI1R&KID=unistore,video",,,普通用户
4878901312750280,Mx6Abbxtm,6524412392,忙碌荔枝干,【#男童楼道方便老人批评起争执出手教育#】近日，郑州。求助人付先生2岁的孩子在别人楼道里小便，被楼上老人撞见，要求11岁的哥哥清理干净，哥哥没有听见便走出楼道，随后在楼下发生争执。节目播出后，派出所也很快给出了处理结果，因老人年龄较大暂不拘留，处罚500元。L小莉帮忙的微博视频,,,,男童楼道方便老人批评起争执出手教育,0,0,0,2023-03-13 18:43,微博视频号,,"http://f.video.weibocdn.com/o0/RJ4jf38zlx083Q9GTodG01041203xzOY0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010438&ssig=sCl9FUTI1R&KID=unistore,video",,,普通用户
4878901311964972,Mx6Ab8fb6,5743889559,乌贼视频,【#男童楼道方便老人批评起争执出手教育#】近日，郑州。求助人付先生2岁的孩子在别人楼道里小便，被楼上老人撞见，要求11岁的哥哥清理干净，哥哥没有听见便走出楼道，随后在楼下发生争执。节目播出后，派出所也很快给出了处理结果，因老人年龄较大暂不拘留，处罚500元。L小莉帮忙的微博视频,,,,男童楼道方便老人批评起争执出手教育,0,0,0,2023-03-13 18:43,微博视频号,,"http://f.video.weibocdn.com/o0/RJ4jf38zlx083Q9GTodG01041203xzOY0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010438&ssig=sCl9FUTI1R&KID=unistore,video",,,普通用户
4878901308555611,Mx6AazTHJ,5054142308,monkeycat466,【#男童楼道方便老人批评起争执出手教育#】近日，郑州。求助人付先生2岁的孩子在别人楼道里小便，被楼上老人撞见，要求11岁的哥哥清理干净，哥哥没有听见便走出楼道，随后在楼下发生争执。节目播出后，派出所也很快给出了处理结果，因老人年龄较大暂不拘留，处罚500元。L小莉帮忙的微博视频,,,,男童楼道方便老人批评起争执出手教育,0,0,0,2023-03-13 18:42,微博视频号,,"http://f.video.weibocdn.com/o0/RJ4jf38zlx083Q9GTodG01041203xzOY0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010438&ssig=sCl9FUTI1R&KID=unistore,video",,,黄V
4878901308032801,Mx6AaxHHj,1673742532,董兴燕子,【#男童楼道方便老人批评起争执出手教育#】近日，郑州。求助人付先生2岁的孩子在别人楼道里小便，被楼上老人撞见，要求11岁的哥哥清理干净，哥哥没有听见便走出楼道，随后在楼下发生争执。节目播出后，派出所也很快给出了处理结果，因老人年龄较大暂不拘留，处罚500元。L小莉帮忙的微博视频,,,,男童楼道方便老人批评起争执出手教育,0,0,0,2023-03-13 18:43,微博视频号,,"http://f.video.weibocdn.com/o0/RJ4jf38zlx083Q9GTodG01041203xzOY0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010438&ssig=sCl9FUTI1R&KID=unistore,video",,,普通用户
4878901304361901,Mx6AaiiJf,6573835750,我们去有风的地方,【#男童楼道方便老人批评起争执出手教育#】近日，郑州。求助人付先生2岁的孩子在别人楼道里小便，被楼上老人撞见，要求11岁的哥哥清理干净，哥哥没有听见便走出楼道，随后在楼下发生争执。节目播出后，派出所也很快给出了处理结果，因老人年龄较大暂不拘留，处罚500元。L小莉帮忙的微博视频,,,,男童楼道方便老人批评起争执出手教育,0,0,0,2023-03-13 18:42,微博视频号,,"http://f.video.weibocdn.com/o0/RJ4jf38zlx083Q9GTodG01041203xzOY0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010438&ssig=sCl9FUTI1R&KID=unistore,video",,,黄V
4878901304102550,Mx6Aahdga,6574339903,青春没那么伤,【#男童楼道方便老人批评起争执出手教育#】近日，郑州。求助人付先生2岁的孩子在别人楼道里小便，被楼上老人撞见，要求11岁的哥哥清理干净，哥哥没有听见便走出楼道，随后在楼下发生争执。节目播出后，派出所也很快给出了处理结果，因老人年龄较大暂不拘留，处罚500元。L小莉帮忙的微博视频,,,,男童楼道方便老人批评起争执出手教育,0,0,0,2023-03-13 18:42,微博视频号,,"http://f.video.weibocdn.com/o0/RJ4jf38zlx083Q9GTodG01041203xzOY0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010439&ssig=7UgJoJdprG&KID=unistore,video",,,黄V
