id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4472578905152310,Ius6KlClM,5812201056,商务店小二,【七旬日本老人：疫情结束后想去武大看樱花】#疫情后未离开武汉的日本老人#近日，在中国生活10年的72岁日本人岛田孝治，在疫情期间留守武汉。他说已经把自己当作武汉人，开心时悲伤时都想和武汉一起度过，疫情结束后，最想去武大看樱花。（视频来源：相关人士）O七旬日本老人：疫情结束后想去武大看樱花L澎湃新闻的微博视频,,平凉·静宁,,疫情后未离开武汉的日本老人,0,0,0,2020-02-16 13:02,iPhone客户端,,"http://f.video.weibocdn.com/002JWTA6gx07AZxUgffx01041200ZAEV0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978669&ssig=8NTh9B3AuI&KID=unistore,video",,,普通用户
4472578205266546,Ius5Cm64i,6485617783,观察者网新闻客户端,【七旬日本老人：疫情结束后想去武大看樱花】#疫情后未离开武汉的日本老人#近日，在中国生活10年的72岁日本人岛田孝治，在疫情期间留守武汉。他说已经把自己当作武汉人，开心时悲伤时都想和武汉一起度过，疫情结束后，最想去武大看樱花。（视频来源：相关人士）L澎湃新闻的微博视频,,,,疫情后未离开武汉的日本老人,1,5,28,2020-02-16 13:00,微博视频号,,"http://f.video.weibocdn.com/002JWTA6gx07AZxUgffx01041200ZAEV0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978669&ssig=8NTh9B3AuI&KID=unistore,video",,,蓝V
4472557417616102,Iury5vXim,5249306689,余江发布,【七旬日本老人：疫情结束后想去武大看樱花】#疫情后未离开武汉的日本老人#近日，在中国生活10年的72岁日本人岛田孝治，在疫情期间留守武汉。他说已经把自己当作武汉人，开心时悲伤时都想和武汉一起度过，疫情结束后，最想去武大看樱花。L澎湃新闻的微博视频#武汉病毒所目前零感染#,,鹰潭,,"疫情后未离开武汉的日本老人,武汉病毒所目前零感染",0,0,5,2020-02-16 11:37,微博视频号,,"http://f.video.weibocdn.com/002JWTA6gx07AZxUgffx01041200ZAEV0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978669&ssig=8NTh9B3AuI&KID=unistore,video",,,蓝V
4472557233207004,IurxNdshS,3546862743,煲都黎川,【七旬日本老人：疫情结束后想去武大看樱花】#疫情后未离开武汉的日本老人#近日，在中国生活10年的72岁日本人岛田孝治，在疫情期间留守武汉。他说已经把自己当作武汉人，开心时悲伤时都想和武汉一起度过，疫情结束后，最想去武大看樱花。L澎湃新闻的微博视频,,,,疫情后未离开武汉的日本老人,1,0,2,2020-02-16 11:36,iPhone客户端,,"http://f.video.weibocdn.com/002JWTA6gx07AZxUgffx01041200ZAEV0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978669&ssig=8NTh9B3AuI&KID=unistore,video",,,蓝V
4472556284878917,Iurwgkted,2729232002,南丰发布,【七旬日本老人：疫情结束后想去武大看樱花】#疫情后未离开武汉的日本老人#近日，在中国生活10年的72岁日本人岛田孝治，在疫情期间留守武汉。他说已经把自己当作武汉人，开心时悲伤时都想和武汉一起度过，疫情结束后，最想去武大看樱花。L澎湃新闻的微博视频,,,,疫情后未离开武汉的日本老人,0,0,0,2020-02-16 11:32,微博视频号,,"http://f.video.weibocdn.com/002JWTA6gx07AZxUgffx01041200ZAEV0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978669&ssig=8NTh9B3AuI&KID=unistore,video",,,蓝V
4472553374623603,IurrzjoOf,2804479054,精彩渝水,【七旬日本老人：疫情结束后想去武大看樱花】#疫情后未离开武汉的日本老人#近日，在中国生活10年的72岁日本人岛田孝治，在疫情期间留守武汉。他说已经把自己当作武汉人，开心时悲伤时都想和武汉一起度过，疫情结束后，最想去武大看樱花。L澎湃新闻的微博视频,,,,疫情后未离开武汉的日本老人,2,1,4,2020-02-16 11:21,微博视频号,,"http://f.video.weibocdn.com/002JWTA6gx07AZxUgffx01041200ZAEV0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978669&ssig=8NTh9B3AuI&KID=unistore,video",,,蓝V
4472544642059600,Iurdu8DNm,2331613471,责任周刊,我是王连升超话#责任周刊#【七旬日本老人：疫情结束后想去武大看樱花】#ict责任周刊##疫情后未离开武汉的日本老人#近日，在中国生活10年的72岁日本人岛田孝治，在疫情期间留守武汉。他说已经把自己当作武汉人，开心时悲伤时都想和武汉一起度过，疫情结束后，最想去武大看樱花。（视频来源：相关人士）@世界卫生组织@澎湃新闻@责任周刊O七旬日本老人：疫情结束后想去武大看樱花L澎湃新闻的微博视频,,,"世界卫生组织,澎湃新闻,责任周刊","责任周刊,ict 责任周刊,疫情后未离开武汉的日本老人",0,0,2,2020-02-16 10:46,我是王连升超话,,"http://f.video.weibocdn.com/002JWTA6gx07AZxUgffx01041200ZAEV0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978669&ssig=8NTh9B3AuI&KID=unistore,video",,,黄V
4472534563401754,IuqXeegX0,5796697116,护林员2015,法庭说事超话【七旬日本老人：疫情结束后想去武大看樱花】#疫情后未离开武汉的日本老人#近日，在中国生活10年的72岁日本人岛田孝治，在疫情期间留守武汉。他说已经把自己当作武汉人，开心时悲伤时都想和武汉一起度过，疫情结束后，最想去武大看樱花。（视频来源：相关人士）O七旬日本老人：疫情结束后想去武大看樱花L澎湃新闻的微博视频,,淄博,,疫情后未离开武汉的日本老人,0,0,1,2020-02-16 10:06,法庭说事超话,,"http://f.video.weibocdn.com/002JWTA6gx07AZxUgffx01041200ZAEV0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978669&ssig=8NTh9B3AuI&KID=unistore,video",,,黄V
4472532335714099,IuqTDnYuT,2451789741,钦州检察,【七旬日本老人：疫情结束后想去武大看樱花】#疫情后未离开武汉的日本老人#近日，在中国生活10年的72岁日本人岛田孝治，在疫情期间留守武汉。他说已经把自己当作武汉人，开心时悲伤时都想和武汉一起度过，疫情结束后，最想去武大看樱花。（视频来源：相关人士）O七旬日本老人：疫情结束后想去武大看樱花L澎湃新闻的微博视频,,,,疫情后未离开武汉的日本老人,0,0,0,2020-02-16 09:57,微博视频号,,"http://f.video.weibocdn.com/002JWTA6gx07AZxUgffx01041200ZAEV0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=11ccc9c970f47cffd9369c72510b3033&ori=0&ps=1BVp4ysnknHVZu&Expires=1724978669&ssig=8NTh9B3AuI&KID=unistore,video",,,蓝V
4472530146484471,IuqQ6rcUf,6609444382,小静安好2018,【七旬日本老人：疫情结束后想去武大看樱花】#疫情后未离开武汉的日本老人#近日，在中国生活10年的72岁日本人岛田孝治，在疫情期间留守武汉。他说已经把自己当作武汉人，开心时悲伤时都想和武汉一起度过，疫情结束后，最想去武大看樱花。,,,,疫情后未离开武汉的日本老人,0,0,0,2020-02-16 09:49,OPPO智能手机,,,,,普通用户
