id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4852829510705023,MmakT2Xpl,2051871693,平安洛宁,【提醒：#注意老年人出现厌食嗜睡等症状#】冬季本身就是肺炎高发季节，加上新冠病毒感染，很多老年人临床表现和年轻人很不相同。老年人肺炎起病比较隐匿，没有发烧咳嗽等明显症状，出现厌食、嗜睡等症状，家属需格外注意。详戳↓#疫情流行期间给老人的饮食建议##如何守护鼻腔健康防止病毒入侵#L央视网快看的微博视频,,,,"注意老年人出现厌食嗜睡等症状,疫情流行期间给老人的饮食建议,如何守护鼻腔健康防止病毒入侵",0,0,1,2022-12-31 20:02,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/WF4UX1wflx081XbDK7Hi01041200sF9y0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007066&ssig=KWk7R5JZCi&KID=unistore,video",,,蓝V
4852528900740351,Mm2w236B9,2209730323,融媒体张灏,【提醒：#注意老年人出现厌食嗜睡等症状#】冬季本身就是肺炎高发季节，加上新冠病毒感染，很多老年人临床表现和年轻人很不相同。老年人肺炎起病比较隐匿，没有发烧咳嗽等明显症状，出现厌食、嗜睡等症状，家属需格外注意。详戳↓#疫情流行期间给老人的饮食建议##如何守护鼻腔健康防止病毒入侵#L央视网快看的微博视频,,,,"注意老年人出现厌食嗜睡等症状,疫情流行期间给老人的饮食建议,如何守护鼻腔健康防止病毒入侵",0,0,0,2022-12-31 00:08,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/WF4UX1wflx081XbDK7Hi01041200sF9y0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007066&ssig=KWk7R5JZCi&KID=unistore,video",,,黄V
4852528245905898,Mm2uYoMoq,2209730323,融媒体张灏,【#疫情流行期间给老人的饮食建议#】面对奥密克戎的大规模感染冲击，老年人免疫力较低，既是新冠病毒的易感染人群，也更可能发展成重症。在接诊过程中，一些医生发现，感染后发展成重症的老人，除了高龄、合并基础疾病以外，有个共同特点：普遍营养不良。老人食欲不振如何缓解？发烧、咽痛、咳嗽具体怎么吃？生命时报采访专家告诉你答案>>O急诊里的「新冠重症」老人，普遍存在这个问题……这里是汉中超话,,,,疫情流行期间给老人的饮食建议,0,0,0,2022-12-31 00:05,这里是汉中超话,,,,,黄V
4852519550848268,Mm2gX3yFK,3703679100,今日张店,【#疫情流行期间给老人的饮食建议#】面对奥密克戎的大规模感染冲击，老年人免疫力较低，既是新冠病毒的易感染人群，也更可能发展成重症。在接诊过程中，一些医生发现，感染后发展成重症的老人，除了高龄、合并基础疾病以外，有个共同特点：普遍营养不良。老人食欲不振如何缓解？发烧、咽痛、咳嗽具体怎么吃？生命时报采访专家告诉你答案>>O急诊里的「新冠重症」老人，普遍存在这个问题……,,,,疫情流行期间给老人的饮食建议,0,0,0,2022-12-30 23:31,HarmonyOS设备,,,,,蓝V
4852510936532657,Mm233rprr,1319297121,lotus_anan,本周热读超话【#疫情流行期间给老人的饮食建议#】面对奥密克戎的大规模感染冲击，老年人免疫力较低，既是新冠病毒的易感染人群，也更可能发展成重症。在接诊过程中，一些医生发现，感染后发展成重症的老人，除了高龄、合并基础疾病以外，有个共同特点：普遍营养不良。老人食欲不振如何缓解？发烧、咽痛、咳嗽具体怎么吃？生命时报采访专家告诉你答案>>O急诊里的「新冠重症」老人，普遍存在这个问题……（新浪新闻）,,,,疫情流行期间给老人的饮食建议,0,0,0,2022-12-30 22:57,本周热读超话,,,,,黄V
4852489898433053,Mm1v7znOZ,1961097701,知知贵阳,【提醒：#注意老年人出现厌食嗜睡等症状#】冬季本身就是肺炎高发季节，加上新冠病毒感染，很多老年人临床表现和年轻人很不相同。老年人肺炎起病比较隐匿，没有发烧咳嗽等明显症状，出现厌食、嗜睡等症状，家属需格外注意。详戳↓#疫情流行期间给老人的饮食建议##如何守护鼻腔健康防止病毒入侵#来源L央视网快看的微博视频,,,,"注意老年人出现厌食嗜睡等症状,疫情流行期间给老人的饮食建议,如何守护鼻腔健康防止病毒入侵",0,0,0,2022-12-30 21:33,iPhone客户端,,"http://locallimit.us.sinaimg.cn/o0/WF4UX1wflx081XbDK7Hi01041200sF9y0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007066&ssig=KWk7R5JZCi&KID=unistore,video",,,蓝V
4852484504037880,Mm1mqgWr6,1979940183,鹤壁日报,【提醒：#注意老年人出现厌食嗜睡等症状#】冬季本身就是肺炎高发季节，加上新冠病毒感染，很多老年人临床表现和年轻人很不相同。老年人肺炎起病比较隐匿，没有发烧咳嗽等明显症状，出现厌食、嗜睡等症状，家属需格外注意。详戳↓#疫情流行期间给老人的饮食建议##如何守护鼻腔健康防止病毒入侵#L央视网快看的微博视频,,,,"注意老年人出现厌食嗜睡等症状,疫情流行期间给老人的饮食建议,如何守护鼻腔健康防止病毒入侵",0,0,0,2022-12-30 21:12,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/WF4UX1wflx081XbDK7Hi01041200sF9y0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007066&ssig=KWk7R5JZCi&KID=unistore,video",,,蓝V
4852478417578118,Mm1cBvNpI,2043228245,平安洛阳,【提醒：#注意老年人出现厌食嗜睡等症状#】冬季本身就是肺炎高发季节，加上新冠病毒感染，很多老年人临床表现和年轻人很不相同。老年人肺炎起病比较隐匿，没有发烧咳嗽等明显症状，出现厌食、嗜睡等症状，家属需格外注意。详戳↓#疫情流行期间给老人的饮食建议##如何守护鼻腔健康防止病毒入侵#L央视网快看的微博视频,,,,"注意老年人出现厌食嗜睡等症状,疫情流行期间给老人的饮食建议,如何守护鼻腔健康防止病毒入侵",0,0,1,2022-12-30 20:47,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/WF4UX1wflx081XbDK7Hi01041200sF9y0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007066&ssig=KWk7R5JZCi&KID=unistore,video",,,蓝V
4852478161718264,Mm1cc7cZW,2780457263,你能不能多见见世面,【#转阴后依然咳嗽咋回事#？】新冠感染恢复期咳嗽是咋回事？一直咳嗽会导致肺炎吗？感染新冠导致肺炎的状况多不多？“白肺”是怎么回事？北京佑安医院感染综合科主任医师李侗曾解答↓↓（来源：人民日报）#如何守护鼻腔健康防止病毒入侵##疫情流行期间给老人的饮食建议#L人民日报的微博视频,,,,"转阴后依然咳嗽咋回事,如何守护鼻腔健康防止病毒入侵,疫情流行期间给老人的饮食建议",0,0,1,2022-12-30 20:46,微博视频号,,"http://f.video.weibocdn.com/o0/MDFEBZAYlx081XPx3Uo801041200qO7p0E010.mp4?label=mp4_720p&template=720x720.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007066&ssig=nEebcd7oZE&KID=unistore,video",,,黄V
4852478162506286,Mm1ccavZY,1881159861,新浪游戏资讯,【#转阴后依然咳嗽咋回事#？】新冠感染恢复期咳嗽是咋回事？一直咳嗽会导致肺炎吗？感染新冠导致肺炎的状况多不多？“白肺”是怎么回事？北京佑安医院感染综合科主任医师李侗曾解答↓↓（来源：人民日报）#如何守护鼻腔健康防止病毒入侵##疫情流行期间给老人的饮食建议#L人民日报的微博视频,,,,"转阴后依然咳嗽咋回事,如何守护鼻腔健康防止病毒入侵,疫情流行期间给老人的饮食建议",1,0,0,2022-12-30 20:46,微博视频号,,"http://f.video.weibocdn.com/o0/MDFEBZAYlx081XPx3Uo801041200qO7p0E010.mp4?label=mp4_720p&template=720x720.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007068&ssig=RKbsWJjx9B&KID=unistore,video",,,蓝V
4852478158316409,Mm1cbyTtD,2925141777,全球新闻眼,【#转阴后依然咳嗽咋回事#？】新冠感染恢复期咳嗽是咋回事？一直咳嗽会导致肺炎吗？感染新冠导致肺炎的状况多不多？“白肺”是怎么回事？北京佑安医院感染综合科主任医师李侗曾解答↓↓（来源：人民日报）#如何守护鼻腔健康防止病毒入侵##疫情流行期间给老人的饮食建议#L人民日报的微博视频,,,,"转阴后依然咳嗽咋回事,如何守护鼻腔健康防止病毒入侵,疫情流行期间给老人的饮食建议",0,0,0,2022-12-30 20:46,微博视频号,,"http://f.video.weibocdn.com/o0/MDFEBZAYlx081XPx3Uo801041200qO7p0E010.mp4?label=mp4_720p&template=720x720.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725007068&ssig=RKbsWJjx9B&KID=unistore,video",,,蓝V
