id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4770520111516180,LtAy76mqw,1595819904,皕岭鸟Blingbird,又一位#百岁新冠肺炎老人治愈出院#，这说明我国的医疗水平较以前出现了较大的进步，可喜可贺，是大好事。5月18日下午2点30分，101岁的陈阿婆从上海中医药大学附属曙光医院西院区重症监护室治愈出院，这是湖南省援沪重症医疗队成功救治的又一位百岁新冠患者。,,,,百岁新冠肺炎老人治愈出院,2,2,10,2022-05-18 16:54,OPPO Find N 5G,https://wx3.sinaimg.cn/large/5f1e4780ly1h2cnq7qgx5j20lv0ge0ut.jpg,,,,黄V
4492587291527049,ICQCl6pfP,6753435309,股指卧龙尹,李红亮超话#百岁新冠肺炎老人治愈出院#在武汉新冠肺炎患者中有8位年龄超过100岁的患者，其中7位已经治愈出院，最大年龄108岁，总体治愈率达到94%，其中80岁高龄老人救治成功率近70%。,,,,百岁新冠肺炎老人治愈出院,0,0,0,2020-04-11 18:09,李红亮超话,,,,,黄V
4491188722086357,ICgeA8KKV,1271144941,挑挑在DC,终于又听到疫情中的暖心故事了！104岁老人在生日前从新冠肺炎中康复，参加过二战还曾患西班牙流感。在俄勒冈州老兵之家，二战老兵比尔拉皮斯从新冠病毒中康复，迎来了自己104岁生日。家人手拿气球和标语，分享他们对拉皮斯的生日祝福，每人保持着至少6英尺的距离，以遵守社交距离准则。当被问及是如何幸存下来的，拉皮斯笑着说:“我不知道……病毒就这样消失了。”拉皮斯所在的养老院出现了16例新冠病毒感染病例和2例死亡病例。此前，中国武汉一位103岁老人和一位意大利101岁老人也从新冠中康复。比尔拉皮斯被认为是迄今为止美国已知康复中最年长的人。#美国疫情##海外抗疫日记##百岁新冠肺炎老人治愈出院##104岁二战老兵确诊后康复#L挑挑在DC的微博视频,,美国,,"美国疫情,海外抗疫日记,百岁新冠肺炎老人治愈出院,104岁二战老兵确诊后康复",0,1,12,2020-04-07 21:31,微博视频号,,"http://f.video.weibocdn.com/MMj6CLJjlx07CjH63X2g01041200d7Ra0E010.mp4?label=mp4_hd&template=714x1170.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010898&ssig=jsIO0SCAGi&KID=unistore,video",,,黄V
4488331708730311,IB3UuAD9t,7283364547,来点石锤,两位百岁老人，都是老奶奶。一位在英国，一位在武汉。武汉老奶奶康复出院，而英国老奶奶，唉……愿天堂没有新冠。#英国最年长新冠肺炎患者病逝##百岁新冠肺炎老人治愈出院#大话石锤超话,,,,"英国最年长新冠肺炎患者病逝,百岁新冠肺炎老人治愈出院",14,58,398,2020-03-31 00:18,大话石锤超话,"https://wx2.sinaimg.cn/large/007WUfPJgy1gdcfmxo9suj30u01fhk4t.jpg,https://wx2.sinaimg.cn/large/007WUfPJgy1gdcfmydsgtj30qo10utd7.jpg",,,,金V
4479974972751153,IxyvTbxHr,2035926712,平安禹州,【好消息！#百岁新冠肺炎老人治愈出院#】今天下午，100周岁高龄的新冠肺炎康复者王大爷顺利出院！这是湖北省妇幼保健院光谷院区目前最高龄的治愈出院患者。老人2月24日入院，患有多种基础性疾病，军队医护人员组建专门团队对他进行治疗。祝福老人！（总台央广记者孙利王锐涛葛欣赵佳庆）L央广军事的微博视频,,,,百岁新冠肺炎老人治愈出院,0,0,1,2020-03-07 22:52,微博视频号,,"http://f.video.weibocdn.com/ZDVIB6Omlx07BwaTDrcI01041200kjIM0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010898&ssig=J9zfb%2BmDoN&KID=unistore,video",,,蓝V
4479967113020210,IxyjdcFH4,7074204911,山西省退役军人事务厅,【好消息！#百岁新冠肺炎老人治愈出院#】今天下午，100周岁高龄的新冠肺炎康复者王大爷顺利出院！这是湖北省妇幼保健院光谷院区目前最高龄的治愈出院患者。老人2月24日入院，患有多种基础性疾病，军队医护人员组建专门团队对他进行治疗。祝福老人！（总台央广记者孙利王锐涛葛欣赵佳庆）L央广军事的微博视频L央广军事的微博视频,,,,百岁新冠肺炎老人治愈出院,0,0,0,2020-03-07 22:20,iPhone客户端,,"http://f.video.weibocdn.com/ZDVIB6Omlx07BwaTDrcI01041200kjIM0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010898&ssig=J9zfb%2BmDoN&KID=unistore,video",,,蓝V
4479956014508927,Ixy1jiUYD,1496814565,封面新闻,【#百岁新冠肺炎老人治愈出院#】7日下午，湖北省妇幼保健院光谷院区，100周岁高龄的新冠肺炎康复者王大爷顺利出院，成为目前最高龄的新冠肺炎治愈出院患者。老人2月24日入院，患有多种基础性疾病，军队医护人员组建专门团队对他进行治疗。祝福老人！L封面新闻视频的秒拍视频,,,,百岁新冠肺炎老人治愈出院,5,6,29,2020-03-07 21:36,360安全浏览器,,"http://miaopai.video.weibocdn.com/ATAUWgcKlx07BwfSZhvO01041200Kfdf0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010898&ssig=LDUwFrjxYN&KID=unistore,video",,,蓝V
4479954634666851,IxxZ5jA3N,2708611652,宿迁日报社,【好消息！#百岁新冠肺炎老人治愈出院#】今天下午，100周岁高龄的新冠肺炎康复者王大爷顺利出院！这是湖北省妇幼保健院光谷院区目前最高龄的治愈出院患者。老人2月24日入院，患有多种基础性疾病，军队医护人员组建专门团队对他进行治疗。祝福老人！L央广军事的微博视频,,,,百岁新冠肺炎老人治愈出院,0,0,0,2020-03-07 21:31,微博视频号,,"http://f.video.weibocdn.com/ZDVIB6Omlx07BwaTDrcI01041200kjIM0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010898&ssig=J9zfb%2BmDoN&KID=unistore,video",,,蓝V
4479938868804083,IxxzEAWll,1245780372,全民wisdom,#百岁新冠肺炎老人治愈出院#🙏🙏🙏,,,,百岁新冠肺炎老人治愈出院,0,0,0,2020-03-07 20:28,荣耀V20 4800万3D相机,,,,,黄V
4479938159682083,IxxyvECKD,3881380517,新华日报,【好消息！#百岁新冠肺炎老人治愈出院#】今天下午，100周岁高龄的新冠肺炎康复者王大爷顺利出院！这是湖北省妇幼保健院光谷院区目前最高龄的治愈出院患者。老人2月24日入院，患有多种基础性疾病，军队医护人员组建专门团队对他进行治疗。祝福老人！L央广军事的微博视频,,,,百岁新冠肺炎老人治愈出院,7,1,26,2020-03-07 20:25,微博视频号,,"http://f.video.weibocdn.com/ZDVIB6Omlx07BwaTDrcI01041200kjIM0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010900&ssig=PTjXzhmSA6&KID=unistore,video",,,蓝V
4479937862268287,Ixxy29w5h,1728148193,央广军事,【好消息！#百岁新冠肺炎老人治愈出院#】今天下午，100周岁高龄的新冠肺炎康复者王大爷顺利出院！这是湖北省妇幼保健院光谷院区目前最高龄的治愈出院患者。老人2月24日入院，患有多种基础性疾病，军队医护人员组建专门团队对他进行治疗。祝福老人！（总台央广记者孙利王锐涛葛欣赵佳庆）L央广军事的微博视频,,,,百岁新冠肺炎老人治愈出院,17,11,186,2020-03-07 20:24,微博视频号,,"http://f.video.weibocdn.com/ZDVIB6Omlx07BwaTDrcI01041200kjIM0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725010900&ssig=PTjXzhmSA6&KID=unistore,video",,,蓝V
