id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4766973055469456,Ls6h3mWR2,2342024544,ETtoday新聞雲,【在1间公司工作超过84年！他100岁还不退休创#吉尼斯世界纪录#】O网页链接#巴西#一名百岁人瑞在同一间纺织公司工作超过84年，创下吉尼斯世界纪录。他表示，喜欢工作是他长寿的秘诀，唯有喜欢自己的工作才能坚持下去。事实上，他在数十年前就已经符合退休标准，但他依旧坚持自己的目标，留在工作岗位上，并强调未来也会持续工作下去。L老板联播的微博视频(paper小编也喜欢工作工作使小编快乐)#环球见闻##百岁老人1家公司工作84年破纪录#,,,,"吉尼斯世界纪录,巴西,环球见闻,百岁老人1家公司工作84年破纪录",1,2,2,2022-05-08 22:00,微博视频号,,"http://f.video.weibocdn.com/o0/ltuYj6TQlx07VMON2jRm01041200f1TA0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002232&ssig=bbV247VNGN&KID=unistore,video",,,蓝V
4765801737618336,LrBNPvXSo,3903175125,凤凰网房产杭州站,【#百岁老人1家公司工作84年破纪录#，你有几家前公司了？】据吉尼斯世界纪录披露，巴西一位名叫沃尔特·奥斯曼（WalterOrthmann）的百岁老人打破了在单一公司任职最长的记录。截至2022年1月6日，他在同一家公司工作了84年零9天。L老板联播的微博视频,,,,百岁老人1家公司工作84年破纪录,0,0,0,2022-05-05 16:25,微博视频号,,"http://f.video.weibocdn.com/o0/ltuYj6TQlx07VMON2jRm01041200f1TA0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002232&ssig=bbV247VNGN&KID=unistore,video",,,普通用户
4765773379406070,LrB45DsWO,1980990895,新浪职业教育,【#百岁老人1家公司工作84年破纪录#，你有几家前公司了？】据吉尼斯世界纪录披露，巴西一位名叫沃尔特·奥斯曼（WalterOrthmann）的百岁老人打破了在单一公司任职最长的记录。截至2022年1月6日，他在同一家公司工作了84年零9天。L老板联播的微博视频,,,,百岁老人1家公司工作84年破纪录,0,0,1,2022-05-05 14:33,微博视频号,,"http://f.video.weibocdn.com/o0/ltuYj6TQlx07VMON2jRm01041200f1TA0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002232&ssig=bbV247VNGN&KID=unistore,video",,,蓝V
4765738903273803,LrAaudJFh,1974561081,网易财经,【#百岁老人1家公司工作84年破纪录#，你有几家前公司了？】据吉尼斯世界纪录披露，巴西一位名叫沃尔特·奥斯曼（WalterOrthmann）的百岁老人打破了在单一公司任职最长的记录。截至2022年1月6日，他在同一家公司工作了84年零9天。L老板联播的微博视频,,,,百岁老人1家公司工作84年破纪录,1,1,5,2022-05-05 12:16,微博视频号,,"http://f.video.weibocdn.com/o0/ltuYj6TQlx07VMON2jRm01041200f1TA0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002232&ssig=bbV247VNGN&KID=unistore,video",,,蓝V
4765732364091901,LrzZWhaup,1905687615,网易科技频道,【#百岁老人1家公司工作84年破纪录#，你有几家前公司了？】据吉尼斯世界纪录最新披露，巴西一位名叫沃尔特·奥斯曼（WalterOrthmann）的百岁老人打破了在单一公司任职最长的记录。截至2022年1月6日，他在同一家公司工作了84年零9天。L老板联播的微博视频,,,,百岁老人1家公司工作84年破纪录,0,0,0,2022-05-05 11:50,微博视频号,,"http://f.video.weibocdn.com/o0/ltuYj6TQlx07VMON2jRm01041200f1TA0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002232&ssig=bbV247VNGN&KID=unistore,video",,,蓝V
4765724557969752,LrzNlxrio,7277507691,丝路人力资源产业研究院,【#百岁老人1家公司工作84年破纪录#，你有几家前公司了？】据吉尼斯世界纪录披露，巴西一位名叫沃尔特·奥斯曼（WalterOrthmann）的百岁老人打破了在单一公司任职最长的记录。截至2022年1月6日，他在同一家公司工作了84年零9天。据国外媒体报道，奥特曼于1922年4月19日出生在巴西小镇布鲁斯克。1937年，年仅15岁的奥特曼想找一份工作，帮助家里解决经济问题。由于他精通德语，1938年1月17日，他被纺织公司IndustriasRenauxs.a.(现在的ReneauxView)聘为航运助理。不久之后，他被调到销售部门，后来成为了销售经理，并一直在这个岗位辛勤工作。截至今年，他已经为该公司工作了84年。吉尼斯世界纪录近日证实，奥特曼成为在同一家公司工作时间最长的员工。对此，奥斯曼称达成这一世界记录是他“最自豪的成就”，他说他创造历史的关键就是关注当下。,,,,百岁老人1家公司工作84年破纪录,0,0,1,2022-05-05 11:19,微博 weibo.com,https://wx2.sinaimg.cn/large/007WvGcjly1h1x9jbzbrmj30hs0a8mye.jpg,,,,蓝V
4765705435876257,LrzivoEGl,1684012053,财经杂志,【投票：你有几家前公司了？】#百岁老人1家公司工作84年破纪录#据吉尼斯世界纪录最新披露，巴西一位百岁老人打破了在单一公司任职最长的记录。截至2022年1月6日，他在同一家公司工作了84年零9天你有几家前公司了？🥲,,,,百岁老人1家公司工作84年破纪录,0,0,101,2022-05-05 10:03,,,,,,蓝V
4765703653035569,LrzfDcJGN,1684012053,财经杂志,【#百岁老人1家公司工作84年破纪录#，你有几家前公司了？】据吉尼斯世界纪录最新披露，巴西一位名叫沃尔特·奥斯曼（WalterOrthmann）的百岁老人打破了在单一公司任职最长的记录。截至2022年1月6日，他在同一家公司工作了84年零9天。L老板联播的微博视频,,,,百岁老人1家公司工作84年破纪录,2,2,7,2022-05-05 09:55,微博视频号,,"http://f.video.weibocdn.com/o0/ltuYj6TQlx07VMON2jRm01041200f1TA0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002232&ssig=bbV247VNGN&KID=unistore,video",,,蓝V
4765703091258090,LrzeJ5hhM,1653689003,新周刊,【#百岁老人1家公司工作84年破纪录#，你有几家前公司了？】据吉尼斯世界纪录披露，巴西一位名叫沃尔特·奥斯曼（WalterOrthmann）的百岁老人打破了在单一公司任职最长的记录。截至2022年1月6日，他在同一家公司工作了84年零9天。L老板联播的微博视频,,,,百岁老人1家公司工作84年破纪录,8,16,51,2022-05-05 09:53,微博视频号,,"http://f.video.weibocdn.com/o0/ltuYj6TQlx07VMON2jRm01041200f1TA0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002232&ssig=bbV247VNGN&KID=unistore,video",,,蓝V
4765699828616613,Lrz9sA9zD,2473476713,金融街侦探,【#百岁老人1家公司工作84年破纪录#，你有几家前公司了？】据吉尼斯世界纪录最新披露，巴西一位名叫沃尔特·奥斯曼（WalterOrthmann）的百岁老人打破了在单一公司任职最长的记录。截至2022年1月6日，他在同一家公司工作了84年零9天。L老板联播的微博视频,,,,百岁老人1家公司工作84年破纪录,0,0,0,2022-05-05 09:40,微博视频号,,"http://f.video.weibocdn.com/o0/ltuYj6TQlx07VMON2jRm01041200f1TA0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002234&ssig=Si%2FqW96HAV&KID=unistore,video",,,普通用户
