id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4765841260283234,LrCPA1bGi,3158981002,法制安徽新闻,【#百岁老人患阿尔茨海默病到农村找去世的儿子#】近日，@宣州公安周王派出所接到报警：一位老人找不到回家的路。民警到达现场了解到：老人今年99岁，去世多年的儿子曾经在这儿工作，老人患有阿尔茨海默病多次来此找儿子！民警联系老人家人，等待其家人下班后来派出所将老人接回家，临行前民警再三嘱咐一定照顾好老人啊！L法制安徽新闻的微博视频,,,宣州公安,百岁老人患阿尔茨海默病到农村找去世的儿子,0,0,0,2022-05-05 19:02,微博视频号,,"http://f.video.weibocdn.com/o0/NDEcLok6lx07VOxXPB9e010412008z060E010.mp4?label=mp4_hd&template=654x368.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005947&ssig=faYKVvPSHd&KID=unistore,video",,,蓝V
4765687563944782,LryPGgydw,3039827240,宣城公安在线,#警民连心#【#百岁老人患阿尔茨海默病到农村找去世的儿子#】近日，@宣州公安周王派出所接到报警：一位老人找不到回家的路。民警到达现场了解到：老人今年99岁，去世多年的儿子曾经在这儿工作，老人患有阿尔茨海默病多次来此找儿子！民警联系老人家人，等待其家人下班后来派出所将老人接回家，临行前民警再三嘱咐一定照顾好老人啊！#阿尔茨海默症老人找去世儿子迷路#L宣城公安在线的微博视频,,,宣州公安,"警民连心,百岁老人患阿尔茨海默病到农村找去世的儿子,阿尔茨海默症老人找去世儿子迷路",50,71,287,2022-05-05 08:52,微博视频号,,"http://f.video.weibocdn.com/o0/bYUrvXY4lx07VNS1s5cA01041200lwJ70E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005947&ssig=2Qdn1VvZcn&KID=unistore,video",,,
4765816274819147,LrCbhkdGb,5860098034,南充交警直属四大队,#警民连心#【#百岁老人患阿尔茨海默病到农村找去世的儿子#】,,,,"警民连心,百岁老人患阿尔茨海默病到农村找去世的儿子",0,0,287,2022-05-05 17:23,iPhone客户端,,,4765687563944782,,蓝V
4765811208882401,LrC36BgIx,2118873173,武城公安,#阿尔茨海默症老人找去世儿子迷路##警民连心##百岁老人患阿尔茨海默病到农村找去世的儿子#近日，宣州公安周王派出所接到报警：一位老人找不到回家的路。民警到达现场了解到：老人今年99岁，去世多年的儿子曾经在这儿工作，老人患有阿尔茨海默病多次来此找儿子！民警联系老人家人，等待其家人下班后来派出所将老人接回家，临行前民警再三嘱咐一定照顾好老人啊！L宣城公安在线的微博视频,,,,"阿尔茨海默症老人找去世儿子迷路,警民连心,百岁老人患阿尔茨海默病到农村找去世的儿子",0,0,1,2022-05-05 17:03,微博视频号,,"http://f.video.weibocdn.com/o0/bYUrvXY4lx07VNS1s5cA01041200lwJ70E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005947&ssig=2Qdn1VvZcn&KID=unistore,video",,,蓝V
4765802782002200,LrBPw8oRy,3624543863,渠县公安,#警民连心#【#百岁老人患阿尔茨海默病到农村找去世的儿子#】近日，@宣州公安周王派出所接到报警：一位老人找不到回家的路。民警到达现场了解到：老人今年99岁，去世多年的儿子曾经在这儿工作，老人患有阿尔茨海默病多次来此找儿子！民警联系老人家人，等待其家人下班后来派出所将老人接回家，临行前民警再三嘱咐一定照顾好老人啊！#阿尔茨海默症老人找去世儿子迷路#L宣城公安在线的微博视频,,,宣州公安,"警民连心,百岁老人患阿尔茨海默病到农村找去世的儿子,阿尔茨海默症老人找去世儿子迷路",0,1,0,2022-05-05 16:29,微博视频号,,"http://f.video.weibocdn.com/o0/bYUrvXY4lx07VNS1s5cA01041200lwJ70E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005947&ssig=2Qdn1VvZcn&KID=unistore,video",,,蓝V
4765794712426133,LrBCvab9b,5051439604,筠连公安,#警民连心#【#百岁老人患阿尔茨海默病到农村找去世的儿子#】近日，@宣州公安周王派出所接到报警：一位老人找不到回家的路。民警到达现场了解到：老人今年99岁，去世多年的儿子曾经在这儿工作，老人患有阿尔茨海默病多次来此找儿子！民警联系老人家人，等待其家人下班后来派出所将老人接回家，临行前民警再三嘱咐一定照顾好老人啊！L宣城公安在线的微博视频,,,宣州公安,"警民连心,百岁老人患阿尔茨海默病到农村找去世的儿子",0,3,2,2022-05-05 15:57,微博视频号,,"http://f.video.weibocdn.com/o0/bYUrvXY4lx07VNS1s5cA01041200lwJ70E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005947&ssig=2Qdn1VvZcn&KID=unistore,video",,,蓝V
4765789855420121,LrBuFmK1j,2038353515,汉源公安,#警民连心#【#百岁老人患阿尔茨海默病到农村找去世的儿子#】近日，@宣州公安周王派出所接到报警：一位老人找不到回家的路。民警到达现场了解到：老人今年99岁，去世多年的儿子曾经在这儿工作，老人患有阿尔茨海默病多次来此找儿子！民警联系老人家人，等待其家人下班后来派出所将老人接回家，临行前民警再三嘱咐一定照顾好老人啊！#阿尔茨海默症老人找去世儿子迷路#L宣城公安在线的微博视频,,,宣州公安,"警民连心,百岁老人患阿尔茨海默病到农村找去世的儿子,阿尔茨海默症老人找去世儿子迷路",0,3,1,2022-05-05 15:38,微博视频号,,"http://f.video.weibocdn.com/o0/bYUrvXY4lx07VNS1s5cA01041200lwJ70E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005947&ssig=2Qdn1VvZcn&KID=unistore,video",,,蓝V
4765778367482238,LrBc8votg,1452472707,宣城经开公安在线,#警民连心#【#百岁老人患阿尔茨海默病到农村找去世的儿子#】,,,,"警民连心,百岁老人患阿尔茨海默病到农村找去世的儿子",0,0,287,2022-05-05 14:52,微博网页版,,,4765687563944782,,蓝V
4765768195510863,LrAVJn7CT,1978054071,平安银川,#警民连心#【#百岁老人患阿尔茨海默病到农村找去世的儿子#】近日，@宣州公安周王派出所接到报警：一位老人找不到回家的路。民警到达现场了解到：老人今年99岁，去世多年的儿子曾经在这儿工作，老人患有阿尔茨海默病多次来此找儿子！民警联系老人家人，等待其家人下班后来派出所将老人接回家，临行前民警再三嘱咐一定照顾好老人啊！L宣城公安在线的微博视频,,,宣州公安,"警民连心,百岁老人患阿尔茨海默病到农村找去世的儿子",0,0,0,2022-05-05 14:12,iPhone客户端,,"http://f.video.weibocdn.com/o0/bYUrvXY4lx07VNS1s5cA01041200lwJ70E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005947&ssig=2Qdn1VvZcn&KID=unistore,video",,,蓝V
4765755025132010,LrAAulx4m,2641262894,高县公安,#警民连心#【#百岁老人患阿尔茨海默病到农村找去世的儿子#】近日，@宣州公安周王派出所接到报警：一位老人找不到回家的路。民警到达现场了解到：老人今年99岁，去世多年的儿子曾经在这儿工作，老人患有阿尔茨海默病多次来此找儿子！民警联系老人家人，等待其家人下班后来派出所将老人接回家，临行前民警再三嘱咐一定照顾好老人啊！L宣城公安在线的微博视频,,,宣州公安,"警民连心,百岁老人患阿尔茨海默病到农村找去世的儿子",0,2,0,2022-05-05 13:20,微博视频号,,"http://f.video.weibocdn.com/o0/bYUrvXY4lx07VNS1s5cA01041200lwJ70E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005947&ssig=2Qdn1VvZcn&KID=unistore,video",,,蓝V
