id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4856467988940056,MnGZoBvIs,5657827712,我爱长沙520,【#百岁老人染新冠好转医护为其过生日#】1月8日，湖南长沙。省肿瘤医院新冠感染急危重症病房内，医护人员和病友家属们齐唱《生日祝福歌》，祝福患者魏嗲嗲100岁生日快乐。L长沙政法频道的微博视频,,,,百岁老人染新冠好转医护为其过生日,4,0,6,2023-01-10 21:01,微博视频号,,"http://f.video.weibocdn.com/o0/8VCdumrMlx082c6zFQkU01041200hIlq0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016157&ssig=Qrs4H6Wgw3&KID=unistore,video",,,红V
4856371856540337,MnEulrrrj,6203779723,湖南热点集,【#百岁老人染新冠好转医护为其过生日#】1月8日，湖南长沙。省肿瘤医院新冠感染急危重症病房内，医护人员和病友家属们齐唱《生日祝福歌》，祝福患者魏嗲嗲100岁生日快乐。L长沙政法频道的微博视频,,,,百岁老人染新冠好转医护为其过生日,0,1,0,2023-01-10 14:39,微博视频号,,"http://f.video.weibocdn.com/o0/8VCdumrMlx082c6zFQkU01041200hIlq0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016157&ssig=Qrs4H6Wgw3&KID=unistore,video",,,黄V
4856316750988636,MnD3t49bK,6072764874,乐生活在长沙,【#百岁老人染新冠好转医护为其过生日#】1月8日，湖南长沙。省肿瘤医院新冠感染急危重症病房内，医护人员和病友家属们齐唱《生日祝福歌》，祝福患者魏嗲嗲100岁生日快乐。L长沙政法频道的微博视频,,,,百岁老人染新冠好转医护为其过生日,2,1,4,2023-01-10 11:00,微博视频号,,"http://f.video.weibocdn.com/o0/8VCdumrMlx082c6zFQkU01041200hIlq0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016157&ssig=Qrs4H6Wgw3&KID=unistore,video",,,黄V
4856315380500492,MnD1g26cs,3729611330,三湘名博沙龙,【#百岁老人染新冠好转医护为其过生日#】1月8日，湖南长沙。省肿瘤医院新冠感染急危重症病房内，医护人员和病友家属们齐唱《生日祝福歌》，祝福患者魏嗲嗲100岁生日快乐。L长沙政法频道的微博视频,,,,百岁老人染新冠好转医护为其过生日,0,0,1,2023-01-10 10:54,微博视频号,,"http://f.video.weibocdn.com/o0/8VCdumrMlx082c6zFQkU01041200hIlq0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016157&ssig=Qrs4H6Wgw3&KID=unistore,video",,,蓝V
4856313727156901,MnCYAu1PT,5878825233,游玩旅游攻略,【#百岁老人染新冠好转医护为其过生日#】1月8日，湖南长沙。省肿瘤医院新冠感染急危重症病房内，医护人员和病友家属们齐唱《生日祝福歌》，祝福患者魏嗲嗲100岁生日快乐。L长沙政法频道的微博视频,,,,百岁老人染新冠好转医护为其过生日,0,0,0,2023-01-10 10:48,微博视频号,,"http://f.video.weibocdn.com/o0/8VCdumrMlx082c6zFQkU01041200hIlq0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016157&ssig=Qrs4H6Wgw3&KID=unistore,video",,,黄V
4856049825219335,Mnw6WlTMP,5521112162,长沙美食旅行,【#百岁老人染新冠好转医护为其过生日#】1月8日，湖南长沙。省肿瘤医院新冠感染急危重症病房内，医护人员和病友家属们齐唱《生日祝福歌》，祝福患者魏嗲嗲100岁生日快乐。L长沙政法频道的微博视频,,,,百岁老人染新冠好转医护为其过生日,0,0,0,2023-01-09 17:19,iPhone客户端,,"http://f.video.weibocdn.com/o0/8VCdumrMlx082c6zFQkU01041200hIlq0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016157&ssig=Qrs4H6Wgw3&KID=unistore,video",,,黄V
4856049737663523,Mnw6Nw9Dd,2159527751,长沙微分享,【#百岁老人染新冠好转医护为其过生日#】1月8日，湖南长沙。省肿瘤医院新冠感染急危重症病房内，医护人员和病友家属们齐唱《生日祝福歌》，祝福患者魏嗲嗲100岁生日快乐。L长沙政法频道的微博视频,,,,百岁老人染新冠好转医护为其过生日,0,0,1,2023-01-09 17:19,微博视频号,,"http://f.video.weibocdn.com/o0/8VCdumrMlx082c6zFQkU01041200hIlq0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016157&ssig=Qrs4H6Wgw3&KID=unistore,video",,,黄V
4855766870397787,MnoKz1FtV,5649170494,兰州微播,【#百岁老人染新冠好转医护为其过生日#】1月8日，湖南长沙。省肿瘤医院新冠感染急危重症病房内，医护人员和病友家属们齐唱《生日祝福歌》，祝福患者魏嗲嗲100岁生日快乐。L长沙政法频道的微博视频,,,,百岁老人染新冠好转医护为其过生日,0,0,0,2023-01-08 22:35,微博视频号,,"http://f.video.weibocdn.com/o0/8VCdumrMlx082c6zFQkU01041200hIlq0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016157&ssig=Qrs4H6Wgw3&KID=unistore,video",,,红V
4855748507468104,MnogWvkNi,6043311739,大兰州,【#百岁老人染新冠好转医护为其过生日#】1月8日，湖南长沙。省肿瘤医院新冠感染急危重症病房内，医护人员和病友家属们齐唱《生日祝福歌》，祝福患者魏嗲嗲100岁生日快乐。L长沙政法频道的微博视频,,,,百岁老人染新冠好转医护为其过生日,0,0,0,2023-01-08 21:22,微博视频号,,"http://f.video.weibocdn.com/o0/8VCdumrMlx082c6zFQkU01041200hIlq0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016159&ssig=FpgGCpj5r8&KID=unistore,video",,,黄V
4855720791250902,Mnnyf5fpQ,2000016880,逐浪新闻,【#百岁老人染新冠好转医护为其过生日#】1月8日，湖南长沙。省肿瘤医院新冠感染急危重症病房内，医护人员和病友家属们齐唱《生日祝福歌》，祝福患者魏嗲嗲100岁生日快乐。L长沙政法频道的微博视频,,,,百岁老人染新冠好转医护为其过生日,1,0,1,2023-01-08 19:31,微博视频号,,"http://f.video.weibocdn.com/o0/8VCdumrMlx082c6zFQkU01041200hIlq0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725016159&ssig=FpgGCpj5r8&KID=unistore,video",,,蓝V
