id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4866448536634812,MrSD3rQ16,2784361770,微博江苏,【闯关成功！#百岁老人感染新冠后顺利康复出院#】2022年12月26日，江苏南京，年过百岁的陈世鹏老人不幸感染新冠，一度出现呼吸困难。在医护人员全力抢救下，老人不到72小时就顺利脱离呼吸机。经过一个多月康复治疗，老人转危为安、状态良好，符合出院条件。出院前一天，恰好是老人101周岁生日，医护人员特意送上了礼物和祝福，老人的家属也送上了锦旗感谢。#百岁老人的新冠脱险记#L江苏新闻的微博视频,,,,"百岁老人感染新冠后顺利康复出院,百岁老人的新冠脱险记",0,0,0,2023-02-07 10:00,微博视频号,,"http://f.video.weibocdn.com/o0/RWQX0lSElx082WlEqkCc01041200YlGN0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009307&ssig=cSKioxmmN2&KID=unistore,video",,,蓝V
4866254479821755,MrNA3Fd5p,3271855994,议政金陵,【闯关成功！#百岁老人感染新冠后顺利康复出院#】2022年12月26日，江苏南京，年过百岁的陈世鹏老人不幸感染新冠，一度出现呼吸困难。在医护人员全力抢救下，老人不到72小时就顺利脱离呼吸机。经过一个多月康复治疗，老人转危为安、状态良好，符合出院条件。出院前一天，恰好是老人101周岁生日，医护人员特意送上了礼物和祝福，老人的家属也送上了锦旗感谢。#百岁老人的新冠脱险记#L江苏新闻的微博视频,,,,"百岁老人感染新冠后顺利康复出院,百岁老人的新冠脱险记",0,0,0,2023-02-06 21:09,微博视频号,,"http://f.video.weibocdn.com/o0/RWQX0lSElx082WlEqkCc01041200YlGN0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009307&ssig=cSKioxmmN2&KID=unistore,video",,,蓝V
4866237622387836,MrN8Sa1bu,1910380137,江宁发布,【闯关成功！#百岁老人感染新冠后顺利康复出院#】2022年12月26日，江苏南京，年过百岁的陈世鹏老人不幸感染新冠，一度出现呼吸困难。在医护人员全力抢救下，老人不到72小时就顺利脱离呼吸机。经过一个多月康复治疗，老人转危为安、状态良好，符合出院条件。出院前一天，恰好是老人101周岁生日，医护人员特意送上了礼物和祝福，老人的家属也送上了锦旗感谢。#百岁老人的新冠脱险记#L江苏新闻的微博视频,,,,"百岁老人感染新冠后顺利康复出院,百岁老人的新冠脱险记",6,1,8,2023-02-06 20:02,微博视频号,,"http://f.video.weibocdn.com/o0/RWQX0lSElx082WlEqkCc01041200YlGN0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009307&ssig=cSKioxmmN2&KID=unistore,video",,,蓝V
4866220123496810,MrMGEeFGa,1842312240,荔直播,【闯关成功！#百岁老人感染新冠后顺利康复出院#】2022年12月26日，江苏南京，年过百岁的陈世鹏老人不幸感染新冠，一度出现呼吸困难。在医护人员全力抢救下，老人不到72小时就顺利脱离呼吸机。经过一个多月康复治疗，老人转危为安、状态良好，符合出院条件。出院前一天，恰好是老人101周岁生日，医护人员特意送上了礼物和祝福，老人的家属也送上了锦旗感谢。#百岁老人的新冠脱险记#L江苏新闻的微博视频,,,,"百岁老人感染新冠后顺利康复出院,百岁老人的新冠脱险记",0,0,0,2023-02-06 18:52,微博视频号,,"http://f.video.weibocdn.com/o0/RWQX0lSElx082WlEqkCc01041200YlGN0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009307&ssig=cSKioxmmN2&KID=unistore,video",,,蓝V
4866218864936540,MrMECkIdC,1301904252,江苏新闻,【闯关成功！#百岁老人感染新冠后顺利康复出院#】2022年12月26日，江苏南京，年过百岁的陈世鹏老人不幸感染新冠，一度出现呼吸困难。在医护人员全力抢救下，老人不到72小时就顺利脱离呼吸机。经过一个多月康复治疗，老人转危为安、状态良好，符合出院条件。出院前一天，恰好是老人101周岁生日，医护人员特意送上了礼物和祝福，老人的家属也送上了锦旗感谢。#百岁老人的新冠脱险记#L江苏新闻的微博视频,,,,"百岁老人感染新冠后顺利康复出院,百岁老人的新冠脱险记",7,1,24,2023-02-06 18:47,微博视频号,,"http://f.video.weibocdn.com/o0/RWQX0lSElx082WlEqkCc01041200YlGN0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009307&ssig=cSKioxmmN2&KID=unistore,video",,,蓝V
4853141092178055,Mmirr98BV,6382509918,长春城市生活,#百岁老人感染新冠病危医护72小时内救回#【#百岁老人的新冠脱险记#】南京的陈世鹏老人今年100周岁，曾是一位抗战老兵。12月26日，身体一向硬朗的他不幸感染新冠，不久出现呼吸衰竭等情况，CT诊断出重症肺炎，被转入南医大附属逸夫医院ICU抢救，在收治紧张的情况下，医院协调力量第一时间给老人上呼吸机和纤支镜治疗，29日，老人转危为安，顺利脱机拔管，后续将转入普通病房康复治疗。L江苏新闻的微博视频,,,,"百岁老人感染新冠病危医护72小时内救回,百岁老人的新冠脱险记",0,0,0,2023-01-01 16:41,微博 weibo.com,,"http://f.video.weibocdn.com/o0/ZJu9AyGelx081XG8mjJS01041200Lqkm0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009307&ssig=%2Bi3Cdi%2Bv6%2F&KID=unistore,video",,,黄V
4852789753415771,Mm9iLekB5,1803223223,纯竹88,#辉瑞新冠特效药放开网售##日常##城市味蕾战##OOTD#家里有老人的可以找我购买了以备不时之需的时候着急#百岁老人的新冠脱险记#,,,,"辉瑞新冠特效药放开网售,日常,城市味蕾战,OOTD,百岁老人的新冠脱险记",0,0,0,2022-12-31 17:25,iPhone客户端,"https://wx1.sinaimg.cn/large/6b7b00b7gy1h9n4bd4gibj20h40c8aan.jpg,https://wx3.sinaimg.cn/large/6b7b00b7gy1h9n4bdrkhrj20ku0c1wf7.jpg,https://wx2.sinaimg.cn/large/6b7b00b7gy1h9n4bendwyj20m80dwgna.jpg",,,,普通用户
4852511603171374,Mm248dj1c,3106250394,南通发布,【#百岁老人的新冠脱险记#】#百岁老人感染新冠病危医护72小时内救回#南京的陈世鹏老人今年100周岁，曾是一位抗战老兵。12月26日，身体一向硬朗的他不幸感染新冠，不久出现呼吸衰竭等情况，CT诊断出重症肺炎，被转入南医大附属逸夫医院ICU抢救，在收治紧张的情况下，医院协调力量第一时间给老人上呼吸机和纤支镜治疗，29日，老人转危为安，顺利脱机拔管，后续将转入普通病房康复治疗。L江苏新闻的微博视频,,,,"百岁老人的新冠脱险记,百岁老人感染新冠病危医护72小时内救回",1,0,1,2022-12-30 22:59,微博视频号,,"http://f.video.weibocdn.com/o0/ZJu9AyGelx081XG8mjJS01041200Lqkm0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009308&ssig=UcXxFe0sWu&KID=unistore,video",,,蓝V
4852438307446125,Mm09Uvf4N,7472856103,点时新闻,#百岁老人感染新冠病危医护72小时内救回#【#百岁老人的新冠脱险记#】南京的陈世鹏老人今年100周岁，曾是一位抗战老兵。12月26日，身体一向硬朗的他不幸感染新冠，不久出现呼吸衰竭等情况，CT诊断出重症肺炎，被转入南医大附属逸夫医院ICU抢救，在收治紧张的情况下，医院协调力量第一时间给老人上呼吸机和纤支镜治疗，29日，老人转危为安，顺利脱机拔管，后续将转入普通病房康复治疗。@江苏新闻L江苏新闻的微博视频,,,江苏新闻,"百岁老人感染新冠病危医护72小时内救回,百岁老人的新冠脱险记",0,3,11,2022-12-30 18:08,微博视频号,,"http://f.video.weibocdn.com/o0/ZJu9AyGelx081XG8mjJS01041200Lqkm0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009308&ssig=UcXxFe0sWu&KID=unistore,video",,,蓝V
4852436147111424,Mm06qtQ0o,1842312240,荔直播,#百岁老人感染新冠病危医护72小时内救回#【#百岁老人的新冠脱险记#】南京的陈世鹏老人今年100周岁，曾是一位抗战老兵。12月26日，身体一向硬朗的他不幸感染新冠，不久出现呼吸衰竭等情况，CT诊断出重症肺炎，被转入南医大附属逸夫医院ICU抢救，在收治紧张的情况下，医院协调力量第一时间给老人上呼吸机和纤支镜治疗，29日，老人转危为安，顺利脱机拔管，后续将转入普通病房康复治疗。L江苏新闻的微博视频,,,,"百岁老人感染新冠病危医护72小时内救回,百岁老人的新冠脱险记",0,1,2,2022-12-30 17:59,微博视频号,,"http://f.video.weibocdn.com/o0/ZJu9AyGelx081XG8mjJS01041200Lqkm0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009309&ssig=vMkagQ3mr4&KID=unistore,video",,,蓝V
4852434721309802,Mm0485uJQ,1301904252,江苏新闻,【#百岁老人的新冠脱险记#】#百岁老人感染新冠病危医护72小时内救回#南京的陈世鹏老人今年100周岁，曾是一位抗战老兵。12月26日，身体一向硬朗的他不幸感染新冠，不久出现呼吸衰竭等情况，CT诊断出重症肺炎，被转入南医大附属逸夫医院ICU抢救，在收治紧张的情况下，医院协调力量第一时间给老人上呼吸机和纤支镜治疗，29日，老人转危为安，顺利脱机拔管，后续将转入普通病房康复治疗。L江苏新闻的微博视频,,,,"百岁老人的新冠脱险记,百岁老人感染新冠病危医护72小时内救回",19,44,247,2022-12-30 17:54,微博视频号,,"http://f.video.weibocdn.com/o0/ZJu9AyGelx081XG8mjJS01041200Lqkm0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009309&ssig=vMkagQ3mr4&KID=unistore,video",,,蓝V
