id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5032118761816419,Odtys7Cx5,7906987425,宝技智联,今天偶然看到关于应该不应该给老年人安装摄像头的讨论，感慨很多。从大家的讨论中能看出最难的是如何说服老人自己接受。其实从安全角度考虑，安装摄像头可以为老人提供一定程度的保障。摄像头可以实时监控老人的生活状态，一旦老人出现意外或需要帮助，家人或照护者可以及时发现并采取措施。但是老人隐私是一个不容忽视的问题。安装摄像头可能会让他们感到不适或被监视。决定安装摄像头时，在保证老人健康的基础上，需要充分考虑老人的感受，并与他们进行充分的沟通和协商，尊重他们的意愿，将摄像头安装在合适的位置，避免侵犯老人的隐私。例如，可以将摄像头安装在客厅、厨房等公共区域，而不是卧室等私密空间。如果老人确实比较反对，在确保安全和隐私的前提下，可以考虑使用智能家居设备来辅助照顾老人。例如，智能音箱、一键报警等设备可以为老人提供便利的生活服务，这些也可以通过手机APP进行远程控制。#独居老人##摄像头##家用摄像头##老人安全##监控成了独居老人的朋友圈#,,,,"独居老人,摄像头,家用摄像头,老人安全,监控成了独居老人的朋友圈",1,0,2,2024-05-09 13:54,微博网页版,,,,湖北,蓝V
4975134663772565,NvwAWfPpP,1668731780,无忧家政官方号,【独居老人难伺候？保姆又纷纷“败下阵来”，怎么办？】一位客户来店里给老人找保姆：“我家老爷子呀，确实难伺候，这我也知道，已经给他换了十几个保姆了，就没有一个能待长的。他脾气大，还挑剔。洗脚水的水温不合适他能把洗脚盆踢飞了；自己吃剩下的饭菜，非逼着阿姨吃了，说不吃就是浪费；还有一次他咳嗽几声，阿姨没理会，他就说阿姨不管他，盼着他早点死！哎呀，给我整的也是没办法了，我平时工作也忙，家里还有两个孩子，确实没有时间照顾他。你说该给他找个啥样的保姆呀！“这已经不是单纯找保姆的问题了，其实所谓的独居老人难伺候，性格古怪，主要还是他们缺少亲人的关心爱护，大家觉得我说的对么？#养老护工##00后女生分享养老院护工的日常##护工##独居老人##监控成了独居老人的朋友圈##龚俊呼吁关心身边独居老人##独居老人对着监控和孙女分享日常##王丽云##家政##家政中介找不到工资5000元的阿姨##1000万元鼓励家政人员就地过年##家政cp##清华毕业做家政是人才浪费吗##教育部鼓励高校开设家政专业##上海第一批家政本科专业明年开始招生##家政服务##家政服务成短缺职业##你对家政服务者有什么要求##家政服务员##家政保洁##保洁##保姆##月嫂##月嫂行业火爆##月嫂平均月薪达9369元##育儿嫂##快递员育儿嫂也能评职称了##找个合适的育儿嫂有多难##育婴师##上海育婴师工资8千起步##小时工##钟点工#私信了解🔓更多福利～无忧家政现已覆盖全国23个城市，拥有80多家直营连锁家政门店。无忧保姆提供线上预约服务，让雇主足不出户挑选保姆、月嫂、育儿嫂和小时工，并能在手机上完成面试、签约、付费和点评等操作。🔆无忧家政，保您无忧。🔆家政服务|家政培训|母婴护理|老年护理|保姆|月嫂|育儿嫂|护工|钟点工|北京家政|上海家政|广州家政|深圳家政|武汉家政|成都家政|杭州家政|重庆家政|南京家政|青岛家政|天津家政|郑州家政|长沙家政|西安家政|大连家政|南通家政|东莞家政|全国直营连锁家政机构,,,,"养老护工,00后女生分享养老院护工的日常,护工,独居老人,监控成了独居老人的朋友圈,龚俊呼吁关心身边独居老人,独居老人对着监控和孙女分享日常,王丽云,家政,家政中介找不到工资5000元的阿姨,1000万元鼓励家政人员就地过年,家政cp,清华毕业做家政是人才浪费吗,教育部鼓励高校开设家政专业,上海第一批家政本科专业明年开始招生,家政服务,家政服务成短缺职业,你对家政服务者有什么要求,家政服务员,家政保洁,保洁,保姆,月嫂,月嫂行业火爆,月嫂平均月薪达9369元,育儿嫂,快递员育儿嫂也能评职称了,找个合适的育儿嫂有多难,育婴师,上海育婴师工资8千起步,小时工,钟点工",0,0,0,2023-12-04 08:00,微博网页版,,,,广东,蓝V
4966115457368277,NrJXPuUPb,2682454221,网易态度营销,#态度互动##原来老人远比我们想象的更孤独##监控成了独居老人的朋友圈#你多久回家探望一次家人？你多久回家探望一次家人？,,,,"态度互动,原来老人远比我们想象的更孤独,监控成了独居老人的朋友圈",0,0,0,2023-11-09 10:40,微博网页版,,,,北京,蓝V
4965939156616343,NrFntrLdd,2608693591,喜马拉雅,#喜马晚安#晚安，科技代替不了陪伴，我们应该关注到老人的孤独情绪与心理问题#原来老人远比我们想象的更孤独##监控成了独居老人的朋友圈#你多久回家看望一次家人,,,,"喜马晚安,原来老人远比我们想象的更孤独,监控成了独居老人的朋友圈",2,7,207,2023-11-08 23:00,iPhone 13 Pro,,,,上海,蓝V
4965906994173270,NrExBhvEO,6514423381,怀远正道,#原来老人远比我们想象的更孤独#目前我国60岁及以上人口占比已接近总人口的20%。其中空巢老人占比过半，而且大多数独自生活的老人都表示过自己觉得孤独。近年来，随着科技的发展不少人通过监控线上照看老人，这种情况也得到来缓解。此前还有网友分享给老人安了监控之后，奶奶每天对着摄像头给自己看摘到的花、家里养的鸡，甚至每一顿饭都要展示。老人们不懂网络、不会玩手机，小小的监控就成了他们和儿女沟通的窗口。评论区：这是给你一个人看的朋友圈。#监控成了独居老人的朋友圈#L国是直通车的微博视频,,,,"原来老人远比我们想象的更孤独,监控成了独居老人的朋友圈",0,0,0,2023-11-08 20:52,微博视频号,,"http://f.video.weibocdn.com/o0/UPi4lPqKlx08a0LTtrPG01041200eKE80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725983141&ssig=ta1PaXoHmL&KID=unistore,video",,,蓝V
4965883685374722,NrDW0myd4,7748987844,枣庄市中融媒,#原来老人远比我们想象的更孤独#目前我国60岁及以上人口占比已接近总人口的20%。其中空巢老人占比过半，而且大多数独自生活的老人都表示过自己觉得孤独。近年来，随着科技的发展不少人通过监控线上照看老人，这种情况也得到来缓解。此前还有网友分享给老人安了监控之后，奶奶每天对着摄像头给自己看摘到的花、家里养的鸡，甚至每一顿饭都要展示。老人们不懂网络、不会玩手机，小小的监控就成了他们和儿女沟通的窗口。评论区：这是给你一个人看的朋友圈。#监控成了独居老人的朋友圈#L国是直通车的微博视频,,,,"原来老人远比我们想象的更孤独,监控成了独居老人的朋友圈",0,1,1,2023-11-08 19:19,微博视频号,,"http://f.video.weibocdn.com/o0/UPi4lPqKlx08a0LTtrPG01041200eKE80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725983142&ssig=9BCyFcfNaq&KID=unistore,video",,,蓝V
4965872685551772,NrDEgnigI,2416967903,鄂尔多斯融媒,#原来老人远比我们想象的更孤独#目前我国60岁及以上人口占比已接近总人口的20%。其中空巢老人占比过半，而且大多数独自生活的老人都表示过自己觉得孤独。近年来，随着科技的发展不少人通过监控线上照看老人，这种情况也得到来缓解。此前还有网友分享给老人安了监控之后，奶奶每天对着摄像头给自己看摘到的花、家里养的鸡，甚至每一顿饭都要展示。老人们不懂网络、不会玩手机，小小的监控就成了他们和儿女沟通的窗口。评论区：这是给你一个人看的朋友圈。#监控成了独居老人的朋友圈#L国是直通车的微博视频,,,,"原来老人远比我们想象的更孤独,监控成了独居老人的朋友圈",0,0,0,2023-11-08 18:36,微博视频号,,"http://f.video.weibocdn.com/o0/UPi4lPqKlx08a0LTtrPG01041200eKE80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725983143&ssig=AcRsNItGz0&KID=unistore,video",,,蓝V
4965872180396853,NrDDs1FeR,7755868747,惠民融媒,#原来老人远比我们想象的更孤独#目前我国60岁及以上人口占比已接近总人口的20%。其中空巢老人占比过半，而且大多数独自生活的老人都表示过自己觉得孤独。近年来，随着科技的发展不少人通过监控线上照看老人，这种情况也得到来缓解。此前还有网友分享给老人安了监控之后，奶奶每天对着摄像头给自己看摘到的花、家里养的鸡，甚至每一顿饭都要展示。老人们不懂网络、不会玩手机，小小的监控就成了他们和儿女沟通的窗口。评论区：这是给你一个人看的朋友圈。#监控成了独居老人的朋友圈#L国是直通车的微博视频,,,,"原来老人远比我们想象的更孤独,监控成了独居老人的朋友圈",0,3,5,2023-11-08 18:34,微博视频号,,"http://f.video.weibocdn.com/o0/UPi4lPqKlx08a0LTtrPG01041200eKE80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725983143&ssig=AcRsNItGz0&KID=unistore,video",,,蓝V
4965869955059245,NrDzRle8J,7708557398,果果好好可爱,#监控成了独居老人的朋友圈#子女在外面挣钱养家，老人通过监控把生活中的日常分享给孩子，这也算是压力生活下的一种良性互动#原来老人远比我们想象的更孤独#,,,,"监控成了独居老人的朋友圈,原来老人远比我们想象的更孤独",0,0,0,2023-11-08 18:25,皮皮时光机,,,,浙江,普通用户
4965869598543008,NrDzhzQqs,7367404935,是欧皇玩家,#监控成了独居老人的朋友圈#独居老人的数量越来越多了，但也幸好有监控的存在，可以让远方工作的孩子们看看独居老人的状态#原来老人远比我们想象的更孤独#,,,,"监控成了独居老人的朋友圈,原来老人远比我们想象的更孤独",0,0,0,2023-11-08 18:23,皮皮时光机,,,,浙江,普通用户
