id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4849844387056098,MkUGatBC2,2202088231,西安鹅毛扇,【#看病老人趁乱偷走发热门诊护士手机#同事：报警后1小时上交警察】据@后浪视频报道：12月21日，浙江绍兴。一老人在发热门诊看病，趁医护人员忙偷走护士放在桌上的手机。同事称，幸亏在监控区可以看到，随后报了警，不到1小时老人就把手机上交警察，随后警方过来送回手机。L后浪视频的微博视频,,,后浪视频,看病老人趁乱偷走发热门诊护士手机,0,0,0,2022-12-23 14:21,微博视频号,,"http://f.video.weibocdn.com/o0/yG4sQ1hBlx081LWZGKRq01041200aCcP0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002381&ssig=fa90o7LApW&KID=unistore,video",,,黄V
4849843695255878,MkUF3m3ie,1233302995,李连源,【#看病老人趁乱偷走发热门诊护士手机#同事：报警后1小时上交警察】据@后浪视频报道：12月21日，浙江绍兴。一老人在发热门诊看病，趁医护人员忙偷走护士放在桌上的手机。同事称，幸亏在监控区可以看到，随后报了警，不到1小时老人就把手机上交警察，随后警方过来送回手机。L后浪视频的微博视频,,,后浪视频,看病老人趁乱偷走发热门诊护士手机,0,0,1,2022-12-23 14:18,微博视频号,,"http://f.video.weibocdn.com/o0/yG4sQ1hBlx081LWZGKRq01041200aCcP0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002381&ssig=fa90o7LApW&KID=unistore,video",,,黄V
4849831489834411,MkUlmFgnx,1974642935,北纬事拾,【#看病老人趁乱偷走发热门诊护士手机#同事：报警后1小时上交警察】据@后浪视频报道：12月21日，浙江绍兴。一老人在发热门诊看病，趁医护人员忙偷走护士放在桌上的手机。同事称，幸亏在监控区可以看到，随后报了警，不到1小时老人就把手机上交警察，随后警方过来送回手机。L后浪视频的微博视频,,,后浪视频,看病老人趁乱偷走发热门诊护士手机,0,0,0,2022-12-23 13:29,微博视频号,,"http://f.video.weibocdn.com/o0/yG4sQ1hBlx081LWZGKRq01041200aCcP0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002381&ssig=fa90o7LApW&KID=unistore,video",,,黄V
4849824736218429,MkUatq5Hf,6669036740,新盟财经,【#看病老人趁乱偷走发热门诊护士手机#同事：报警后1小时上交警察】据@后浪视频报道：12月21日，浙江绍兴。一老人在发热门诊看病，趁医护人员忙偷走护士放在桌上的手机。同事称，幸亏在监控区可以看到，随后报了警，不到1小时老人就把手机上交警察，随后警方过来送回手机。L后浪视频的微博视频,,,后浪视频,看病老人趁乱偷走发热门诊护士手机,0,0,0,2022-12-23 13:03,iPhone客户端,,"http://f.video.weibocdn.com/o0/yG4sQ1hBlx081LWZGKRq01041200aCcP0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002381&ssig=fa90o7LApW&KID=unistore,video",,,蓝V
4849805177914745,MkTEVxcZb,3167571163,杜利勇,中国新闻超话【#看病老人趁乱偷走发热门诊护士手机#同事：报警后1小时上交警察】据@后浪视频报道：12月21日，浙江绍兴。一老人在发热门诊看病，趁医护人员忙偷走护士放在桌上的手机。同事称，幸亏在监控区可以看到，随后报了警，不到1小时老人就把手机上交警察，随后警方过来送回手机。L后浪视频的微博视频,,,后浪视频,看病老人趁乱偷走发热门诊护士手机,0,0,0,2022-12-23 11:45,中国新闻超话,,"http://f.video.weibocdn.com/o0/yG4sQ1hBlx081LWZGKRq01041200aCcP0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002381&ssig=fa90o7LApW&KID=unistore,video",,,黄V
4849799839355233,MkTwjDfIR,7452379375,武山融媒,【#看病老人趁乱偷走发热门诊护士手机#同事：报警后1小时上交警察】据@后浪视频报道：12月21日，浙江绍兴。一老人在发热门诊看病，趁医护人员忙偷走护士放在桌上的手机。同事称，幸亏在监控区可以看到，随后报了警，不到1小时老人就把手机上交警察，随后警方过来送回手机。L后浪视频的微博视频,,,后浪视频,看病老人趁乱偷走发热门诊护士手机,0,1,4,2022-12-23 11:24,微博视频号,,"http://f.video.weibocdn.com/o0/yG4sQ1hBlx081LWZGKRq01041200aCcP0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002381&ssig=fa90o7LApW&KID=unistore,video",,,蓝V
4849789126052823,MkTf2poCb,6574244199,长治政法,【#看病老人趁乱偷走发热门诊护士手机#同事：报警后1小时上交警察】据@后浪视频报道：12月21日，浙江绍兴。一老人在发热门诊看病，趁医护人员忙偷走护士放在桌上的手机。同事称，幸亏在监控区可以看到，随后报了警，不到1小时老人就把手机上交警察，随后警方过来送回手机。L后浪视频的微博视频,,,后浪视频,看病老人趁乱偷走发热门诊护士手机,2,3,1,2022-12-23 10:41,微博视频号,,"http://f.video.weibocdn.com/o0/yG4sQ1hBlx081LWZGKRq01041200aCcP0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002381&ssig=fa90o7LApW&KID=unistore,video",,,
4849793774126095,MkTmxhjnV,3512387601,山西襄垣反邪教,【#看病老人趁乱偷走发热门诊护士手机#同事：报警后1小时上交警察】,,,,看病老人趁乱偷走发热门诊护士手机,0,0,1,2022-12-23 11:00,微博网页版,,,4849789126052823,,蓝V
4849793580929618,MkTme3TPQ,2209730323,融媒体张灏,【#看病老人趁乱偷走发热门诊护士手机#同事：报警后1小时上交警察】据@后浪视频报道：12月21日，浙江绍兴。一老人在发热门诊看病，趁医护人员忙偷走护士放在桌上的手机。同事称，幸亏在监控区可以看到，随后报了警，不到1小时老人就把手机上交警察，随后警方过来送回手机。L后浪视频的微博视频,,,后浪视频,看病老人趁乱偷走发热门诊护士手机,0,0,0,2022-12-23 10:59,微博视频号,,"http://f.video.weibocdn.com/o0/yG4sQ1hBlx081LWZGKRq01041200aCcP0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002381&ssig=fa90o7LApW&KID=unistore,video",,,黄V
4849788250493003,MkTdD24fF,5834427740,记忆三秦,【#看病老人趁乱偷走发热门诊护士手机#同事：报警后1小时上交警察】据@后浪视频报道：12月21日，浙江绍兴。一老人在发热门诊看病，趁医护人员忙偷走护士放在桌上的手机。同事称，幸亏在监控区可以看到，随后报了警，不到1小时老人就把手机上交警察，随后警方过来送回手机。L后浪视频的微博视频,,,后浪视频,看病老人趁乱偷走发热门诊护士手机,0,0,0,2022-12-23 10:38,iPhone客户端,,"http://f.video.weibocdn.com/o0/yG4sQ1hBlx081LWZGKRq01041200aCcP0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725002382&ssig=ZcQaoPacj7&KID=unistore,video",,,红V
