id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4579282405822694,JxguQoqKq,7351327762,黄河之滨也很美,兰州超话【兰州一#社区为老年人开智能手机课#：不要把老年人“屏蔽”在时代外】近日，甘肃兰州。一社区的老年人智能手机课堂结课了，平均年龄在70岁左右的“学生”们依旧拉着老师“拖堂”，围着老师提问。主讲老师表示，此次课程从添加好友、发朋友圈到付款、预约挂号，都与老年人生活息息相关。最后一节课还加入了如何防范电信诈骗的内容。@中新视频L中新视频的微博视频,,兰州,中新视频,社区为老年人开智能手机课,1,0,2,2020-12-06 23:44,兰州超话,,"http://f.video.weibocdn.com/r4hQ9CBYlx07IvXl3AlO01041201w2du0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005164&ssig=DctQjNgV56&KID=unistore,video",,,普通用户
4579175371379578,JxdId5MTg,3102251183,爱在母亲河畔,【兰州一#社区为老年人开智能手机课#：不要把老年人“屏蔽”在时代外】近日，甘肃兰州。一社区的老年人智能手机课堂结课了，平均年龄在70岁左右的“学生”们依旧拉着老师“拖堂”，围着老师提问。主讲老师表示，此次课程从添加好友、发朋友圈到付款、预约挂号，都与老年人生活息息相关。最后一节课还加入了如何防范电信诈骗的内容。@中新视频L中新视频的微博视频,,兰州·名城广场,中新视频,社区为老年人开智能手机课,0,1,1,2020-12-06 16:39,微博视频号,,"http://f.video.weibocdn.com/r4hQ9CBYlx07IvXl3AlO01041201w2du0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005164&ssig=DctQjNgV56&KID=unistore,video",,,普通用户
4579167654646810,JxdvLjuQy,5394096423,行遍陇原,【兰州一#社区为老年人开智能手机课#：不要把老年人“屏蔽”在时代外】近日，甘肃兰州。一社区的老年人智能手机课堂结课了，平均年龄在70岁左右的“学生”们依旧拉着老师“拖堂”，围着老师提问。主讲老师表示，此次课程从添加好友、发朋友圈到付款、预约挂号，都与老年人生活息息相关。最后一节课还加入了如何防范电信诈骗的内容。@中新视频L中新视频的微博视频,,,中新视频,社区为老年人开智能手机课,0,0,0,2020-12-06 16:08,iPhone客户端,,"http://f.video.weibocdn.com/r4hQ9CBYlx07IvXl3AlO01041201w2du0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005164&ssig=DctQjNgV56&KID=unistore,video",,,黄V
4578953769779916,Jx7WMF2cA,5649170494,兰州微播,【#兰州#一#社区为老年人开智能手机课#：不要把老年人“屏蔽”在时代外】近日，甘肃兰州。一社区的老年人智能手机课堂结课了，平均年龄在70岁左右的“学生”们依旧拉着老师“拖堂”，围着老师提问。主讲老师表示，此次课程从添加好友、发朋友圈到付款、预约挂号，都与老年人生活息息相关。最后一节课还L中新视频的微博视频,,,,"兰州,社区为老年人开智能手机课",0,5,1,2020-12-06 01:58,微博视频号,,"http://f.video.weibocdn.com/r4hQ9CBYlx07IvXl3AlO01041201w2du0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005164&ssig=DctQjNgV56&KID=unistore,video",,,红V
4578929267184753,Jx7jgu957,6043311739,大兰州,【#兰州#一#社区为老年人开智能手机课#：不要把老年人“屏蔽”在时代外】近日，甘肃兰州。一社区的老年人智能手机课堂结课了，平均年龄在70岁左右的“学生”们依旧拉着老师“拖堂”，围着老师提问。主讲老师表示，此次课程从添加好友、发朋友圈到付款、预约挂号，都与老年人生活息息相关。最后一节课还L中新视频的微博视频,,,,"兰州,社区为老年人开智能手机课",0,1,1,2020-12-06 00:21,微博视频号,,"http://f.video.weibocdn.com/r4hQ9CBYlx07IvXl3AlO01041201w2du0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005164&ssig=DctQjNgV56&KID=unistore,video",,,黄V
4578888099828586,Jx6eRFeRA,2473675252,阿超_港媒视点,【兰州一#社区为老年人开智能手机课#：不要把老年人“屏蔽”在时代外】近日，甘肃兰州。一社区的老年人智能手机课堂结课了，平均年龄在70岁左右的“学生”们依旧拉着老师“拖堂”，围着老师提问。主讲老师表示，此次课程从添加好友、发朋友圈到付款、预约挂号，都与老年人生活息息相关。最后一节课还加入了如何防范电信诈骗的内容。@中新视频L中新视频的微博视频,,,中新视频,社区为老年人开智能手机课,1,0,1,2020-12-05 21:37,微博视频号,,"http://f.video.weibocdn.com/r4hQ9CBYlx07IvXl3AlO01041201w2du0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005164&ssig=DctQjNgV56&KID=unistore,video",,,黄V
4578851448962779,Jx5hKBBCX,7337332345,兰州高新区发布,【兰州一#社区为老年人开智能手机课#：不要把老年人“屏蔽”在时代外】近日，甘肃兰州。一社区的老年人智能手机课堂结课了，平均年龄在70岁左右的“学生”们依旧拉着老师“拖堂”，围着老师提问。主讲老师表示，此次课程从添加好友、发朋友圈到付款、预约挂号，都与老年人生活息息相关。最后一节课还加入了如何防范电信诈骗的内容。（高莹高康迪）@中新视频L中新视频的微博视频,,,中新视频,社区为老年人开智能手机课,0,0,0,2020-12-05 19:11,iPhone客户端,,"http://f.video.weibocdn.com/r4hQ9CBYlx07IvXl3AlO01041201w2du0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005164&ssig=DctQjNgV56&KID=unistore,video",,,蓝V
4578843162316991,Jx54o9IKP,2376534624,美东侨报,【兰州一#社区为老年人开智能手机课#：不要把老年人“屏蔽”在时代外】近日，甘肃兰州。一社区的老年人智能手机课堂结课了，平均年龄在70岁左右的“学生”们依旧拉着老师“拖堂”，围着老师提问。主讲老师表示，此次课程从添加好友、发朋友圈到付款、预约挂号，都与老年人生活息息相关。最后一节课还加入了如何防范电信诈骗的内容。L中新视频的微博视频,,,,社区为老年人开智能手机课,0,0,5,2020-12-05 18:39,微博视频号,,"http://f.video.weibocdn.com/r4hQ9CBYlx07IvXl3AlO01041201w2du0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005164&ssig=DctQjNgV56&KID=unistore,video",,,蓝V
4578811200934665,Jx4eQ3V9f,1897851032,九江晨报,#南铁微视角#【兰州一#社区为老年人开智能手机课#：不要把老年人“屏蔽”在时代外】近日，甘肃兰州。一社区的老年人智能手机课堂结课了，平均年龄在70岁左右的“学生”们依旧拉着老师“拖堂”，围着老师提问。主讲老师表示，此次课程从添加好友、发朋友圈到付款、预约挂号，都与老年人生活息息相关。最后一节课还加入了如何防范电信诈骗的内容。L中新视频的微博视频,,,,"南铁微视角,社区为老年人开智能手机课",0,0,1,2020-12-05 16:32,微博视频号,,"http://f.video.weibocdn.com/r4hQ9CBYlx07IvXl3AlO01041201w2du0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005164&ssig=DctQjNgV56&KID=unistore,video",,,蓝V
4578778293214371,Jx3nLducH,1653015034,甘肃李兴江,#兰州事记#【兰州一#社区为老年人开智能手机课#：不要把老年人“屏蔽”在时代外】近日，甘肃兰州。一社区的老年人智能手机课堂结课了，平均年龄在70岁左右的“学生”们依旧拉着老师“拖堂”，围着老师提问。主讲老师表示，此次课程从添加好友、发朋友圈到付款、预约挂号，都与老年人生活息息相关。最后一节课还加入了如何防范电信诈骗的内容。（高莹高康迪）@中新视频L中新视频的微博视频,,兰州,中新视频,"兰州事记,社区为老年人开智能手机课",0,5,2,2020-12-05 14:21,iPhone 12 Pro Max(海蓝色),,"http://f.video.weibocdn.com/r4hQ9CBYlx07IvXl3AlO01041201w2du0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005166&ssig=k8vPM2p93m&KID=unistore,video",,,黄V
