id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5052000691295919,OlOM55r7V,2723083195,茗媛·佛行,明天去庙里做🧧泰国祈福|龙莲寺🧧健康桶顾名思义祈求健康长寿平安健康健康桶所有人都可以请不限制生肖谁不想要健康呀[福]龙莲寺健康桶这个不用劝，大家都是主动加的，长辈父母/小孩/自己，健康是第一，保家人平安健康的寓意，全家都请的一项祈福皇恩寺健康桶钱财乃身外之物就算你腰缠万贯你也换不来身体健康🈶多重要不用我多说吧适合老人小孩身体不好疾病缠身的人。#祝老人身体健康##希望父母身体健康##希望身体健康##一切平安身体健康#小乘佛教超话,,,,"祝老人身体健康,希望父母身体健康,希望身体健康,一切平安身体健康",0,0,0,2024-07-03 10:38,小乘佛教超话,https://wx3.sinaimg.cn/large/a24ef3bbgy1hrandlgtxdj20u0140n81.jpg,,,,普通用户
4993998126580036,NDrjSrBLC,2992966552,剧综陈大仙,103岁高龄奶奶去看望83岁女儿#记录生活##祝老人身体健康#L剧综陈大仙的微博视频,,,,"记录生活,祝老人身体健康",0,1,1,2024-01-25 09:16,微博视频号,,"http://f.video.weibocdn.com/o0/KLV7LE64lx08c0KP78yk010412009jqD0E010.mp4?label=mp4_720p&template=720x1448.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725005006&ssig=r7Tbss7nqQ&KID=unistore,video",,,黄V
4961077819083167,NpCUBC6WH,5849158186,睡觉中环游宇宙,我很开心，今天跟爷爷说我想明年带他去旅游，他同意了，爷爷今天来一直跟我说别太累了，这脸上的痘有没有事，身体最重要，每次来都给我一沓💰，怕我不舍得花钱，不买好吃的让我不够跟他说，他不敢给我打电话怕打扰我学习，只能偷偷来看我，嘴也不停的问我身体如何，我真的好想考上这个研究生，不仅为了自己也为我的爷爷，我有个爱我的爷爷，无比溺爱我，我也爱他，我希望以后每一年都可以带他旅游，趁他身体健康带他坐坐✈️，看看外面的世界，老人在这个年纪挂念他们，身体健康对他们来说就够了#祝老人身体健康#,,,,祝老人身体健康,0,0,1,2023-10-26 13:03,iPhone客户端,,,,,普通用户
4959904319669519,Np8nREztZ,7213600872,51加梯,#重阳节#九九重阳节，祝天下老人身体健康，福寿绵长！#重阳##祝老人身体健康##九九重阳节#,,,,"重阳节,重阳,祝老人身体健康,九九重阳节",0,0,0,2023-10-23 07:20,华为畅享10,https://wx3.sinaimg.cn/large/007Sbx7aly1hj4u7zomvtj30yi1pcn3o.jpg,,,,普通用户
4959331612361136,NoTu99UeQ,6028608990,襄阳市米公小学余老师,#情暖重阳孝润童心#襄阳市米公小学教育集团开展了“情暖重阳 孝润童心”活动，为长辈洗洗脚、捶捶背帮长辈做力所能及的家务事给长辈做一道爱心菜肴；孩子们走进社区向老人们介绍了重阳节的来历，朗诵重阳节古诗，为老人们展示了欢乐的手势舞，给老人捶捶背，叮嘱老人们注意身体，陪老人们做了丰富多彩，趣味十足的游戏，还为老人们送上了自己亲手制作的贺卡，祝爷爷奶奶们身体健康！平安喜乐！#祝老人身体健康#,,,,"情暖重阳孝润童心,祝老人身体健康",0,0,1,2023-10-21 17:24,iPhone客户端,"https://wx3.sinaimg.cn/large/006zZqASgy1hj30h4hf8qj30qo1bewje.jpg,https://wx3.sinaimg.cn/large/006zZqASgy1hj30h554vtj30og17gwjf.jpg,https://wx1.sinaimg.cn/large/006zZqASgy1hj30h3xk68j30zk1wmqe9.jpg,https://wx2.sinaimg.cn/large/006zZqASgy1hj30h5tucdj30qo1be43n.jpg,https://wx1.sinaimg.cn/large/006zZqASgy1hj30h6ctxtj30hs0vltb0.jpg,https://wx2.sinaimg.cn/large/006zZqASgy1hj30h7fjg5j30qo1be78u.jpg,https://wx2.sinaimg.cn/large/006zZqASgy1hj30h7w1e7j30qo1be0xk.jpg,https://wx2.sinaimg.cn/large/006zZqASgy1hj30h94vv1j31h00zgdtc.jpg,https://wx3.sinaimg.cn/large/006zZqASgy1hj30harmqqj31r80zkaqs.jpg",,,,普通用户
4903928720001245,N1EcE00k5,2120875370,胡金城,老人身体健康最重要，老人身体健康第一。#祝老人身体健康#,,广州,,祝老人身体健康,0,0,0,2023-05-21 20:13,HUAWEI P40 Pro 5G,,,,,普通用户
4894692535438487,MDJnTmONx,1866739325,忆果缘M19,老人运动有七大禁忌　　1、全面的身体检查　　老人运动前一定要给身体做个全面的检查。近年来，也有不少老人因运动过度而引发疾病。所以老人如果有心脑血管疾病，应该咨询医生哪些运动不能做的，平时运动时就避免此运动。　　2、充足的睡眠　　运动是一项耗体力的事，所以老人一定要保证充足的睡眠，才能把动作做到最好，达到好的效果。　　3、注意运动时间　　运动时间一定要注意，很多老人喜欢晨起做运动，其实最好的运动时间是8点到9点，而且不宜空腹，最好早晨起来，吃过早餐后歇一会再去。如果有太阳，最好等太阳升起再锻炼。经过一夜的时间，污染物在空气中的堆积比较多，呼吸了这些污浊的空气对人体会产生有害的影响。太阳出来之后，这些污染物在空气中进行一定的稀释分解，空气质量就会相对好一些，在这样的情况下进行晨练活动，就比较适合人体的新陈代谢。　　4、剧烈运动要避免　　老年人的肌肉在慢慢萎缩，肌肉的力量也有所减退，神经系统反应较慢，所以最好选择一些缓慢、放松的运动，能使全身得到运动，如太极拳、慢跑等。　　5、运动需循序渐进　　活动量过大或增加过快往往是老年人发生意外损伤的原因之一。因此老人锻炼时要循序渐进，对一定的运动负荷适应后再慢慢增加活动量，切忌操之过急而使活动量过大。　　6。、运动过程要注意身体变化　　老年人要谨记运动过度的症状，如运动过程中发生腰痛、胸痛、头晕等症状，应立即停止运动。　　7、忌憋气运动　　人屏气时胸腔内压力骤然升高，使血液回心不畅，心输出量减少，因而脑的血液供应也减少，故易发生头晕、目眩，严重者可发生昏厥。屏气完毕时，血液骤然大量回心，会使心输出量骤增，血压上升，脑的血供也猛然增加，易发生脑血管意外。#祝老人身体健康##忆果缘1971##养老#,,,,"祝老人身体健康,忆果缘1971,养老",1,0,0,2023-04-26 08:31,,https://wx2.sinaimg.cn/large/6f442e7dly1hdcss9teqsj20qo134qa8.jpg,,,,金V
4894692011412587,MDJn35VtF,1866739325,忆果缘M19,老人运动注意事项　　运动是肥胖者很好的“减肥剂”。但是，肥胖的老年人多有冠心病、高血压、形体肥胖、行动笨拙;加之减肥心切，运动过量，致使不少老年人因此而发生严重病症。肥胖的老年人运动时，应注意下列事项：　　首先，要定期检查身体，特别对于患有冠心病的老年肥胖者，尤其注意心电图的对比观察;　　其次，避免单独运动，要有人陪同，或有熟悉其健康情况的运动伙伴。随身带有健康记录卡和急救保健盒，以备紧急情况时迅速了解病情，并能及时用药。　　再则，要掌握运动量，宜采取太极拳、散步、气功等一般轻量的运动。同时注意，运动后的心率不超过同年龄组极限心率的80%。　　肥胖的老年人运动时，切不可减肥心切，急于求成，随意加大运动量，运动减肥要配合适当控制饮食，同时又要注意防止低血糖。#老年人该如何维护身体健康##祝老人身体健康##忆果缘1971#,,,,"老年人该如何维护身体健康,祝老人身体健康,忆果缘1971",2,0,0,2023-04-26 08:29,,https://wx3.sinaimg.cn/large/6f442e7dly1hdcsq3o631j20qo0wv77k.jpg,,,,金V
4894683706688132,MDJ9Es3T6,2120875370,胡金城,#祝老人身体健康#老人家身体好就好，身体健康最重要，老人一定要注意身体啊，老人一定保护好自己的身体。身体健康长寿快乐！,,,,祝老人身体健康,0,1,0,2023-04-26 07:56,HUAWEI P40 Pro 5G,,,,,普通用户
4894520598331880,MDEUzyXva,2120875370,胡金城,老人家一定善待自己，好好保护身体，老人身体健康第一最重要。#祝老人身体健康#,,广州,,祝老人身体健康,1,1,0,2023-04-25 21:08,HUAWEI P40 Pro 5G,,,,,普通用户
