id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5025890100579825,OaRwe2qQ1,7571346388,云上河南,【河南开封：#祥符义剪服务暖到老人心坎#】#河南县域正能量#近日，在开封市祥符区的一早市摊位间，一群穿着红马甲的理发师早早在其中紧张忙碌着。一把剪刀、一把推子、一块围布，条件虽不如理发店，但志愿者却十分认真。不一会儿，老人们原本稍显凌乱、斑白的头发变得干净、整齐了。“爱心义剪”志愿服务团队在城区周边常态化开展义剪活动，为行动不便的群众带来理发便利，让老人感受到社会的温暖与关怀。L开封市祥符区融媒体中心的微博视频,,开封,,"祥符义剪服务暖到老人心坎,河南县域正能量",10,9,12,2024-04-22 09:23,微博视频号,,"http://f.video.weibocdn.com/o0/mJFzfAeElx08eh6YsIUo01041201oyIw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009701&ssig=d6l0i38BJu&KID=unistore,video",,,
5026246423481832,Ob0MWeBMA,7392099081,开封市祥符区融媒体中心,【河南开封：#祥符义剪服务暖到老人心坎#】,,,,祥符义剪服务暖到老人心坎,0,0,12,2024-04-23 08:59,微博搜索,,,5025890100579825,,蓝V
5025887435361552,OaRrVmuME,7392099081,开封市祥符区融媒体中心,【河南开封：#祥符义剪服务暖到老人心坎#】近日，在开封市祥符区的一早市摊位间，一群穿着红马甲的理发师早早在其中紧张忙碌着。一把剪刀、一把推子、一块围布，条件虽不如理发店，但志愿者却十分认真。不一会儿，老人们原本稍显凌乱、斑白的头发变得干净、整齐了。“爱心义剪”志愿服务团队在城区周边常态化开展义剪活动，为行动不便的群众带来理发便利，让老人感受到社会的温暖与关怀。L开封市祥符区融媒体中心的微博视频,,,,祥符义剪服务暖到老人心坎,13,0,2,2024-04-22 09:13,微博视频号,,"http://f.video.weibocdn.com/o0/mJFzfAeElx08eh6YsIUo01041201oyIw0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725009701&ssig=d6l0i38BJu&KID=unistore,video",,,
5026018237352771,OaUQTuQN5,7392099081,开封市祥符区融媒体中心,【河南开封：#祥符义剪服务暖到老人心坎#】99,,,,祥符义剪服务暖到老人心坎,0,1,2,2024-04-22 17:53,微博搜索,,,5025887435361552,,蓝V
5026018194887752,OaUQPkvwI,7392099081,开封市祥符区融媒体中心,【河南开封：#祥符义剪服务暖到老人心坎#】8,,,,祥符义剪服务暖到老人心坎,0,0,2,2024-04-22 17:52,微博搜索,,,5025887435361552,,蓝V
5026018161852936,OaUQM7M24,7392099081,开封市祥符区融媒体中心,【河南开封：#祥符义剪服务暖到老人心坎#】,,,,祥符义剪服务暖到老人心坎,0,0,2,2024-04-22 17:52,微博搜索,,,5025887435361552,,蓝V
5025994686336795,OaUeUqAun,7392099081,开封市祥符区融媒体中心,【河南开封：#祥符义剪服务暖到老人心坎#】,,,,祥符义剪服务暖到老人心坎,0,0,12,2024-04-22 16:19,微博搜索,,,5025890100579825,,蓝V
5025994530886421,OaUeF3IB7,7392099081,开封市祥符区融媒体中心,【河南开封：#祥符义剪服务暖到老人心坎#】//@开封祥符区文广旅局:转发微博,,,开封祥符区文广旅局,祥符义剪服务暖到老人心坎,0,0,2,2024-04-22 16:18,微博网页版,,,5025887435361552,,蓝V
5025994500473183,OaUeC1Z5Z,7392099081,开封市祥符区融媒体中心,【河南开封：#祥符义剪服务暖到老人心坎#】8,,,,祥符义剪服务暖到老人心坎,0,0,2,2024-04-22 16:18,微博网页版,,,5025887435361552,,蓝V
5025994467969507,OaUeyxrer,7392099081,开封市祥符区融媒体中心,【河南开封：#祥符义剪服务暖到老人心坎#】5,,,,祥符义剪服务暖到老人心坎,0,0,2,2024-04-22 16:18,微博网页版,,,5025887435361552,,蓝V
5025994425500286,OaUeun4Si,7392099081,开封市祥符区融媒体中心,【河南开封：#祥符义剪服务暖到老人心坎#】,,,,祥符义剪服务暖到老人心坎,0,0,2,2024-04-22 16:18,微博网页版,,,5025887435361552,,蓝V
5025976780327357,OaTM21n9X,7392099081,开封市祥符区融媒体中心,【河南开封：#祥符义剪服务暖到老人心坎#】,,,,祥符义剪服务暖到老人心坎,0,0,12,2024-04-22 15:08,微博搜索,,,5025890100579825,,蓝V
5025976746249958,OaTLYqdTM,7392099081,开封市祥符区融媒体中心,【河南开封：#祥符义剪服务暖到老人心坎#】,,,,祥符义剪服务暖到老人心坎,0,0,12,2024-04-22 15:08,微博搜索,,,5025890100579825,,蓝V
