id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4760654860782007,LprUq3hr1,6884501675,档案服务平台,#档案遗失##福州一老人档案遗失难退休#退休时需要完整人事档案作为审核材料，如若人事档案材料遗失，会影响我们无法退休！人事档案丢失如何补办？评论区留言您所遇到的档案问题，优选智嘉为您解答！L档案服务平台的微博视频,,,,"档案遗失,福州一老人档案遗失难退休",0,0,0,2022-04-21 11:33,微博视频号,,"http://fb.video.weibocdn.com/o8/zcvSwKyplx07VrIFtxE401041200o9yQ0E018.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018936&ssig=2xsFH6JKIw&KID=unistore,video",,,蓝V
4634364832385870,KepZ9a0FM,6357158654,这里是岭南,#福州一老人档案遗失难退休#,,,,福州一老人档案遗失难退休,0,0,0,2021-05-07 23:42,Android,,,,,黄V
4634364811415295,KepZ75Wbl,6357158654,这里是岭南,#福州一老人档案遗失难退休#,,,,福州一老人档案遗失难退休,0,0,0,2021-05-07 23:42,Android,,,,,黄V
4634364798833230,KepZ5B3Vs,6357158654,这里是岭南,#福州一老人档案遗失难退休#,,,,福州一老人档案遗失难退休,0,0,0,2021-05-07 23:42,Android,,,,,黄V
4633258924970116,KdXdqkQXa,6855687642,会意话,#福州一老人档案遗失难退休#社保多交多得，为什么老人不信党员,,,,福州一老人档案遗失难退休,0,0,0,2021-05-04 22:27,真我GT Neo,,,,,普通用户
4633138238327226,KdU4LyWi6,6037610716,福州微播报,#天下万象#福州生活超话【五单位、部门共同做的认定公示也不被认可？档案遗失老人遇退休难】#福州一老人档案遗失难退休#福州的老黄今年55岁了，此前在福州东顺鞋业从事鞋底加工工作。根据政策从事有毒有害工种超过八年时间，可以提前五年办理退休。由于企业几次搬迁，档案遗失。因此公司在2004年替一线有毒有害工作人员办理了工龄和有毒有害工种双确认，其中黄先生就在公示名单中，工龄11年。但当他办理退休事宜时被福州市社保中心告知目前材料仅能够证明七年两个月，需要更多材料。并认为认证公示存在审核不严的情况，只能参考。老黄目前只能继续寻找证明材料，也希望部门的工作人员能够再帮忙调查核实。Via@第一帮帮团L第一帮帮团的微博视频,,,第一帮帮团,"天下万象,福州一老人档案遗失难退休",0,0,1,2021-05-04 14:28,福州生活超话,,"http://f.video.weibocdn.com/001zYyQ5gx07MnaHspbF01041200EN7A0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018936&ssig=VxIzmG%2B%2Be9&KID=unistore,video",,,普通用户
4633119565808748,KdTAEon7u,5666418411,乐生活在广东,【五单位、部门共同做的认定公示也不被认可？档案遗失老人遇退休难】#福州一老人档案遗失难退休#福州的老黄今年55岁了，此前在福州东顺鞋业从事鞋底加工工作。根据政策从事有毒有害工种超过八年时间，可以提前五年办理退休。由于企业几次搬迁，档案遗失。因此公司在2004年替一线有毒有害工作人员办理了工龄和有毒有害工种双确认，其中黄先生就在公示名单中，工龄11年。但当他办理退休事宜时被福州市社保中心告知目前材料仅能够证明七年两个月，需要更多材料。并认为认证公示存在审核不严的情况，只能参考。老黄目前只能继续寻找证明材料，也希望部门的工作人员能够再帮忙调查核实。Via@第一帮帮团L第一帮帮团的微博视频,,,第一帮帮团,福州一老人档案遗失难退休,12,23,283,2021-05-04 13:14,微博视频号,,"http://f.video.weibocdn.com/001zYyQ5gx07MnaHspbF01041200EN7A0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018936&ssig=VxIzmG%2B%2Be9&KID=unistore,video",,,
4633121352321618,KdTDx9JXs,3056172331,大学小师弟,这工种太危险了。#福州一老人档案遗失难退休#,,,,福州一老人档案遗失难退休,0,0,283,2021-05-04 13:21,微博轻享版,,,4633119565808748,,普通用户
4633121321911997,KdTDu81oF,3056172331,大学小师弟,这工种太危险了。#福州一老人档案遗失难退休#,,,,福州一老人档案遗失难退休,0,0,3,2021-05-04 13:21,微博轻享版,,,,,普通用户
4633121179831618,KdTDfFfEu,6357158654,这里是岭南,#福州一老人档案遗失难退休#这该怎么办啊？,,,,福州一老人档案遗失难退休,0,0,1,2021-05-04 13:20,微博极速版,,,,,黄V
4633120874171049,KdTCLhv4Z,6357158654,这里是岭南,【五单位、部门共同做的认定公示也不被认可？档案遗失老人遇退休难】#福州一老人档案遗失难退休#福州的老黄今年55岁了，此前在福州东顺鞋业从事鞋底加工工作。,,,,福州一老人档案遗失难退休,0,0,283,2021-05-04 13:19,微博极速版,,,4633119565808748,,黄V
4633120408863687,KdTC0BbQH,6362638598,我在广东上班,【五单位、部门共同做的认定公示也不被认可？档案遗失老人遇退休难】#福州一老人档案遗失难退休#福州的老黄今年55岁了，此前在福州东顺鞋业从事鞋底加工工作。根据政策从事有毒有害工种超过八年时间，可以提前五年办理退休。由于企业几次搬迁，档案遗失。因此公司在2004年替一线有毒有害工作人员办理了工龄和有毒有害工种双确认，其中黄先生就在公示名单中，工龄11年。但当他办理退休事宜时被福州市社保中心告知目前材料仅能够证明七年两个月，需要更多材料。并认为认证公示存在审核不严的情况，只能参考。老黄目前只能继续寻找证明材料，也希望部门的工作人员能够再帮忙调查核实。Via@第一帮帮团L第一帮帮团的微博视频,,,第一帮帮团,福州一老人档案遗失难退休,0,0,0,2021-05-04 13:17,新浪微博4G版,,"http://f.video.weibocdn.com/001zYyQ5gx07MnaHspbF01041200EN7A0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018938&ssig=wrqYJ9MCTE&KID=unistore,video",,,黄V
4633120382911826,KdTBYcduW,6362638598,我在广东上班,【五单位、部门共同做的认定公示也不被认可？档案遗失老人遇退休难】#福州一老人档案遗失难退休#福州的老黄今年55岁了，此前在福州东顺鞋业从事鞋底加工工作。,,,,福州一老人档案遗失难退休,0,0,283,2021-05-04 13:17,新浪微博4G版,,,4633119565808748,,黄V
4633119509972768,KdTAyFQn6,6357158654,这里是岭南,#福州一老人档案遗失难退休#太难了,,,,福州一老人档案遗失难退休,0,0,1,2021-05-04 13:13,微博极速版,,,,,黄V
4633118759457398,KdTzlDGiG,6357158654,这里是岭南,【五单位、部门共同做的认定公示也不被认可？档案遗失老人遇退休难】#福州一老人档案遗失难退休#福州的老黄今年55岁了，此前在福州东顺鞋业从事鞋底加工工作。根据政策从事有毒有害工种超过八年时间，可以提前五年办理退休。由于企业几次搬迁，档案遗失。因此公司在2004年替一线有毒有害工作人员办理了工龄和有毒有害工种双确认，其中黄先生就在公示名单中，工龄11年。但当他办理退休事宜时被福州市社保中心告知目前材料仅能够证明七年两个月，需要更多材料。并认为认证公示存在审核不严的情况，只能参考。老黄目前只能继续寻找证明材料，也希望部门的工作人员能够再帮忙调查核实。Via@第一帮帮团L第一帮帮团的微博视频,,,第一帮帮团,福州一老人档案遗失难退休,0,0,0,2021-05-04 13:10,微博视频号,,"http://f.video.weibocdn.com/001zYyQ5gx07MnaHspbF01041200EN7A0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725018938&ssig=wrqYJ9MCTE&KID=unistore,video",,,黄V
