id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4847809356899422,Mk3JRsWR0,15363533,躺椅沙发了余生,@自如客服租客阳性未转阴，退租房间及公区卫生打扫是不是要延缓几天，不论是对保洁人员及租住人员，明显就是对租客阴阳情况不了解啊，这样没有风险吗@上海发布//@自如客服:#租房管家为19位独居老人上门核酸##自如服务时间#小尹管家棒棒哒服务不停，让爱延续，相信自如服务的力量,,,"自如客服,上海发布","租房管家为19位独居老人上门核酸,自如服务时间",0,1,0,2022-12-17 23:34,微博网页版,,,,上海,普通用户
4845527169240782,Mj6mUCLWS,2328007923,灰产圈_,发布了头条文章：《做核酸吗，上门私密服务的那种！》#上门核酸##上门核酸检测医生的vlog日记##郑州上门核酸检测最高每人598元##91岁退伍飞行员拒绝上门服务排队核酸##哈尔滨高考生可申请上门检测核酸##大白上门核酸遇陡坡老人双手扶住##租房管家为19位独居老人上门核酸##武汉援沪医疗队上门测核酸老人落泪##吉林医护上门测核酸累晕倒##大白骑马上门为村里老人送核酸试剂##租房管家为19位独居老人上门核酸##武汉援沪医疗队上门测核酸老人落泪##吉林医护上门测核酸累晕倒##北京一志愿者自制上门核酸检测神器##核酸媛##核酸检测##成都金牛区已核酸检测53668人均为阴性##顺义13个乡镇街道全员核酸检测##郫都再寻需核酸检测人员##部分考研考生需核酸检测##赵某某的密接者核酸检测目前均为阴性##灰产圈#O做核酸吗，上门私密服务的那种！,http://t.cn/A6KoODAv,,,"上门核酸,上门核酸检测医生的vlog日记,郑州上门核酸检测最高每人598元,91岁退伍飞行员拒绝上门服务排队核酸,哈尔滨高考生可申请上门检测核酸,大白上门核酸遇陡坡老人双手扶住,租房管家为19位独居老人上门核酸,武汉援沪医疗队上门测核酸老人落泪,吉林医护上门测核酸累晕倒,大白骑马上门为村里老人送核酸试剂,北京一志愿者自制上门核酸检测神器,核酸媛,核酸检测,成都金牛区已核酸检测53668人均为阴性,顺义13个乡镇街道全员核酸检测,郫都再寻需核酸检测人员,部分考研考生需核酸检测,赵某某的密接者核酸检测目前均为阴性,灰产圈",0,1,0,2022-12-11 16:26,微博 weibo.com,,,,山东,黄V
4811194228278007,M4HdcyJuf,5287062837,淙--淙,#租房管家为19位独居老人上门核酸#@淙--淙：约看一周了没人搭理！！！区域经理联合自如总部投诉部门恶意踢皮球不解决问题,,,淙--淙,租房管家为19位独居老人上门核酸,0,1,1,2022-09-07 22:39,iPhone客户端,,,,北京,普通用户
4791562481961956,LCpXq8eos,1939094242,在行动社工所,#租房管家为19位独居老人上门核酸#管家真是太棒了,,,,租房管家为19位独居老人上门核酸,0,0,0,2022-07-15 18:29,荣耀Magic3 Pro 5G,,,,北京,普通用户
4791560594260865,LCpUnhSrD,5739242187,小飞侠是登登,#租房管家为19位独居老人上门核酸#等我有一天租房了，我也要这样的管家为我服务,,,,租房管家为19位独居老人上门核酸,0,0,0,2022-07-15 18:22,iPhone客户端,,,,北京,普通用户
4791086495827464,LCdzHorZm,7735906011,史迪奇的帽子,#租房管家为19位独居老人上门核酸#这真的是非常的令人感动呀，毕竟每天都要爬这么多台阶儿去服务老人，确实也是挺辛苦的，必须得为他们点赞了呀！#租房管家日均爬1800阶楼梯服务老人#,,,,"租房管家为19位独居老人上门核酸,租房管家日均爬1800阶楼梯服务老人",0,0,0,2022-07-14 10:58,微博 HTML5 版,,,,江苏,普通用户
4791085916751861,LCdyLsksZ,7734133241,玫玫愿为你,#租房管家为19位独居老人上门核酸#他们虽然是租房管家，但是他们做的事情真的是非常的多呀，不仅有核酸，而且还帮忙采购物品，这些事情真的都让人感觉很不错！#租房管家日均爬1800阶楼梯服务老人#,,,,"租房管家为19位独居老人上门核酸,租房管家日均爬1800阶楼梯服务老人",0,0,0,2022-07-14 10:55,微博 HTML5 版,https://wx1.sinaimg.cn/large/008rpDmxly8h469q7t0b0j31e011iqdy.jpg,,,江苏,普通用户
4791085833129132,LCdyDd81S,7734133118,世说啾咪,#租房管家为19位独居老人上门核酸#善良的人真的也是非常的多呀，像这些租房管家们，他们真的是非常的厉害呀，每天都要爬一千八百多的台阶，这个真的是太强了！#租房管家日均爬1800阶楼梯服务老人#,,,,"租房管家为19位独居老人上门核酸,租房管家日均爬1800阶楼梯服务老人",0,0,0,2022-07-14 10:55,微博 HTML5 版,"https://wx2.sinaimg.cn/large/008rpDkyly8h469pw9u60j31jk15ona9.jpg,https://wx4.sinaimg.cn/large/008rpDkyly8h469pwep14j30u01400z7.jpg",,,江苏,普通用户
4791084758599044,LCdwTA50g,7738930048,面具中的它,#租房管家为19位独居老人上门核酸#这种感觉真的是非常的好哇，这种行为真的也是值得我们大家去传播和学习的，这就是满满的正能量吧！#租房管家日均爬1800阶楼梯服务老人#,,,,"租房管家为19位独居老人上门核酸,租房管家日均爬1800阶楼梯服务老人",0,0,0,2022-07-14 10:51,微博 HTML5 版,"https://wx3.sinaimg.cn/large/008rJLeoly8h469lg46osj31hc0ontj3.jpg,https://wx4.sinaimg.cn/large/008rJLeoly8h469lg33ugj30u01400z7.jpg,https://wx2.sinaimg.cn/large/008rJLeoly8h469lg3yksj31e011i7fa.jpg",,,江苏,普通用户
4791084661604474,LCdwK6JoC,7740443536,棉花糖麦田,#租房管家为19位独居老人上门核酸#看到这个新闻之后，感觉真的是非常的感动也，好像有眼泪要流出来了，他们的这种行为真的是非常值得我们去学习呢。#租房管家日均爬1800阶楼梯服务老人#,,,,"租房管家为19位独居老人上门核酸,租房管家日均爬1800阶楼梯服务老人",0,0,0,2022-07-14 10:50,微博 HTML5 版,https://wx3.sinaimg.cn/large/008rQ6Xuly8h469l1qlmgj31jk15owrl.jpg,,,江苏,普通用户
