id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4791083169743866,LCdukESP8,2958146064,上海生活播报,【#租房管家日均爬1800阶楼梯服务老人#】穿上职业装，他们是贴心服务租客的全能管家；穿上防护服，他们就变身为热心社区服务的最美志愿者。上海疫情期间，闵行区七宝镇的红明二村由于地处偏远，有许多行动不便的独居老人无法独自下楼，#租房管家为19位独居老人上门核酸#。#自如租房#管家尹小伟持续两个月每天奔走在各社区之间，不仅为老人提供不间断的物资供应，还帮助老人收拾屋子、主动联系其子女报备情况等，对老人的照料可以说是无微不至。在自如，有超500名这样的志愿者。这群长租服务者一边在工作岗位上兢兢业业，一边在疫情风波中志愿支持社区，书写着独特的抗疫故事。,,,,"租房管家日均爬1800阶楼梯服务老人,租房管家为19位独居老人上门核酸,自如租房",608,461,1196,2022-07-14 10:45,微博  weibo.com,"https://wx1.sinaimg.cn/large/4dd05f34ly8h468ay0dunj21z41hc7j1.jpg,https://wx3.sinaimg.cn/large/4dd05f34ly8h468b0db3zj21bf0zkgr5.jpg,https://wx3.sinaimg.cn/large/4dd05f34ly8h468b2hz9gj20u0140ah4.jpg,https://wx2.sinaimg.cn/large/4dd05f34ly8h468b4yxsuj21z51mtk6z.jpg,https://wx3.sinaimg.cn/large/4dd05f34ly8h468b7ft0vj21hc0onwpn.jpg,https://wx1.sinaimg.cn/large/4dd05f34ly8h468b9ktqcj21e011i4a9.jpg",,,,
4791087296417183,LCdAZqVoX,7577921261,来往小幸福,#租房管家日均爬1800阶楼梯服务老人#真是太不容易了,,,,租房管家日均爬1800阶楼梯服务老人,0,0,1196,2022-07-14 11:01,iPhone客户端,,,4791083169743866,山东,普通用户
4791086864926477,LCdAikFBj,6600126671,吃口大冰块,#租房管家日均爬1800阶楼梯服务老人#,,,,租房管家日均爬1800阶楼梯服务老人,0,0,1196,2022-07-14 10:59,iPhone客户端,,,4791083169743866,北京,普通用户
4791086793362521,LCdAbe6Kd,7765686342,辣辣荫m,#租房管家日均爬1800阶楼梯服务老人#,,,,租房管家日均爬1800阶楼梯服务老人,0,0,1196,2022-07-14 10:59,荣耀60 Pro 5G,,,4791083169743866,宁夏,普通用户
4791086495827464,LCdzHorZm,7735906011,史迪奇的帽子,#租房管家为19位独居老人上门核酸#这真的是非常的令人感动呀，毕竟每天都要爬这么多台阶儿去服务老人，确实也是挺辛苦的，必须得为他们点赞了呀！#租房管家日均爬1800阶楼梯服务老人#,,,,"租房管家为19位独居老人上门核酸,租房管家日均爬1800阶楼梯服务老人",0,0,0,2022-07-14 10:58,微博 HTML5 版,,,,江苏,普通用户
4791086075085955,LCdz1ll5x,6562811241,送往小幸福,#租房管家日均爬1800阶楼梯服务老人#确实不错呀,,,,租房管家日均爬1800阶楼梯服务老人,0,0,1196,2022-07-14 10:56,iPhone客户端,,,4791083169743866,山东,普通用户
4791085916751861,LCdyLsksZ,7734133241,玫玫愿为你,#租房管家为19位独居老人上门核酸#他们虽然是租房管家，但是他们做的事情真的是非常的多呀，不仅有核酸，而且还帮忙采购物品，这些事情真的都让人感觉很不错！#租房管家日均爬1800阶楼梯服务老人#,,,,"租房管家为19位独居老人上门核酸,租房管家日均爬1800阶楼梯服务老人",0,0,0,2022-07-14 10:55,微博 HTML5 版,https://wx1.sinaimg.cn/large/008rpDmxly8h469q7t0b0j31e011iqdy.jpg,,,江苏,普通用户
4791085833129132,LCdyDd81S,7734133118,世说啾咪,#租房管家为19位独居老人上门核酸#善良的人真的也是非常的多呀，像这些租房管家们，他们真的是非常的厉害呀，每天都要爬一千八百多的台阶，这个真的是太强了！#租房管家日均爬1800阶楼梯服务老人#,,,,"租房管家为19位独居老人上门核酸,租房管家日均爬1800阶楼梯服务老人",0,0,0,2022-07-14 10:55,微博 HTML5 版,"https://wx2.sinaimg.cn/large/008rpDkyly8h469pw9u60j31jk15ona9.jpg,https://wx4.sinaimg.cn/large/008rpDkyly8h469pwep14j30u01400z7.jpg",,,江苏,普通用户
4791085690525154,LCdyp2cCe,7765686342,辣辣荫m,#租房管家日均爬1800阶楼梯服务老人#辛苦你们了,,,,租房管家日均爬1800阶楼梯服务老人,0,0,1196,2022-07-14 10:55,荣耀60 Pro 5G,,,4791083169743866,宁夏,普通用户
4791085202671237,LCdxCbcUt,7723345828,喵的名字叫小咪,#租房管家日均爬1800阶楼梯服务老人#为这些志愿者们点赞你们辛苦了,,,,租房管家日均爬1800阶楼梯服务老人,0,0,1196,2022-07-14 10:53,荣耀60 5G,,,4791083169743866,辽宁,普通用户
