id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5023090662965350,O9GH0crqe,5094103156,上海反邪教,【#秦皇岛侧翻船只为非法改装的黑游船#】#秦皇岛船只侧翻落水者多为老年人#据河北秦皇岛卢龙县人民政府情况通报：4月13日14时30分左右，秦皇岛市卢龙县刘家营乡桃林口村发生一起船只侧翻导致人员落水事故。中国应急管理报记者从救援现场获悉，截至4月14日早上7时，搜救工作已经结束。经初步核实，事故造成31人落水，已全部找到，其中19人无生命危险，12人无生命体征。事发船只为非法改装的“黑游船”，于13日14时30分左右，在桃林水库下游河道内，受大风天气影响发生侧翻，落水人员为游客，其中多数为老年人，且未穿戴救生衣。（中国应急管理）@中国新闻网,,,中国新闻网,"秦皇岛侧翻船只为非法改装的黑游船,秦皇岛船只侧翻落水者多为老年人",1,0,0,2024-04-14 16:00,微博网页版,https://wx2.sinaimg.cn/large/005yKkW8gy1hoqa26zhgxj30j60fqtfh.jpg,,,,蓝V
5023034904151877,O9Ff4hq5L,1326410461,瞭望东方周刊,【#秦皇岛侧翻船只为非法改装的黑游船#】#秦皇岛船只侧翻落水者多为老年人#据河北秦皇岛卢龙县人民政府情况通报：4月13日14时30分左右，秦皇岛市卢龙县刘家营乡桃林口村发生一起船只侧翻导致人员落水事故。中国应急管理报记者从救援现场获悉，截至4月14日早上7时，搜救工作已经结束。经初步核实，事故造成31人落水，已全部找到，其中19人无生命危险，12人无生命体征。事发船只为非法改装的“黑游船”，于13日14时30分左右，在桃林水库下游河道内，受大风天气影响发生侧翻，落水人员为游客，其中多数为老年人，且未穿戴救生衣。（中国应急管理）,,,,"秦皇岛侧翻船只为非法改装的黑游船,秦皇岛船只侧翻落水者多为老年人",0,0,0,2024-04-14 12:18,,https://wx1.sinaimg.cn/large/001rLtX7ly1hoq8pam5ntj60ks0h2dnl02.jpg,,,,蓝V
5023029663109437,O9F6Cd2Ud,3194947380,凤凰网山东,【#秦皇岛侧翻船只为非法改装的黑游船#】#秦皇岛船只侧翻落水者多为老年人#据河北秦皇岛卢龙县人民政府情况通报：4月13日14时30分左右，秦皇岛市卢龙县刘家营乡桃林口村发生一起船只侧翻导致人员落水事故。中国应急管理报记者从救援现场获悉，截至4月14日早上7时，搜救工作已经结束。经初步核实，事故造成31人落水，已全部找到，其中19人无生命危险，12人无生命体征。事发船只为非法改装的“黑游船”，于13日14时30分左右，在桃林水库下游河道内，受大风天气影响发生侧翻，落水人员为游客，其中多数为老年人，且未穿戴救生衣。via.中国应急管理,,,,"秦皇岛侧翻船只为非法改装的黑游船,秦皇岛船只侧翻落水者多为老年人",0,0,0,2024-04-14 11:57,iPhone客户端,https://wx3.sinaimg.cn/large/be6f0734ly1hoq5wrsf1pj20ks0h2469.jpg,,,,蓝V
5023025516776993,O9EZVsr0l,2087875965,法治网,【#秦皇岛侧翻船只为非法改装的黑游船#】#秦皇岛船只侧翻落水者多为老年人#据河北秦皇岛卢龙县人民政府情况通报：4月13日14时30分左右，秦皇岛市卢龙县刘家营乡桃林口村发生一起船只侧翻导致人员落水事故。中国应急管理报记者从救援现场获悉，截至4月14日早上7时，搜救工作已经结束。经初步核实，事故造成31人落水，已全部找到，其中19人无生命危险，12人无生命体征。事发船只为非法改装的“黑游船”，于13日14时30分左右，在桃林水库下游河道内，受大风天气影响发生侧翻，落水人员为游客，其中多数为老年人，且未穿戴救生衣。（中国应急管理）@中国新闻网,,,中国新闻网,"秦皇岛侧翻船只为非法改装的黑游船,秦皇岛船只侧翻落水者多为老年人",0,0,0,2024-04-14 11:41,微博网页版,https://wx3.sinaimg.cn/large/7c72757dly1hoq7mb6p1sj20j60fq459.jpg,,,,蓝V
5023021284460087,O9ET6iIgT,3314280193,天津广播,【#秦皇岛侧翻船只为非法改装的黑游船#】#秦皇岛船只侧翻落水者多为老年人#据河北秦皇岛卢龙县人民政府情况通报：4月13日14时30分左右，秦皇岛市卢龙县刘家营乡桃林口村发生一起船只侧翻导致人员落水事故。截至4月14日早上7时，搜救工作已经结束。经初步核实，事故造成31人落水，已全部找到，其中19人无生命危险，12人无生命体征。事发船只为非法改装的“黑游船”，于13日14时30分左右，在桃林水库下游河道内，受大风天气影响发生侧翻，落水人员为游客，其中多数为老年人，且未穿戴救生衣。（中国应急管理）,,,,"秦皇岛侧翻船只为非法改装的黑游船,秦皇岛船只侧翻落水者多为老年人",1,1,0,2024-04-14 11:24,微博网页版,https://wx3.sinaimg.cn/large/c58be701ly1hoq74z1gnqj20gb0d4k0s.jpg,,,,蓝V
5023015159202816,O9EJdCC4w,1700715830,广州日报大洋网,【#秦皇岛侧翻船只为非法改装的黑游船#】据河北秦皇岛卢龙县人民政府情况通报：4月13日14时30分左右，秦皇岛市卢龙县刘家营乡桃林口村发生一起船只侧翻导致人员落水事故。中国应急管理报记者从救援现场获悉，截至4月14日早上7时，搜救工作已经结束。经初步核实，事故造成31人落水，已全部找到，其中19人无生命危险，12人无生命体征。事发船只为非法改装的“黑游船”，于13日14时30分左右，在桃林水库下游河道内，受大风天气影响发生侧翻，落水人员为游客，其中多数为老年人，且未穿戴救生衣。（中国应急管理）#秦皇岛船只侧翻落水者多为老年人#,,,,"秦皇岛侧翻船只为非法改装的黑游船,秦皇岛船只侧翻落水者多为老年人",0,0,0,2024-04-14 11:00,微博网页版,https://wx3.sinaimg.cn/large/655edd36gy1hoq49kf9sgj20j60fqwl7.jpg,,,,蓝V
5023007611553135,O9Ex36w2z,1698857957,海峡都市报,【#秦皇岛侧翻船只为非法改装的黑游船#】#秦皇岛船只侧翻落水者多为老年人#据河北秦皇岛卢龙县人民政府情况通报：4月13日14时30分左右，秦皇岛市卢龙县刘家营乡桃林口村发生一起船只侧翻导致人员落水事故。中国应急管理报记者从救援现场获悉，截至4月14日早上7时，搜救工作已经结束。经初步核实，事故造成31人落水，已全部找到，其中19人无生命危险，12人无生命体征。事发船只为非法改装的“黑游船”，于13日14时30分左右，在桃林水库下游河道内，受大风天气影响发生侧翻，落水人员为游客，其中多数为老年人，且未穿戴救生衣。（中国应急管理）,,,,"秦皇岛侧翻船只为非法改装的黑游船,秦皇岛船只侧翻落水者多为老年人",0,0,0,2024-04-14 10:30,微博网页版,https://wx4.sinaimg.cn/large/001QYeyNly1hoq4a3rnk3j60j60fq49202.jpg,,,,蓝V
5023000059712257,O9EkREKBj,3514732862,广西日报,【#秦皇岛侧翻船只为非法改装的黑游船#】#秦皇岛船只侧翻落水者多为老年人#据河北秦皇岛卢龙县人民政府情况通报：4月13日14时30分左右，秦皇岛市卢龙县刘家营乡桃林口村发生一起船只侧翻导致人员落水事故。中国应急管理报记者从救援现场获悉，截至4月14日早上7时，搜救工作已经结束。经初步核实，事故造成31人落水，已全部找到，其中19人无生命危险，12人无生命体征。事发船只为非法改装的“黑游船”，于13日14时30分左右，在桃林水库下游河道内，受大风天气影响发生侧翻，落水人员为游客，其中多数为老年人，且未穿戴救生衣。（来源：中国应急管理）,,,,"秦皇岛侧翻船只为非法改装的黑游船,秦皇岛船只侧翻落水者多为老年人",0,0,2,2024-04-14 10:00,微博网页版,https://wx1.sinaimg.cn/large/003PRszIgy1hoq405ymlbj60j61biqj302.jpg,,,,蓝V
5022991518013209,O9E75xCBj,1681029540,新民周刊,【#秦皇岛侧翻船只为非法改装的黑游船#】#秦皇岛船只侧翻落水者多为老年人#据河北秦皇岛卢龙县人民政府情况通报：4月13日14时30分左右，秦皇岛市卢龙县刘家营乡桃林口村发生一起船只侧翻导致人员落水事故。中国应急管理报记者从救援现场获悉，截至4月14日早上7时，搜救工作已经结束。经初步核实，事故造成31人落水，已全部找到，其中19人无生命危险，12人无生命体征。事发船只为非法改装的“黑游船”，于13日14时30分左右，在桃林水库下游河道内，受大风天气影响发生侧翻，落水人员为游客，其中多数为老年人，且未穿戴救生衣。（中国应急管理）,,,,"秦皇岛侧翻船只为非法改装的黑游船,秦皇岛船只侧翻落水者多为老年人",0,0,0,2024-04-14 09:26,nova 10 主角影像,https://wx2.sinaimg.cn/large/001PLqzGly1hoq3px4yrxj611n0qon2j02.jpg,,,,蓝V
5022990557777168,O9E5xwDcc,1639498782,南方周末,【#秦皇岛侧翻船只系非法改装船#】#秦皇岛船只侧翻落水者多为老年人#据河北秦皇岛卢龙县人民政府情况通报：4月13日14时30分左右，秦皇岛市卢龙县刘家营乡桃林口村发生一起船只侧翻导致人员落水事故。中国应急管理报记者从救援现场获悉，截至4月14日早上7时，搜救工作已经结束。经初步核实，事故造成31人落水，已全部找到，其中19人无生命危险，12人无生命体征。事发船只为非法改装的“黑游船”，于13日14时30分左右，在桃林水库下游河道内，受大风天气影响发生侧翻，落水人员为游客，其中多数为老年人，且未穿戴救生衣。（中国应急管理）,,,,"秦皇岛侧翻船只系非法改装船,秦皇岛船只侧翻落水者多为老年人",5,8,19,2024-04-14 09:22,,https://wx4.sinaimg.cn/large/001MXawKgy1hoq3lv430zj60wi28jwxe02.jpg,,,,蓝V
