id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4870932524698250,MtLhijIee,2404472315,萌姐追新剧,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#大型的思念现场啊好,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,0,2023-02-19 18:57,iPhone客户端,"https://wx2.sinaimg.cn/large/8f5155fbly1hb8zzgw7m0j21uo0u0101.jpg,https://wx4.sinaimg.cn/large/8f5155fbly1hb8zzhbn1oj21uo0u0q9o.jpg",,,,普通用户
4870932399918902,MtLh5FCmi,1275773141,暖艺追剧酱,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#太心酸了吧！,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,1,0,2023-02-19 18:57,iPhone 11,https://wx2.sinaimg.cn/large/4c0ac0d5ly1hb8zytcqtkj21uo0u0n2v.jpg,,,,黄V
4870932302667150,MtLgWbbQy,2117917321,葵花籽娱乐,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#空巢老人是他了,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,1,0,2023-02-19 18:57,iPhone客户端,https://wx1.sinaimg.cn/large/7e3cda89ly1hb8zykg8egj21uo0u0gso.jpg,,,,普通用户
4870932205933025,MtLgMoTrX,2486116101,姚澜剧场,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#看得出来是真伤心啊好,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,1,0,2023-02-19 18:56,iPhone客户端,"https://wx1.sinaimg.cn/large/942f1f05ly1hb8zy63hqgj21uo0u0n4g.jpg,https://wx3.sinaimg.cn/large/942f1f05ly1hb8zy5qvtjj21uo0u0q70.jpg",,,,普通用户
4870932042877867,MtLgwc4Fd,2673251831,今天没瓜了,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#心酸现场好哭了！,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,2,2023-02-19 18:55,iPhone客户端,https://wx4.sinaimg.cn/large/9f5695f7ly1hb8zxhk98aj21uo0u043c.jpg,,,,黄V
4870931979438559,MtLgpDBoP,3539671651,子菲娱,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#空巢老人好心疼啊,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,0,2023-02-19 18:55,iPhone客户端,https://wx4.sinaimg.cn/large/d2fb1a63ly1hb8zx824saj21uo0u0jw6.jpg,,,,黄V
4870931917311158,MtLgjuFXU,3304371305,爱豆星闻报,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#心疼落音凡一秒钟,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,0,2023-02-19 18:55,iPhone客户端,"https://wx2.sinaimg.cn/large/c4f4b469ly1hb8zwyyhtmj21uo0u0q7s.jpg,https://wx1.sinaimg.cn/large/c4f4b469ly1hb8zwyxsbgj21uo0u00w8.jpg",,,,黄V
4870931719392567,MtLfZDpr1,1623530634,一碗星饭,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#重紫真的太好看了,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,0,2023-02-19 18:54,iPhone客户端,"https://wx2.sinaimg.cn/large/60c51c8aly1hb8zw5hcxmj21uo0u0aex.jpg,https://wx4.sinaimg.cn/large/60c51c8aly1hb8zw5g7mkj21uo0u0djc.jpg,https://wx1.sinaimg.cn/large/60c51c8aly1hb8zw5h443j21uo0u0dls.jpg",,,,黄V
4870931647823895,MtLfSwPlR,5619045347,追星女孩乔妹,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#哈哈哈哈！好心酸,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,0,2023-02-19 18:54,微博极速版,"https://wx1.sinaimg.cn/large/0068gWnFly1hb8zvuf1ruj31uo0u0q7s.jpg,https://wx3.sinaimg.cn/large/0068gWnFly1hb8zvuco7wj31uo0u0n0n.jpg,https://wx2.sinaimg.cn/large/0068gWnFly1hb8zvulwybj31uo0u0ten.jpg",,,,黄V
4870931581242901,MtLfM5dkN,1716022763,扒圈一点点,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#不得不说有点心疼这位空巢老人了,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,0,2023-02-19 18:54,iPhone客户端,"https://wx1.sinaimg.cn/large/66486debly1hb8zvkxsxmj21uo0u0dkn.jpg,https://wx4.sinaimg.cn/large/66486debly1hb8zvkx9r0j21uo0u0juu.jpg,https://wx3.sinaimg.cn/large/66486debly1hb8zvkzbbnj21uo0u0n32.jpg",,,,黄V
4870931505220835,MtLfElUb1,2696158981,明言星娱,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#重紫什么时候回家吧,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,1,0,2023-02-19 18:53,iPhone客户端,"https://wx3.sinaimg.cn/large/a0b41f05ly1hb8zv99waij21uo0u0gqf.jpg,https://wx4.sinaimg.cn/large/a0b41f05ly1hb8zv98u58j21uo0u0gp2.jpg,https://wx4.sinaimg.cn/large/a0b41f05ly1hb8zv99wybj21uo0u0q8u.jpg",,,,黄V
4870931438633178,MtLfxAdSO,2526505944,吃瓜窜天猴,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#天呐，出现幻觉了！,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,0,2023-02-19 18:53,iPhone客户端,"https://wx4.sinaimg.cn/large/96976bd8ly1hb8zuz6j0aj21uo0u0q7t.jpg,https://wx3.sinaimg.cn/large/96976bd8ly1hb8zuz62zgj21uo0u0q6g.jpg,https://wx1.sinaimg.cn/large/96976bd8ly1hb8zuz7v2rj21uo0u0n34.jpg",,,,黄V
4870931362877296,MtLfqc4w0,2419206407,小迷妹速报,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#在线想重紫啊！,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,0,2023-02-19 18:53,iPhone客户端,https://wx1.sinaimg.cn/large/90322907ly1hb8zuokza4j21uo0u0juw.jpg,,,,黄V
4870931195891219,MtLf9oIzF,2034476230,别跑小剧人,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#不得不说，是真的想了很,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,0,2023-02-19 18:52,iPhone客户端,https://wx3.sinaimg.cn/large/7943a4c6ly1hb8ztzmfmkj21uo0u041z.jpg,,,,黄V
4870931048302980,MtLeUyPZ2,3518437003,这个瓜我吃不下,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#好心酸,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,0,2023-02-19 18:52,iPhone客户端,"https://wx1.sinaimg.cn/large/d1b7168bly1hb8ztdm7juj21uo0u043e.jpg,https://wx2.sinaimg.cn/large/d1b7168bly1hb8ztdlevwj21uo0u0gp5.jpg,https://wx1.sinaimg.cn/large/d1b7168bly1hb8ztdn3tfj21uo0u07a9.jpg",,,,黄V
4870930994304332,MtLePi3KI,2334168600,娱乐副村长,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#真的变成了空巢老人了！,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,0,2023-02-19 18:51,iPhone客户端,"https://wx4.sinaimg.cn/large/8b209618ly1hb8zt5moxmj21uo0u0tdk.jpg,https://wx2.sinaimg.cn/large/8b209618ly1hb8zt5mf8cj21uo0u0whz.jpg",,,,黄V
4870930927191701,MtLeIuaTb,2037497313,娱乐扒士,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#哈哈哈哈，已经出现幻觉了哦,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,0,2023-02-19 18:51,iPhone客户端,"https://wx3.sinaimg.cn/large/7971bde1ly1hb8zsvdyuyj21uo0u043b.jpg,https://wx1.sinaimg.cn/large/7971bde1ly1hb8zsvdlzwj21uo0u00w6.jpg,https://wx1.sinaimg.cn/large/7971bde1ly1hb8zsvg6j7j21uo0u0dlq.jpg",,,,黄V
4870930780390072,MtLeu1Dtu,1799210960,龙腾说娱乐,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#天呐，出现幻觉了,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,0,2023-02-19 18:50,iPhone客户端,https://wx2.sinaimg.cn/large/6b3dc7d0ly1hb8zs9hy1oj21uo0u00w9.jpg,,,,黄V
4870930708302334,MtLemyPOC,1370348595,吃瓜小喇叭,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#真的太心酸了吧！,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,0,2023-02-19 18:50,iPhone客户端,https://wx2.sinaimg.cn/large/51addc33ly1hb8zrz0fx8j21uo0u0juv.jpg,,,,黄V
4870930624677854,MtLeejCVg,1156398400,娱大妹妹,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#空巢老人了,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,0,2023-02-19 18:50,iPhone客户端,"https://wx4.sinaimg.cn/large/44ed3d40ly1hb8zrmee2ij21uo0u0aew.jpg,https://wx1.sinaimg.cn/large/44ed3d40ly1hb8zrmftarj21uo0u0grj.jpg",,,,黄V
4870930549179131,MtLe6CvUv,3173461701,追剧奇葩人,电视剧重紫超话#空巢老人洛音凡心酸现场##洛音凡在线想重紫#真的哭了啊！,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,0,2023-02-19 18:50,iPhone客户端,https://wx1.sinaimg.cn/large/bd272ec5ly1hb8zrb4p7gj21uo0u0juv.jpg,,,,黄V
4870930445113232,MtLdWlsbu,1269466381,八卦土星人,电视剧重紫超话#空巢老人洛音凡心酸现场#天呐，在线想！#洛音凡在线想重紫#,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,0,2023-02-19 18:49,iPhone客户端,https://wx2.sinaimg.cn/large/4baa850dly1hb8zqw0ty4j21uo0u041y.jpg,,,,黄V
4870930372761192,MtLdPbAjm,1299061017,贵圈星闻,电视剧重紫超话#空巢老人洛音凡心酸现场#快点回来吧！#洛音凡在线想重紫#,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,2,0,2023-02-19 18:49,iPhone客户端,https://wx2.sinaimg.cn/large/4d6e1919ly1hb8zqldme4j21uo0u0tc6.jpg,,,,黄V
4870929975607829,MtLdbnwQR,2673251831,今天没瓜了,电视剧重紫超话#空巢老人洛音凡心酸现场#重紫不在家，洛音凡都出幻觉了#洛音凡在线想重紫#,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",0,0,2,2023-02-19 18:47,电视剧重紫超话,https://wx1.sinaimg.cn/large/9f5695f7ly1hb8zoxly2ij21uo0u043c.jpg,,,,黄V
4870926342032722,MtL7k8wNQ,2813496544,娱乐顽童孙漂亮,#空巢老人洛音凡心酸现场#重紫不在家，洛音凡都出幻觉了，在线想重紫，好心酸啊#洛音凡在线想重紫#,,,,"空巢老人洛音凡心酸现场,洛音凡在线想重紫",293,307,304,2023-02-19 18:33,Redmi K50 至尊版,"https://wx1.sinaimg.cn/large/a7b28ce0ly1hb8z9wvgnbj20uk0iqdh3.jpg,https://wx4.sinaimg.cn/large/a7b28ce0ly1hb8z9x4x0vj20uk0hw75n.jpg",,,,黄V
