id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4712584965522926,L5hoknaLs,2139684615,文明成都,【#空巢老人独自照顾患病爱人26年#是什么体验？】今晚播出的#忘不了农场#中，肖奶奶分享了自己独自照顾患病爱人的经历，从爱人50岁倒下，一直照顾到76岁，整整26年的时间都是医院和家里两头跑。当丈夫摔倒肖奶奶怎么都扶不起来时，丈夫还会安慰肖奶奶“别急，总归会起来的”两个乐观的人在一起生活，再艰难的日子也会从中发现快乐吧～在这26年中，肖奶奶和丈夫之间的爱情大概也是最强大的支撑力，让肖奶奶无形中变得强大而又坚毅，在丈夫去世后，也能用乐观的心态把生活过的丰富多彩。如果是你，你能坚持照顾患病的爱人二十几年吗？L头条新闻的微博视频,,,,"空巢老人独自照顾患病爱人26年,忘不了农场",29,1,1,2021-12-09 20:01,微博视频号,,"http://f.video.weibocdn.com/o0/hPlsmUmHlx07S1W06aKY01041200ebjm0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725819475&ssig=lERuHKP4yQ&KID=unistore,video",,,
4713969732289163,L5RpP9BvZ,5629057710,陈可爱要陈住气,【#空巢老人独自照顾患病爱人26年#是什么体验？】,,,,空巢老人独自照顾患病爱人26年,0,0,1,2021-12-13 15:43,微博 weibo.com,,,4712584965522926,,普通用户
4713885783035940,L5PeqcJMM,3898037768,重庆九龙坡法院,【#空巢老人独自照顾患病爱人26年#是什么体验？】L头条新闻的微博视频（法治网）,,,,空巢老人独自照顾患病爱人26年,0,1,0,2021-12-13 10:10,微博视频号,,"http://f.video.weibocdn.com/o0/hPlsmUmHlx07S1W06aKY01041200ebjm0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725819475&ssig=lERuHKP4yQ&KID=unistore,video",,,蓝V
4713147614889083,L5w1PkvSb,3948986491,南京残联,【#空巢老人独自照顾患病爱人26年#是什么体验？】肖奶奶分享了自己独自照顾患病爱人的经历，从爱人50岁倒下，一直照顾到76岁，整整26年的时间都是医院和家里两头跑。当丈夫摔倒肖奶奶怎么都扶不起来时，丈夫还会安慰肖奶奶“别急，总归会起来的”两个乐观的人在一起生活，再艰难的日子也会从中发现快乐吧～在这26年中，肖奶奶和丈夫之间的爱情大概也是最强大的支撑力，让肖奶奶无形中变得强大而又坚毅，在丈夫去世后，也能用乐观的心态把生活过的丰富多彩。如果是你，你能坚持照顾患病的爱人二十几年吗？L头条新闻的微博视频,,,,空巢老人独自照顾患病爱人26年,0,0,1,2021-12-11 09:17,微博视频号,,"http://f.video.weibocdn.com/o0/hPlsmUmHlx07S1W06aKY01041200ebjm0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725819475&ssig=lERuHKP4yQ&KID=unistore,video",,,蓝V
4713118116610532,L5vgfrJHu,1432706867,橘娱乐,#空巢老人独自照顾患病爱人26年#《忘不了农场》肖奶奶回忆了自己独自照顾患病爱人的经历，从爱人50岁倒下，一直照顾到76岁去世，整整26年的时间都是在医院和家里两头跑。有一次丈夫摔倒肖奶奶怎么都扶不起来时，丈夫还会开玩笑安慰肖奶奶：“你别急，总归会起来的”。L新浪娱乐的微博视频,,,,空巢老人独自照顾患病爱人26年,0,0,0,2021-12-11 07:19,iPhone客户端,,"http://f.video.weibocdn.com/o0/CRJPx2C5lx07S2SedIZq01041200vnp00E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725819475&ssig=Pmb60aoh%2Fq&KID=unistore,video",,,普通用户
4712980719338258,L5rGDDbj4,5645756008,价值投资日志,#空巢老人独自照顾患病爱人26年#今晚播出的忘不了农场中，肖奶奶分享了自己独自照顾患病爱人的经历，从爱人50岁倒下，一直照顾到76岁，整整26年的时间都是医院和家里两头跑。当丈夫摔倒肖奶奶怎么都扶不起来时，丈夫还会安慰肖奶奶“别急，总归会起来的”两个乐观的人在一起生活，再艰难的日子也会从中发现快乐吧～在这26年中，肖奶奶和丈夫之间的爱情大概也是最强大的支撑力，让肖奶奶无形中变得强大而又坚毅，在丈夫去世后，也能用乐观的心态把生活过的丰富多彩。如果是你，你能坚持照顾患病的爱人二十几年吗？L头条新闻的微博视频,,,,空巢老人独自照顾患病爱人26年,1,4,16,2021-12-10 22:13,微博视频号,,"http://f.video.weibocdn.com/o0/hPlsmUmHlx07S1W06aKY01041200ebjm0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725819475&ssig=lERuHKP4yQ&KID=unistore,video",,,金V
4712978517854196,L5rD5wXeA,1616715305,123456笑笑淡定,高山不言不语，承载万年风霜。一次次沧海桑田的变迁，一个个四季的轮回，多少次电闪雷击，多少次雨淹雪埋，高山都以它不变的姿态，迎接风云的变幻。不惊讶，不躲藏，矗立在尘世间。让坚毅的信念在风风雨雨中得到完美的诠释，在日月中站成永恒的姿态，宣示着生命的力量，永不妥协。#空巢老人独自照顾患病爱人26年#,,,,空巢老人独自照顾患病爱人26年,0,0,0,2021-12-10 22:05,HUAWEI Mate 30 5G,,,,,普通用户
4712976349401121,L5rzADrEZ,5743768557,缤锋评论,在一个以娱乐为主的综艺节目里，讲述感人至深的相濡以沫，这种方式，更多地，是会传达出社会关爱情怀，还是容易滋生漠然看淡的情绪？#空巢老人独自照顾患病爱人26年#,,,,空巢老人独自照顾患病爱人26年,0,0,2,2021-12-10 21:56,Android,https://wx1.sinaimg.cn/large/006gIgAlgy1gx92ywckeoj314018a7gf.jpg,,,,黄V
4712969025360569,L5rnMmuwN,3891514878,未央法院,【#空巢老人独自照顾患病爱人26年#是什么体验？】12月9日播出的#忘不了农场#中，肖奶奶分享了自己独自照顾患病爱人的经历，从爱人50岁倒下，一直照顾到76岁，整整26年的时间都是医院和家里两头跑。当丈夫摔倒肖奶奶怎么都扶不起来时，丈夫还会安慰肖奶奶“别急，总归会起来的”两个乐观的人在一起生活，再艰难的日子也会从中发现快乐吧～在这26年中，肖奶奶和丈夫之间的爱情大概也是最强大的支撑力，让肖奶奶无形中变得强大而又坚毅，在丈夫去世后，也能用乐观的心态把生活过的丰富多彩。如果是你，你能坚持照顾患病的爱人二十几年吗？L头条新闻的微博视频@头条新闻,,,头条新闻,"空巢老人独自照顾患病爱人26年,忘不了农场",0,0,0,2021-12-10 21:27,iPhone客户端,,"http://f.video.weibocdn.com/o0/hPlsmUmHlx07S1W06aKY01041200ebjm0E010.mp4?label=mp4_hd&template=640x368.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1725819476&ssig=jfFcAdOcbc&KID=unistore,video",,,蓝V
4712752265035827,L5lKal831,2617786612,思明博览,高山不言不语，承载万年风霜。一次次沧海桑田的变迁，一个个四季的轮回，多少次电闪雷击，多少次雨淹雪埋，高山都以它不变的姿态，迎接风云的变幻。不惊讶，不躲藏，矗立在尘世间。让坚毅的信念在风风雨雨中得到完美的诠释，在日月中站成永恒的姿态，宣示着生命的力量，永不妥协。#空巢老人独自照顾患病爱人26年#,,,,空巢老人独自照顾患病爱人26年,60,44,130,2021-12-10 07:06,iPhone 13 Pro Max(远峰蓝色),https://wx4.sinaimg.cn/large/9c0840f4gy1gx8d85zt5aj21e00s4nkq.jpg,,,,
