id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4769898729049714,LtknSBYf8,1319297121,lotus_anan,本周热读超话【#管控小区点对点服务独居老人#】5月14日12时，北京顺义区双裕东区社区所有楼栋解封。双裕东区社区党支部书记勘雪莲介绍，5月9日，该社区发现2名关联农商银行数据中心的密接人员，小区进行管控。该小区老年人较多，其中80岁以上独居老人约有20人。小区管控期间，社区重点关注老年人的日常用药和生活需求。对于下楼不方便的老人，社区会将买好的物资送上门。（时间视频）L新京报我们视频的微博视频,,,,管控小区点对点服务独居老人,0,0,0,2022-05-16 23:45,本周热读超话,,"http://f.video.weibocdn.com/o0/J6tmE0Yflx07W4dPZjgk01041202sNqd0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984512&ssig=tYV90iOdZx&KID=unistore,video",,,黄V
4769895948226827,LtkjoywaL,7260845406,视野经济,【#管控小区点对点服务独居老人#】5月14日12时，北京顺义区双裕东区社区所有楼栋解封。双裕东区社区党支部书记勘雪莲介绍，5月9日，该社区发现2名关联农商银行数据中心的密接人员，小区进行管控。该小区老年人较多，其中80岁以上独居老人约有20人。小区管控期间，社区重点关注老年人的日常用药和生活需求。对于下楼不方便的老人，社区会将买好的物资送上门。L新京报我们视频的微博视频,,,,管控小区点对点服务独居老人,0,0,0,2022-05-16 23:34,微博视频号,,"http://f.video.weibocdn.com/o0/J6tmE0Yflx07W4dPZjgk01041202sNqd0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984512&ssig=tYV90iOdZx&KID=unistore,video",,,普通用户
4769895885571990,LtkjinnwO,6939914198,经济视野,【#管控小区点对点服务独居老人#】5月14日12时，北京顺义区双裕东区社区所有楼栋解封。双裕东区社区党支部书记勘雪莲介绍，5月9日，该社区发现2名关联农商银行数据中心的密接人员，小区进行管控。该小区老年人较多，其中80岁以上独居老人约有20人。小区管控期间，社区重点关注老年人的日常用药和生活需求。对于下楼不方便的老人，社区会将买好的物资送上门。L新京报我们视频的微博视频,,,,管控小区点对点服务独居老人,0,0,0,2022-05-16 23:34,微博视频号,,"http://f.video.weibocdn.com/o0/J6tmE0Yflx07W4dPZjgk01041202sNqd0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984512&ssig=tYV90iOdZx&KID=unistore,video",,,普通用户
4769895826851829,LtkjcsKtn,7277356231,今日中农网,【#管控小区点对点服务独居老人#】5月14日12时，北京顺义区双裕东区社区所有楼栋解封。双裕东区社区党支部书记勘雪莲介绍，5月9日，该社区发现2名关联农商银行数据中心的密接人员，小区进行管控。该小区老年人较多，其中80岁以上独居老人约有20人。小区管控期间，社区重点关注老年人的日常用药和生活需求。对于下楼不方便的老人，社区会将买好的物资送上门。L新京报我们视频的微博视频,,,,管控小区点对点服务独居老人,0,0,0,2022-05-16 23:34,微博视频号,,"http://f.video.weibocdn.com/o0/J6tmE0Yflx07W4dPZjgk01041202sNqd0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984512&ssig=tYV90iOdZx&KID=unistore,video",,,普通用户
4769794521303547,LthFO5t6X,2904113697,姆们说,#姆们说#【#管控小区点对点服务独居老人#】据@新京报我们视频报道：5月14日12时，北京顺义区双裕东区社区所有楼栋解封。双裕东区社区党支部书记勘雪莲介绍，5月9日，该社区发现2名关联农商银行数据中心的密接人员，小区进行管控。该小区老年人较多，其中80岁以上独居老人约有20人。小区管控期间，社区重点关注老年人的日常用药和生活需求。对于下楼不方便的老人，社区会将买好的物资送上门。L新京报我们视频的微博视频,,,新京报我们视频,"姆们说,管控小区点对点服务独居老人",0,1,3,2022-05-16 16:51,微博视频号,,"http://f.video.weibocdn.com/o0/J6tmE0Yflx07W4dPZjgk01041202sNqd0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984513&ssig=Q1R4eFOJp8&KID=unistore,video",,,黄V
4769783096807146,LthnnsyQG,3912707918,龙南发布,【#管控小区点对点服务独居老人#】5月14日12时，北京顺义区双裕东区社区所有楼栋解封。双裕东区社区党支部书记勘雪莲介绍，5月9日，该社区发现2名关联农商银行数据中心的密接人员，小区进行管控。该小区老年人较多，其中80岁以上独居老人约有20人。小区管控期间，社区重点关注老年人的日常用药和生活需求。对于下楼不方便的老人，社区会将买好的物资送上门。#中国人的故事#L新京报我们视频的微博视频,,,,"管控小区点对点服务独居老人,中国人的故事",0,0,2,2022-05-16 16:06,微博视频号,,"http://f.video.weibocdn.com/o0/J6tmE0Yflx07W4dPZjgk01041202sNqd0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984513&ssig=Q1R4eFOJp8&KID=unistore,video",,,蓝V
4769782283110429,Lthm4d3ad,2209730323,融媒体张灏,【#管控小区点对点服务独居老人#】据@新京报我们视频报道：5月14日12时，北京顺义区双裕东区社区所有楼栋解封。双裕东区社区党支部书记勘雪莲介绍，5月9日，该社区发现2名关联农商银行数据中心的密接人员，小区进行管控。该小区老年人较多，其中80岁以上独居老人约有20人。小区管控期间，社区重点关注老年人的日常用药和生活需求。对于下楼不方便的老人，社区会将买好的物资送上门。L新京报我们视频的微博视频,,汉中·陕西理工大学(南校区),新京报我们视频,管控小区点对点服务独居老人,0,0,0,2022-05-16 16:02,融媒体张灏HarmonyOS设备,,"http://f.video.weibocdn.com/o0/J6tmE0Yflx07W4dPZjgk01041202sNqd0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984513&ssig=Q1R4eFOJp8&KID=unistore,video",,,黄V
4769781553824651,LthkTg2XV,3164957712,中国网,#发现最美你评我论#【#管控小区点对点服务独居老人#】5月14日12时，北京顺义区双裕东区社区所有楼栋解封。双裕东区社区党支部书记勘雪莲介绍，5月9日，该社区发现2名关联农商银行数据中心的密接人员，小区进行管控。该小区老年人较多，其中80岁以上独居老人约有20人。小区管控期间，社区重点关注老年人的日常用药和生活需求。对于下楼不方便的老人，社区会将买好的物资送上门。#中国人的故事#L新京报我们视频的微博视频,,,,"发现最美 你评我论,管控小区点对点服务独居老人,中国人的故事",43,2,119,2022-05-16 16:00,微博视频号,,"http://f.video.weibocdn.com/o0/J6tmE0Yflx07W4dPZjgk01041202sNqd0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984513&ssig=Q1R4eFOJp8&KID=unistore,video",,,蓝V
4769774951468648,Lthaf6a3S,2815224714,福建海博TV,#防抗新型冠状病毒感染的肺炎#【#管控小区点对点服务独居老人#】据@新京报我们视频报道：5月14日12时，北京顺义区双裕东区社区所有楼栋解封。双裕东区社区党支部书记勘雪莲介绍，5月9日，该社区发现2名关联农商银行数据中心的密接人员，小区进行管控。该小区老年人较多，其中80岁以上独居老人约有20人。小区管控期间，社区重点关注老年人的日常用药和生活需求。对于下楼不方便的老人，社区会将买好的物资送上门。#永久性方舱医院#L新京报我们视频的微博视频,,,新京报我们视频,"防抗新型冠状病毒感染的肺炎,管控小区点对点服务独居老人,永久性方舱医院",0,0,5,2022-05-16 15:33,微博视频号,,"http://f.video.weibocdn.com/o0/J6tmE0Yflx07W4dPZjgk01041202sNqd0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984513&ssig=Q1R4eFOJp8&KID=unistore,video",,,蓝V
4769760766067249,LtgNmpsmR,5198616588,巨野县人民检察院,【#管控小区点对点服务独居老人#】据@新京报我们视频报道：5月14日12时，北京顺义区双裕东区社区所有楼栋解封。双裕东区社区党支部书记勘雪莲介绍，5月9日，该社区发现2名关联农商银行数据中心的密接人员，小区进行管控。该小区老年人较多，其中80岁以上独居老人约有20人。小区管控期间，社区重点关注老年人的日常用药和生活需求。对于下楼不方便的老人，社区会将买好的物资送上门。O网页链接,,,新京报我们视频,管控小区点对点服务独居老人,0,0,0,2022-05-16 14:37,微博网页版,,,,,蓝V
