id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4587170654854378,JAzHPkmQq,5043723586,烟台市人民检察院,【#滴滴等8家平台将开通一键叫车#】12月25日，交通运输部运输服务司组织召开平台公司座谈会，研究便利老年人打车出行有关工作。曹操出行、滴滴出行、首汽约车、T3出行、高德地图、美团打车、申程出行、嘀嗒出行8家平台公司相关负责人参加会议。据悉，部运输服务司将组织各平台公司重点优化三大方面服务：一是优化网约车约车软件功能，增设方便老年人使用的“一键叫车”功能，争取春节前开通试运行；二是依托95128约车服务号码，在保持巡游出租汽车电召服务的同时，加快开通主要网约车平台电话叫车服务；三是通过技术手段，指导主要平台公司#给老年人提供优先派单服务#。,,,,"滴滴等8家平台将开通一键叫车,给老年人提供优先派单服务",0,1,2,2020-12-28 18:09,360安全浏览器,https://wx2.sinaimg.cn/large/005vkWUqly1gm3qdu1vqtj30460463z2.jpg,,,,蓝V
4587169555157459,JAzG3lDGP,1418177485,醉醒轩主,【#滴滴等8家平台将开通一键叫车#】12月25日，交通运输部运输服务司组织召开平台公司座谈会，研究便利老年人打车出行有关工作。曹操出行、滴滴出行、首汽约车、T3出行、高德地图、美团打车、申程出行、嘀嗒出行8家平台公司相关负责人参加会议。据悉，部运输服务司将组织各平台公司重点优化三大方面服务：一是优化网约车约车软件功能，增设方便老年人使用的“一键叫车”功能，争取春节前开通试运行；二是依托95128约车服务号码，在保持巡游出租汽车电召服务的同时，加快开通主要网约车平台电话叫车服务；三是通过技术手段，指导主要平台公司#给老年人提供优先派单服务#。,,,,"滴滴等8家平台将开通一键叫车,给老年人提供优先派单服务",0,10,7,2020-12-28 18:05,HUAWEI P30 Pro,,,,,红V
4587162580550576,JAzuO2jeg,1263112990,人生谈数码,#滴滴等8家平台将开通一键叫车#这波操作666啊，必须点赞！12月25日，交通运输部运输服务司组织召开平台公司座谈会，研究便利老年人打车出行有关工作。曹操出行、滴滴出行、首汽约车、T3出行、高德地图、美团打车、申程出行、嘀嗒出行8家平台公司相关负责人参加会议。据悉，部运输服务司将组织各平台公司重点优化三大方面服务：一是优化网约车约车软件功能，增设方便老年人使用的“一键叫车”功能，争取春节前开通试运行；二是依托95128约车服务号码，在保持巡游出租汽车电召服务的同时，加快开通主要网约车平台电话叫车服务；三是通过技术手段，指导主要平台公司#给老年人提供优先派单服务#,,,,"滴滴等8家平台将开通一键叫车,给老年人提供优先派单服务",0,0,1,2020-12-28 17:37,微博 weibo.com,"https://wx2.sinaimg.cn/large/4b49931ely1gm3pfe586lj20go08k3zd.jpg,https://wx4.sinaimg.cn/large/4b49931ely1gm3pfe4f2nj20b405b74a.jpg",,,,黄V
4587142594955479,JAyYzkN95,3817381137,赣州发布,【#滴滴等8家平台将开通一键叫车#】近日，交通运输部运输服务司组织召开平台公司座谈会，研究便利老年人打车出行有关工作。曹操出行、滴滴出行、首汽约车、T3出行、高德地图、美团打车、申程出行、嘀嗒出行8家平台公司相关负责人参加会议。据悉，部运输服务司将组织各平台公司重点优化三大方面服务：一是优化网约车约车软件功能，增设方便老年人使用的“一键叫车”功能，争取春节前开通试运行；二是依托95128约车服务号码，在保持巡游出租汽车电召服务的同时，加快开通主要网约车平台电话叫车服务；三是通过技术手段，指导主要平台公司#给老年人提供优先派单服务#,,,,"滴滴等8家平台将开通一键叫车,给老年人提供优先派单服务",0,0,0,2020-12-28 16:18,搜狗高速浏览器,https://wx1.sinaimg.cn/large/e3889d11gy1gm3n5suhp0j20c80agjrq.jpg,,,,蓝V
4587139716879206,JAyTVsRAW,2359441912,中国水运报,【#滴滴等8家平台将开通一键叫车#】近日，交通运输部运输服务司组织召开平台公司座谈会，研究便利老年人打车出行有关工作。曹操出行、滴滴出行、首汽约车、T3出行、高德地图、美团打车、申程出行、嘀嗒出行8家平台公司相关负责人参加会议。据悉，部运输服务司将组织各平台公司重点优化三大方面服务：一是优化网约车约车软件功能，增设方便老年人使用的“一键叫车”功能，争取春节前开通试运行；二是依托95128约车服务号码，在保持巡游出租汽车电召服务的同时，加快开通主要网约车平台电话叫车服务；三是通过技术手段，指导主要平台公司#给老年人提供优先派单服务#,,,,"滴滴等8家平台将开通一键叫车,给老年人提供优先派单服务",2,5,20,2020-12-28 16:06,360安全浏览器,https://wx4.sinaimg.cn/large/8ca239f8gy1gm3mtq4hguj20c80ag0vo.jpg,,,,蓝V
4587124365466396,JAyvamW3G,1389537561,都市时报,【#滴滴等8家平台将开通一键叫车#】12月25日，交通运输部运输服务司组织召开平台公司座谈会，研究便利老年人打车出行有关工作。曹操出行、滴滴出行、首汽约车、T3出行、高德地图、美团打车、申程出行、嘀嗒出行8家平台公司相关负责人参加会议。据悉，部运输服务司将组织各平台公司重点优化三大方面服务：一是优化网约车约车软件功能，增设方便老年人使用的“一键叫车”功能，争取春节前开通试运行；二是依托95128约车服务号码，在保持巡游出租汽车电召服务的同时，加快开通主要网约车平台电话叫车服务；三是通过技术手段，指导主要平台公司#给老年人提供优先派单服务#。（凤凰网科技）,,,,"滴滴等8家平台将开通一键叫车,给老年人提供优先派单服务",2,1,5,2020-12-28 15:05,iPhone 7 Plus,,,,,蓝V
4587099426134153,JAxQWpJLX,2821374870,湄潭生活,【#滴滴等8家平台将开通一键叫车#】12月25日，交通运输部运输服务司组织召开平台公司座谈会，研究便利老年人打车出行有关工作。曹操出行、滴滴出行、首汽约车、T3出行、高德地图、美团打车、申程出行、嘀嗒出行8家平台公司相关负责人参加会议。据悉，部运输服务司将组织各平台公司重点优化三大方面服务：一是优化网约车约车软件功能，增设方便老年人使用的“一键叫车”功能，争取春节前开通试运行；二是依托95128约车服务号码，在保持巡游出租汽车电召服务的同时，加快开通主要网约车平台电话叫车服务；三是通过技术手段，指导主要平台公司#给老年人提供优先派单服务#。,,遵义·湄潭,,"滴滴等8家平台将开通一键叫车,给老年人提供优先派单服务",0,0,1,2020-12-28 13:26,OnePlus 6,,,,,黄V
4587095086080037,JAxJWpvH7,6935485917,潇壕,#滴滴等8家平台将开通一键叫车#12月25日，交通运输部运输服务司组织召开平台公司座谈会，研究便利老年人打车出行有关工作。曹操出行、滴滴出行、首汽约车、T3出行、高德地图、美团打车、申程出行、嘀嗒出行8家平台公司相关负责人参加会议。据悉，部运输服务司将组织各平台公司重点优化三大方面服务：一是优化网约车约车软件功能，增设方便老年人使用的“一键叫车”功能，争取春节前开通试运行；二是依托95128约车服务号码，在保持巡游出租汽车电召服务的同时，加快开通主要网约车平台电话叫车服务；三是通过技术手段，指导主要平台公司#给老年人提供优先派单服务#。,,,,"滴滴等8家平台将开通一键叫车,给老年人提供优先派单服务",4,11,6,2020-12-28 13:09,,https://wx3.sinaimg.cn/large/007zmAI5ly1gm3hpamqj4j30u01s8kam.jpg,,,,黄V
4587065561590168,JAwYk6FFS,1642482194,创业家传媒,【#滴滴等8家平台将开通一键叫车#】交通运输部运输服务司组织召开平台公司座谈会，研究便利老年人打车出行有关工作。曹操出行、滴滴出行、首汽约车、T3出行、高德地图、美团打车、申程出行、嘀嗒出行8家平台公司相关负责人参加会议。据悉，部运输服务司将组织各平台公司重点优化三大方面服务：一是优化网约车约车软件功能，增设方便老年人使用的“一键叫车”功能，争取春节前开通试运行；二是依托95128约车服务号码，在保持巡游出租汽车电召服务的同时，加快开通主要网约车平台电话叫车服务；三是通过技术手段，指导主要平台公司#给老年人提供优先派单服务#。,,,,"滴滴等8家平台将开通一键叫车,给老年人提供优先派单服务",1,1,1,2020-12-28 11:11,,https://wx2.sinaimg.cn/large/001N9GEily1gm3ebch0o8j60qo0gxaap02.jpg,,,,蓝V
4587065314910914,JAwXVkByi,1856404484,凤凰网科技,【#滴滴等8家平台将开通一键叫车#】12月25日，交通运输部运输服务司组织召开平台公司座谈会，研究便利老年人打车出行有关工作。曹操出行、滴滴出行、首汽约车、T3出行、高德地图、美团打车、申程出行、嘀嗒出行8家平台公司相关负责人参加会议。据悉，部运输服务司将组织各平台公司重点优化三大方面服务：一是优化网约车约车软件功能，增设方便老年人使用的“一键叫车”功能，争取春节前开通试运行；二是依托95128约车服务号码，在保持巡游出租汽车电召服务的同时，加快开通主要网约车平台电话叫车服务；三是通过技术手段，指导主要平台公司#给老年人提供优先派单服务#。,,,,"滴滴等8家平台将开通一键叫车,给老年人提供优先派单服务",9,18,171,2020-12-28 11:10,OPPO Reno5 Pro+ 5G,"https://wx1.sinaimg.cn/large/6ea67c04ly1gm3eanae7cj209a068747.jpg,https://wx4.sinaimg.cn/large/6ea67c04ly1gm3einymwgj20gk0gfgtt.jpg",,,,蓝V
