id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4698715782121792,KFq308TYs,2806170583,腾讯新闻,#网传养老院被打老人实为25岁残疾男子#【官方通报网传养老院老人被打：被打者为25岁智力残疾男子】10月30日，江苏徐州。网传睢宁县邱集镇利康居家养老服务中心一名老人遭到殴打。30日晚，据无线睢宁消息，视频中涉及人员为25岁二级智力残疾男子王某。29日，王某欲爬门外出并大声哭闹，引起同在居家养老服务中心患有精神分裂症的邹某英情绪不稳定，邹某英用椅子坐垫掷向其肩部，头部，经检查双方均无任何伤情。事发后，患病人员被转至专业医疗机构。L官方通报网传养老院老人被打：被打者为25岁智力残疾男子,,,,网传养老院被打老人实为25岁残疾男子,0,0,1,2021-11-01 13:30,微博视频号,,http:https://multimedia.api.weibo.com/2/multimedia/redirect_tencent_video.json?vid=x33057kgwm5&is_https=1,,,蓝V
4698429001829978,KFiAs7G3M,6098433645,内黄生活,#网传养老院被打老人实为25岁残疾男子#【官方通报网传养老院老人被打：被打者为25岁智力残疾男子】10月30日，江苏徐州。网传睢宁县邱集镇利康居家养老服务中心一名老人遭到殴打。30日晚，据无线睢宁消息，视频中涉及人员为25岁二级智力残疾男子王某。29日，王某欲爬门外出并大声哭闹，引起同在居家养老服务中心患有精神分裂症的邹某英情绪不稳定，邹某英用椅子坐垫掷向其肩部，头部，经检查双方均无任何伤情。事发后，患病人员被转至专业医疗机构。L西部决策的微博视频,,,,网传养老院被打老人实为25岁残疾男子,0,0,0,2021-10-31 18:30,微博视频号,,"http://f.video.weibocdn.com/o0/4TXlaCWglx07R0zqp41W01041200hi2X0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017579&ssig=tLs0W%2BIrJR&KID=unistore,video",,,黄V
4698429001828435,KFiAs7FET,2622507741,安阳微房产,#网传养老院被打老人实为25岁残疾男子#【官方通报网传养老院老人被打：被打者为25岁智力残疾男子】10月30日，江苏徐州。网传睢宁县邱集镇利康居家养老服务中心一名老人遭到殴打。30日晚，据无线睢宁消息，视频中涉及人员为25岁二级智力残疾男子王某。29日，王某欲爬门外出并大声哭闹，引起同在居家养老服务中心患有精神分裂症的邹某英情绪不稳定，邹某英用椅子坐垫掷向其肩部，头部，经检查双方均无任何伤情。事发后，患病人员被转至专业医疗机构。L西部决策的微博视频,,,,网传养老院被打老人实为25岁残疾男子,0,0,0,2021-10-31 18:30,微博视频号,,"http://f.video.weibocdn.com/o0/4TXlaCWglx07R0zqp41W01041200hi2X0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017579&ssig=tLs0W%2BIrJR&KID=unistore,video",,,黄V
4698429001828417,KFiAs7FEB,6025441362,安阳妈妈帮,#网传养老院被打老人实为25岁残疾男子#【官方通报网传养老院老人被打：被打者为25岁智力残疾男子】10月30日，江苏徐州。网传睢宁县邱集镇利康居家养老服务中心一名老人遭到殴打。30日晚，据无线睢宁消息，视频中涉及人员为25岁二级智力残疾男子王某。29日，王某欲爬门外出并大声哭闹，引起同在居家养老服务中心患有精神分裂症的邹某英情绪不稳定，邹某英用椅子坐垫掷向其肩部，头部，经检查双方均无任何伤情。事发后，患病人员被转至专业医疗机构。L西部决策的微博视频,,,,网传养老院被打老人实为25岁残疾男子,0,0,0,2021-10-31 18:30,微博视频号,,"http://f.video.weibocdn.com/o0/4TXlaCWglx07R0zqp41W01041200hi2X0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017579&ssig=tLs0W%2BIrJR&KID=unistore,video",,,黄V
4698429001566761,KFiAs6zAl,2809889625,林州事儿,#网传养老院被打老人实为25岁残疾男子#【官方通报网传养老院老人被打：被打者为25岁智力残疾男子】10月30日，江苏徐州。网传睢宁县邱集镇利康居家养老服务中心一名老人遭到殴打。30日晚，据无线睢宁消息，视频中涉及人员为25岁二级智力残疾男子王某。29日，王某欲爬门外出并大声哭闹，引起同在居家养老服务中心患有精神分裂症的邹某英情绪不稳定，邹某英用椅子坐垫掷向其肩部，头部，经检查双方均无任何伤情。事发后，患病人员被转至专业医疗机构。L西部决策的微博视频,,,,网传养老院被打老人实为25岁残疾男子,0,0,0,2021-10-31 18:30,微博视频号,,"http://f.video.weibocdn.com/o0/4TXlaCWglx07R0zqp41W01041200hi2X0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017579&ssig=tLs0W%2BIrJR&KID=unistore,video",,,黄V
4698429001044838,KFiAs4nOe,2622558275,街拍安阳,#网传养老院被打老人实为25岁残疾男子#【官方通报网传养老院老人被打：被打者为25岁智力残疾男子】10月30日，江苏徐州。网传睢宁县邱集镇利康居家养老服务中心一名老人遭到殴打。30日晚，据无线睢宁消息，视频中涉及人员为25岁二级智力残疾男子王某。29日，王某欲爬门外出并大声哭闹，引起同在居家养老服务中心患有精神分裂症的邹某英情绪不稳定，邹某英用椅子坐垫掷向其肩部，头部，经检查双方均无任何伤情。事发后，患病人员被转至专业医疗机构。L西部决策的微博视频,,,,网传养老院被打老人实为25岁残疾男子,0,0,0,2021-10-31 18:30,微博视频号,,"http://f.video.weibocdn.com/o0/4TXlaCWglx07R0zqp41W01041200hi2X0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017579&ssig=tLs0W%2BIrJR&KID=unistore,video",,,黄V
4698428997634346,KFiArw22C,2620416407,安阳校园事儿,#网传养老院被打老人实为25岁残疾男子#【官方通报网传养老院老人被打：被打者为25岁智力残疾男子】10月30日，江苏徐州。网传睢宁县邱集镇利康居家养老服务中心一名老人遭到殴打。30日晚，据无线睢宁消息，视频中涉及人员为25岁二级智力残疾男子王某。29日，王某欲爬门外出并大声哭闹，引起同在居家养老服务中心患有精神分裂症的邹某英情绪不稳定，邹某英用椅子坐垫掷向其肩部，头部，经检查双方均无任何伤情。事发后，患病人员被转至专业医疗机构。L西部决策的微博视频,,,,网传养老院被打老人实为25岁残疾男子,0,0,0,2021-10-31 18:30,微博视频号,,"http://f.video.weibocdn.com/o0/4TXlaCWglx07R0zqp41W01041200hi2X0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017579&ssig=tLs0W%2BIrJR&KID=unistore,video",,,黄V
4698428997372022,KFiAruVNA,5666929142,安阳身边儿事,#网传养老院被打老人实为25岁残疾男子#【官方通报网传养老院老人被打：被打者为25岁智力残疾男子】10月30日，江苏徐州。网传睢宁县邱集镇利康居家养老服务中心一名老人遭到殴打。30日晚，据无线睢宁消息，视频中涉及人员为25岁二级智力残疾男子王某。29日，王某欲爬门外出并大声哭闹，引起同在居家养老服务中心患有精神分裂症的邹某英情绪不稳定，邹某英用椅子坐垫掷向其肩部，头部，经检查双方均无任何伤情。事发后，患病人员被转至专业医疗机构。L西部决策的微博视频,,,,网传养老院被打老人实为25岁残疾男子,0,0,0,2021-10-31 18:30,微博视频号,,"http://f.video.weibocdn.com/o0/4TXlaCWglx07R0zqp41W01041200hi2X0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017579&ssig=tLs0W%2BIrJR&KID=unistore,video",,,黄V
4698428996848416,KFiArsJAk,2622521095,滑县新鲜事,#网传养老院被打老人实为25岁残疾男子#【官方通报网传养老院老人被打：被打者为25岁智力残疾男子】10月30日，江苏徐州。网传睢宁县邱集镇利康居家养老服务中心一名老人遭到殴打。30日晚，据无线睢宁消息，视频中涉及人员为25岁二级智力残疾男子王某。29日，王某欲爬门外出并大声哭闹，引起同在居家养老服务中心患有精神分裂症的邹某英情绪不稳定，邹某英用椅子坐垫掷向其肩部，头部，经检查双方均无任何伤情。事发后，患病人员被转至专业医疗机构。L西部决策的微博视频,,,,网传养老院被打老人实为25岁残疾男子,0,0,0,2021-10-31 18:30,微博视频号,,"http://f.video.weibocdn.com/o0/4TXlaCWglx07R0zqp41W01041200hi2X0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017579&ssig=tLs0W%2BIrJR&KID=unistore,video",,,黄V
4698428993441430,KFiArergW,1962932343,安阳同城会,#网传养老院被打老人实为25岁残疾男子#【官方通报网传养老院老人被打：被打者为25岁智力残疾男子】10月30日，江苏徐州。网传睢宁县邱集镇利康居家养老服务中心一名老人遭到殴打。30日晚，据无线睢宁消息，视频中涉及人员为25岁二级智力残疾男子王某。29日，王某欲爬门外出并大声哭闹，引起同在居家养老服务中心患有精神分裂症的邹某英情绪不稳定，邹某英用椅子坐垫掷向其肩部，头部，经检查双方均无任何伤情。事发后，患病人员被转至专业医疗机构。L西部决策的微博视频,,,,网传养老院被打老人实为25岁残疾男子,0,0,0,2021-10-31 18:30,微博视频号,,"http://f.video.weibocdn.com/o0/4TXlaCWglx07R0zqp41W01041200hi2X0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=775cb0ab963a74099cf9f840cd1987f1&ori=0&ps=1BVp4ysnknHVZu&Expires=1725017581&ssig=0W0SJKQQ6q&KID=unistore,video",,,普通用户
