id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4907958926835953,N3l2YsGlj,3282659472,天外微尘,#天外之音##一切反动派都是纸老虎##柳州与女子不雅聊天公职人员被免职#二十一世纪之与狼共舞：————战群狼！！！LCCTV4的微博视频O网页链接#爱马仕不合格针织衫进价5千售1万6##柳州与女子不雅聊天公职人员被免职##house被警方立案调查##邓家佳说来淄博一定要吃烧烤##小朋友发现李白雕塑生卒年月写错##亿点曝光计划#,,,,"天外之音,一切反动派都是纸老虎,柳州与女子不雅聊天公职人员被免职,爱马仕不合格针织衫进价5千售1万6,house被警方立案调查,邓家佳说来淄博一定要吃烧烤,小朋友发现李白雕塑生卒年月写错,亿点曝光计划",1,7,2,2023-06-01 23:07,微博视频号,,"http://f.video.weibocdn.com/o0/YdRcQFEGlx085JI1pUje0104120a7xMD0E040.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729374147&ssig=meVGO96BF0&KID=unistore,video",,,
4912581938250300,N5hjryChm,1296171982,龟兹仙子,//@天外微尘:#亿点曝光计划##house被警方立案调查##学术妲己##为什么我们不聊杰克辣条##网传老人在高铁上用菜刀削苹果##二三十了还觉得自己是个小孩正常吗##网传老人在高铁上用菜刀削苹果#,,,天外微尘,"亿点曝光计划,house被警方立案调查,学术妲己,为什么我们不聊杰克辣条,网传老人在高铁上用菜刀削苹果,二三十了还觉得自己是个小孩正常吗",0,0,2,2023-06-14 17:17,微博网页版,,,4907958926835953,河北,普通用户
4909541345461879,N40dgmUSP,7623515082,上游出品,早安超话自家小院里的黄瓜，过几天就长大！#网传老人在高铁上用菜刀削苹果##正能量计划##早安心语##阳光信用#L上游出品的微博视频,,,,"网传老人在高铁上用菜刀削苹果,正能量计划,早安心语,阳光信用",0,21,28,2023-06-06 07:55,早安超话,,"http://f.video.weibocdn.com/o0/0Oi93rPwlx085VdtEFrO01041200enId0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729374156&ssig=9m95SEi9In&KID=unistore,video",,陕西,黄V
4909290739204256,N3TH3CCrK,3861599674,城固法院,#网传老人在高铁上用菜刀削苹果#【哪些物品不可以带上高铁？乘坐安全须知】高铁上，不可以携带超过60mm的菜刀、水果刀等刀刃。还哪些物品不可以带上列车？#铁路回应老人高铁上用菜刀削苹果#↓↓via.@应急管理部L应急管理部的微博视频,,,应急管理部,"网传老人在高铁上用菜刀削苹果,铁路回应老人高铁上用菜刀削苹果",0,0,0,2023-06-05 15:19,微博视频号,,"http://f.video.weibocdn.com/o0/oBysP0Y8lx081nSFwWHS0104120064pZ0E010.mp4?label=mp4_ld&template=638x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729374158&ssig=nsud0Etloo&KID=unistore,video",,,蓝V
4908110298486231,N3oZ7zBEH,2087169013,法治日报,#网传老人在高铁上用菜刀削苹果#【#高铁禁止携带的管制刀具有哪些#？】6月1日，湖北武汉。一网友称自己在高铁上看到一老人用菜刀削苹果、开食品包装袋，并在安检人员检查时将菜刀藏了起来。对此12306中国铁路客户服务中心回应称，高铁上菜刀、水果刀等刀刃小于60mm可以携带，超过了的是带不了的，乘客如遇到此类情况，可以向列车工作人员反馈。管制刀具不是想带就能带！你知道哪种才算“管制刀具”吗？究竟什么是管制刀具呢？戳视频，专门给大家制作了一份管制刀具图鉴，请查收！↓via.中国新闻周刊、广铁警方在线L广铁警方在线的微博视频,,,,"网传老人在高铁上用菜刀削苹果,高铁禁止携带的管制刀具有哪些",56,5,11,2023-06-02 09:09,微博视频号,,"http://f.video.weibocdn.com/003ezdGTgx07GG1Re31J010412009eCZ0E010.mp4?label=mp4_720p&template=544x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1729374158&ssig=erbtEvBRSa&KID=unistore,video",,,
4909206987342658,N3RvYuO9Y,3951518958,包头中院,#网传老人在高铁上用菜刀削苹果#【#高铁禁止携带的管制刀具有哪些#？】,,,,"网传老人在高铁上用菜刀削苹果,高铁禁止携带的管制刀具有哪些",0,0,11,2023-06-05 09:46,微博网页版,,,4908110298486231,,蓝V
4909198821296888,N3RiO5rny,6359530725,用户6359530725,#网传老人在高铁上用菜刀削苹果#,,,,网传老人在高铁上用菜刀削苹果,0,0,0,2023-06-05 09:14,小米10 Pro,,,,湖北,普通用户
4908928724370761,N3Khail29,6865041493,娱乐圈小兮,#网传老人在高铁上用菜刀削苹果#有事情吗,,,,网传老人在高铁上用菜刀削苹果,0,0,0,2023-06-04 15:21,HUAWEI P50 Pro,,,,广东,普通用户
4908789998551692,N3GFpzSGw,5505549057,海西消防,#网传老人在高铁上用菜刀削苹果#【哪些物品不可以带上高铁？乘坐安全须知】高铁上，不可以携带超过60mm的菜刀、水果刀等刀刃。还哪些物品不可以带上列车？L应急管理部的微博视频,,,,网传老人在高铁上用菜刀削苹果,0,0,0,2023-06-04 06:09,微博视频号,,"http://f.video.weibocdn.com/o0/oBysP0Y8lx081nSFwWHS0104120064pZ0E010.mp4?label=mp4_ld&template=638x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729374159&ssig=%2B7WGs6q3jb&KID=unistore,video",,,蓝V
4908702232483232,N3EnRaq08,7786335549,幸运锦鲤小鱼儿,#网传老人在高铁上用菜刀削苹果#也太生猛了吧！,,,,网传老人在高铁上用菜刀削苹果,0,0,0,2023-06-04 00:21,华为畅享10,,,,广东,普通用户
4908690350279163,N3E4H1aCD,3856482952,洋县法院,#网传老人在高铁上用菜刀削苹果#【哪些物品不可以带上高铁？乘坐安全须知】高铁上，不可以携带超过60mm的菜刀、水果刀等刀刃。还哪些物品不可以带上列车？#铁路回应老人高铁上用菜刀削苹果#↓↓via.@应急管理部L应急管理部的微博视频,,,应急管理部,"网传老人在高铁上用菜刀削苹果,铁路回应老人高铁上用菜刀削苹果",0,0,0,2023-06-03 23:34,iPhone客户端,,"http://f.video.weibocdn.com/o0/oBysP0Y8lx081nSFwWHS0104120064pZ0E010.mp4?label=mp4_ld&template=638x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729374160&ssig=uDfxgxYIJ3&KID=unistore,video",,,蓝V
