id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5068764110655414,OsQRR2Kvc,1984581081,新浪手表,【#美82岁老人被AI马斯克诈骗69万美元#】据报道，AI生成的埃隆·马斯克的形象，已经出现在数千条虚假广告中，并导致了数十亿美元的欺诈损失。德勤预计，AI驱动的“深度伪造”（deepfake）预计每年将造成数十亿美元的欺诈损失。去年年底，82岁的退休老人SteveBeauchamp观看了一段视频。视频中马斯克支持一个承诺快速回报的激进投资机会，口型与声音都高度吻合，看起来极为真实。于是，Beauchamp联系了这家公司，开设了一个248美元的账户。经过数周的一系列交易，Beauchamp耗尽了他的退休账户，最终投资了69多万美元（约合495万元）。但令这位老人没有想到的是，这些钱最终却消失了，输送给了那些处于AI驱动的新犯罪前沿的数字骗子。原因是：骗子对马斯克的一篇真实采访进行编辑，利用AI工具，使用复制品代替了他的声音。如今，AI技术已经足够先进，可以改变微小的嘴部动作，以匹配他们为数字欺诈而编写的新剧本。对于一个普通的观众来说，这种操纵可能是难以察觉的。Beauchamp对此表示：“画面上的人物，的确是他（马斯克）。现在，我真的不知道是不是AI让他说出了那番话。但就画面而言，那就是他。”近几个月来，数千个AI驱动的视频（即“深度伪造”）充斥着互联网，这些视频以“虚假的马斯克言论”欺骗了数十名潜在投资者。据德勤估计，这种由AI驱动的“深度伪造”预计每年将造成数十亿美元的欺诈损失。这些视频的制作成本只有几美元，可以在几分钟内完成。它们在社交媒体上得到推广，包括在Facebook的付费广告中，从而扩大了其影响力。监控和检测“深度伪造”的Sensity公司的联合创始人FrancescoCavalli表示：“这可能是有史以来最大的由‘深度伪造’驱动的骗局。”这些视频往往栩栩如生，捕捉到了马斯克标志性的相对僵硬的节奏和南非口音。Sensity分析了2000多个“深度伪造”，称马斯克是这些视频中最常见的发言人。Sensity发现，自去年年底以来，马斯克参与了近1/4的“深度伪造”骗局。而在那些专注于数字加密货币的虚假视频中，马斯克的参与率更是高达近90%。此外，著名投资者沃伦·巴菲特和亚马逊创始人杰夫·贝索斯，也经常出现在这种“深度伪造”广告中。对此，马斯克尚未发表评论。（新浪科技）,,,,美82岁老人被AI马斯克诈骗69万美元,0,0,0,2024-08-18 16:50,微博发布平台专业版,https://wx4.sinaimg.cn/large/764a4dd9ly8hss4mlp10cj20fa07z74w.jpg,,,,蓝V
5068764110393508,OsQRR1EmU,1984104953,智能生活派,【#美82岁老人被AI马斯克诈骗69万美元#】据报道，AI生成的埃隆·马斯克的形象，已经出现在数千条虚假广告中，并导致了数十亿美元的欺诈损失。德勤预计，AI驱动的“深度伪造”（deepfake）预计每年将造成数十亿美元的欺诈损失。去年年底，82岁的退休老人SteveBeauchamp观看了一段视频。视频中马斯克支持一个承诺快速回报的激进投资机会，口型与声音都高度吻合，看起来极为真实。于是，Beauchamp联系了这家公司，开设了一个248美元的账户。经过数周的一系列交易，Beauchamp耗尽了他的退休账户，最终投资了69多万美元（约合495万元）。但令这位老人没有想到的是，这些钱最终却消失了，输送给了那些处于AI驱动的新犯罪前沿的数字骗子。原因是：骗子对马斯克的一篇真实采访进行编辑，利用AI工具，使用复制品代替了他的声音。如今，AI技术已经足够先进，可以改变微小的嘴部动作，以匹配他们为数字欺诈而编写的新剧本。对于一个普通的观众来说，这种操纵可能是难以察觉的。Beauchamp对此表示：“画面上的人物，的确是他（马斯克）。现在，我真的不知道是不是AI让他说出了那番话。但就画面而言，那就是他。”近几个月来，数千个AI驱动的视频（即“深度伪造”）充斥着互联网，这些视频以“虚假的马斯克言论”欺骗了数十名潜在投资者。据德勤估计，这种由AI驱动的“深度伪造”预计每年将造成数十亿美元的欺诈损失。这些视频的制作成本只有几美元，可以在几分钟内完成。它们在社交媒体上得到推广，包括在Facebook的付费广告中，从而扩大了其影响力。监控和检测“深度伪造”的Sensity公司的联合创始人FrancescoCavalli表示：“这可能是有史以来最大的由‘深度伪造’驱动的骗局。”这些视频往往栩栩如生，捕捉到了马斯克标志性的相对僵硬的节奏和南非口音。Sensity分析了2000多个“深度伪造”，称马斯克是这些视频中最常见的发言人。Sensity发现，自去年年底以来，马斯克参与了近1/4的“深度伪造”骗局。而在那些专注于数字加密货币的虚假视频中，马斯克的参与率更是高达近90%。此外，著名投资者沃伦·巴菲特和亚马逊创始人杰夫·贝索斯，也经常出现在这种“深度伪造”广告中。对此，马斯克尚未发表评论。（新浪科技）,,,,美82岁老人被AI马斯克诈骗69万美元,0,0,0,2024-08-18 16:50,微博发布平台专业版,https://wx3.sinaimg.cn/large/764309f9ly8hss4mlpahoj20fa07zdgg.jpg,,,,普通用户
5068764108556837,OsQRQzU1v,2245266941,数码头条,【#美82岁老人被AI马斯克诈骗69万美元#】据报道，AI生成的埃隆·马斯克的形象，已经出现在数千条虚假广告中，并导致了数十亿美元的欺诈损失。德勤预计，AI驱动的“深度伪造”（deepfake）预计每年将造成数十亿美元的欺诈损失。去年年底，82岁的退休老人SteveBeauchamp观看了一段视频。视频中马斯克支持一个承诺快速回报的激进投资机会，口型与声音都高度吻合，看起来极为真实。于是，Beauchamp联系了这家公司，开设了一个248美元的账户。经过数周的一系列交易，Beauchamp耗尽了他的退休账户，最终投资了69多万美元（约合495万元）。但令这位老人没有想到的是，这些钱最终却消失了，输送给了那些处于AI驱动的新犯罪前沿的数字骗子。原因是：骗子对马斯克的一篇真实采访进行编辑，利用AI工具，使用复制品代替了他的声音。如今，AI技术已经足够先进，可以改变微小的嘴部动作，以匹配他们为数字欺诈而编写的新剧本。对于一个普通的观众来说，这种操纵可能是难以察觉的。Beauchamp对此表示：“画面上的人物，的确是他（马斯克）。现在，我真的不知道是不是AI让他说出了那番话。但就画面而言，那就是他。”近几个月来，数千个AI驱动的视频（即“深度伪造”）充斥着互联网，这些视频以“虚假的马斯克言论”欺骗了数十名潜在投资者。据德勤估计，这种由AI驱动的“深度伪造”预计每年将造成数十亿美元的欺诈损失。这些视频的制作成本只有几美元，可以在几分钟内完成。它们在社交媒体上得到推广，包括在Facebook的付费广告中，从而扩大了其影响力。监控和检测“深度伪造”的Sensity公司的联合创始人FrancescoCavalli表示：“这可能是有史以来最大的由‘深度伪造’驱动的骗局。”这些视频往往栩栩如生，捕捉到了马斯克标志性的相对僵硬的节奏和南非口音。Sensity分析了2000多个“深度伪造”，称马斯克是这些视频中最常见的发言人。Sensity发现，自去年年底以来，马斯克参与了近1/4的“深度伪造”骗局。而在那些专注于数字加密货币的虚假视频中，马斯克的参与率更是高达近90%。此外，著名投资者沃伦·巴菲特和亚马逊创始人杰夫·贝索斯，也经常出现在这种“深度伪造”广告中。对此，马斯克尚未发表评论。（新浪科技）,,,,美82岁老人被AI马斯克诈骗69万美元,0,0,0,2024-08-18 16:49,微博发布平台专业版,https://wx1.sinaimg.cn/large/85d40dfdly8hss4mlrknwj20fa07zmxq.jpg,,,,蓝V
5068565029322841,OsLGKD7ip,1319297121,lotus_anan,本周热读超话【#美82岁老人被AI马斯克诈骗69万美元#】据IT之家报道，美媒称，82岁退休老人史蒂夫・比彻姆（SteveBeauchamp）因相信一段由AI合成的“马斯克推荐能迅速获利的激进投资方案”视频，投资超过69万美元，最终导致资金被骗。据悉，这种利用AI技术制作的“深度造假”视频在互联网上泛滥，其中埃隆・马斯克（ElonMusk）是最常见的被伪造对象。视频通过模拟马斯克的声音和动作，误导投资者，导致大量潜在投资者受骗。美国联邦贸易委员会和联邦调查局已发出警告，提醒公众注意AI驱动的网络犯罪和深度伪造诈骗。（福布斯中文网）L白鹿科技的微博视频,,,,美82岁老人被AI马斯克诈骗69万美元,0,0,0,2024-08-18 03:38,本周热读超话,,"http://f.video.weibocdn.com/o0/x7UEQQVClx08heYe5cFq0104120046LL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022496&ssig=CYk28jr20%2F&KID=unistore,video",,北京,黄V
5067694061126632,Osp1Y4J5u,1905687615,网易科技频道,【#美82岁老人被AI马斯克诈骗69万美元#】据IT之家报道，美媒称，82岁退休老人史蒂夫・比彻姆（SteveBeauchamp）因相信一段由AI合成的“马斯克推荐能迅速获利的激进投资方案”视频，投资超过69万美元，最终导致资金被骗。据悉，这种利用AI技术制作的“深度造假”视频在互联网上泛滥，其中埃隆・马斯克（ElonMusk）是最常见的被伪造对象。视频通过模拟马斯克的声音和动作，误导投资者，导致大量潜在投资者受骗。美国联邦贸易委员会和联邦调查局已发出警告，提醒公众注意AI驱动的网络犯罪和深度伪造诈骗。L白鹿科技的微博视频,,,,美82岁老人被AI马斯克诈骗69万美元,0,0,0,2024-08-15 17:58,微博视频号,,"http://f.video.weibocdn.com/o0/x7UEQQVClx08heYe5cFq0104120046LL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022496&ssig=CYk28jr20%2F&KID=unistore,video",,,蓝V
5067680476561496,OsoG3rwWA,1765373140,福布斯中文网,【#美82岁老人被AI马斯克诈骗69万美元#】据IT之家报道，美媒称，82岁退休老人史蒂夫・比彻姆（SteveBeauchamp）因相信一段由AI合成的“马斯克推荐能迅速获利的激进投资方案”视频，投资超过69万美元，最终导致资金被骗。据悉，这种利用AI技术制作的“深度造假”视频在互联网上泛滥，其中埃隆・马斯克（ElonMusk）是最常见的被伪造对象。视频通过模拟马斯克的声音和动作，误导投资者，导致大量潜在投资者受骗。美国联邦贸易委员会和联邦调查局已发出警告，提醒公众注意AI驱动的网络犯罪和深度伪造诈骗。L白鹿科技的微博视频,,,,美82岁老人被AI马斯克诈骗69万美元,1,0,1,2024-08-15 17:04,微博视频号,,"http://f.video.weibocdn.com/o0/x7UEQQVClx08heYe5cFq0104120046LL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022496&ssig=CYk28jr20%2F&KID=unistore,video",,,蓝V
5067676210693957,Osozb2UwR,7575030448,白鹿视频,【#美82岁老人被AI马斯克诈骗69万美元#】据IT之家报道，美媒称，82岁退休老人史蒂夫・比彻姆（SteveBeauchamp）因相信一段由AI合成的“马斯克推荐能迅速获利的激进投资方案”视频，投资超过69万美元，最终导致资金被骗。据悉，这种利用AI技术制作的“深度造假”视频在互联网上泛滥，其中埃隆・马斯克（ElonMusk）是最常见的被伪造对象。视频通过模拟马斯克的声音和动作，误导投资者，导致大量潜在投资者受骗。美国联邦贸易委员会和联邦调查局已发出警告，提醒公众注意AI驱动的网络犯罪和深度伪造诈骗。@白鹿科技L白鹿科技的微博视频,,,白鹿科技,美82岁老人被AI马斯克诈骗69万美元,0,0,1,2024-08-15 16:47,微博视频号,,"http://f.video.weibocdn.com/o0/x7UEQQVClx08heYe5cFq0104120046LL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022496&ssig=CYk28jr20%2F&KID=unistore,video",,,蓝V
5067669988443168,Osop8zqs8,1919155483,新浪人工智能,【#美82岁老人被AI马斯克诈骗69万美元#】#你好人工智能时代#据IT之家报道，美媒称，82岁退休老人史蒂夫・比彻姆（SteveBeauchamp）因相信一段由AI合成的“马斯克推荐能迅速获利的激进投资方案”视频，投资超过69万美元，最终导致资金被骗。据悉，这种利用AI技术制作的“深度造假”视频在互联网上泛滥，其中埃隆・马斯克（ElonMusk）是最常见的被伪造对象。视频通过模拟马斯克的声音和动作，误导投资者，导致大量潜在投资者受骗。美国联邦贸易委员会和联邦调查局已发出警告，提醒公众注意AI驱动的网络犯罪和深度伪造诈骗。@白鹿科技L白鹿科技的微博视频,,,白鹿科技,"美82岁老人被AI马斯克诈骗69万美元,你好人工智能时代",0,0,0,2024-08-15 16:22,微博视频号,,"http://f.video.weibocdn.com/o0/x7UEQQVClx08heYe5cFq0104120046LL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022496&ssig=CYk28jr20%2F&KID=unistore,video",,,蓝V
5067661539543390,OsobvE2FE,7793347138,拇指视频,【#美82岁老人被AI马斯克诈骗69万美元#】据IT之家报道，美媒称，82岁退休老人史蒂夫・比彻姆（SteveBeauchamp）因相信一段由AI合成的“马斯克推荐能迅速获利的激进投资方案”视频，投资超过69万美元，最终导致资金被骗。据悉，这种利用AI技术制作的“深度造假”视频在互联网上泛滥，其中埃隆・马斯克（ElonMusk）是最常见的被伪造对象。视频通过模拟马斯克的声音和动作，误导投资者，导致大量潜在投资者受骗。美国联邦贸易委员会和联邦调查局已发出警告，提醒公众注意AI驱动的网络犯罪和深度伪造诈骗。@白鹿科技L白鹿科技的微博视频,,,白鹿科技,美82岁老人被AI马斯克诈骗69万美元,0,0,0,2024-08-15 15:48,微博视频号,,"http://f.video.weibocdn.com/o0/x7UEQQVClx08heYe5cFq0104120046LL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022496&ssig=CYk28jr20%2F&KID=unistore,video",,陕西,普通用户
5067661539018368,OsobvBQ5y,7758511806,泾渭视频,【#美82岁老人被AI马斯克诈骗69万美元#】据IT之家报道，美媒称，82岁退休老人史蒂夫・比彻姆（SteveBeauchamp）因相信一段由AI合成的“马斯克推荐能迅速获利的激进投资方案”视频，投资超过69万美元，最终导致资金被骗。据悉，这种利用AI技术制作的“深度造假”视频在互联网上泛滥，其中埃隆・马斯克（ElonMusk）是最常见的被伪造对象。视频通过模拟马斯克的声音和动作，误导投资者，导致大量潜在投资者受骗。美国联邦贸易委员会和联邦调查局已发出警告，提醒公众注意AI驱动的网络犯罪和深度伪造诈骗。@白鹿科技L白鹿科技的微博视频,,,白鹿科技,美82岁老人被AI马斯克诈骗69万美元,0,0,0,2024-08-15 15:48,微博视频号,,"http://f.video.weibocdn.com/o0/x7UEQQVClx08heYe5cFq0104120046LL0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725022496&ssig=CYk28jr20%2F&KID=unistore,video",,陕西,普通用户
