id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4716794299024091,L72TzBRzR,1784473157,中国新闻网,【国家统计局：#我国女性平均预期寿命突破80岁#】#女性就业人员比重保持在四成以上#国家统计局21日发布《中国妇女发展纲要（2011—2020年）》终期统计监测报告，#女性平均预期寿命突破80岁#。继2000年我国进入长寿国家行列之后，我国人均预期寿命持续提高，其中，女性人均预期寿命从2010年的77.37岁提高到2015年的79.43岁，2020年进一步提高到80.88岁。据联合国《世界人口展望》测算结果，2020年，我国女性的人均预期寿命水平在184个国家中位列第62位，比世界女性平均水平高4岁。2020年，城镇单位女性就业人员为6779.4万人，比2010年增加1917.9万人，增长39.5%。女性就业人员占全社会就业人员的比重为43.5%，实现《纲要》“保持在40%以上”的目标。,,,,"我国女性平均预期寿命突破80岁,女性就业人员比重保持在四成以上,女性平均预期寿命突破80岁",860,5124,63172,2021-12-21 10:47,微博 weibo.com,https://wx3.sinaimg.cn/large/001WLsZ7ly1gxl9gc17rpj60ci0cigm902.jpg,,,,
4716980898628754,L77KxAcJs,5603129498,肖摩诃MMA综合格斗,美国通过新冠降低了平均年龄#美国80万新冠死者中有60万是老年人#,,,,美国80万新冠死者中有60万是老年人,0,0,63172,2021-12-21 23:09,iPhone,,,4716794299024091,,普通用户
4716651680105964,L6Zby0rz6,5656598266,美国热门,#美国身边事#【#美国80万新冠死者中有60万是老年人#】据美媒报道，近日，美国新冠病毒死亡病例数已超过80万例，约翰霍普金斯大学追踪数据显示，在80万死者中以老年人居多，每100名65岁以上的老年人中就有一人死于新冠，占全美死亡病例的75%。在数据分布上，老年人始终是新冠疫情中受伤害最深的群体。在美国，死于新冠病毒的人多达75%为65岁或以上的人群，这相当于80万死者之中有60万是老年人，65岁以下的比率只有1:1400。到目前为止，新冠疫情已成为65岁以上美国人的第三大死因，仅次于心脏病和癌症。L微天下的微博视频,,,,"美国身边事,美国80万新冠死者中有60万是老年人",0,0,2,2021-12-21 01:20,iPhone客户端,,"http://f.video.weibocdn.com/o0/LWb3tzlwlx07ShRKLJaU01041200fwjg0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984900&ssig=uQjZUTm5vV&KID=unistore,video",,,黄V
4716204000281797,L6Nxu1bj7,5094103156,上海反邪教,【#美国80万新冠死者中有60万是老年人#】据美媒报道，近日，美国新冠病毒死亡病例数已超过80万例，约翰霍普金斯大学追踪数据显示，在80万死者中以老年人居多，每100名65岁以上的老年人中就有一人死于新冠，占全美死亡病例的75%。在数据分布上，老年人始终是新冠疫情中受伤害最深的群体。在美国，死于新冠病毒的人多达75%为65岁或以上的人群，这相当于80万死者之中有60万是老年人，65岁以下的比率只有1:1400。到目前为止，新冠疫情已成为65岁以上美国人的第三大死因，仅次于心脏病和癌症。L微天下的微博视频,,,,美国80万新冠死者中有60万是老年人,10,5,14,2021-12-19 19:41,iPhone客户端,,"http://f.video.weibocdn.com/o0/LWb3tzlwlx07ShRKLJaU01041200fwjg0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984900&ssig=uQjZUTm5vV&KID=unistore,video",,,
4716431726086950,L6TsMpxuC,7567521241,小极木,【#美国80万新冠死者中有60万是老年人#】@上海反邪教,,,上海反邪教,美国80万新冠死者中有60万是老年人,0,0,14,2021-12-20 10:46,荣耀20,,,4716204000281797,,普通用户
4716425477099020,L6TiHtMMk,5991831651,奉贤反邪,【#美国80万新冠死者中有60万是老年人#】,,,,美国80万新冠死者中有60万是老年人,0,0,14,2021-12-20 10:22,微博 weibo.com,,,4716204000281797,,蓝V
4716423166033944,L6TeYpjHG,1077809740,风中的林2014,#美国80万新冠死者中有60万是老年人#,,,,美国80万新冠死者中有60万是老年人,0,0,14,2021-12-20 10:12,搜狗高速浏览器,,,4716204000281797,,普通用户
4716237113790645,L6OoTfU7r,6852877829,蜜蜂匠看天下,#来自西方的美丽风景线##美国80万新冠死者中有60万是老年人#据美媒报道，近日，美国新冠病毒死亡病例数已超过80万例，约翰霍普金斯大学追踪数据显示，在80万死者中以老年人居多，每100名65岁以上的老年人中就有一人死于新冠，占全美死亡病例的75%。在数据分布上，老年人始终是新冠疫情中受伤害最深的群体。在美国，死于新冠病毒的人多达75%为65岁或以上的人群，这相当于80万死者之中有60万是老年人，65岁以下的比率只有1:1400。到目前为止，新冠疫情已成为65岁以上美国人的第三大死因，仅次于心脏病和癌症。网友评论：老年人清除计划L全球资讯分享的微博视频,,,,"来自西方的美丽风景线,美国80万新冠死者中有60万是老年人",0,0,0,2021-12-19 21:53,全球资讯联盟超话,,"http://f.video.weibocdn.com/u0/XXSq9EL8gx07SidG23PG010412005yZn0E010.mp4?label=mp4_hd&template=640x360.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984900&ssig=LvFeZyRtV%2F&KID=unistore,video",,,普通用户
4716226855309193,L6O8lmha9,7700706685,心心幽夏,#美国80万新冠死者中有60万是老年人#牛逼牛逼！怪不得美国不管控放任自由呢。真不错啊，美国把包袱都甩掉了，也没有催生的压力。,,,,美国80万新冠死者中有60万是老年人,0,0,0,2021-12-19 21:12,HUAWEI P30,,,,,普通用户
4716214863529775,L6NP0eOfR,6392886792,蚌埠政法,【#美国80万新冠死者中有60万是老年人#】据美媒报道，近日，美国新冠病毒死亡病例数已超过80万例，约翰霍普金斯大学追踪数据显示，在80万死者中以老年人居多，每100名65岁以上的老年人中就有一人死于新冠，占全美死亡病例的75%。在数据分布上，老年人始终是新冠疫情中受伤害最深的群体。在美国，死于新冠病毒的人多达75%为65岁或以上的人群，这相当于80万死者之中有60万是老年人，65岁以下的比率只有1:1400。到目前为止，新冠疫情已成为65岁以上美国人的第三大死因，仅次于心脏病和癌症。L微天下的微博视频,,,,美国80万新冠死者中有60万是老年人,0,0,0,2021-12-19 20:25,微博视频号,,"http://f.video.weibocdn.com/o0/LWb3tzlwlx07ShRKLJaU01041200fwjg0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1724984900&ssig=uQjZUTm5vV&KID=unistore,video",,,蓝V
