id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4481285076260621,Iy6AXqgFL,2376534624,美东侨报,【#美国养老院老人发热未得到检测#家属：政府低效只能求助媒体】位于西雅图的Evergreen养老院，是北美爆发疫情后死亡人数最多的地点，目前已有13人死亡。一位前来探亲的男子表示，父亲已经出现咳嗽和发烧等症状，但仍未得到检测。养老中心负责人称，该中心已经收到了45套检测设备，但仍无法满足检测需求。L沸点国际的秒拍视频,,,,美国养老院老人发热未得到检测,0,4,18,2020-03-11 13:38,微博视频号,,"http://miaopai.video.weibocdn.com/6llmsdtHlx07BAtK3AEE01041200tjrP0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003205&ssig=Nyh2age3of&KID=unistore,video",,,蓝V
4481210082893192,Iy4E0c8Eo,3469830734,空港融媒,【#美国养老院老人发热未得到检测#家属：政府低效只能求助媒体】位于西雅图的Evergreen养老院，是北美爆发疫情后死亡人数最多的地点，目前已有13人死亡。一位前来探亲的男子表示，父亲已经出现咳嗽和发烧等症状，但仍未得到检测。养老中心负责人称，该中心已经收到了45套检测设备，但仍无法满足检测需求。L沸点国际的秒拍视频,,,,美国养老院老人发热未得到检测,0,1,1,2020-03-11 08:40,微博视频号,,"http://miaopai.video.weibocdn.com/6llmsdtHlx07BAtK3AEE01041200tjrP0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003205&ssig=Nyh2age3of&KID=unistore,video",,,蓝V
4481027739564248,IxZTTE864,3217974497,重庆大足法院,【#美国养老院老人发热未得到检测#家属：政府低效只能求助媒体】位于西雅图的Evergreen养老院，是北美爆发疫情后死亡人数最多的地点，目前已有13人死亡。一位前来探亲的男子表示，父亲已经出现咳嗽和发烧等症状，但仍未得到检测。养老中心负责人称，该中心已经收到了45套检测设备，但仍无法满足检测需求。L沸点国际的秒拍视频,,,,美国养老院老人发热未得到检测,0,2,4,2020-03-10 20:35,微博视频号,,"http://miaopai.video.weibocdn.com/6llmsdtHlx07BAtK3AEE01041200tjrP0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003205&ssig=Nyh2age3of&KID=unistore,video",,,蓝V
4480984101693022,IxYLw76qO,2248834985,四川魏静,【#美国养老院老人发热未得到检测#家属：政府低效只能求助媒体】位于西雅图的Evergreen养老院，是北美爆发疫情后死亡人数最多的地点，目前已有13人死亡。一位前来探亲的男子表示，父亲已经出现咳嗽和发烧等症状，但仍未得到检测。养老中心负责人称，该中心已经收到了45套检测设备，但仍无法满足检测需求。（头条新闻）L沸点国际的秒拍视频#美国疫情##美国至少10个州宣布进入紧急状态#,,,,"美国养老院老人发热未得到检测,美国疫情,美国至少10个州宣布进入紧急状态",1,6,12,2020-03-10 17:42,微博视频号,,"http://miaopai.video.weibocdn.com/6llmsdtHlx07BAtK3AEE01041200tjrP0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003205&ssig=Nyh2age3of&KID=unistore,video",,,红V
4480974106471100,IxYvor9qA,1915096531,武汉交通广播,#关注全球疫情防控#【#美国养老院老人发热未得到检测#家属：政府低效只能求助媒体】位于西雅图的Evergreen养老院，是北美爆发疫情后死亡人数最多的地点，目前已有13人死亡。一位前来探亲的男子表示，父亲已经出现咳嗽和发烧等症状，但仍未得到检测。养老中心负责人称，该中心已经收到了45套检测设备，但仍无法满足检测需求。#武汉能行##武汉是我家，我和武汉在一起#L沸点国际的秒拍视频,,,,"关注全球疫情防控,美国养老院老人发热未得到检测,武汉能行,武汉是我家，我和武汉在一起",0,0,1,2020-03-10 17:02,iPhone 11,,"http://miaopai.video.weibocdn.com/6llmsdtHlx07BAtK3AEE01041200tjrP0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003205&ssig=Nyh2age3of&KID=unistore,video",,,蓝V
4480971363955677,IxYqYgB3f,1750724881,不是小馒头的旺仔,#美国养老院老人发热未得到检测#这对比,,,,美国养老院老人发热未得到检测,0,0,0,2020-03-10 16:51,iPhone客户端,https://wx3.sinaimg.cn/large/6859f111ly1gcoxjzbovoj20u01hc4qp.jpg,,,,普通用户
4480969546977486,IxYo2tha6,6115513885,山东长安网,【#美国养老院老人发热未得到检测#家属：政府低效只能求助媒体】位于西雅图的Evergreen养老院，是北美爆发疫情后死亡人数最多的地点，目前已有13人死亡。一位前来探亲的男子表示，父亲已经出现咳嗽和发烧等症状，但仍未得到检测。养老中心负责人称，该中心已经收到了45套检测设备，但仍无法满足检测需求。L沸点国际的秒拍视频,,,,美国养老院老人发热未得到检测,0,0,0,2020-03-10 16:44,齐鲁石敢当Android,,"http://miaopai.video.weibocdn.com/6llmsdtHlx07BAtK3AEE01041200tjrP0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003205&ssig=Nyh2age3of&KID=unistore,video",,,蓝V
4480950610335153,IxXTv1pbH,5286067462,娃娃的机器人,美国政府低效，搞不好真要拖到年底了，最后给一个模型估算出来的死亡数字#美国养老院老人发热未得到检测##美国疫情#//@沾沾喜气bot:就看其他国家那样敷衍得样子估计得年底了，自己国内疫情不要放松就行，争取国内早日运转。别做其他国家得陪葬品。,,,沾沾喜气bot,"美国养老院老人发热未得到检测,美国疫情",1,0,0,2020-03-10 15:29,iPhone客户端,,,,,普通用户
4480950446208925,IxXTeq3dX,3546862743,煲都黎川,【#美国养老院老人发热未得到检测#家属：政府低效只能求助媒体】位于西雅图的Evergreen养老院，是北美爆发疫情后死亡人数最多的地点，目前已有13人死亡。一位前来探亲的男子表示，父亲已经出现咳嗽和发烧等症状，但仍未得到检测。养老中心负责人称，该中心已经收到了45套检测设备，但仍无法满足检测需求。L沸点国际的秒拍视频,,,,美国养老院老人发热未得到检测,1,3,4,2020-03-10 15:28,微博视频号,,"http://miaopai.video.weibocdn.com/6llmsdtHlx07BAtK3AEE01041200tjrP0E013.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003206&ssig=yA5T9i0gIv&KID=unistore,video",,,蓝V
4480949955966250,IxXSrp25Q,1904386234,吴茜茜钢琴,【#美国养老院老人发热未得到检测#家属：政府低效只能求助媒体】位于西雅图的Evergreen养老院，是北美爆发疫情后死亡人数最多的地点，目前已有13人死亡。,,,,美国养老院老人发热未得到检测,0,0,0,2020-03-10 15:26,iPhone 6s Plus,,,,,普通用户
