id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4981503849137197,NychOCl09,2699745382,风险搬运工,美国的老龄化非常可怕，到2050年将要超过30%#老龄化##美国正经历人口老龄化##我国将迈入中度老龄化#,,,,"老龄化,美国正经历人口老龄化,我国将迈入中度老龄化",0,0,0,2023-12-21 21:48,iPhone客户端,https://wx2.sinaimg.cn/large/a0ead866gy1hl1qwcdjc3j20tz0lstad.jpg,,,,普通用户
4916750343471319,N71KGez31,1319297121,lotus_anan,本周热读超话【#美国人口中位年龄创新高#达38.9岁#美国正经历人口老龄化#】美国人口普查局周四发布最新数据显示，去年美国人口年龄中位数达到38.9岁，创历史新高。最新的数据表明美国正在经历老龄化，且新生儿的数量越来越少，这给劳动力、经济和社会都带来了挑战。美国国民经济研究局称，在工业化国家，“80后”和“90后”的女性更有可能在20多岁时优先考虑教育和工作，这导致她们结婚更晚，生的孩子更少。（福布斯中文网）L中国日报网的微博视频,,,,"美国人口中位年龄创新高,美国正经历人口老龄化",0,0,0,2023-06-26 05:21,本周热读超话,,"http://f.video.weibocdn.com/o0/cFZIloR2lx086sciTyPu01041200JjcV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012004&ssig=salEotHI4H&KID=unistore,video",,,黄V
4916245839743277,N6OCXESFD,3860923635,医食参考月刊,【#美国人口中位年龄创新高#达38.9岁#美国正经历人口老龄化#】美国人口普查局周四发布最新数据显示，去年美国人口年龄中位数达到38.9岁，创历史新高。最新的数据表明美国正在经历老龄化，且新生儿的数量越来越少，这给劳动力、经济和社会都带来了挑战。美国国民经济研究局称，在工业化国家，“80后”和“90后”的女性更有可能在20多岁时优先考虑教育和工作，这导致她们结婚更晚，生的孩子更少。L中国日报网的微博视频,,,,"美国人口中位年龄创新高,美国正经历人口老龄化",0,0,1,2023-06-24 19:56,iPhone客户端,,"http://f.video.weibocdn.com/o0/cFZIloR2lx086sciTyPu01041200JjcV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012004&ssig=salEotHI4H&KID=unistore,video",,,普通用户
4916186582620316,N6N5oaZFa,7633487741,星弧权益,【#美国人口中位年龄创新高#达38.9岁#美国正经历人口老龄化#】美国人口普查局周四发布最新数据显示，去年美国人口年龄中位数达到38.9岁，创历史新高。最新的数据表明美国正在经历老龄化，且新生儿的数量越来越少，这给劳动力、经济和社会都带来了挑战。美国国民经济研究局称，在工业化国家，“80后”和“90后”的女性更有可能在20多岁时优先考虑教育和工作，这导致她们结婚更晚，生的孩子更少。L中国日报网的微博视频@阿超_港媒视点,,,阿超_港媒视点,"美国人口中位年龄创新高,美国正经历人口老龄化",0,0,0,2023-06-24 16:01,微博视频号,,"http://f.video.weibocdn.com/o0/cFZIloR2lx086sciTyPu01041200JjcV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012004&ssig=salEotHI4H&KID=unistore,video",,,蓝V
4916171247190666,N6MGEuaCu,2473675252,阿超_港媒视点,【#美国人口中位年龄创新高#达38.9岁#美国正经历人口老龄化#】美国人口普查局周四发布最新数据显示，去年美国人口年龄中位数达到38.9岁，创历史新高。最新的数据表明美国正在经历老龄化，且新生儿的数量越来越少，这给劳动力、经济和社会都带来了挑战。美国国民经济研究局称，在工业化国家，“80后”和“90后”的女性更有可能在20多岁时优先考虑教育和工作，这导致她们结婚更晚，生的孩子更少。L中国日报网的微博视频,,,,"美国人口中位年龄创新高,美国正经历人口老龄化",0,0,1,2023-06-24 15:00,微博视频号,,"http://f.video.weibocdn.com/o0/cFZIloR2lx086sciTyPu01041200JjcV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012004&ssig=salEotHI4H&KID=unistore,video",,,黄V
4916134291179262,N6LJ34WMm,2001369965,四月网,【#美国人口中位年龄创新高#达38.9岁#美国正经历人口老龄化#】美国人口普查局周四发布最新数据显示，去年美国人口年龄中位数达到38.9岁，创历史新高。最新的数据表明美国正在经历老龄化，且新生儿的数量越来越少，这给劳动力、经济和社会都带来了挑战。美国国民经济研究局称，在工业化国家，“80后”和“90后”的女性更有可能在20多岁时优先考虑教育和工作，这导致她们结婚更晚，生的孩子更少。@AC饶谨L中国日报网的微博视频,,,AC饶谨,"美国人口中位年龄创新高,美国正经历人口老龄化",0,1,1,2023-06-24 12:33,微博视频号,,"http://f.video.weibocdn.com/o0/cFZIloR2lx086sciTyPu01041200JjcV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012004&ssig=salEotHI4H&KID=unistore,video",,,蓝V
4916107216950398,N6L1nta7c,1847123567,香港商報,【#美国人口中位年龄创新高#达38.9岁#美国正经历人口老龄化#】美国人口普查局周四发布最新数据显示，去年美国人口年龄中位数达到38.9岁，创历史新高。最新的数据表明美国正在经历老龄化，且新生儿的数量越来越少，这给劳动力、经济和社会都带来了挑战。美国国民经济研究局称，在工业化国家，“80后”和“90后”的女性更有可能在20多岁时优先考虑教育和工作，这导致她们结婚更晚，生的孩子更少。L中国日报网的微博视频,,,,"美国人口中位年龄创新高,美国正经历人口老龄化",0,0,1,2023-06-24 10:46,微博视频号,,"http://f.video.weibocdn.com/o0/cFZIloR2lx086sciTyPu01041200JjcV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012004&ssig=salEotHI4H&KID=unistore,video",,,蓝V
4916103879071742,N6KVZC3Yq,1765373140,福布斯中文网,【#美国人口中位年龄创新高#达38.9岁#美国正经历人口老龄化#】美国人口普查局周四发布最新数据显示，去年美国人口年龄中位数达到38.9岁，创历史新高。最新的数据表明美国正在经历老龄化，且新生儿的数量越来越少，这给劳动力、经济和社会都带来了挑战。美国国民经济研究局称，在工业化国家，“80后”和“90后”的女性更有可能在20多岁时优先考虑教育和工作，这导致她们结婚更晚，生的孩子更少。L中国日报网的微博视频,,,,"美国人口中位年龄创新高,美国正经历人口老龄化",4,4,4,2023-06-24 10:32,微博视频号,,"http://f.video.weibocdn.com/o0/cFZIloR2lx086sciTyPu01041200JjcV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012004&ssig=salEotHI4H&KID=unistore,video",,,蓝V
4916052355711245,N6JATnXKR,6508016609,风闻社区,【#美国人口中位年龄创新高#达38.9岁#美国正经历人口老龄化#】美国人口普查局周四发布最新数据显示，去年美国人口年龄中位数达到38.9岁，创历史新高。最新的数据表明美国正在经历老龄化，且新生儿的数量越来越少，这给劳动力、经济和社会都带来了挑战。美国国民经济研究局称，在工业化国家，“80后”和“90后”的女性更有可能在20多岁时优先考虑教育和工作，这导致她们结婚更晚，生的孩子更少。@中国日报网L中国日报网的微博视频,,,中国日报网,"美国人口中位年龄创新高,美国正经历人口老龄化",2,7,7,2023-06-24 07:08,微博视频号,,"http://f.video.weibocdn.com/o0/cFZIloR2lx086sciTyPu01041200JjcV0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012004&ssig=salEotHI4H&KID=unistore,video",,,蓝V
4915866405968330,N6EKYp2Do,5999251130,香港中通社,【#美國人口中位年齡創新高#達38.9歲#美國正經歷人口老齡化#】美國人口普查局周四發布最新數據顯示，去年美國人口年齡中位數達到38.9歲，創歷史新高。最新的資料表明美國正在經歷老齡化，且新生兒的數量越來越少，這給勞動力、經濟和社會都帶來了挑戰。美國國民經濟研究局稱，在工業化國家，“80後”和“90後”的女性更有可能在20多歲時優先考慮教育和工作，這導致她們結婚更晚，生的孩子更少。（來源：@中國日報網）L香港中通社的微博视频,,,中國日報網,"美國人口中位年齡創新高,美國正經歷人口老齡化",0,0,2,2023-06-23 18:49,微博视频号,,"http://f.video.weibocdn.com/o0/v5Pz68DBlx086sRKUSec01041200n8gf0E010.mp4?label=mp4_hd&template=854x480.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725012006&ssig=SobbJ%2FIFxN&KID=unistore,video",,,蓝V
