id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4950278674322361,Nl5YDi8rv,5866555780,连科-及第,"#老了想成为什么样的老人#“我现在应该做什么？”要回答这个问题，唯一有效的方式，是先解决另一个问题：“我应该成为什么样的人？”格式引文：[美]凯文·凯利著,刘波译.宝贵的人生建议.中信出版集团.2023:82.得到电子书：O网页链接",,,,老了想成为什么样的老人,0,0,0,2023-09-26 17:51,HUAWEI Mate 20 Pro,,,,上海,普通用户
4837257389277634,MfDeyCVxg,1821095527,谢谢谢大A,#老了想成为什么样的老人#每当我遇到讨厌的老人，都时刻提醒自己老了千万别变成这样子,,,,老了想成为什么样的老人,0,0,0,2022-11-18 20:44,iPhone客户端,,,,福建,普通用户
4753321724477513,Lmn8MiMNX,6836782571,小蚂蚁9803,#老了想成为什么样的老人#不为老而老，当乍的就乍的世事已至此，不足捣腾尽可能的照顾好自己方方面面如果可以，减药O你觉得你老了以后会是怎样的？希望过一种什么样的生活?,,,,老了想成为什么样的老人,0,12,7,2022-04-01 05:54,华为平板M3 听见震撼,,,,,普通用户
4749904477421679,LkWf5v8Iv,5326408237,只对红嘛内心动,#老了想成为什么样的老人#做一个时髦的老太太。可以孤单。但是不可以不够坚强。我有足够的财产，就有足够的安全感。然后，和我的老了的偶像李易峰一起度过这样的老年生活#DreamVisit#,,,,"老了想成为什么样的老人,Dream Visit",0,0,0,2022-03-22 19:35,李易峰的小蜜蜂,,,,,黄V
4725598796907792,LaJWnsZ20,7707316556,和3宝,追赶姐姐的步伐很快乐天下的老二都懂姐姐平时嫌弃她滑板太菜了所以潼宝很努力地追赶自动挺出来学滑板学画画学唱歌就是为了追得上姐姐跟姐姐玩在一起老二比老大精的原因在于老二一出生就有人生目标和学习榜样从小就看老大的脸色做人老大的指令老二是天生的无条件服从我就是家里的老二想想我的小时候说出来都是泪，哈哈总被姐姐嫌弃打击但就是偏偏越挫越勇努力地偷偷做个跟尾狗也挺香的@UNIQ-王一博@X玖少年团肖战DAYTOY@社会滑板@肖战工作室#老了想成为什么样的老人##家有三宝##和3宝#博君一肖超话#萌娃养成记##带娃日常##滑板##一起家庭教育##宝妈分享#L和3宝的微博视频,,广州·广百黄金珠宝大厦,"UNIQ-王一博,X玖少年团肖战DAYTOY,社会滑板,肖战工作室","老了想成为什么样的老人,家有三宝,和3宝,萌娃养成记,带娃日常,滑板,一起家庭教育,宝妈分享",1,0,3,2022-01-14 17:53,微博视频号,,"http://f.video.weibocdn.com/u0/XCiv9TAtgx07SXqm9BnO01041200k6do0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1727470640&ssig=XhZvxYSuEA&KID=unistore,video",,,普通用户
4725590488515860,LaJIYzJmA,7707316556,和3宝,#老了想成为什么样的老人#我觉得我老了，应该是儿孙满堂吧，我家有4个孩子，4个孩子又再生几个小孩子的话，应该生活有保障，有依靠，不寂寞，幸福感爆棚因为家里人比较多，希望自己晚年，家庭和睦幸福，欢声笑语，做个快乐的豁达的睿智的老人家，跟家里的老头一起到处旅游，如果孩分们分布在不同的城市工作生活，那更有趣，每个地方住一段时间。冬天去南方，夏天去北方，冬暖夏凉，想想都很美好呢O你觉得你老了以后会是怎样的？希望过一种什么样的生活?,,,,老了想成为什么样的老人,0,0,2,2022-01-14 17:20,iPhone 13 Pro Max,,,,,普通用户
4648179884360565,KkdnuiinH,2075731435,头像壁纸wa,#老了想成为什么样的老人#老了也要保持一颗有趣的灵魂做可爱的人,,,,老了想成为什么样的老人,0,0,104,2021-06-15 02:38,微博 weibo.com,"https://wx1.sinaimg.cn/large/ad6a65e1ly1g1bkff8j4uj20u00u0n46.jpg,https://wx1.sinaimg.cn/large/ad6a65e1ly1g1bkfffff4j20u00l70uq.jpg,https://wx2.sinaimg.cn/large/ad6a65e1ly1g1bkffysutj20u00n9q5t.jpg,https://wx3.sinaimg.cn/large/ad6a65e1ly1g1bkfg6lo2j20u00k0act.jpg,https://wx3.sinaimg.cn/large/ad6a65e1ly1g1bkffqi5ej20u00u0gqy.jpg,https://wx4.sinaimg.cn/large/ad6a65e1ly1g1bkfgdmblj20u00u00w9.jpg,https://wx2.sinaimg.cn/large/ad6a65e1ly1g1bkfh8q2ej20u00u0mzf.jpg,https://wx4.sinaimg.cn/large/ad6a65e1ly1g1bkfgw73fj20u00u0q7e.jpg,https://wx1.sinaimg.cn/large/ad6a65e1ly1g1bkfenp8rj20u00u0jto.jpg",,,,红V
4523736063940612,J9XtYgx8g,5765133360,威廉的姨母_,好的坏的时间都会帮我们带走的#老了想成为什么样的老人#Dowhateveryouwanttodo,,,,老了想成为什么样的老人,0,0,0,2020-07-06 17:03,HUAWEI nova 2s,,,,,普通用户
4493947214610033,IDpZLjlhn,3282346591,sSsSsunsssu,#老了想成为什么样的老人#,,,,老了想成为什么样的老人,0,0,0,2020-04-15 12:12,iPhone客户端,https://wx4.sinaimg.cn/large/c3a4a25fgy1gdubt29a8aj23402c0npe.jpg,,,,普通用户
4441188171707181,Ihhux7a7b,2751756933,肥肥肥滚滚,#老了想成为什么样的老人#坚持学跳舞，老了好去承包广场舞#不如跳舞#L肥肥肥滚滚的微博视频,,,,"老了想成为什么样的老人,不如跳舞",0,2,0,2019-11-21 22:07,HUAWEI Mate 9 Pro,,"http://f.video.weibocdn.com/003mkQu3lx07yLCCtody01041200kxe10E010.mp4?label=mp4_720p&template=960x544.25.0&trans_finger=721584770189073627c6ee9d880087b3&ori=0&ps=1BVp4ysnknHVZu&Expires=1727471609&ssig=UKjOQZpZ04&KID=unistore,video",,,普通用户
