id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5001775465106422,O0KbElqpE,2207061490,笔点酷玩,2024年给爸妈/老人/长辈买智能手机，不同价位怎么选？有没有比较不错的手机推荐？性价比手机超话手机超话#老人智能手机#手机选购超话#千元机是卖给年轻人的吗#@笔点酷玩发布了头条文章：《预算几百~2000元，2024年有哪些智能手机适合爸妈/老人/长辈使用？》O预算几百~2000元，2024年有哪些智能手机适合爸妈/老人/长辈使用？,,,笔点酷玩,"老人 智能手机,千元机是卖给年轻人的吗",0,1,1,2024-02-15 20:21,微博 weibo.com,,,,,黄V
5000245325332541,O06nGmneJ,2171010501,脆脆早日暴富,辣鸡安卓，老人家用的手机摸摸碰碰装了35G的无用软件#老人智能手机#L脆脆早日暴富的微博视频,,,,老人 智能手机,0,4,1,2024-02-11 15:00,iPhone客户端,,"http://f.video.weibocdn.com/u0/GzillwBSgx08csfsaoAM01041200fcoC0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725834075&ssig=DpjYJvz0cQ&KID=unistore,video",,,普通用户
4873303888233040,MuKY4yxMY,1229606490,瞰数码,499你能买到什么样的手机？选它内存大，续航久性价比高。#新星v计划##乐视手机Y1Pro真不卡##乐视再次发布百元手机##百元手机##老人智能手机#L包子季后风的微博视频,,,,"新星v计划,乐视手机Y1Pro真不卡,乐视再次发布百元手机,百元手机,老人 智能手机",1,0,2,2023-02-26 08:00,微博视频号,,"http://f.video.weibocdn.com/o0/toqMGQ4Nlx083rx1Zu9a010412015f2M0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725834075&ssig=R%2F5wjhDzdu&KID=unistore,video",,,黄V
4794076412515828,LDtm9aytS,6612484517,阜宁发布,如今，智能手机已融入到了社会生活的方方面面，在年轻人看来只要动动手指就能轻松完成的事，然而不少老年人却因为不懂操作智能手机而无法享受到科技的便利。针对这一情况，县开发区主动开展上门调查走访，及时组织培训服务，用实际行动解决老年人的急难愁盼。O让“银发族”赶上“数字潮”！来这学会使用智能手机→阜宁超话#老人##智能手机#,,盐城·阜宁,,"老人,智能手机",0,0,0,2022-07-22 16:59,微博网页版,"https://wx4.sinaimg.cn/large/007dvji5gy1h4ft5aozqhj30hs0a0tio.jpg,https://wx1.sinaimg.cn/large/007dvji5gy1h4ft5e4cv2j30hs0a0n7i.jpg",,,,蓝V
4782872822551513,LyLTQaHLr,1926134327,道爸,上海8旬老人买生日面因无核酸证明被拒。我们谁都“对”，但做了件错事。#老人不会使用场所码被拒乘公交##核酸码过期##没有核酸码##老人##智能手机#L道爸的微博视频,,,,"老人不会使用场所码被拒乘公交,核酸码过期,没有核酸码,老人,智能手机",0,0,0,2022-06-21 19:00,微博视频号,,"http://f.video.weibocdn.com/o0/4ywifNXZlx07X1rCVfwI01041201DTPx0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725834075&ssig=BFScgE%2FTqq&KID=unistore,video",,,黄V
4713982901882851,L5RL47TOz,2826518511,庆安检察,#老人智能手机#手机支付、叫外卖、网上挂号，那些我们再熟悉不过的生活方式，可能让他们陷入困境……1分钟感受老年人的世界↓↓L人民日报的微博视频,,,,老人 智能手机,0,0,0,2021-12-13 16:36,微博视频号,,"http://f.video.weibocdn.com/XxEtsiyglx07HrSOMsQU01041200eqmZ0E010.mp4?label=mp4_720p&template=720x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725834075&ssig=0ggVZoRJjP&KID=unistore,video",,,蓝V
4708893761211658,L3JmM55cS,5964184998,安徽反邪教,#老人智能手机#手机支付、叫外卖、网上挂号，那些我们再熟悉不过的生活方式，可能让他们陷入困境……1分钟感受老年人的世界↓↓L人民日报的微博视频,,,,老人 智能手机,139,165,165,2021-11-29 15:33,微博视频号,,"http://f.video.weibocdn.com/XxEtsiyglx07HrSOMsQU01041200eqmZ0E010.mp4?label=mp4_720p&template=720x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725834075&ssig=0ggVZoRJjP&KID=unistore,video",,,
4711415934615866,L4MYNjmNs,6203262183,庐江清韵,#老人智能手机#,,,,老人 智能手机,0,0,165,2021-12-06 14:35,微博 weibo.com,,,4708893761211658,,蓝V
4709552236791011,L40uPsuEr,3760705624,安康中院,#老人智能手机#手机支付、叫外卖、网上挂号，那些我们再熟悉不过的生活方式，可能让他们陷入困境……1分钟感受老年人的世界↓↓L人民日报的微博视频,,,,老人 智能手机,0,3,1,2021-12-01 11:10,Android,,"http://f.video.weibocdn.com/XxEtsiyglx07HrSOMsQU01041200eqmZ0E010.mp4?label=mp4_720p&template=720x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725834075&ssig=0ggVZoRJjP&KID=unistore,video",,,蓝V
4709352755172575,L3Vj5lHCD,3561781554,XuuuZzzY,#老人智能手机#来安利一款非常适合老年人的小功能，小米手机「极简模式」开启后极大显示字体，减轻老年人视觉压力同时可以在桌面添加联系人，一键呼叫很方便。快给爸妈的手机安排上！#小米太能了#进入「设置」-「特色功能」-「极简模式」即可开启。,,,,"老人 智能手机,小米太能了",0,0,1,2021-11-30 21:57,南京小米之家超话,https://wx3.sinaimg.cn/large/d44c7932ly1gwxisxuhe3j20u01400vd.jpg,,,,黄V
4709323182180397,L3Uxo99dH,2674743721,建邺播报,#老人智能手机#没空教爸妈如何操作手机怎么办别担心！有小编不知道如何教爸妈使用手机【紧急求救功能】？别着急！小编手把手来教你需要做的，就是赶紧把视频转发给爸爸妈妈赶紧戳视频↓↓↓LCCTV生活圈的微博视频,,,,老人 智能手机,0,0,0,2021-11-30 20:00,微博视频号,,"http://f.video.weibocdn.com/o0/XNpmLrNHlx07RLVLmsHu01041202lBvV0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1725834077&ssig=To%2BU7UMTTM&KID=unistore,video",,,蓝V
