id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5008831051990793,O3HJD8lTz,6155344804,河北长安网,【#老人丢了6000元民警找回16000#】近日，安徽铜陵。枞阳县一位八旬老人报警称家中进了贼，6000元钱不见了。@铜陵公安在线 民警经过勘查，排除了被盗可能。仔细寻找后，最终在老人卧室找到了这笔钱，并同时找到了老人早已遗忘的1万元现金。临走时，民警叮嘱老人，不要将巨额现金放在家中，要及时存到银行。@西部决策L西部决策的微博视频,,,"铜陵公安在线,西部决策",老人丢了6000元民警找回16000,67,40,31,2024-03-06 07:37,微博视频号,,"http://f.video.weibocdn.com/o0/6WdXSY5ilx08d2EcJGda0104120072S10E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729042606&ssig=fKbgZTvmFX&KID=unistore,video",,,
5016202657137514,O6NvjtWNc,6810933101,遵化长安网,#老人丢了6000元民警找回16000#//@唐山长安网:#老人丢了6000元民警找回16000#,,,唐山长安网,老人丢了6000元民警找回16000,0,0,31,2024-03-26 15:49,微博网页版,,,5008831051990793,,蓝V
5015752304756563,O6BMWjXoL,3215904720,平安博州,【#老人丢了6000元民警找回16000#】近日，安徽铜陵。枞阳县一位八旬老人报警称家中进了贼，6000元钱不见了。@铜陵公安在线民警经过勘查，排除了被盗可能。仔细寻找后，最终在老人卧室找到了这笔钱，并同时找到了老人早已遗忘的1万元现金。L武汉交警的微博视频,,,铜陵公安在线,老人丢了6000元民警找回16000,0,8,13,2024-03-25 10:00,微博视频号,,"http://f.video.weibocdn.com/o0/4ofllcW1lx08dniCOomQ010412007dgn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729042607&ssig=%2FvYnh9nzIP&KID=unistore,video",,,蓝V
5015397527193815,O6syIubrh,2291351651,荣县公安,【#老人丢了6000元民警找回16000#】近日，安徽铜陵。枞阳县一位八旬老人报警称家中进了贼，6000元钱不见了。@铜陵公安在线民警经过勘查，排除了被盗可能。仔细寻找后，最终在老人卧室找到了这笔钱，并同时找到了老人早已遗忘的1万元现金。L武汉交警的微博视频,,,铜陵公安在线,老人丢了6000元民警找回16000,0,1,0,2024-03-24 10:30,微博视频号,,"http://f.video.weibocdn.com/o0/4ofllcW1lx08dniCOomQ010412007dgn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729042608&ssig=5QhcUXQI7%2F&KID=unistore,video",,,蓝V
5015238923781902,O6oqUfRQq,3390845630,平安精河,【#老人丢了6000元民警找回16000#】近日，安徽铜陵。枞阳县一位八旬老人报警称家中进了贼，6000元钱不见了。@铜陵公安在线民警经过勘查，排除了被盗可能。仔细寻找后，最终在老人卧室找到了这笔钱，并同时找到了老人早已遗忘的1万元现金。L武汉交警的微博视频,,,铜陵公安在线,老人丢了6000元民警找回16000,0,0,0,2024-03-24 00:00,微博视频号,,"http://f.video.weibocdn.com/o0/4ofllcW1lx08dniCOomQ010412007dgn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729042608&ssig=5QhcUXQI7%2F&KID=unistore,video",,,蓝V
5015181434814788,O6mWbkcxS,3937606196,陇南中院,#平安小灵通#【#老人丢了6000元民警找回16000#】近日，安徽铜陵。枞阳县一位八旬老人报警称家中进了贼，6000元钱不见了。@铜陵公安在线民警经过勘查，排除了被盗可能。仔细寻找后，最终在老人卧室找到了这笔钱，并同时找到了老人早已遗忘的1万元现金。L武汉交警的微博视频,,,铜陵公安在线,"平安小灵通,老人丢了6000元民警找回16000",0,0,0,2024-03-23 20:11,微博视频号,,"http://f.video.weibocdn.com/o0/4ofllcW1lx08dniCOomQ010412007dgn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729042609&ssig=jPhu4XaZTs&KID=unistore,video",,,蓝V
5015152099069963,O6maRC3vJ,2722031203,青岛公安,#平安小灵通#【#老人丢了6000元民警找回16000#】近日，安徽铜陵。枞阳县一位八旬老人报警称家中进了贼，6000元钱不见了。@铜陵公安在线民警经过勘查，排除了被盗可能。仔细寻找后，最终在老人卧室找到了这笔钱，并同时找到了老人早已遗忘的1万元现金。L武汉交警的微博视频,,,铜陵公安在线,"平安小灵通,老人丢了6000元民警找回16000",1,3,2,2024-03-23 18:15,微博视频号,,"http://f.video.weibocdn.com/o0/4ofllcW1lx08dniCOomQ010412007dgn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729042609&ssig=jPhu4XaZTs&KID=unistore,video",,,蓝V
5015072726319718,O6k6Qqw2W,5058856402,蓬安公安,【#老人丢了6000元民警找回16000#】近日，安徽铜陵。枞阳县一位八旬老人报警称家中进了贼，6000元钱不见了。@铜陵公安在线民警经过勘查，排除了被盗可能。仔细寻找后，最终在老人卧室找到了这笔钱，并同时找到了老人早已遗忘的1万元现金。L武汉交警的微博视频,,,铜陵公安在线,老人丢了6000元民警找回16000,0,1,0,2024-03-23 12:59,iPhone 12 Pro(银色),,"http://f.video.weibocdn.com/o0/4ofllcW1lx08dniCOomQ010412007dgn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729042609&ssig=jPhu4XaZTs&KID=unistore,video",,,蓝V
5015071690328037,O6k5b1nkV,5157325535,攀枝花盐边公安,【#老人丢了6000元民警找回16000#】近日，安徽铜陵。枞阳县一位八旬老人报警称家中进了贼，6000元钱不见了。@铜陵公安在线民警经过勘查，排除了被盗可能。仔细寻找后，最终在老人卧室找到了这笔钱，并同时找到了老人早已遗忘的1万元现金。L武汉交警的微博视频,,,铜陵公安在线,老人丢了6000元民警找回16000,0,0,0,2024-03-23 12:55,微博视频号,,"http://f.video.weibocdn.com/o0/4ofllcW1lx08dniCOomQ010412007dgn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729042609&ssig=jPhu4XaZTs&KID=unistore,video",,,蓝V
5015045451547768,O6joR6uE0,2063019871,衡阳县公安局,【#老人丢了6000元民警找回16000#】近日，安徽铜陵。枞阳县一位八旬老人报警称家中进了贼，6000元钱不见了。@铜陵公安在线民警经过勘查，排除了被盗可能。仔细寻找后，最终在老人卧室找到了这笔钱，并同时找到了老人早已遗忘的1万元现金。L武汉交警的微博视频,,,铜陵公安在线,老人丢了6000元民警找回16000,9,9,12,2024-03-23 11:11,微博视频号,,"http://f.video.weibocdn.com/o0/4ofllcW1lx08dniCOomQ010412007dgn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729042609&ssig=jPhu4XaZTs&KID=unistore,video",,,蓝V
5015042628520984,O6jkizKHe,5105430040,平安北京丰台,【#老人丢了6000元民警找回16000#】近日，安徽铜陵。枞阳县一位八旬老人报警称家中进了贼，6000元钱不见了。@铜陵公安在线民警经过勘查，排除了被盗可能。仔细寻找后，最终在老人卧室找到了这笔钱，并同时找到了老人早已遗忘的1万元现金。L武汉交警的微博视频,,,铜陵公安在线,老人丢了6000元民警找回16000,0,2,2,2024-03-23 11:00,微博视频号,,"http://f.video.weibocdn.com/o0/4ofllcW1lx08dniCOomQ010412007dgn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729042609&ssig=jPhu4XaZTs&KID=unistore,video",,,蓝V
5015041285817672,O6ji8oprq,5762468571,攀枝花平安西区,【#老人丢了6000元民警找回16000#】近日，安徽铜陵。枞阳县一位八旬老人报警称家中进了贼，6000元钱不见了。@铜陵公安在线民警经过勘查，排除了被盗可能。仔细寻找后，最终在老人卧室找到了这笔钱，并同时找到了老人早已遗忘的1万元现金。L武汉交警的微博视频,,,铜陵公安在线,老人丢了6000元民警找回16000,6,10,15,2024-03-23 10:54,画饼大师,,"http://f.video.weibocdn.com/o0/4ofllcW1lx08dniCOomQ010412007dgn0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729042609&ssig=jPhu4XaZTs&KID=unistore,video",,,蓝V
