id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4744856553916686,LiOVhgqUm,5657827712,我爱长沙520,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】#蓝V视界#3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。L搜狐千里眼的微博视频,,,,"老人为还病债挂牌在马路旁卖麻花,蓝V视界",3,0,4,2022-03-08 21:17,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006779&ssig=dA6xxcQwl9&KID=unistore,video",,,红V
4744834156594505,LiOl9rFwZ,6203779723,湖南热点集,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,2,1,2,2022-03-08 19:48,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006779&ssig=dA6xxcQwl9&KID=unistore,video",,,黄V
4744811829791964,LiNL8F5kU,5652189783,海南廖孝炳,🙏🙏🙏【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】#蓝V视界#3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频#点亮大湖南#,,,搜狐千里眼,"老人为还病债挂牌在马路旁卖麻花,蓝V视界,点亮大湖南",0,0,0,2022-03-08 18:19,廖孝炳超话,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006779&ssig=dA6xxcQwl9&KID=unistore,video",,,黄V
4744797917283121,LiNoHuyFH,5933738920,柳州反邪,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】#蓝V视界#3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,"老人为还病债挂牌在马路旁卖麻花,蓝V视界",0,0,0,2022-03-08 17:24,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006779&ssig=dA6xxcQwl9&KID=unistore,video",,,蓝V
4744786088562049,LiN5CzVnz,5876263200,宁乡热点集,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】#蓝V视界#3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。L搜狐千里眼的微博视频,,,,"老人为还病债挂牌在马路旁卖麻花,蓝V视界",0,0,0,2022-03-08 16:37,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006779&ssig=dA6xxcQwl9&KID=unistore,video",,,黄V
4744728467473560,LiLAGvmdi,2985052662,湖南老湘-瞰潇湘,🙏🙏🙏【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】#蓝V视界#3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频#点亮大湖南#,,,搜狐千里眼,"老人为还病债挂牌在马路旁卖麻花,蓝V视界,点亮大湖南",1,0,2,2022-03-08 12:48,iPhone客户端,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006779&ssig=dA6xxcQwl9&KID=unistore,video",,,红V
4744710592138388,LiL7R8Yi8,1130284522,贺州反邪,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】#蓝V视界#3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,"老人为还病债挂牌在马路旁卖麻花,蓝V视界",0,0,0,2022-03-08 11:37,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006779&ssig=dA6xxcQwl9&KID=unistore,video",,,蓝V
4744708360768138,LiL4g3dPk,1808531352,轻舞飞柳,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】#蓝V视界#3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,"老人为还病债挂牌在马路旁卖麻花,蓝V视界",2,0,0,2022-03-08 11:28,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006779&ssig=dA6xxcQwl9&KID=unistore,video",,,黄V
4744474276399193,LiEYHqQIN,2620416407,安阳校园事儿,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,0,0,0,2022-03-07 19:57,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006780&ssig=U3YWghQzxE&KID=unistore,video",,,黄V
4744474275612589,LiEYHny5D,6068931132,体育狂飙,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,0,0,0,2022-03-07 19:57,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006780&ssig=U3YWghQzxE&KID=unistore,video",,,黄V
4744474275614490,LiEYHnyAi,2809889625,林州事儿,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,0,0,1,2022-03-07 19:57,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006780&ssig=U3YWghQzxE&KID=unistore,video",,,黄V
4744474275873588,LiEYHoDZi,2622541315,吃货在安阳,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,0,0,0,2022-03-07 19:57,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006780&ssig=U3YWghQzxE&KID=unistore,video",,,黄V
4744474275875937,LiEYHoEBb,5666929142,安阳身边儿事,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,0,0,3,2022-03-07 19:57,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006780&ssig=U3YWghQzxE&KID=unistore,video",,,黄V
4744474275877369,LiEYHoEYh,6098433645,内黄生活,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,0,0,0,2022-03-07 19:57,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006780&ssig=U3YWghQzxE&KID=unistore,video",,,黄V
4744474276138912,LiEYHpL0I,2622521095,滑县新鲜事,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,0,0,0,2022-03-07 19:57,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006780&ssig=U3YWghQzxE&KID=unistore,video",,,黄V
4744474276397665,LiEYHqQk9,2622558275,街拍安阳,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,0,0,1,2022-03-07 19:57,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006780&ssig=U3YWghQzxE&KID=unistore,video",,,黄V
4744474276398946,LiEYHqQEO,2622507741,安阳微房产,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,0,0,0,2022-03-07 19:57,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006780&ssig=U3YWghQzxE&KID=unistore,video",,,黄V
4744474276661269,LiEYHrWTP,6025441362,安阳妈妈帮,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,0,0,0,2022-03-07 19:57,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006780&ssig=U3YWghQzxE&KID=unistore,video",,,黄V
4744474276661466,LiEYHrWX0,1962932343,安阳同城会,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,0,0,1,2022-03-07 19:57,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006782&ssig=1f7xV%2FJMla&KID=unistore,video",,,普通用户
4744474271679835,LiEYH7307,2622546471,汤阴新鲜事,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,0,0,0,2022-03-07 19:57,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006782&ssig=1f7xV%2FJMla&KID=unistore,video",,,黄V
4744474271417274,LiEYH5WHg,5506861184,中原常哥,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,0,0,0,2022-03-07 19:57,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006782&ssig=1f7xV%2FJMla&KID=unistore,video",,,黄V
4744456995867215,LiEwPoCkv,7037307291,聚焦四川热点,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】#蓝V视界#3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。（搜狐千里眼）L搜狐千里眼的微博视频,,,,"老人为还病债挂牌在马路旁卖麻花,蓝V视界",0,0,0,2022-03-07 18:49,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006782&ssig=1f7xV%2FJMla&KID=unistore,video",,,蓝V
4744449936327371,LiElrqy2n,2005817001,河南教育广播,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】#蓝V视界#3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,"老人为还病债挂牌在马路旁卖麻花,蓝V视界",0,0,1,2022-03-07 18:21,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006782&ssig=1f7xV%2FJMla&KID=unistore,video",,,蓝V
4744434426054334,LiDWqpp0y,3231692260,湖南民生网,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,0,0,0,2022-03-07 17:19,iPhone客户端,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006782&ssig=1f7xV%2FJMla&KID=unistore,video",,,蓝V
4744427949525066,LiDLYDXU6,5071105728,乌兰察布云,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。L搜狐千里眼的微博视频,,,,老人为还病债挂牌在马路旁卖麻花,0,0,0,2022-03-07 16:53,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006782&ssig=1f7xV%2FJMla&KID=unistore,video",,,蓝V
4744424784136479,LiDGShm5p,2159527751,长沙微分享,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,0,0,4,2022-03-07 16:41,iPhone 12,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006782&ssig=1f7xV%2FJMla&KID=unistore,video",,,黄V
4744421185421318,LiDB4mKkC,2309731771,长沙头条,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,1,2,8,2022-03-07 16:26,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006784&ssig=LjoSnw%2BcA3&KID=unistore,video",,,黄V
4744421138761805,LiDAZALlr,6072764874,乐生活在长沙,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,2,1,4,2022-03-07 16:26,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006784&ssig=LjoSnw%2BcA3&KID=unistore,video",,,黄V
4744420777267659,LiDApuuEj,2278066222,长沙吃喝玩乐团,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。@搜狐千里眼L搜狐千里眼的微博视频,,,搜狐千里眼,老人为还病债挂牌在马路旁卖麻花,0,0,0,2022-03-07 16:25,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006784&ssig=LjoSnw%2BcA3&KID=unistore,video",,,黄V
4744419733935084,LiDyJgvH6,1844967414,内蒙古晨报,【#老人为还病债挂牌在马路旁卖麻花#：不想连累其他人】3月7日，湖南长沙。快60岁的任光平师傅是一名卖早餐的师傅，因不幸患病，借了很多外债。任师傅说，现在自己和妻子共同努力做小吃赚钱还债，等全部还清了要感谢帮助过他的每一个人。L搜狐千里眼的微博视频,,,,老人为还病债挂牌在马路旁卖麻花,2,1,0,2022-03-07 16:21,微博视频号,,"http://f.video.weibocdn.com/o0/24DhUyMDlx07UidnDGty01041200lh8R0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725006784&ssig=LjoSnw%2BcA3&KID=unistore,video",,,蓝V
