id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4703908201760566,L1DFy7o0e,2751557495,beingBETTERmeFIGHTING,①回到家，难得见到个无雪糕桶的车位，开心的我停好车，下车走回家。②走到一半，一个阿婆截停我说要砸烂我部车。③我傻傻啊了一声，阿婆就很生气了：啊咩，快点开走你部车，米之我紮烂佢。④难得个车位，我舍不得它啊，就回家吃饭了。我怕我再不走，阿婆会生气得病倒的。⑤额，之后a嘛，emmm就被报警了嘛🐴🐴🐴#老人人肉为子女占车位#怎么这么多奇奇怪怪的话题,,广州,,老人人肉为子女占车位,0,0,0,2021-11-15 21:22,Redmi K30 Pro 变焦版,"https://wx4.sinaimg.cn/large/a4016f77gy1gwg5hcoodij20my1ez461.jpg,https://wx2.sinaimg.cn/large/a4016f77gy1gwg5hg9omxj22og3kgnpf.jpg,https://wx4.sinaimg.cn/large/a4016f77gy1gwg5hgydozj213y0u00yt.jpg,https://wx1.sinaimg.cn/large/a4016f77gy1gwg5hkmo07j22og3kgkjn.jpg,https://wx4.sinaimg.cn/large/a4016f77gy1gwg5hmnklkj23kg1ls1ky.jpg,https://wx1.sinaimg.cn/large/a4016f77gy1gwg5hny867j20u00siwje.jpg",,,,普通用户
4505902792661308,J2tyDbakk,7368523784,杨凌头条,#秦道看点#【#老人人肉为子女占车位#不让别人停车引发争执】5月17日一段老人帮家里孩子占车位，不让别人停车的视频在网上引发网友热议。视频中的老人“人肉”为子女提前占车位，遭到了一年轻男子的拒绝，两人随即发生了口角，引来了不少群众的围观。据悉，该男子在倒车入库的同时遭到了老人的制止，老人试图用身体去阻挡，该男子认为老人有碰瓷的举动。这一常见的现象，引起了很多网友的讨论。（新浪新闻）L#老人人肉为子女占车位#不让别人停车引发争执,,,,"秦道看点,老人人肉为子女占车位",0,0,1,2020-05-18 12:00,微博 weibo.com,,http://api.ivideo.sina.com.cn/public/video/play/url?appname=weibocard&appver=0.1&applt=web&tags=weibocard&direct=1&vid=33629710702,,,普通用户
4505849487887486,J2saEx5Tw,7006142514,善良必带刺,【#老人人肉为子女占车位#不让别人停车引发争执】5月17日一段老人帮家里孩子占车位，不让别人停车的视频在网上引发网友热议。视频中的老人“人肉”为子女提前占车位，遭到了一年轻男子的拒绝，两人随即发生了口角，引来了不少群众的围观。据悉，该男子在倒车入库的同时遭到了老人的制止，老人试图用身体去阻挡，该男子认为老人有碰瓷的举动。这一常见的现象，引起了很多网友的讨论。L#老人人肉为子女占车位#不让别人停车引发争执,,,,老人人肉为子女占车位,0,0,0,2020-05-18 08:28,华为手机,,http://api.ivideo.sina.com.cn/public/video/play/url?appname=weibocard&appver=0.1&applt=web&tags=weibocard&direct=1&vid=33629710702,,,普通用户
4505845549010373,J2s4iBO0B,3961849250,哈哈哈哈哈二一,【#老人人肉为子女占车位#不让别人停车引发争执】5月17日一段老人帮家里孩子占车位，不让别人停车的视频在网上引发网友热议。视频中的老人“人肉”为子女提前占车位，遭到了一年轻男子的拒绝，两人随即发生了口角，引来了不少群众的围观。据悉，该男子在倒车入库的同时遭到了老人的制止，老人试图用身体去阻挡，该男子认为老人有碰瓷的举动。这一常见的现象，引起了很多网友的讨论。L#老人人肉为子女占车位#不让别人停车引发争执,,,,老人人肉为子女占车位,0,0,0,2020-05-18 08:12,微博视频号,,http://api.ivideo.sina.com.cn/public/video/play/url?appname=weibocard&appver=0.1&applt=web&tags=weibocard&direct=1&vid=33629710702,,,普通用户
4505843644527877,J2s1eiZUh,1778758223,新浪看点,【#老人人肉为子女占车位#不让别人停车引发争执】5月17日一段老人帮家里孩子占车位，不让别人停车的视频在网上引发网友热议。视频中的老人“人肉”为子女提前占车位，遭到了一年轻男子的拒绝，两人随即发生了口角，引来了不少群众的围观。据悉，该男子在倒车入库的同时遭到了老人的制止，老人试图用身体去阻挡，该男子认为老人有碰瓷的举动。这一常见的现象，引起了很多网友的讨论。L#老人人肉为子女占车位#不让别人停车引发争执,,,,老人人肉为子女占车位,1,1,1,2020-05-18 08:05,微博视频号,,http://api.ivideo.sina.com.cn/public/video/play/url?appname=weibocard&appver=0.1&applt=web&tags=weibocard&direct=1&vid=33629710702,,,蓝V
4505843641563660,J2s1e6yMk,2925141777,全球新闻眼,【#老人人肉为子女占车位#不让别人停车引发争执】5月17日一段老人帮家里孩子占车位，不让别人停车的视频在网上引发网友热议。视频中的老人“人肉”为子女提前占车位，遭到了一年轻男子的拒绝，两人随即发生了口角，引来了不少群众的围观。据悉，该男子在倒车入库的同时遭到了老人的制止，老人试图用身体去阻挡，该男子认为老人有碰瓷的举动。这一常见的现象，引起了很多网友的讨论。L#老人人肉为子女占车位#不让别人停车引发争执,,,,老人人肉为子女占车位,0,0,0,2020-05-18 08:05,微博视频号,,http://api.ivideo.sina.com.cn/public/video/play/url?appname=weibocard&appver=0.1&applt=web&tags=weibocard&direct=1&vid=33629710702,,,蓝V
4505843641560721,J2s1e6y0V,3248050592,IN话题指南,【#老人人肉为子女占车位#不让别人停车引发争执】5月17日一段老人帮家里孩子占车位，不让别人停车的视频在网上引发网友热议。视频中的老人“人肉”为子女提前占车位，遭到了一年轻男子的拒绝，两人随即发生了口角，引来了不少群众的围观。据悉，该男子在倒车入库的同时遭到了老人的制止，老人试图用身体去阻挡，该男子认为老人有碰瓷的举动。这一常见的现象，引起了很多网友的讨论。L#老人人肉为子女占车位#不让别人停车引发争执,,,,老人人肉为子女占车位,0,0,3,2020-05-18 08:05,微博视频号,,http://api.ivideo.sina.com.cn/public/video/play/url?appname=weibocard&appver=0.1&applt=web&tags=weibocard&direct=1&vid=33629710702,,,黄V
4505843641191690,J2s1e500O,1154814271,新浪新闻客户端,【#老人人肉为子女占车位#不让别人停车引发争执】5月17日一段老人帮家里孩子占车位，不让别人停车的视频在网上引发网友热议。视频中的老人“人肉”为子女提前占车位，遭到了一年轻男子的拒绝，两人随即发生了口角，引来了不少群众的围观。据悉，该男子在倒车入库的同时遭到了老人的制止，老人试图用身体去阻挡，该男子认为老人有碰瓷的举动。这一常见的现象，引起了很多网友的讨论。L#老人人肉为子女占车位#不让别人停车引发争执,,,,老人人肉为子女占车位,0,0,2,2020-05-18 08:05,微博视频号,,http://api.ivideo.sina.com.cn/public/video/play/url?appname=weibocard&appver=0.1&applt=web&tags=weibocard&direct=1&vid=33629710702,,,蓝V
4505843641063319,J2s1e4sCj,2028810631,新浪新闻,【#老人人肉为子女占车位#不让别人停车引发争执】5月17日一段老人帮家里孩子占车位，不让别人停车的视频在网上引发网友热议。视频中的老人“人肉”为子女提前占车位，遭到了一年轻男子的拒绝，两人随即发生了口角，引来了不少群众的围观。据悉，该男子在倒车入库的同时遭到了老人的制止，老人试图用身体去阻挡，该男子认为老人有碰瓷的举动。这一常见的现象，引起了很多网友的讨论。L#老人人肉为子女占车位#不让别人停车引发争执,,,,老人人肉为子女占车位,40,626,1284,2020-05-18 08:05,微博视频号,,http://api.ivideo.sina.com.cn/public/video/play/url?appname=weibocard&appver=0.1&applt=web&tags=weibocard&direct=1&vid=33629710702,,,蓝V
4505843637357644,J2s1duS3G,2060029603,小浪同学敲黑板,【#老人人肉为子女占车位#不让别人停车引发争执】5月17日一段老人帮家里孩子占车位，不让别人停车的视频在网上引发网友热议。视频中的老人“人肉”为子女提前占车位，遭到了一年轻男子的拒绝，两人随即发生了口角，引来了不少群众的围观。据悉，该男子在倒车入库的同时遭到了老人的制止，老人试图用身体去阻挡，该男子认为老人有碰瓷的举动。这一常见的现象，引起了很多网友的讨论。L#老人人肉为子女占车位#不让别人停车引发争执,,,,老人人肉为子女占车位,0,0,2,2020-05-18 08:05,微博视频号,,http://api.ivideo.sina.com.cn/public/video/play/url?appname=weibocard&appver=0.1&applt=web&tags=weibocard&direct=1&vid=33629710702,,,普通用户
