id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4751410518037144,LlzqbxIPm,5629319356,起起来喽,#邯郸肇事司机被当场控制##杭州一小区发生汽车撞人事件##常州一小车失控隔离栏插入车内致1死#,,,,"邯郸肇事司机被当场控制,杭州一小区发生汽车撞人事件,常州一小车失控隔离栏插入车内致1死",3,1,0,2022-03-26 23:20,微博轻享版,,,,,
4762737017881209,Lqk4Jx4gh,5629319356,起起来喽,#快递小哥撞倒8旬老人后拉黑家属#//@起起来喽:#老人低保金被抢追贼时摔倒去世#//@起起来喽:#安徽女子被老公家暴致死##哈尔滨道里区发生一起坠亡事件##甘肃警方通报一男子持刀砍伤7人##23岁女生被上司迷晕致死案二审维持无期#,,,起起来喽,"快递小哥撞倒8旬老人后拉黑家属,老人低保金被抢追贼时摔倒去世,安徽女子被老公家暴致死,哈尔滨道里区发生一起坠亡事件,甘肃警方通报一男子持刀砍伤7人,23岁女生被上司迷晕致死案二审维持无期",0,0,0,2022-04-27 05:27,微博轻享版,,,4751410518037144,,普通用户
4759975166215818,Lpae8q518,5190441667,桐庐检察,【#老人低保金被抢追贼时摔倒去世#，抢劫者嫖娼后落网被判13年】#津法君播报#据@星视频报道：近日，河南鹿邑。中国裁判文书网发布了一则刑事判决书，孙某在酒后想“整点钱花”，他知道该村80岁老太张某平时一人在家，于是趁张某家堂屋门敞开之机进入室内。入室后，孙某进将躺在床上的张某拽起，并在床上翻找物品，从一黑色女士挎包里的黑色塑料袋内抢走2000元现金，随后逃离现场。张某在追赶孙某时，摔倒在家门口地上，后卧床多日去世。民警在两周后将孙某抓获，从其身上搜获700元现金，其余赃款被其用于购买衣物、吃饭、饮酒、嫖娼等。法院孙某犯入室抢劫罪，判处有期徒刑13年。另据张某在去世前口供，被抢走的钱是她让外甥女帮取的1700元低保和养老金，另外300元是她剩下的零用钱。O网页链接,,,星视频,"老人低保金被抢追贼时摔倒去世,津法君播报",1,1,2,2022-04-19 14:32,微博 weibo.com,,,,,蓝V
4759926351594497,Lp8Xp6GNH,6618910230,长春热议,【#老人低保金被抢追贼时摔倒去世#，抢劫者嫖娼后落网被判13年】据@星视频报道：近日，河南鹿邑。中国裁判文书网发布了一则刑事判决书，孙某在酒后想“整点钱花”，他知道该村80岁老太张某平时一人在家，于是趁张某家堂屋门敞开之机进入室内。#长春热议#入室后，孙某进将躺在床上的张某拽起，并在床上翻找物品，从一黑色女士挎包里的黑色塑料袋内抢走2000元现金，随后逃离现场。张某在追赶孙某时，摔倒在家门口地上，后卧床多日去世。民警在两周后将孙某抓获，从其身上搜获700元现金，其余赃款被其用于购买衣物、吃饭、饮酒、嫖娼等。法院孙某犯入室抢劫罪，判处有期徒刑13年。另据张某在去世前口供，被抢走的钱是她让外甥女帮取的1700元低保和养老金，另外300元是她剩下的零用钱。L星视频的微博视频,,,星视频,"老人低保金被抢追贼时摔倒去世,长春热议",0,0,0,2022-04-19 11:19,Android,,"http://f.video.weibocdn.com/o0/z4rT3ezSlx07VijwukVa01041200d4tb0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729495796&ssig=%2B%2FPj%2FQqAUE&KID=unistore,video",,,普通用户
4759710194729364,Lp3kLjQk4,6432311474,内蒙古长安网,【#老人低保金被抢追贼时摔倒去世#，抢劫者嫖娼后落网被判13年】据@星视频报道：近日，河南鹿邑。中国裁判文书网发布了一则刑事判决书，孙某在酒后想“整点钱花”，他知道该村80岁老太张某平时一人在家，于是趁张某家堂屋门敞开之机进入室内。入室后，孙某进将躺在床上的张某拽起，并在床上翻找物品，从一黑色女士挎包里的黑色塑料袋内抢走2000元现金，随后逃离现场。张某在追赶孙某时，摔倒在家门口地上，后卧床多日去世。民警在两周后将孙某抓获，从其身上搜获700元现金，其余赃款被其用于购买衣物、吃饭、饮酒、嫖娼等。法院孙某犯入室抢劫罪，判处有期徒刑13年。另据张某在去世前口供，被抢走的钱是她让外甥女帮取的1700元低保和养老金，另外300元是她剩下的零用钱。L星视频的微博视频,,,星视频,老人低保金被抢追贼时摔倒去世,1,1,0,2022-04-18 21:00,微博视频号,,"http://f.video.weibocdn.com/o0/z4rT3ezSlx07VijwukVa01041200d4tb0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729495797&ssig=gzjvshAz%2F%2F&KID=unistore,video",,,
4759754763666964,Lp4uEfnWA,6524625682,苏尼特右旗政法委,【#老人低保金被抢追贼时摔倒去世#，抢劫者嫖娼后落网被判13年】,,,,老人低保金被抢追贼时摔倒去世,0,0,0,2022-04-18 23:57,360安全浏览器,,,4759710194729364,,蓝V
4759701776761586,Lp37bsmZQ,5626386238,Puppet木由,#老人低保金被抢追贼时摔倒去世#13年没问题1.该男子抢劫罪已经构成既遂（入户抢劫）2.老人追赶时摔倒，后于医院死亡。虽然有抢劫罪致人死亡这一结果加重犯，但本案中，根据介入因素“俩步走”，老太追赶男子摔倒在地，比较异常，与男子没有因果关系，死亡结果不能归属于该男子3.该男子此前有多次盗窃行为（三年以下），被判处三次有期徒刑，应从重处罚4.根据《刑法》第263条，入户抢劫属于法定刑升格条件，判处十年以上有期徒刑，故判处13年没有问题@柏浪涛的刑法观,,,柏浪涛的刑法观,老人低保金被抢追贼时摔倒去世,0,1,2,2022-04-18 20:26,荣耀20,,,,,普通用户
4759672437085941,Lp2lRtJnn,5367519413,乌拉特前旗法治之声,【#老人低保金被抢追贼时摔倒去世#，抢劫者嫖娼后落网被判13年】据@星视频报道：近日，河南鹿邑。中国裁判文书网发布了一则刑事判决书，孙某在酒后想“整点钱花”，他知道该村80岁老太张某平时一人在家，于是趁张某家堂屋门敞开之机进入室内。入室后，孙某进将躺在床上的张某拽起，并在床上翻找物品，从一黑色女士挎包里的黑色塑料袋内抢走2000元现金，随后逃离现场。张某在追赶孙某时，摔倒在家门口地上，后卧床多日去世。民警在两周后将孙某抓获，从其身上搜获700元现金，其余赃款被其用于购买衣物、吃饭、饮酒、嫖娼等。法院孙某犯入室抢劫罪，判处有期徒刑13年。另据张某在去世前口供，被抢走的钱是她让外甥女帮取的1700元低保和养老金，另外300元是她剩下的零用钱。L星视频的微博视频,,,星视频,老人低保金被抢追贼时摔倒去世,0,0,0,2022-04-18 18:30,微博视频号,,"http://f.video.weibocdn.com/o0/z4rT3ezSlx07VijwukVa01041200d4tb0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729495797&ssig=gzjvshAz%2F%2F&KID=unistore,video",,,蓝V
4759671615264251,Lp2kxm5th,5902609242,乌海反邪教,@内蒙古反邪教:【#老人低保金被抢追贼时摔倒去世#，抢劫者嫖娼后落网被判13年】,,,内蒙古反邪教,老人低保金被抢追贼时摔倒去世,0,0,0,2022-04-18 18:26,UC浏览器电脑版,,,,,蓝V
4759548840378830,LoZ8w1Aya,5878527193,西安检察,#西检动态##西检普法#【#老人低保金被抢追贼时摔倒去世#，抢劫者嫖娼后落网被判13年】据报道：近日，河南鹿邑。中国裁判文书网发布了一则刑事判决书，孙某在酒后想“整点钱花”，他知道该村80岁老太张某平时一人在家，于是趁张某家堂屋门敞开之机进入室内。入室后，孙某进将躺在床上的张某拽起，并在床上翻找物品，从一黑色女士挎包里的黑色塑料袋内抢走2000元现金，随后逃离现场。张某在追赶孙某时，摔倒在家门口地上，后卧床多日去世。民警在两周后将孙某抓获，从其身上搜获700元现金，其余赃款被其用于购买衣物、吃饭、饮酒、嫖娼等。法院孙某犯入室抢劫罪，判处有期徒刑13年。另据张某在去世前口供，被抢走的钱是她让外甥女帮取的1700元低保和养老金，另外300元是她剩下的零用钱。L星视频的微博视频,,,,"西检动态,西检普法,老人低保金被抢追贼时摔倒去世",4,26,18,2022-04-18 10:18,微博视频号,,"http://f.video.weibocdn.com/o0/z4rT3ezSlx07VijwukVa01041200d4tb0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729495797&ssig=gzjvshAz%2F%2F&KID=unistore,video",,,
