id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4984702719492913,NzxvhDPxv,2849814611,未央检察,#未检普法#【#法律如何规定赡养老人义务#？】#老人住院因子女不看望伤心过度自杀#赡养父母是子女应尽的法定义务，赡养义务人不得以放弃继承权或者双方协议约定或者其他任何理由拒绝履行。《中华人民共和国民法典》第二十六条：父母对未成年子女负有抚养、教育和保护的义务。成年子女对父母负有赡养、扶助和保护的义务。,,,,"未检普法,法律如何规定赡养老人义务,老人住院因子女不看望伤心过度自杀",2,35,36,2023-12-30 17:40,HUAWEI Mate Xs 5G,"https://wx2.sinaimg.cn/large/a9dcb853ly1hlbyb10u7oj20u00ud43l.jpg,https://wx4.sinaimg.cn/large/a9dcb853ly1hlbyb1ocigj20rs13bab9.jpg",,,,蓝V
4984650848797999,Nzw9CAULd,3938812001,会宁法院,#普法课堂##小白普法#【#法律如何规定赡养老人义务#？】#老人住院因子女不看望伤心过度自杀#赡养父母是子女应尽的法定义务，赡养义务人不得以放弃继承权或者双方协议约定或者其他任何理由拒绝履行。《中华人民共和国民法典》第二十六条：父母对未成年子女负有抚养、教育和保护的义务。成年子女对父母负有赡养、扶助和保护的义务。@白银区检察院L法治日报的微博视频,,,白银区检察院,"普法课堂,小白普法,法律如何规定赡养老人义务,老人住院因子女不看望伤心过度自杀",2,3,2,2023-12-30 14:13,iPhone客户端,,"http://f.video.weibocdn.com/o0/ut5tN2xClx084nHWH6YM010412002Q3i0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729264811&ssig=raZGsBPXXR&KID=unistore,video",,,蓝V
4984367321190911,NzoMk4ZOf,3720164417,紫阳法院,#未检普法#【赡养父母是子女应尽的法定义务】古语有云：“百善孝为先”，孝是一个人善心、爱心和良心的综合表现，是天经地义的美德，也是各种品德形成的前提。但当前形势下，由于多方面因素影响，“老无所养、老无所依”已成为人民群众热议的焦点和社会普遍关注的问题，在今天的法律知识小课堂里，我们就一起来学习赡养老人相关的法律知识吧！#普法课堂##老人住院因子女不看望伤心过度自杀#L未央检察的微博视频,,,,"未检普法,普法课堂,老人住院因子女不看望伤心过度自杀",0,0,1,2023-12-29 19:27,iPhone客户端,,"http://f.video.weibocdn.com/o0/COC6SeK0lx08b5UUFZ3W01041200eiSr0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729264811&ssig=88vPOmUBaq&KID=unistore,video",,,蓝V
4983503227717091,Nz2iCwnzd,3914207834,郴州北湖法院,#普法课堂#【#法律如何规定赡养老人义务#？】#老人住院因子女不看望伤心过度自杀#赡养父母是子女应尽的法定义务，赡养义务人不得以放弃继承权或者双方协议约定或者其他任何理由拒绝履行。《中华人民共和国民法典》第二十六条：父母对未成年子女负有抚养、教育和保护的义务。成年子女对父母负有赡养、扶助和保护的义务。戳↓via.齐鲁晚报L法治日报的微博视频,,,,"普法课堂,法律如何规定赡养老人义务,老人住院因子女不看望伤心过度自杀",0,0,2,2023-12-27 10:13,iPhone 12,,"http://f.video.weibocdn.com/o0/ut5tN2xClx084nHWH6YM010412002Q3i0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729264811&ssig=raZGsBPXXR&KID=unistore,video",,,蓝V
4983468482888875,Nz1oAc7wL,3938326397,沧州中院,#普法课堂#【赡养父母是子女应尽的法定义务】古语有云：“百善孝为先”，孝是一个人善心、爱心和良心的综合表现，是天经地义的美德，也是各种品德形成的前提。但当前形势下，由于多方面因素影响，“老无所养、老无所依”已成为人民群众热议的焦点和社会普遍关注的问题，在今天的法律知识小课堂里，我们就一起来学习赡养老人相关的法律知识吧！L巴山检察的微博视频#老人住院因子女不看望伤心过度自杀#,,,,"普法课堂,老人住院因子女不看望伤心过度自杀",2,0,0,2023-12-27 07:55,微博视频号,,"http://f.video.weibocdn.com/003QqXYogx07IqvyW7i801041200cq750E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&ori=0&ps=1BVp4ysnknHVZu&Expires=1729264811&ssig=QTFq5k%2B5PQ&KID=unistore,video",,,蓝V
4981745881191722,NyiAc501k,3938812001,会宁法院,#未检普法#【赡养父母是子女应尽的法定义务】古语有云：“百善孝为先”，孝是一个人善心、爱心和良心的综合表现，是天经地义的美德，也是各种品德形成的前提。但当前形势下，由于多方面因素影响，“老无所养、老无所依”已成为人民群众热议的焦点和社会普遍关注的问题，在今天的法律知识小课堂里，我们就一起来学习赡养老人相关的法律知识吧！#普法课堂##老人住院因子女不看望伤心过度自杀#L未央检察的微博视频,,,,"未检普法,普法课堂,老人住院因子女不看望伤心过度自杀",4,5,4,2023-12-22 13:50,iPhone客户端,,"http://f.video.weibocdn.com/o0/COC6SeK0lx08b5UUFZ3W01041200eiSr0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729264811&ssig=88vPOmUBaq&KID=unistore,video",,,蓝V
4981407071862814,Ny9LJ7OBo,3603754751,丹东市人民检察院,【赡养父母是子女应尽的法定义务】古语有云：“百善孝为先”，孝是一个人善心、爱心和良心的综合表现，是天经地义的美德，也是各种品德形成的前提。但当前形势下，由于多方面因素影响，“老无所养、老无所依”已成为人民群众热议的焦点和社会普遍关注的问题，在今天的法律知识小课堂里，我们就一起来学习赡养老人相关的法律知识吧！#普法课堂##老人住院因子女不看望伤心过度自杀#L未央检察的微博视频,,,,"普法课堂,老人住院因子女不看望伤心过度自杀",2,1,5,2023-12-21 15:24,微博视频号,,"http://f.video.weibocdn.com/o0/COC6SeK0lx08b5UUFZ3W01041200eiSr0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729264811&ssig=88vPOmUBaq&KID=unistore,video",,,蓝V
4981337780390483,Ny7XY1DA7,2414369130,正义南康,#康检普法##女子起诉父母不肯出钱给自己出国留学#【赡养父母是子女应尽的法定义务】古语有云：“百善孝为先”，孝是一个人善心、爱心和良心的综合表现，是天经地义的美德，也是各种品德形成的前提。但当前形势下，由于多方面因素影响，“老无所养、老无所依”已成为人民群众热议的焦点和社会普遍关注的问题，在今天的法律知识小课堂里，我们就一起来学习赡养老人相关的法律知识吧！#普法课堂##老人住院因子女不看望伤心过度自杀#L未央检察的微博视频,,,,"康检普法,女子起诉父母不肯出钱给自己出国留学,普法课堂,老人住院因子女不看望伤心过度自杀",2,9,10,2023-12-21 10:48,微博视频号,,"http://f.video.weibocdn.com/o0/COC6SeK0lx08b5UUFZ3W01041200eiSr0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729264811&ssig=88vPOmUBaq&KID=unistore,video",,,蓝V
4981329357701163,Ny7Knwjqj,3215433812,宿州检察,【赡养父母是子女应尽的法定义务】古语有云：“百善孝为先”，孝是一个人善心、爱心和良心的综合表现，是天经地义的美德，也是各种品德形成的前提。但当前形势下，由于多方面因素影响，“老无所养、老无所依”已成为人民群众热议的焦点和社会普遍关注的问题，在今天的法律知识小课堂里，我们就一起来学习赡养老人相关的法律知识吧！#普法课堂##老人住院因子女不看望伤心过度自杀#L未央检察的微博视频,,,,"普法课堂,老人住院因子女不看望伤心过度自杀",0,0,0,2023-12-21 10:15,微博视频号,,"http://f.video.weibocdn.com/o0/COC6SeK0lx08b5UUFZ3W01041200eiSr0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729264811&ssig=88vPOmUBaq&KID=unistore,video",,,蓝V
4981313788184767,Ny7lgylen,5385579770,淄博检察,#未检普法#【赡养父母是子女应尽的法定义务】古语有云：“百善孝为先”，孝是一个人善心、爱心和良心的综合表现，是天经地义的美德，也是各种品德形成的前提。但当前形势下，由于多方面因素影响，“老无所养、老无所依”已成为人民群众热议的焦点和社会普遍关注的问题，在今天的法律知识小课堂里，我们就一起来学习赡养老人相关的法律知识吧！#普法课堂##老人住院因子女不看望伤心过度自杀#L未央检察的微博视频,,,,"未检普法,普法课堂,老人住院因子女不看望伤心过度自杀",3,0,1,2023-12-21 09:13,微博视频号,,"http://f.video.weibocdn.com/o0/COC6SeK0lx08b5UUFZ3W01041200eiSr0E010.mp4?label=mp4_hd&template=640x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1729264811&ssig=88vPOmUBaq&KID=unistore,video",,,蓝V
