id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4822703355201018,M9wCjlP1o,6224474575,永川融媒,【点赞！#老人公交车上突发心脏病司机4分钟送医#】10月5日，重庆862路，行驶途中一名老年乘客突然晕倒。危急时刻，司机唐师傅将公交车径直开往医院求救。四分钟！挽救了一条人命！#遇见美好#@重庆广电-第1眼L重庆广电-第1眼的微博视频,,,重庆广电-第1眼,"老人公交车上突发心脏病司机4分钟送医,遇见美好",0,0,0,2022-10-09 16:52,微博视频号,,"http://f.video.weibocdn.com/o0/o84hcyCvlx07ZLIilKQo010412007kHh0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003629&ssig=uPAgrTHXZZ&KID=unistore,video",,,普通用户
4822256926066923,M9l0gpshB,7748722852,城市公共交通,【点赞！#老人公交车上突发心脏病司机4分钟送医#】10月5日，重庆862路，行驶途中一名老年乘客突然晕倒。危急时刻，司机唐师傅将公交车径直开往医院求救。四分钟！挽救了一条人命！#遇见美好#L重庆广电-第1眼的微博视频@重庆市公交集团,,,重庆市公交集团,"老人公交车上突发心脏病司机4分钟送医,遇见美好",0,0,0,2022-10-08 11:18,微博视频号,,"http://f.video.weibocdn.com/o0/o84hcyCvlx07ZLIilKQo010412007kHh0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003629&ssig=uPAgrTHXZZ&KID=unistore,video",,,蓝V
4822252639748820,M9kTlEU72,2486101491,重庆公交,【点赞！#老人公交车上突发心脏病司机4分钟送医#】10月5日，重庆862路，行驶途中一名老年乘客突然晕倒。危急时刻，司机唐师傅将公交车径直开往医院求救。四分钟！挽救了一条人命！#遇见美好#（来源：@重庆广电-第1眼）L重庆广电-第1眼的微博视频,,,重庆广电-第1眼,"老人公交车上突发心脏病司机4分钟送医,遇见美好",1,2,7,2022-10-08 11:01,iPhone客户端,,"http://f.video.weibocdn.com/o0/o84hcyCvlx07ZLIilKQo010412007kHh0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003629&ssig=uPAgrTHXZZ&KID=unistore,video",,,蓝V
4821891418948471,M9buJBxUb,1750290692,重庆卫视,【点赞！#老人公交车上突发心脏病司机4分钟送医#】10月5日，重庆862路，行驶途中一名老年乘客突然晕倒。危急时刻，司机唐师傅将公交车径直开往医院求救。四分钟！挽救了一条人命！#遇见美好#@重庆广电-第1眼L重庆广电-第1眼的微博视频,,,重庆广电-第1眼,"老人公交车上突发心脏病司机4分钟送医,遇见美好",1,0,4,2022-10-07 11:06,微博视频号,,"http://f.video.weibocdn.com/o0/o84hcyCvlx07ZLIilKQo010412007kHh0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003629&ssig=uPAgrTHXZZ&KID=unistore,video",,,蓝V
4821834681549375,M9a1e6v3V,5471566775,符合2035年规划G,#老人公交车上突发心脏病司机4分钟送医#,,,,老人公交车上突发心脏病司机4分钟送医,0,0,0,2022-10-07 07:20,Android,,,,,普通用户
4821834115844237,M9a0jowlT,2575101417,周至法院,【点赞！#老人公交车上突发心脏病司机4分钟送医#】10月5日，重庆862路，行驶途中一名老年乘客突然晕倒。危急时刻，司机唐师傅将公交车径直开往医院求救。四分钟！挽救了一条人命！#遇见美好#@重庆广电-第1眼L重庆广电-第1眼的微博视频,,,重庆广电-第1眼,"老人公交车上突发心脏病司机4分钟送医,遇见美好",1,1,2,2022-10-07 07:18,微博视频号,,"http://f.video.weibocdn.com/o0/o84hcyCvlx07ZLIilKQo010412007kHh0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003629&ssig=uPAgrTHXZZ&KID=unistore,video",,,蓝V
4821676062410866,M95Toa7aW,5977613487,源点视频,【点赞！#老人公交车上突发心脏病司机4分钟送医#】10月5日，重庆862路，行驶途中一名老年乘客突然晕倒。危急时刻，司机唐师傅将公交车径直开往医院求救。四分钟！挽救了一条人命！#遇见美好#@重庆广电-第1眼L重庆广电-第1眼的微博视频,,,重庆广电-第1眼,"老人公交车上突发心脏病司机4分钟送医,遇见美好",0,0,0,2022-10-06 20:50,微博视频号,,"http://f.video.weibocdn.com/o0/o84hcyCvlx07ZLIilKQo010412007kHh0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003629&ssig=uPAgrTHXZZ&KID=unistore,video",,,蓝V
4821642084356995,M950Aihs7,7409416016,兰山政法,【点赞！#老人公交车上突发心脏病司机4分钟送医#】10月5日，重庆862路公交车行驶途中，一名老年乘客突然晕倒。危急时刻，司机唐师傅将公交车径直开往医院，仅用4分钟将老人送医，挽救了一条人命！@重庆广电-第1眼L重庆广电-第1眼的微博视频,,,重庆广电-第1眼,老人公交车上突发心脏病司机4分钟送医,0,0,0,2022-10-06 18:35,iPhone客户端,,"http://f.video.weibocdn.com/o0/o84hcyCvlx07ZLIilKQo010412007kHh0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003629&ssig=uPAgrTHXZZ&KID=unistore,video",,,蓝V
4821635343323616,M94PIdWCI,6605634818,土农伙,【点赞！#老人公交车上突发心脏病司机4分钟送医#】10月5日，重庆862路，行驶途中一名老年乘客突然晕倒。危急时刻，司机唐师傅将公交车径直开往医院求救。四分钟！挽救了一条人命！#耿直重庆人#L重庆广电-第1眼的微博视频,,,,"老人公交车上突发心脏病司机4分钟送医,耿直重庆人",0,0,0,2022-10-06 18:08,微博视频号,,"http://f.video.weibocdn.com/o0/o84hcyCvlx07ZLIilKQo010412007kHh0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003630&ssig=mbgXUMRUvh&KID=unistore,video",,,黄V
4821624480340328,M94yc1qxa,5013122364,南康融媒,【点赞！#老人公交车上突发心脏病司机4分钟送医#】10月5日，重庆862路公交车行驶途中，一名老年乘客突然晕倒。危急时刻，司机唐师傅将公交车径直开往医院，仅用4分钟将老人送医，挽救了一条人命！@重庆广电-第1眼重庆广电-第1眼的微博视频L重庆广电-第1眼的微博视频,,,重庆广电-第1眼,老人公交车上突发心脏病司机4分钟送医,0,0,1,2022-10-06 17:25,微博视频号,,"http://f.video.weibocdn.com/o0/o84hcyCvlx07ZLIilKQo010412007kHh0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003630&ssig=mbgXUMRUvh&KID=unistore,video",,,蓝V
4821618356913408,M94ojt0uA,1867571077,听中国,【点赞！#老人公交车上突发心脏病司机4分钟送医#】10月5日，重庆862路公交车行驶途中，一名老年乘客突然晕倒。危急时刻，司机唐师傅将公交车径直开往医院，仅用4分钟将老人送医，挽救了一条人命！@重庆广电-第1眼L重庆广电-第1眼的微博视频,,,重庆广电-第1眼,老人公交车上突发心脏病司机4分钟送医,0,2,7,2022-10-06 17:01,微博视频号,,"http://f.video.weibocdn.com/o0/o84hcyCvlx07ZLIilKQo010412007kHh0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003630&ssig=mbgXUMRUvh&KID=unistore,video",,,蓝V
4821615625373666,M94jUmxW2,5289516016,河南广播电视台许昌站,【点赞！#老人公交车上突发心脏病司机4分钟送医#】10月5日，重庆862路，行驶途中一名老年乘客突然晕倒。危急时刻，司机唐师傅将公交车径直开往医院求救。四分钟！挽救了一条人命！#遇见美好#@重庆广电-第1眼L重庆广电-第1眼的微博视频,,,重庆广电-第1眼,"老人公交车上突发心脏病司机4分钟送医,遇见美好",0,0,0,2022-10-06 16:50,微博视频号,,"http://f.video.weibocdn.com/o0/o84hcyCvlx07ZLIilKQo010412007kHh0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003630&ssig=mbgXUMRUvh&KID=unistore,video",,,蓝V
4821612933944308,M94fzgy5S,3262768974,石家庄政法,【点赞！#老人公交车上突发心脏病司机4分钟送医#】10月5日，重庆862路，行驶途中一名老年乘客突然晕倒。危急时刻，司机唐师傅将公交车径直开往医院求救。四分钟！挽救了一条人命！#遇见美好#@重庆广电-第1眼L重庆广电-第1眼的微博视频,,,重庆广电-第1眼,"老人公交车上突发心脏病司机4分钟送医,遇见美好",0,0,0,2022-10-06 16:39,iPhone客户端,,"http://f.video.weibocdn.com/o0/o84hcyCvlx07ZLIilKQo010412007kHh0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003630&ssig=mbgXUMRUvh&KID=unistore,video",,,蓝V
