id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4893661449947471,MDiyQFJN5,7479448730,一个小西柚儿,阿数爱我一次我用后两年的考运换这次高数上八十#高数##老人养生两年花光七八十万养老钱##山东专升本#,,,,"高数,老人养生两年花光七八十万养老钱,山东专升本",1,1,1,2023-04-23 12:14,nova7你在焦点在,,,,,普通用户
4892659308561014,MCSuuzV6S,1793254175,轶夫当观,轶夫当观超话快来发帖宠粉【#老人养生两年花光七八十万养老钱#】济南的甄阿姨，两年时间里花了七八十万元在养生上。如今甄阿姨老伴急需拿钱治病，甄阿姨希望养生馆可以对没有做的项目进行退费。特派员来到甄阿姨所消费的这家养生馆，养生馆表示甄阿姨的消费明细都在总公司，无法提供。目前，当地市场监管局已将甄阿姨的投诉进行受理，并按照流程调查处理。L齐鲁台小溪办事的微博视频,,,,老人养生两年花光七八十万养老钱,0,0,0,2023-04-20 17:52,轶夫当观超话,,"http://f.video.weibocdn.com/o0/zeVH8RA1lx084OnkFBAI01041201wL9m0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003917&ssig=bQWLsphZOS&KID=unistore,video",,,黄V
4892617847865914,MCRpCx0hA,6524690930,综艺小日常,【#老人养生两年花光七八十万养老钱#】济南的甄阿姨，两年时间里花了七八十万元在养生上。如今甄阿姨老伴急需拿钱治病，甄阿姨希望养生馆可以对没有做的项目进行退费。特派员来到甄阿姨所消费的这家养生馆，养生馆表示甄阿姨的消费明细都在总公司，无法提供。目前，当地市场监管局已将甄阿姨的投诉进行受理，并按照流程调查处理。L齐鲁台小溪办事的微博视频,,,,老人养生两年花光七八十万养老钱,0,0,0,2023-04-20 15:07,微博云剪,,"http://f.video.weibocdn.com/o0/zeVH8RA1lx084OnkFBAI01041201wL9m0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003917&ssig=bQWLsphZOS&KID=unistore,video",,,普通用户
4892617848915414,MCRpCBpj0,6573835769,糖加小三少,【#老人养生两年花光七八十万养老钱#】济南的甄阿姨，两年时间里花了七八十万元在养生上。如今甄阿姨老伴急需拿钱治病，甄阿姨希望养生馆可以对没有做的项目进行退费。特派员来到甄阿姨所消费的这家养生馆，养生馆表示甄阿姨的消费明细都在总公司，无法提供。目前，当地市场监管局已将甄阿姨的投诉进行受理，并按照流程调查处理。L齐鲁台小溪办事的微博视频,,,,老人养生两年花光七八十万养老钱,0,0,0,2023-04-20 15:07,微博云剪,,"http://f.video.weibocdn.com/o0/zeVH8RA1lx084OnkFBAI01041201wL9m0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003917&ssig=bQWLsphZOS&KID=unistore,video",,,普通用户
4892617844722505,MCRpCjOxr,6524412226,赖床竞赛的冠军,【#老人养生两年花光七八十万养老钱#】济南的甄阿姨，两年时间里花了七八十万元在养生上。如今甄阿姨老伴急需拿钱治病，甄阿姨希望养生馆可以对没有做的项目进行退费。特派员来到甄阿姨所消费的这家养生馆，养生馆表示甄阿姨的消费明细都在总公司，无法提供。目前，当地市场监管局已将甄阿姨的投诉进行受理，并按照流程调查处理。L齐鲁台小溪办事的微博视频,,,,老人养生两年花光七八十万养老钱,0,0,0,2023-04-20 15:07,微博云剪,,"http://f.video.weibocdn.com/o0/zeVH8RA1lx084OnkFBAI01041201wL9m0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003917&ssig=bQWLsphZOS&KID=unistore,video",,,普通用户
4892617844459045,MCRpCiI05,6574341172,早教体验官,【#老人养生两年花光七八十万养老钱#】济南的甄阿姨，两年时间里花了七八十万元在养生上。如今甄阿姨老伴急需拿钱治病，甄阿姨希望养生馆可以对没有做的项目进行退费。特派员来到甄阿姨所消费的这家养生馆，养生馆表示甄阿姨的消费明细都在总公司，无法提供。目前，当地市场监管局已将甄阿姨的投诉进行受理，并按照流程调查处理。L齐鲁台小溪办事的微博视频,,,,老人养生两年花光七八十万养老钱,0,0,0,2023-04-20 15:07,微博视频号,,"http://f.video.weibocdn.com/o0/zeVH8RA1lx084OnkFBAI01041201wL9m0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003917&ssig=bQWLsphZOS&KID=unistore,video",,,黄V
4892617844200747,MCRpChCNZ,6574341281,新墙头bot,【#老人养生两年花光七八十万养老钱#】济南的甄阿姨，两年时间里花了七八十万元在养生上。如今甄阿姨老伴急需拿钱治病，甄阿姨希望养生馆可以对没有做的项目进行退费。特派员来到甄阿姨所消费的这家养生馆，养生馆表示甄阿姨的消费明细都在总公司，无法提供。目前，当地市场监管局已将甄阿姨的投诉进行受理，并按照流程调查处理。L齐鲁台小溪办事的微博视频,,,,老人养生两年花光七八十万养老钱,0,0,0,2023-04-20 15:07,微博云剪,,"http://f.video.weibocdn.com/o0/zeVH8RA1lx084OnkFBAI01041201wL9m0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003917&ssig=bQWLsphZOS&KID=unistore,video",,,普通用户
4892617840528102,MCRpC2dnM,6524694629,花絮菌,【#老人养生两年花光七八十万养老钱#】济南的甄阿姨，两年时间里花了七八十万元在养生上。如今甄阿姨老伴急需拿钱治病，甄阿姨希望养生馆可以对没有做的项目进行退费。特派员来到甄阿姨所消费的这家养生馆，养生馆表示甄阿姨的消费明细都在总公司，无法提供。目前，当地市场监管局已将甄阿姨的投诉进行受理，并按照流程调查处理。L齐鲁台小溪办事的微博视频,,,,老人养生两年花光七八十万养老钱,0,0,0,2023-04-20 15:07,微博云剪,,"http://f.video.weibocdn.com/o0/zeVH8RA1lx084OnkFBAI01041201wL9m0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003917&ssig=bQWLsphZOS&KID=unistore,video",,,普通用户
4892617840263608,MCRpC16zK,6574341165,头条游学营地,【#老人养生两年花光七八十万养老钱#】济南的甄阿姨，两年时间里花了七八十万元在养生上。如今甄阿姨老伴急需拿钱治病，甄阿姨希望养生馆可以对没有做的项目进行退费。特派员来到甄阿姨所消费的这家养生馆，养生馆表示甄阿姨的消费明细都在总公司，无法提供。目前，当地市场监管局已将甄阿姨的投诉进行受理，并按照流程调查处理。L齐鲁台小溪办事的微博视频,,,,老人养生两年花光七八十万养老钱,0,0,0,2023-04-20 15:07,微博云剪,,"http://f.video.weibocdn.com/o0/zeVH8RA1lx084OnkFBAI01041201wL9m0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003917&ssig=bQWLsphZOS&KID=unistore,video",,,黄V
4892617840006883,MCRpC01N1,6524418192,明星综艺观,【#老人养生两年花光七八十万养老钱#】济南的甄阿姨，两年时间里花了七八十万元在养生上。如今甄阿姨老伴急需拿钱治病，甄阿姨希望养生馆可以对没有做的项目进行退费。特派员来到甄阿姨所消费的这家养生馆，养生馆表示甄阿姨的消费明细都在总公司，无法提供。目前，当地市场监管局已将甄阿姨的投诉进行受理，并按照流程调查处理。L齐鲁台小溪办事的微博视频,,,,老人养生两年花光七八十万养老钱,0,0,0,2023-04-20 15:07,微博云剪,,"http://f.video.weibocdn.com/o0/zeVH8RA1lx084OnkFBAI01041201wL9m0E010.mp4?label=mp4_720p&template=960x540.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725003919&ssig=ll25Rqj8kh&KID=unistore,video",,,普通用户
