id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5050527008428305,OlcrazmAp,6325736199,旭日东升2019Ok,沈阳国有控股集团董事长姚家元花多钱贿赂沈河区信访局联席办人犯法属实。伪造评议诉求。谁给盖的章？谁犯法伪造的？谁犯法给办理的？人恶必遭恶报！#神舟总设计师回应美国想来中国空间站##老人养老院去世退费被扣35%##正能量##不辜负每一份热爱##新浪热搜##阳光信用##人民日报评论#O沈阳国控集团姚家元贿赂沈河信访联席办人犯法伪造欠薪不给不让退休,,,,"神舟总设计师回应美国想来中国空间站,老人养老院去世退费被扣35%,正能量,不辜负每一份热爱,新浪热搜,阳光信用,人民日报评论",0,0,0,2024-06-29 09:02,荣耀Play5,,,,,普通用户
5049605777786845,OkOtjwFIh,6325736199,旭日东升2019Ok,沈阳国有控股集团董事长姚家元花多钱贿赂沈河区信访局联席办人犯法属实伪造评议诉求。谁给盖的章？谁给犯法伪造的？谁给办理的？人恶必遭恶报。#你还看小杨哥视频吗##神舟总设计师回应美国想来中国空间站##老人养老院去世退费被扣35%##和时间谈谈心##阳光信用##新闻看点##中国经济引力场##人民日报每日文摘##你有被解雇的经历吗#O沈阳国有控股集团姚家元贿赂沈河区信访联办人犯法伪造评议诉求属实,,,,"你还看小杨哥视频吗,神舟总设计师回应美国想来中国空间站,老人养老院去世退费被扣35%,和时间谈谈心,阳光信用,新闻看点,中国经济引力场,人民日报每日文摘,你有被解雇的经历吗",0,0,0,2024-06-26 20:01,荣耀Play5,,,,,普通用户
5049247586062353,OkF9Apr5T,6325736199,旭日东升2019Ok,沈阳国有控股集团董事长姚家元花多钱贿赂沈河区信访局联席办人犯法伪造评议诉求属实。谁给盖的章？谁给伪造的？谁给办理的？#和时间谈谈心##晋能控股集团原董事长郭金刚被查##辽宁好网民守法好公民##老人养老院去世退费被扣35%##你还看小杨哥视频吗##人民网##生活手记##阳光信用#O沈阳国有控股集团姚家元贿赂沈河区信访联席办人犯法属实伪造评议诉求,,,,"和时间谈谈心,晋能控股集团原董事长郭金刚被查,辽宁好网民守法好公民,老人养老院去世退费被扣35%,你还看小杨哥视频吗,人民网,生活手记,阳光信用",0,0,0,2024-06-25 20:18,荣耀Play5,,,,,普通用户
5048728657070001,OkrEBtFeh,6325736199,旭日东升2019Ok,沈阳国有控股集团董事长姚家元花多少钱贿赂沈河区信访局联席会人犯法属实伪造评议诉求#神舟总设计师回应美国想来中国空间站##老人养老院去世退费被扣35%##辽宁好网民守法好公民##中国经济引力场##不辜负每一份热爱##余琦就不当言行致歉#@关注民生法学硕士O沈阳国有控股集团姚家元贿赂沈河区信访联席办人犯法属实伪造评议诉求,,,关注民生法学硕士,"神舟总设计师回应美国想来中国空间站,老人养老院去世退费被扣35%,辽宁好网民守法好公民,中国经济引力场,不辜负每一份热爱,余琦就不当言行致歉",0,0,0,2024-06-24 09:56,荣耀Play5,,,,,普通用户
5048342671524596,OkhC36oCg,6325736199,旭日东升2019Ok,沈阳国有控股集团董事长姚家元花多少钱贿赂沈河区信访局联席会人犯法属实伪造评议诉求#中纪监察部##辽宁好网民守法好公民##老人养老院去世退费被扣35%##神舟总设计师回应美国想来中国空间站##你还看小杨哥视频吗##新闻看点##成为世界品牌需要多少年#O沈阳国有控股集团姚家元贿赂沈河区信访联席办人犯法属实伪造评议诉求,,,,"中纪监察部,辽宁好网民守法好公民,老人养老院去世退费被扣35%,神舟总设计师回应美国想来中国空间站,你还看小杨哥视频吗,新闻看点,成为世界品牌需要多少年",0,0,0,2024-06-23 08:22,荣耀Play5,,,,,普通用户
5048139763944830,OkckMgyei,6325736199,旭日东升2019Ok,沈阳国有控股集团董事长姚家元花了多少钱贿赂沈河区信访局联席会人能犯法属实伪造评议诉求。#成为世界品牌需要多少年##南方医科大学回应教师因救人迟到受处分##中国经济引力场##无人机表演诠释星河落人间##辽宁好网民守法好公民##老人养老院去世退费被扣35%##新闻看点##神舟总设计师回应美国想来中国空间站##v光计划#O沈阳国有控股集团姚家元贿赂沈河区信访联席办人犯法属实伪造评议诉求,,,,"成为世界品牌需要多少年,南方医科大学回应教师因救人迟到受处分,中国经济引力场,无人机表演诠释星河落人间,辽宁好网民守法好公民,老人养老院去世退费被扣35%,新闻看点,神舟总设计师回应美国想来中国空间站,v光计划",0,0,0,2024-06-22 18:56,荣耀Play5,,,,,普通用户
5047965734143166,Ok7O5hnPg,6411910951,西北小晨子,【#老人养老院去世退费被扣35%#现场直击老人如何维权】近日，北京。年过七旬的陈大妈交了70800元购买了《健生养老卡》打算入住健生养老院。因为丈夫有老年痴呆症，当时希望丈夫一人居住，自己偶尔看望，但看望可能也需要居住，所以登记了2个人。之后只丈夫一人2019年11月、12月入住了2个月后就去世了。如今陈大妈想将当初所交的会员费用退回，结果养老院却告知需扣除所交费用的35%。#北京时间接诉即办#现场直击老人如何维权！@北京时间L北京时间的微博视频,,,北京时间,"老人养老院去世退费被扣35%,北京时间接诉即办",0,0,0,2024-06-22 07:24,微博视频号,,"http://f.video.weibocdn.com/o0/2XtR5sXzlx08fNT0sJ4I010412001jwX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015414&ssig=Pum39GVXse&KID=unistore,video",,,普通用户
5047802029408579,Ok3y2DtBh,6325736199,旭日东升2019Ok,沈阳国有控股集团董事长姚家元花多少钱贿赂沈河区信访局联席会人犯法能伪造评议诉求属实#父亲与人积怨儿子遭割颈身亡##不辜负每一份热爱##12337全国政法干警举报平台##余琦就不当言行致歉##无人机表演诠释星河落人间##中国经济引力场##老人养老院去世退费被扣35%#O沈阳国有控股集团姚家元贿赂沈河区信访联席办人犯法属实伪造评议诉求,,,,"父亲与人积怨儿子遭割颈身亡,不辜负每一份热爱,12337全国政法干警举报平台,余琦就不当言行致歉,无人机表演诠释星河落人间,中国经济引力场,老人养老院去世退费被扣35%",0,0,0,2024-06-21 20:34,荣耀Play5,,,,,普通用户
5047726385922545,Ok1A2oQIV,3474920450,谦虚的水晶球球,#老人养老院去世退费被扣35%#商业养老赚钱的秘密,,,,老人养老院去世退费被扣35%,0,0,0,2024-06-21 15:33,微博搜索,,,,,普通用户
5047688623819915,Ok0B8g1Jx,7551376184,北京卫视活过一百岁,【#老人养老院去世退费被扣35%#现场直击老人如何维权】近日，北京。年过七旬的陈大妈交了70800元购买了《健生养老卡》打算入住健生养老院。因为丈夫有老年痴呆症，当时希望丈夫一人居住，自己偶尔看望，但看望可能也需要居住，所以登记了2个人。之后只丈夫一人2019年11月、12月入住了2个月后就去世了。如今陈女士想将当初所交的会员费用退回，结果养老院却告知需扣除所交费用的35%。#北京时间接诉即办#现场直击老人如何维权！@北京时间L北京时间的微博视频,,,北京时间,"老人养老院去世退费被扣35%,北京时间接诉即办",0,0,0,2024-06-21 13:03,iPhone客户端,,"http://f.video.weibocdn.com/o0/2XtR5sXzlx08fNT0sJ4I010412001jwX0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725015414&ssig=Pum39GVXse&KID=unistore,video",,,蓝V
