id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4883158770122787,MyTl30vWr,7566403976,沈阳上门输液护士,沈阳上门输液沈阳铁西上门输液，浑南上门输液，大东上门输液，和平上门输液，于洪上门输液，皇姑上门输液，沈河上门输液扎针点滴抽血下胃管尿管化验等。15041276817#上门打针输液##护士上门##护士##护士上门##上门打针输液##沈阳浑南##老人可线上下单上门打针#,,,,"上门打针输液,护士上门,护士,沈阳浑南,老人可线上下单上门打针",0,0,0,2023-03-25 12:40,荣耀V20 4800万3D相机,,,,辽宁,普通用户
4882735603123161,MyIkwd6tz,7566403976,沈阳上门输液护士,沈阳上门输液沈阳铁西上门输液，浑南上门输液，大东上门输液，和平上门输液，于洪上门输液，皇姑上门输液，沈河上门输液扎针点滴抽血下胃管尿管化验等。15041276817#上门打针输液##护士上门##护士##护士上门##上门打针输液##沈阳浑南##老人可线上下单上门打针#,,,,"上门打针输液,护士上门,护士,沈阳浑南,老人可线上下单上门打针",0,0,0,2023-03-24 08:39,荣耀V20 4800万3D相机,,,,辽宁,普通用户
4874446130911243,MveGp3P3t,7335765577,e护通官方,护士上门有哪些服务？护士超话#网约护士来了##老人可线上下单上门打针#Le护通官方的微博视频,,,,"网约护士来了,老人可线上下单上门打针",0,1,0,2023-03-01 11:39,iPhone客户端,,"http://f.video.weibocdn.com/o0/ZfZvTJ0clx083wyIgQmY010412001SNQ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1725716497&ssig=VBzbeleWQo&KID=unistore,video",,上海,普通用户
4874182061721926,Mv7Ou7dX0,7335765577,e护通官方,不敢自己打针、又不想去医院，怎么办？预约专业护士上门护理#老人可线上下单上门打针##网约护士##网约护士来了#护士超话,,,,"老人可线上下单上门打针,网约护士,网约护士来了",0,0,0,2023-02-28 18:10,iPhone客户端,"https://wx2.sinaimg.cn/large/0080s7JDly1hbjbigrpljj30yi1a4e0h.jpg,https://wx1.sinaimg.cn/large/0080s7JDly1hbjbie7opgj30yi1a4dui.jpg",,,上海,普通用户
4457289920143958,Io2n60BrU,5964184998,安徽反邪教,【超3万亿元养老产业风口打开！养老服务更“智慧”：#老人可线上下单上门打针#...】据悉，我国智慧健康养老产业总体规模已超过3万亿元。随着我国人口老龄化快速发展，老年人的健康养老服务需求日益强烈，如何利用信息技术的手段，解决更多老年人生活中的实际问题，成为养老产业发展的一个新方向。在北京的一家养老中心，其服务对象就是以正常料理生活有难度的失能失智老人为主。房间中新增的一些智能化设计解决了他们日常生活中许多需求，房间中新增的一些智能化设计，解决了他们日常生活中许多需求。此外，通过线上系统，养老中心还能覆盖周边1.5公里范围内社区有需求的老人，提供上门服务。比如，老人使用穿戴设备，通过手机App下单，就能实现送餐、打针等等。L央视财经的酷燃视频,,,,老人可线上下单上门打针,28,33,33,2020-01-05 08:29,微博视频号,,"http://fus.cdn.krcom.cn/001eNCD5lx07zSf6oMFW01041201zNh20E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=4531de6fb1eadca369dd811c8f6c30f8&ori=0&ps=1BVp4ysnknHVZu&Expires=1725717888&ssig=lQbchfu5QP&KID=unistore,video",,,
4461016576905581,IpBjPsYsl,6563508086,瑶海清韵,超3万亿元养老产业风口打开！养老服务更“智慧”：#老人可线上下单上门打针#...,,,,老人可线上下单上门打针,0,0,33,2020-01-15 15:18,微博 weibo.com,,,4457289920143958,,蓝V
4458856274520411,IoH7tiXXR,7333859296,半城烟沙201212,#老人可线上下单上门打针#老人需要的不仅仅是生活上的照顾，还有爱的陪伴。很多人觉得老人嘛，照顾好生活就是孝顺，其实人老了，更怕孤独，更需要精神的慰藉。尤其年纪越来越大，行动越来越不方便，生活圈子越来越小，兴趣爱好也相对减少，那种丧失感、无力感、孤独感是最熬人的。所以家人也好，社会机构也罢，都要关注老人的精神生活，多给他们爱的陪伴。#健康一冬#,,,,"老人可线上下单上门打针,健康一冬",0,0,0,2020-01-09 16:14,vivo X23全息幻彩,"https://wx1.sinaimg.cn/large/0080k7Paly1gaodigftowj30a00a074g.jpg,https://wx1.sinaimg.cn/large/0080k7Paly1gaodihaxnxj30go099t8s.jpg,https://wx3.sinaimg.cn/large/0080k7Paly1gaodihk1esj30gy0gydfw.jpg,https://wx2.sinaimg.cn/large/0080k7Paly1gaodihrd18j30900b474b.jpg,https://wx2.sinaimg.cn/large/0080k7Paly1gaodii0cdij309q071jri.jpg,https://wx1.sinaimg.cn/large/0080k7Paly1gaodiiedmtj30gy0l40sx.jpg,https://wx1.sinaimg.cn/large/0080k7Paly1gaodiimnejj30hs0bvjs8.jpg,https://wx3.sinaimg.cn/large/0080k7Paly1gaodiiuuh2j30dw08qaar.jpg,https://wx3.sinaimg.cn/large/0080k7Paly1gaodij9lfqj30dw083mxf.jpg",,,,普通用户
4458762565791000,IoEGkoive,6579936616,庐阳正道,【超3万亿元养老产业风口打开！养老服务更“智慧”：#老人可线上下单上门打针#...】,,,,老人可线上下单上门打针,0,0,33,2020-01-09 10:01,360安全浏览器,,,4457289920143958,,蓝V
4458704046758694,IoD9Wsmfc,3084910837,丹青1208,#老人可线上下单上门打针#【超3万亿元养老产业风口打开！养老服务更“智慧”】据悉，我国智慧健康养老产业总体规模已超过3万亿元。量词0109。视财经的酷燃视频,,,,老人可线上下单上门打针,0,0,0,2020-01-09 06:09,Android客户端,,,,,普通用户
4458694399922991,IoCUnFDqf,2569093187,爱着刘大爽的黄小腾,#老人可线上下单上门打针#对于年轻人而言方便的东西，对老年人可能就是一座大山。坚定0109。2o还要更简便才行呢。人工智能成熟起来以后相信会大大提高老年人的生活质量,,,,老人可线上下单上门打针,0,0,0,2020-01-09 05:30,三星android智能手机,,,,,普通用户
